negatives
"('P15880', 'P05141')"
"('O00560', 'P13073')"
"('Q9UHD2', 'P0DP24')"
"('Q96DA6', 'O00483')"
"('O00567', 'Q6IN84')"
"('P20618', 'P25789')"
"('P34897', 'P42345')"
"('Q15717', 'Q9NR00')"
"('Q8N8D1', 'Q9BSM1')"
"('Q6P2Q9', 'Q53GS9')"
"('Q13489', 'Q92844')"
"('Q13618', 'Q14568')"
"('Q96E35', 'Q14687')"
"('Q9NRZ7', 'Q969V3')"
"('O14610', 'Q15147')"
"('Q7Z6Z7', 'Q70EL3')"
"('Q9BQ04', 'P78345')"
"('Q13402', 'O43813')"
"('Q2M243', 'P43364')"
"('O00186', 'Q12846')"
"('P28065', 'P36954')"
"('Q5VU43', 'O94868')"
"('Q5R372', 'Q9UBU9')"
"('P26715', 'P27701')"
"('P02787', 'P84022')"
"('Q9Y2T4', 'O43815')"
"('Q13200', 'Q9Y244')"
"('Q15022', 'P35232')"
"('Q8WUK0', 'Q9BPW8')"
"('Q9UBB4', 'P04792')"
"('O43592', 'O43252')"
"('P51692', 'P01106')"
"('O60493', 'Q86TU7')"
"('Q8IUQ4', 'Q96SN8')"
"('P18887', 'P07900')"
"('P33176', 'Q99436')"
"('Q13404', 'Q92567')"
"('P12956', 'P34897')"
"('Q9BW27', 'Q9H3U1')"
"('Q6UX06', 'Q0VG06')"
"('P19388', 'O15259')"
"('P27361', 'O95071')"
"('P52907', 'Q9Y4E1')"
"('Q00839', 'Q13617')"
"('O95721', 'O75379')"
"('P46379', 'P51864')"
"('Q9C0B0', 'Q13492')"
"('Q99576', 'Q00987')"
"('P51948', 'Q9UPZ9')"
"('P17677', 'P32246')"
"('Q92731', 'Q9Y399')"
"('O43315', 'Q969F0')"
"('Q15717', 'Q9BSD3')"
"('Q05513', 'Q6R327')"
"('O75031', 'O00463')"
"('Q92793', 'O14813')"
"('Q96PM5', 'P05783')"
"('P23381', 'Q12792')"
"('Q8IVS8', 'Q9NYP9')"
"('O00204', 'Q96D03')"
"('Q9BYV2', 'Q8TES7')"
"('Q9Y4K3', 'O15320')"
"('Q3SYF9', 'Q96MT4')"
"('Q16543', 'Q6PIJ6')"
"('O75147', 'P31943')"
"('Q99816', 'P45378')"
"('Q9NYF8', 'Q13573')"
"('Q6GPH4', 'Q92793')"
"('O75147', 'P05783')"
"('Q8IWL3', 'P50897')"
"('P46934', 'Q9UBF6')"
"('Q93034', 'Q9Y6I7')"
"('P0DPB5', 'Q9BUI4')"
"('P19320', 'Q06124')"
"('Q53ET0', 'Q9UJX2')"
"('P17858', 'Q7L5N1')"
"('Q9NRB3', 'Q9Y287')"
"('O14770', 'P40426')"
"('Q8NFH3', 'Q14974')"
"('Q99750', 'Q96ME1')"
"('P35228', 'Q03169')"
"('P22694', 'Q9UKL2')"
"('P62979', 'P41220')"
"('Q01167', 'O75446')"
"('Q9GZN4', 'P98170')"
"('Q9GZV5', 'P28347')"
"('Q96L14', 'Q96AE4')"
"('Q9BVL2', 'Q7Z3Y8')"
"('Q07021', 'Q16629')"
"('A7E2Y1', 'P12277')"
"('Q8IWZ3', 'P0C7T5')"
"('Q01860', 'Q8N8D1')"
"('Q99972', 'P01834')"
"('P54252', 'P54725')"
"('P13693', 'P04792')"
"('Q3SY00', 'Q9NPF5')"
"('P49736', 'Q14532')"
"('Q68DY9', 'Q9HCE1')"
"('P69905', 'P20933')"
"('Q8TBK6', 'Q8IZU0')"
"('P22612', 'Q8NGH9')"
"('Q04724', 'O14770')"
"('P14373', 'Q12774')"
"('Q9H3U1', 'Q6UVJ0')"
"('P28799', 'Q96CP2')"
"('Q9H492', 'P68400')"
"('P56181', 'Q7Z6L0')"
"('Q9C029', 'Q8TBZ6')"
"('Q7Z2W4', 'Q13148')"
"('Q9BYQ4', 'Q6L8H1')"
"('P07550', 'Q8TEY7')"
"('Q9NR56', 'Q9NZM3')"
"('O43809', 'Q9P2H0')"
"('O15371', 'P14921')"
"('P35221', 'Q01082')"
"('P62081', 'Q93034')"
"('P12956', 'Q09472')"
"('P46060', 'P26368')"
"('Q15811', 'Q96B97')"
"('Q14161', 'Q13137')"
"('Q7L5N1', 'Q92624')"
"('Q14839', 'Q14978')"
"('Q96KS9', 'Q96IK5')"
"('O14640', 'Q15257')"
"('P55072', 'P19474')"
"('Q96KN7', 'O95373')"
"('P40763', 'P19525')"
"('Q03405', 'Q8IVL6')"
"('Q13164', 'Q02078')"
"('P40937', 'Q5T3J3')"
"('P35228', 'Q14257')"
"('Q9UET6', 'O75844')"
"('Q14839', 'O95644')"
"('O15519', 'P14866')"
"('Q96EB6', 'Q8WVJ2')"
"('Q9UBB5', 'Q01664')"
"('Q8TBE0', 'Q9GZV8')"
"('Q08211', 'Q9Y2W1')"
"('P06213', 'P04629')"
"('P00519', 'P26992')"
"('Q99956', 'Q15759')"
"('P51532', 'Q03112')"
"('O15498', 'Q9UNK0')"
"('Q9UNN5', 'Q9BZV1')"
"('O43251', 'Q16637')"
"('P15313', 'O15321')"
"('Q14164', 'P22061')"
"('Q32P28', 'Q9Y570')"
"('P49189', 'P52209')"
"('P25440', 'P20674')"
"('P00533', 'O75791')"
"('Q04695', 'Q15834')"
"('Q16576', 'P22392')"
"('Q5VYK3', 'O43396')"
"('Q9UNK0', 'Q13277')"
"('Q9BVX2', 'Q12983')"
"('P62424', 'P11940')"
"('P62277', 'Q9NV31')"
"('Q96GX1', 'Q96S52')"
"('Q8IV63', 'Q96C55')"
"('Q8IWX8', 'O60504')"
"('P61421', 'P13637')"
"('P05198', 'Q6P1J9')"
"('Q9UKM9', 'P60866')"
"('Q96EQ0', 'Q6L8Q7')"
"('Q9NRR5', 'Q9BXJ1')"
"('P60520', 'P61313')"
"('P83731', 'P03372')"
"('Q9BVA1', 'Q9BUU2')"
"('P46092', 'P04899')"
"('O94903', 'P27694')"
"('P04629', 'Q9Y2L9')"
"('Q9C005', 'Q03164')"
"('Q96S94', 'Q8ND76')"
"('Q68D86', 'Q96GM5')"
"('Q9H7T9', 'O14965')"
"('P68036', 'P05412')"
"('O43852', 'Q96HC4')"
"('P11277', 'O75386')"
"('P04637', 'P42226')"
"('O14757', 'Q5T8P6')"
"('Q13247', 'P31943')"
"('Q9BV73', 'P62280')"
"('Q9UN37', 'Q9UK17')"
"('P05412', 'O15160')"
"('O60260', 'P07197')"
"('Q6BDS2', 'P51784')"
"('P12956', 'P13569')"
"('Q96IK5', 'Q9UIV8')"
"('P35414', 'P36897')"
"('P36542', 'P07550')"
"('P36507', 'Q07889')"
"('P51617', 'P11215')"
"('O95365', 'P48436')"
"('P0DPB6', 'Q9Y535')"
"('Q8N6F1', 'P56748')"
"('P27540', 'Q9GZT9')"
"('Q08462', 'O95398')"
"('Q8NH02', 'P38405')"
"('Q504Q3', 'Q02878')"
"('P61006', 'Q8TC07')"
"('P63220', 'P23396')"
"('P14678', 'P08621')"
"('Q13547', 'Q9Y232')"
"('Q6I9Y2', 'Q9UBU9')"
"('P26572', 'O15198')"
"('Q9UHA4', 'Q9UL25')"
"('Q9UNF0', 'Q9HCE1')"
"('P30154', 'P54289')"
"('Q8WWM7', 'Q6IQ23')"
"('Q9Y227', 'P78334')"
"('O43678', 'P49821')"
"('P41091', 'Q14164')"
"('Q96PV4', 'P54727')"
"('P53602', 'Q16719')"
"('Q96FV0', 'Q9UIU6')"
"('P43358', 'Q6DKI1')"
"('Q9NRD1', 'P08581')"
"('Q86VM9', 'Q14980')"
"('Q96PU4', 'Q07820')"
"('P54253', 'P14324')"
"('P23443', 'Q13057')"
"('Q15811', 'P63010')"
"('P56545', 'Q9H8V3')"
"('Q04917', 'Q00536')"
"('P22736', 'P35222')"
"('P49736', 'P12814')"
"('P08473', 'P11586')"
"('Q8WTP8', 'Q96BR9')"
"('P05141', 'Q9BVV7')"
"('P27707', 'Q16854')"
"('P37837', 'Q6P3W7')"
"('O75364', 'P02649')"
"('P22415', 'Q16576')"
"('Q8IVW6', 'P05412')"
"('Q9BRG2', 'P07199')"
"('P04629', 'Q96GD0')"
"('Q9P2Y4', 'Q12873')"
"('P31943', 'Q05519')"
"('O43318', 'P84022')"
"('O75344', 'P22059')"
"('Q13618', 'Q96RT1')"
"('Q9NVS2', 'Q9BYD3')"
"('Q07021', 'Q7Z434')"
"('Q07343', 'P43034')"
"('Q9HD33', 'Q9UHA4')"
"('Q13155', 'Q8TC71')"
"('Q7Z3S9', 'Q9BYQ3')"
"('Q9Y3C7', 'Q9NY59')"
"('Q9Y2Q5', 'Q12906')"
"('P16871', 'Q9UJU6')"
"('P08047', 'P28749')"
"('Q9Y5L4', 'Q9Y530')"
"('Q32P28', 'P49458')"
"('Q8IUE6', 'Q92769')"
"('P49591', 'Q15029')"
"('Q96B23', 'Q8N8Y5')"
"('P61077', 'Q7Z434')"
"('Q9ULJ3', 'P21359')"
"('Q9NPJ6', 'Q13625')"
"('P11441', 'P78395')"
"('O60739', 'Q9Y266')"
"('P00533', 'Q15118')"
"('Q9NR28', 'P63167')"
"('P78362', 'Q9BX26')"
"('P0C0S5', 'O95831')"
"('Q8IVT5', 'Q9UPQ3')"
"('P10644', 'Q16659')"
"('Q86X76', 'Q5JRX3')"
"('Q96EQ0', 'Q6P1K2')"
"('Q15700', 'P62241')"
"('P28070', 'P25788')"
"('P40763', 'Q99459')"
"('Q5UIP0', 'Q15819')"
"('P01116', 'Q9H6U6')"
"('P08151', 'Q8WV41')"
"('P63104', 'Q96F07')"
"('P04629', 'Q00577')"
"('P13647', 'Q14999')"
"('Q14457', 'Q9H1Y0')"
"('P61353', 'P84098')"
"('A7MCY6', 'Q8TDY2')"
"('Q14919', 'Q9UHY8')"
"('P48729', 'O94916')"
"('Q8NGJ4', 'Q9P2W3')"
"('P12830', 'Q5T5P2')"
"('Q12778', 'Q03135')"
"('A8MYU2', 'Q01668')"
"('Q86UP2', 'O43765')"
"('Q9UKY1', 'P36957')"
"('Q96PF1', 'Q6A163')"
"('P47902', 'P49715')"
"('Q8WV92', 'Q63ZY3')"
"('P43353', 'O75147')"
"('P02774', 'Q5UIP0')"
"('Q8IUH5', 'O15130')"
"('Q9GZT3', 'O43390')"
"('Q9UMD9', 'P23229')"
"('O43561', 'Q13239')"
"('Q13618', 'Q99873')"
"('Q3T8J9', 'P62807')"
"('P62258', 'Q14999')"
"('O60763', 'Q00987')"
"('P62140', 'Q9P2I0')"
"('Q9NTJ5', 'O14579')"
"('O00629', 'Q96RE7')"
"('P20809', 'P09619')"
"('P49736', 'O75643')"
"('Q99836', 'Q71U36')"
"('Q8IYU2', 'Q86UR1')"
"('P29401', 'Q05655')"
"('P04908', 'P22626')"
"('Q6HA08', 'Q9H4B7')"
"('Q6P1M3', 'O00429')"
"('Q6ZRS2', 'P0C0S5')"
"('O95166', 'Q14151')"
"('Q9NRR8', 'P37840')"
"('O75396', 'Q92731')"
"('Q8TCN5', 'O94901')"
"('Q96EL1', 'O96013')"
"('Q96GX1', 'P35610')"
"('Q9NXG2', 'O60506')"
"('P53794', 'Q92633')"
"('P19320', 'Q15149')"
"('Q15796', 'Q02078')"
"('Q8IXK2', 'P29016')"
"('P05107', 'P01042')"
"('Q969K7', 'Q13547')"
"('O75694', 'Q92905')"
"('Q8NGE1', 'O60262')"
"('Q92796', 'Q14289')"
"('Q9NZT1', 'Q08828')"
"('Q8NHQ1', 'Q6NYC8')"
"('Q04837', 'Q16659')"
"('O95817', 'O00762')"
"('P31943', 'Q9H0Z9')"
"('P30566', 'P22102')"
"('O43586', 'O00560')"
"('P63220', 'P63167')"
"('Q16690', 'Q15759')"
"('P38936', 'Q9Y6K9')"
"('P05067', 'Q04726')"
"('Q92542', 'Q8IY81')"
"('P35998', 'Q8NI22')"
"('O43186', 'Q02446')"
"('Q9P2H0', 'P0CAP2')"
"('Q99436', 'Q16401')"
"('O60504', 'Q15561')"
"('P10144', 'Q9NY65')"
"('Q8TCC3', 'Q9NYK5')"
"('Q9UNX3', 'Q9BYG3')"
"('O96006', 'Q9NX04')"
"('Q8IYI6', 'Q14142')"
"('P35232', 'O75147')"
"('Q96SU4', 'P04792')"
"('Q96NY9', 'P06748')"
"('P27635', 'Q9BYJ9')"
"('Q9UHL4', 'Q92754')"
"('Q8IW45', 'Q96EQ0')"
"('Q9Y3C8', 'P54105')"
"('Q96CN7', 'Q6UVJ0')"
"('Q8IYX8', 'Q8IYR0')"
"('P26641', 'Q00613')"
"('Q92764', 'Q96BZ8')"
"('O95379', 'Q9NT62')"
"('Q9Y6X9', 'Q96EQ0')"
"('Q9UQL6', 'P23396')"
"('P53350', 'Q92994')"
"('Q01844', 'P25445')"
"('P55072', 'Q9Y6J9')"
"('Q03431', 'Q9NRZ7')"
"('Q96J02', 'P49427')"
"('P26373', 'P62244')"
"('Q53G59', 'Q6UXH8')"
"('Q16670', 'Q8TDR0')"
"('Q13330', 'Q9UPN9')"
"('Q9UJ55', 'Q93009')"
"('Q8TDR0', 'Q99784')"
"('Q7Z5V6', 'P05067')"
"('Q9HB71', 'P13612')"
"('Q9H1K1', 'Q9HD34')"
"('O75369', 'Q6P9B6')"
"('P18146', 'Q96PG8')"
"('Q9NR45', 'Q8NFG4')"
"('A2RU67', 'P80370')"
"('Q14103', 'P07237')"
"('P18146', 'P34810')"
"('Q9H0W5', 'O00567')"
"('Q96G97', 'Q86YD3')"
"('Q969S3', 'Q96D46')"
"('Q9BTV4', 'P62079')"
"('Q96SQ5', 'P60331')"
"('Q96S59', 'Q92905')"
"('Q09028', 'Q5S007')"
"('Q16659', 'P42166')"
"('O14497', 'P04637')"
"('P15941', 'P07948')"
"('O43638', 'Q8WUA4')"
"('Q9HCN8', 'P49736')"
"('Q6PJW8', 'P08034')"
"('Q13838', 'Q9Y5S9')"
"('P49915', 'Q9UGJ0')"
"('P57775', 'P53805')"
"('Q16594', 'Q13595')"
"('Q969H0', 'Q06787')"
"('Q02539', 'Q9UQ80')"
"('O60244', 'P49336')"
"('Q9NPJ4', 'P12956')"
"('Q96P20', 'O15553')"
"('P26038', 'P07237')"
"('Q9H0H5', 'Q15257')"
"('Q6NUQ1', 'Q9NZ43')"
"('P05412', 'P15407')"
"('P21333', 'Q9BZW7')"
"('P42771', 'Q92905')"
"('Q08379', 'O95983')"
"('P27694', 'P05388')"
"('P13284', 'Q7Z309')"
"('P61247', 'P62829')"
"('Q8IY92', 'P02768')"
"('P43657', 'P62879')"
"('P19793', 'P29460')"
"('Q9UQ88', 'Q9Y5B9')"
"('O75367', 'P23527')"
"('P49368', 'O15264')"
"('O14828', 'P35244')"
"('P19838', 'Q13813')"
"('P30154', 'P11802')"
"('Q15262', 'Q9UIW2')"
"('Q9BV73', 'P68104')"
"('Q96P31', 'P43403')"
"('Q9NV31', 'P62875')"
"('P29353', 'Q71U36')"
"('Q6IN84', 'Q8TAA5')"
"('P41182', 'P51532')"
"('Q02543', 'P46777')"
"('Q9H2X3', 'Q9H4B4')"
"('O43482', 'Q7Z6G3')"
"('Q99755', 'Q8N3U4')"
"('Q8N6I1', 'P43366')"
"('P52597', 'Q96RU7')"
"('P14635', 'Q9NX18')"
"('Q15834', 'Q00994')"
"('P07858', 'P46379')"
"('P09001', 'P58012')"
"('O14817', 'Q5TA76')"
"('Q5T3J3', 'O43657')"
"('Q8IVS8', 'P18146')"
"('Q05D60', 'Q86XP1')"
"('Q9ULK4', 'O14974')"
"('Q9UKR5', 'Q16623')"
"('Q9HC36', 'Q53GS9')"
"('Q02413', 'Q15051')"
"('Q96S59', 'Q9NRI5')"
"('Q9BTE6', 'Q9ULT8')"
"('P28838', 'Q9BW61')"
"('Q96EB6', 'Q14526')"
"('Q99684', 'P10242')"
"('P48431', 'Q9NV88')"
"('P63211', 'Q9UGJ0')"
"('Q9NP62', 'O15379')"
"('P04637', 'Q53GS9')"
"('Q13188', 'Q86WH2')"
"('O94875', 'P46940')"
"('Q86UZ6', 'O94973')"
"('Q86U86', 'P01106')"
"('Q09013', 'P54259')"
"('P50748', 'Q8WVE6')"
"('Q96MH2', 'O95995')"
"('P27707', 'Q13185')"
"('P10398', 'O95714')"
"('Q8NGY0', 'O60262')"
"('Q9UPN6', 'Q9UBU9')"
"('Q7Z417', 'P60369')"
"('Q9H2B2', 'Q14596')"
"('Q8TD10', 'Q9UER7')"
"('Q8ND90', 'Q9Y586')"
"('Q68CZ6', 'Q68CZ1')"
"('Q9UQL6', 'P11940')"
"('Q9UBC3', 'Q9UJW3')"
"('Q9C004', 'Q6L8G4')"
"('Q15365', 'P26368')"
"('Q00610', 'Q96EY1')"
"('P10914', 'Q9UGP8')"
"('P49069', 'Q9HBU6')"
"('P15976', 'Q15648')"
"('Q96PD2', 'P00533')"
"('Q92918', 'Q15788')"
"('Q9P2G9', 'Q93009')"
"('P04629', 'P17066')"
"('P51679', 'P17535')"
"('P08238', 'Q8TD86')"
"('O00268', 'P16220')"
"('P02751', 'P63000')"
"('Q0P6H9', 'Q15034')"
"('P68431', 'Q9Y2P8')"
"('Q13467', 'P50148')"
"('O14980', 'Q8TF05')"
"('Q9P0N8', 'P51668')"
"('P15502', 'P10909')"
"('Q6P1J9', 'P11308')"
"('P53671', 'P11802')"
"('P40429', 'Q9H3D4')"
"('Q9HAW8', 'P48594')"
"('Q96A65', 'Q15653')"
"('Q9UJV3', 'Q3B820')"
"('P30519', 'O15031')"
"('Q92731', 'Q96EY7')"
"('P04004', 'P05556')"
"('O43364', 'P25788')"
"('Q96MG2', 'P10301')"
"('P49023', 'P06239')"
"('Q9BZG8', 'Q12800')"
"('Q13137', 'Q9NU19')"
"('Q13416', 'P27695')"
"('P07237', 'P35226')"
"('Q9BVG8', 'O95714')"
"('Q9UGL1', 'O00257')"
"('P43307', 'Q14318')"
"('P0DP23', 'Q13404')"
"('P09497', 'B5ME19')"
"('P61313', 'Q13310')"
"('P05412', 'O75323')"
"('Q7Z5Q5', 'P12004')"
"('Q15654', 'P51617')"
"('P49916', 'P27694')"
"('P19404', 'P03886')"
"('P59991', 'Q96LM6')"
"('Q9H2T7', 'Q9H270')"
"('Q96CT2', 'Q9UKV8')"
"('Q92917', 'P02545')"
"('Q14416', 'P09471')"
"('O95139', 'P21912')"
"('P27815', 'Q09472')"
"('P27348', 'P0DMS8')"
"('O00329', 'O00459')"
"('O00560', 'Q9UPY8')"
"('O00567', 'Q9UNX4')"
"('Q9NP95', 'P22607')"
"('P62993', 'P11021')"
"('P16401', 'P02751')"
"('P33992', 'O75643')"
"('P62877', 'Q9Y4B6')"
"('Q9Y5V3', 'Q86Y56')"
"('Q9UI09', 'Q9P015')"
"('P13645', 'P09651')"
"('Q14416', 'Q9P2W3')"
"('Q9NYK5', 'Q8IXM3')"
"('Q9Y2I1', 'Q8IV20')"
"('P46531', 'Q06587')"
"('P05067', 'Q14254')"
"('Q9BQE4', 'P04114')"
"('Q9H0W5', 'P24539')"
"('Q9BQ89', 'Q9Y2V7')"
"('P16615', 'O00400')"
"('P22090', 'P62273')"
"('Q9BVA1', 'O95834')"
"('P21673', 'Q04724')"
"('Q01167', 'Q9P2P5')"
"('Q9Y6Y0', 'Q92538')"
"('O43542', 'P42695')"
"('Q96RU7', 'Q04206')"
"('P17535', 'P20809')"
"('A0AV96', 'Q8N6W0')"
"('P42765', 'P54819')"
"('P31751', 'O43889')"
"('Q6NVY1', 'Q86TX2')"
"('Q9Y2S7', 'P83111')"
"('P17612', 'P05093')"
"('P06748', 'O95994')"
"('Q15653', 'P38646')"
"('Q15269', 'Q9BPU9')"
"('P03372', 'P61968')"
"('P51808', 'Q9NRJ3')"
"('Q13310', 'O43432')"
"('Q9Y2K7', 'P62807')"
"('Q96S55', 'O75164')"
"('Q8NCA5', 'Q13618')"
"('Q96B23', 'P19784')"
"('Q15051', 'P48539')"
"('O00571', 'Q96PZ0')"
"('Q13315', 'P50542')"
"('Q8IYX8', 'Q9BW62')"
"('P56270', 'O14862')"
"('P00441', 'Q6P3W7')"
"('P06899', 'P05362')"
"('Q9UHD1', 'O00116')"
"('Q14999', 'Q96KR1')"
"('P26639', 'O14965')"
"('Q96HA7', 'P04908')"
"('P00533', 'O60260')"
"('Q9NZC7', 'Q9H910')"
"('P09382', 'P33992')"
"('Q9Y3D5', 'Q8NI37')"
"('Q96MG7', 'Q96MF7')"
"('Q9Y6D9', 'Q96CS2')"
"('O15400', 'O14653')"
"('Q7Z7L1', 'P48431')"
"('Q9BYZ2', 'P62820')"
"('O14975', 'P27797')"
"('P41219', 'P11586')"
"('Q5T200', 'Q9Y4E8')"
"('Q96IV0', 'P78362')"
"('P78504', 'P46531')"
"('Q15046', 'Q00987')"
"('Q15020', 'Q9BV68')"
"('P27361', 'Q16690')"
"('Q99674', 'P18146')"
"('O60814', 'Q96QV6')"
"('Q02543', 'P05412')"
"('Q9NRC8', 'P18124')"
"('P40938', 'Q00839')"
"('P01135', 'Q9H8Y8')"
"('P16220', 'P22301')"
"('P22234', 'Q9UET6')"
"('Q99697', 'Q16543')"
"('Q9C0D4', 'P45973')"
"('Q9NVC6', 'P19387')"
"('P04745', 'Q92667')"
"('Q9P0U4', 'P07900')"
"('Q99683', 'P0DMV8')"
"('Q9UKU7', 'P36873')"
"('Q9GZY4', 'Q6EEV4')"
"('P37231', 'P54646')"
"('P08572', 'O00339')"
"('A1L4H1', 'Q15560')"
"('P62877', 'P16104')"
"('Q9P0N5', 'Q9UNK0')"
"('Q13485', 'Q9UI36')"
"('Q58FF7', 'Q96Q40')"
"('Q9Y572', 'Q9P0K7')"
"('Q5T7P2', 'Q07627')"
"('Q15256', 'O15264')"
"('Q8NHQ1', 'Q99848')"
"('P15336', 'Q9Y230')"
"('Q9UNE7', 'O96008')"
"('P04899', 'Q15691')"
"('Q16854', 'O00499')"
"('Q9UBU9', 'O75367')"
"('P78316', 'Q96EB6')"
"('P33992', 'P34931')"
"('Q9NSI2', 'Q6AZY7')"
"('Q9H6T3', 'P60891')"
"('P28340', 'Q96S55')"
"('Q96H20', 'Q96NA2')"
"('O43818', 'Q12788')"
"('Q9H3F6', 'Q15843')"
"('Q9P289', 'P62258')"
"('P68366', 'Q9Y6G9')"
"('Q05397', 'O14745')"
"('O60493', 'P22392')"
"('P09496', 'Q13618')"
"('P13667', 'Q15717')"
"('P30533', 'Q6IQ23')"
"('Q9NQX5', 'Q15036')"
"('P22681', 'Q12913')"
"('P05067', 'P43403')"
"('Q9H204', 'O15514')"
"('Q6L8G8', 'Q9UGL9')"
"('Q00839', 'Q9H4L7')"
"('Q86VP6', 'Q99700')"
"('Q14999', 'O94906')"
"('Q9BXY8', 'O75031')"
"('Q14241', 'Q13136')"
"('P07437', 'P00533')"
"('Q96GD4', 'Q9H788')"
"('Q8TCY9', 'O43314')"
"('P57678', 'Q9NY27')"
"('Q9NY30', 'Q96DU9')"
"('P62829', 'P35268')"
"('Q9NPJ6', 'Q14994')"
"('Q8N3L3', 'Q9Y250')"
"('Q71UM5', 'P15880')"
"('P61619', 'P30450')"
"('Q8N2W9', 'Q12888')"
"('Q93009', 'P60896')"
"('Q9BUN8', 'O75915')"
"('Q07020', 'P62987')"
"('Q8IV20', 'Q6MZM0')"
"('Q8IVT5', 'Q13895')"
"('P05067', 'P07355')"
"('O14964', 'Q12765')"
"('P55084', 'Q92541')"
"('Q8NEX9', 'Q7L190')"
"('Q01130', 'O75689')"
"('Q71UI9', 'Q93079')"
"('P27348', 'Q9NRI5')"
"('Q13347', 'Q99613')"
"('P01008', 'Q9BXT5')"
"('P07437', 'Q02363')"
"('O43143', 'P52756')"
"('P42166', 'P49023')"
"('Q9ULC4', 'Q9NWX5')"
"('Q9HCD5', 'O14862')"
"('P46782', 'P11441')"
"('Q9BQE3', 'Q14004')"
"('P46531', 'Q13422')"
"('P27361', 'P49366')"
"('P55072', 'P42224')"
"('O60271', 'Q14240')"
"('Q7Z3Y8', 'P05787')"
"('P49662', 'Q9Y4K3')"
"('P08648', 'O14908')"
"('P60709', 'P11142')"
"('Q9Y5J6', 'Q9Y584')"
"('P18206', 'Q04917')"
"('P18074', 'P51948')"
"('P09874', 'Q14469')"
"('Q13823', 'P29372')"
"('O14980', 'P62487')"
"('Q86WJ1', 'Q5FBB7')"
"('Q99571', 'P56705')"
"('Q7Z401', 'P61981')"
"('Q9Y6W6', 'Q14192')"
"('P60709', 'Q8TAQ2')"
"('Q96RR4', 'Q16539')"
"('Q15393', 'Q9UQ35')"
"('O14862', 'P78347')"
"('O76094', 'Q9BYG3')"
"('P52789', 'O75208')"
"('O14949', 'O00217')"
"('P08631', 'Q6S5L8')"
"('P22061', 'Q96QF0')"
"('P25116', 'P62879')"
"('Q9HC78', 'P07900')"
"('Q9Y6D5', 'P52948')"
"('Q15788', 'P08235')"
"('Q9UL17', 'Q99684')"
"('Q9BV73', 'P11142')"
"('Q7Z3Z2', 'P50851')"
"('O00560', 'Q8IYA8')"
"('P02647', 'Q9C093')"
"('Q6SJ93', 'Q9UBU9')"
"('A1L188', 'P56381')"
"('P54709', 'Q13683')"
"('Q9BZ29', 'Q9H1E3')"
"('Q15910', 'P28072')"
"('Q9P2P5', 'Q9H1A4')"
"('P60568', 'P42702')"
"('Q9BW92', 'P05412')"
"('P32121', 'P52429')"
"('Q9HCK5', 'Q9HCJ0')"
"('Q9UM47', 'P49711')"
"('O43464', 'Q93009')"
"('P22626', 'Q969P0')"
"('Q14161', 'O94989')"
"('Q9H3D4', 'P68104')"
"('Q14134', 'Q13637')"
"('Q5T7N2', 'Q9H9Z2')"
"('Q13617', 'P98179')"
"('P52565', 'P04792')"
"('O14818', 'Q92530')"
"('P60328', 'Q9BYR6')"
"('O00469', 'P55317')"
"('P09651', 'Q12905')"
"('P60371', 'Q9HAQ2')"
"('Q14209', 'Q99741')"
"('B9A064', 'Q9UMR2')"
"('P10275', 'P18146')"
"('P23246', 'P62136')"
"('O14818', 'P63098')"
"('Q9NS56', 'Q01826')"
"('Q9HA65', 'P22087')"
"('P13725', 'P40238')"
"('Q5UCC4', 'Q9NPA0')"
"('Q16526', 'Q9UQB8')"
"('Q5VTR2', 'Q9UHA7')"
"('Q86WT6', 'Q15637')"
"('Q5TA82', 'Q5TA81')"
"('P57730', 'Q9Y2G2')"
"('Q9NPJ1', 'Q9BUN5')"
"('O43164', 'Q96B02')"
"('P50336', 'O95299')"
"('P11142', 'O43896')"
"('P04629', 'Q08426')"
"('Q15836', 'O95721')"
"('Q7L190', 'P52732')"
"('P08473', 'Q6P587')"
"('Q15796', 'Q03135')"
"('Q06124', 'P58546')"
"('P26368', 'Q13200')"
"('P52952', 'O00358')"
"('Q03169', 'Q99459')"
"('Q5TCQ9', 'Q9Y4G8')"
"('Q14999', 'Q14344')"
"('Q9NQB0', 'Q15038')"
"('O95714', 'Q7KZI7')"
"('Q5S007', 'P27348')"
"('P19784', 'Q00613')"
"('P32121', 'Q15233')"
"('O95793', 'Q96F07')"
"('O75083', 'Q8N3V7')"
"('Q13618', 'Q9NVX7')"
"('P84103', 'Q53S58')"
"('O14818', 'Q19T08')"
"('Q96IQ7', 'Q9Y5L0')"
"('Q9Y5X3', 'O43504')"
"('P30050', 'Q13618')"
"('P63279', 'Q9ULR0')"
"('Q96P11', 'Q13188')"
"('P21359', 'Q02556')"
"('P30480', 'Q16740')"
"('Q9UM54', 'Q13177')"
"('O95684', 'Q9NSK0')"
"('Q9NRM7', 'Q9Y3A3')"
"('P49902', 'O00560')"
"('P34932', 'P17643')"
"('Q9BUL8', 'Q8NEY4')"
"('O60271', 'Q9Y6Y0')"
"('O14617', 'Q9H9G7')"
"('Q13895', 'Q9Y4C8')"
"('P50222', 'Q96BH1')"
"('Q9H223', 'P63173')"
"('Q86UU5', 'O43639')"
"('O75676', 'Q02930')"
"('Q9H492', 'Q8TCD1')"
"('P61313', 'Q71UM5')"
