negatives
"('P48039', 'P14209')"
"('Q8NGD1', 'O60262')"
"('Q7Z5Y6', 'Q13873')"
"('Q4VNC1', 'Q9HCC6')"
"('P15311', 'P37802')"
"('P16220', 'P15172')"
"('Q9H0W5', 'P39019')"
"('O00461', 'Q96JG6')"
"('O95967', 'Q9H5H4')"
"('P01375', 'Q9Y297')"
"('Q00613', 'P49458')"
"('P02786', 'P04629')"
"('P68400', 'Q06787')"
"('P14316', 'P61769')"
"('O75159', 'P24394')"
"('Q96NL6', 'O95487')"
"('P22681', 'Q15303')"
"('O60763', 'P18206')"
"('Q13617', 'P46776')"
"('P61758', 'Q14166')"
"('Q8IUR7', 'Q9NYK5')"
"('Q96LA8', 'Q9Y575')"
"('Q6ZW49', 'Q13362')"
"('Q27J81', 'P61160')"
"('Q96KV7', 'Q49A88')"
"('P04629', 'Q01518')"
"('Q9UPV0', 'Q53F19')"
"('Q9Y4K0', 'Q13112')"
"('Q8IU85', 'P12830')"
"('Q9Y2G2', 'Q8TEP8')"
"('Q02930', 'Q9UHV8')"
"('Q9UHK0', 'O14531')"
"('Q12906', 'O75533')"
"('P04150', 'P14316')"
"('P11142', 'Q9UKS6')"
"('Q9BPU9', 'Q96RG2')"
"('Q04206', 'Q12983')"
"('Q9BQG0', 'Q07020')"
"('Q9NUQ3', 'Q9UBU9')"
"('P27348', 'P22681')"
"('Q9Y2D8', 'P53350')"
"('Q9BQA1', 'P62993')"
"('P07948', 'O00329')"
"('Q00839', 'P52435')"
"('P06744', 'P36871')"
"('P08238', 'Q9HCK5')"
"('Q15717', 'Q6ZMM2')"
"('Q99729', 'P11441')"
"('Q8IYF3', 'P45984')"
"('P04626', 'Q92729')"
"('Q01813', 'Q15365')"
"('Q15717', 'P35227')"
"('P20333', 'Q7Z3U7')"
"('P50402', 'Q9NVI1')"
"('O60739', 'Q9UHV9')"
"('P25705', 'O75439')"
"('P15941', 'P03372')"
"('O00483', 'P03886')"
"('Q8WUA4', 'Q9C009')"
"('P52888', 'P0DP25')"
"('P11142', 'Q9Y512')"
"('Q9ULM0', 'Q7Z5R6')"
"('P61221', 'Q15691')"
"('Q16629', 'Q07021')"
"('O60307', 'Q08AD1')"
"('O14610', 'P78362')"
"('P0CV98', 'O00311')"
"('Q06330', 'P20023')"
"('Q6ZU80', 'P13010')"
"('P63151', 'O00308')"
"('Q86Y26', 'P25800')"
"('Q9BR77', 'P63167')"
"('Q6NUM6', 'P59542')"
"('Q96EB6', 'Q2YD98')"
"('O75385', 'Q2TAZ0')"
"('P53007', 'Q96FW1')"
"('P23396', 'Q99598')"
"('P11137', 'P78406')"
"('Q9Y5J5', 'P62306')"
"('P12955', 'P10619')"
"('Q13021', 'O60238')"
"('Q9Y2X3', 'P41218')"
"('O14633', 'P60328')"
"('Q93008', 'P12830')"
"('P11712', 'O95716')"
"('P15927', 'Q9BRK5')"
"('Q92888', 'P40123')"
"('Q96B36', 'P23443')"
"('O95817', 'Q9Y3B2')"
"('P17861', 'Q99941')"
"('Q66GS9', 'O60812')"
"('Q06190', 'Q00537')"
"('O00233', 'O60341')"
"('P22061', 'Q9Y2M5')"
"('Q9BYC2', 'Q9NTX5')"
"('Q9Y3D6', 'O96011')"
"('Q9NRD1', 'P51688')"
"('P22612', 'Q8NHC8')"
"('O00425', 'Q9H0R8')"
"('Q8NFW8', 'Q9NQ29')"
"('P42858', 'Q6PKC3')"
"('Q5VVJ2', 'P31943')"
"('Q9NQX3', 'P07737')"
"('P31946', 'P48730')"
"('P61026', 'P02775')"
"('P46781', 'O14980')"
"('Q8NE01', 'P38159')"
"('Q9NR31', 'Q9UBU9')"
"('Q01082', 'P40763')"
"('Q9P0K7', 'Q9H2D6')"
"('P20963', 'P41240')"
"('P15927', 'Q15554')"
"('P58181', 'Q9P2W3')"
"('P52732', 'O60244')"
"('P22314', 'P58546')"
"('O60447', 'Q3B820')"
"('Q92905', 'P35222')"
"('Q12830', 'Q16576')"
"('P48047', 'O95793')"
"('O15530', 'Q13418')"
"('Q9UPN9', 'Q9Y265')"
"('Q7L2J0', 'Q07812')"
"('P42684', 'O94875')"
"('P06748', 'Q8N4Q1')"
"('Q9P0U4', 'P62136')"
"('Q6NUS6', 'P13674')"
"('Q63HR2', 'Q8IYA8')"
"('Q9UBY8', 'Q96AP4')"
"('Q15672', 'Q8WVJ9')"
"('P36507', 'Q969H4')"
"('P23528', 'Q9NQC3')"
"('Q9UKS6', 'Q9NQW6')"
"('P04004', 'P14210')"
"('Q92831', 'Q9Y4A5')"
"('P14866', 'P68431')"
"('P23246', 'Q6RFH8')"
"('O95630', 'O00443')"
"('P11387', 'Q96P20')"
"('Q92945', 'O95147')"
"('Q99572', 'O14936')"
"('P11055', 'Q13616')"
"('P13196', 'Q96CN5')"
"('O14980', 'Q5T5U3')"
"('Q969S9', 'P18621')"
"('Q07157', 'P04350')"
"('Q8TAU3', 'Q59EK9')"
"('Q6ZW61', 'Q9NPJ1')"
"('Q93009', 'Q9Y6K9')"
"('P19784', 'Q99575')"
"('Q06455', 'Q8IWZ5')"
"('P26715', 'O75508')"
"('Q8TD19', 'Q9GZQ8')"
"('Q9H0F7', 'Q92766')"
"('Q15819', 'Q5TC82')"
"('P05387', 'P62857')"
