negatives
"('Q04771', 'Q02790')"
"('P40337', 'Q9Y266')"
"('Q9UBU3', 'P28566')"
"('P16104', 'P06733')"
"('P59542', 'A8MTJ3')"
"('Q13309', 'P31946')"
"('P53779', 'P04637')"
"('O14641', 'P05771')"
"('Q13813', 'Q13573')"
"('Q12923', 'P25445')"
"('P07910', 'Q9NR30')"
"('P84022', 'P15692')"
"('Q8N488', 'Q14209')"
"('P30466', 'Q8N109')"
"('Q9H9E3', 'Q14746')"
"('P01106', 'P41252')"
"('P25054', 'P20073')"
"('P53674', 'P53672')"
"('P01106', 'P35626')"
"('Q96L73', 'P10276')"
"('O95178', 'Q9NX14')"
"('P51149', 'P61421')"
"('P12931', 'P14136')"
"('Q96BA8', 'Q92793')"
"('Q8IVT5', 'P27361')"
"('Q9NP92', 'P18146')"
"('P51531', 'O94805')"
"('P52952', 'Q99593')"
"('P42338', 'P42681')"
"('Q15038', 'P54253')"
"('Q9BUJ2', 'Q9Y478')"
"('Q9UQ80', 'P06400')"
"('Q16637', 'Q16891')"
"('P62979', 'Q9BXL7')"
"('Q07020', 'P49207')"
"('Q9UHX1', 'P10155')"
"('Q5T124', 'Q8IYR0')"
"('O14641', 'P49841')"
"('51639', 'O00442')"
"('Q13362', 'Q9Y243')"
"('P49407', 'Q15835')"
"('Q9UJX4', 'Q9HCE7')"
"('Q9BZL4', 'Q02045')"
"('P25815', 'P35579')"
"('P60709', 'P05388')"
"('P41235', 'P84022')"
"('P51684', 'P49407')"
"('O14497', 'P01106')"
"('Q15628', 'Q07890')"
"('Q08379', 'Q7Z3C6')"
"('Q96RN5', 'Q13643')"
"('O15131', 'Q53H96')"
"('Q92956', 'O60762')"
"('P55854', 'O14715')"
"('Q09161', 'O14980')"
"('Q9UHF1', 'Q5VTD9')"
"('P19838', 'P40763')"
"('P22681', 'P15498')"
"('O94855', 'O94979')"
"('P18146', 'P15260')"
"('P49674', 'P56645')"
"('Q13422', 'Q99708')"
"('Q9UKE5', 'P00505')"
"('Q86XK2', 'P61604')"
"('Q99816', 'Q8IXH7')"
"('O94817', 'P20700')"
"('O00238', 'O15198')"
"('P16885', 'P15498')"
"('P62841', 'P62854')"
"('Q8N2Y8', 'P36957')"
"('O15116', 'Q9H270')"
"('O75083', 'Q15477')"
"('Q29983', 'O43908')"
"('P08709', 'P13726')"
"('Q12857', 'P20226')"
"('P51659', 'P09917')"
"('Q12933', 'P27695')"
"('P18031', 'P62993')"
"('P52435', 'Q9GZS3')"
"('Q13547', 'P51532')"
"('O14964', 'Q15796')"
"('Q13554', 'Q08499')"
"('P63000', 'Q9Y6W5')"
"('P55199', 'Q8IXJ6')"
"('Q15746', 'P24844')"
"('P01889', 'O15533')"
"('407027', 'O15226')"
"('P18848', 'P49715')"
"('P19793', 'Q15796')"
"('P31946', 'Q13627')"
"('P62269', 'P46781')"
"('P19022', '374462')"
"('Q9NWB7', 'Q14790')"
"('Q2TAY7', 'Q13123')"
"('P08908', 'P08754')"
"('Q96AE4', 'Q04724')"
"('P16220', 'Q969V6')"
"('P46782', 'P62241')"
"('Q86WB0', 'Q13616')"
"('P14866', 'Q01081')"
"('P61313', 'P62945')"
"('O60238', 'Q92934')"
"('P01375', 'P14921')"
"('Q5T6F0', 'O00238')"
"('O75791', 'Q92918')"
"('P05186', 'Q99558')"
