#tail	head	num_paths
P25942	Q14686	1
Q14686	P15336	1
P25942	P13010	3
P13010	P49715	1
P25942	Q16548	1
Q16548	P17676	1
P25942	O15111	2
O15111	Q92793	1
P25942	Q13114	1
Q13114	Q01844	1
Q01844	P19419	1
O15111	Q09472	1
P13010	P14921	1
P13010	Q9Y6Q9	1
P25942	P10599	1
P10599	P19838	1
P25942	P42224	2
P42224	Q04206	1
P25942	O00571	1
O00571	Q7KZF4	1
P42224	P42226	1
P61073	Q99623	1
Q99623	P15336	1
P61073	P01106	1
P01106	P49715	1
P61073	Q02447	3
Q02447	P17676	1
Q02447	Q92793	1
P61073	O43474	1
O43474	P19419	1
Q02447	Q09472	1
P61073	P08047	2
P08047	P14921	1
P08047	Q9Y6Q9	1
P61073	P0DMV9	1
P0DMV9	P19838	1
P61073	Q04206	1
P61073	P01889	1
P01889	Q7KZF4	1
P61073	P52333	1
P52333	P42226	1
P78552	Q15717	11
Q15717	Q13838	1
Q13838	P15336	1
Q15717	P49715	1
Q15717	P17676	1
Q15717	Q92793	1
Q15717	P19419	1
Q15717	Q8N9N2	1
Q8N9N2	Q09472	1
Q15717	P14921	1
Q15717	Q9Y6Q9	1
Q15717	P19838	1
Q15717	Q9H3M7	1
Q9H3M7	Q04206	1
Q15717	P29083	1
P29083	Q7KZF4	1
P78552	P23458	1
P23458	P42226	1
P31785	P42229	5
P42229	P18031	1
P18031	P15336	1
P31785	P42226	6
P42226	P49715	2
P42226	P17676	2
P42229	Q9UL17	1
Q9UL17	Q92793	2
P42229	Q99814	2
Q99814	P19419	2
P31785	P27986	1
P27986	Q09472	1
P42226	P14921	2
P42226	Q9Y6Q9	2
P42229	P19838	2
P42229	Q04206	2
P42226	Q7KZF4	2
P24394	Q92993	1
Q92993	P15336	1
P24394	P42226	6
P24394	Q9UL17	2
P24394	P42229	3
Q9UL17	Q09472	1
