negatives
"('P10909', 'P17028')"
"('Q9Y2C2', 'Q15717')"
"('Q6DD88', 'P38117')"
"('P27695', 'P14866')"
"('O95817', 'P27816')"
"('P07288', 'Q09472')"
"('P54259', 'Q96QZ7')"
"('P13645', 'Q00005')"
"('Q9BYR5', 'O76081')"
"('Q9NX65', 'Q9UNY5')"
"('Q96CV9', 'P61106')"
"('Q96C28', 'Q07021')"
"('P61956', 'Q9NX18')"
"('O95757', 'P54920')"
"('P49407', 'Q8NH59')"
"('Q9NQ55', 'Q86VP6')"
"('Q86TG1', 'Q9NRZ9')"
"('P24666', 'Q9UHJ3')"
"('Q9H993', 'Q08209')"
"('P61088', 'P07864')"
"('O14776', 'O43809')"
"('P22694', 'Q8NH87')"
"('Q10567', 'Q9BYX2')"
"('P19878', 'Q02556')"
"('Q14152', 'P05386')"
"('Q92905', 'Q16629')"
"('Q3B820', 'Q9BZW7')"
"('P80723', 'P54725')"
"('Q92993', 'Q9H6W3')"
"('Q13547', 'O75446')"
"('Q9Y337', 'P56282')"
"('Q8N163', 'P46776')"
"('P10809', 'O00206')"
"('P14784', 'P61586')"
"('Q92922', 'Q14676')"
"('P22694', 'Q15648')"
"('P55039', 'O14980')"
"('Q8IZI9', 'Q14626')"
"('Q86X19', 'Q96Q45')"
"('O15031', 'Q04912')"
"('Q9UPY3', 'Q13618')"
"('Q04323', 'Q9HCM9')"
"('Q13641', 'Q92542')"
"('P00533', 'Q96G23')"
"('Q8NFH5', 'Q5SRE5')"
"('Q9P0S3', 'Q6ZRV2')"
"('O14933', 'Q9Y675')"
"('P12532', 'Q8IWL3')"
"('P32121', 'P30414')"
"('P17302', 'P41240')"
"('Q99558', 'P62424')"
"('P53350', 'P35568')"
"('P24941', 'P24864')"
"('Q8NCP5', 'P60900')"
"('Q14160', 'Q71U36')"
"('O75940', 'Q13618')"
"('P09651', 'Q9NX20')"
"('Q15596', 'Q07869')"
"('P63151', 'P54577')"
"('Q16236', 'Q6TCH7')"
"('P63092', 'O96017')"
"('P55210', 'P15586')"
"('P57078', 'P0DP25')"
"('Q15276', 'Q9NNX1')"
