negatives
"('P62269', 'P61313')"
"('P58340', 'P49716')"
"('Q13398', 'O75190')"
"('Q9UBU9', 'Q9H9Y4')"
"('Q9H7B2', 'O94986')"
"('P35998', 'P51148')"
"('Q13620', 'P09234')"
"('Q9UNE7', 'O75426')"
"('O95352', 'P34897')"
"('Q96K58', 'P62917')"
"('Q14676', 'Q7L190')"
"('O60296', 'Q86SX3')"
"('Q13619', 'Q9UJX4')"
"('Q9NX18', 'O75368')"
"('Q13554', 'Q7Z3S7')"
"('Q13503', 'P24863')"
"('Q14197', 'Q96E29')"
"('P12004', 'Q9BWF2')"
"('Q9H869', 'O43741')"
"('O43805', 'P12429')"
"('P62081', 'P54274')"
"('Q00839', 'Q96BN2')"
"('Q6VMQ6', 'P16066')"
"('O43791', 'P78356')"
"('P35244', 'P20042')"
"('Q9NX40', 'P09669')"
"('Q9UDY6', 'Q13613')"
"('Q9Y3M2', 'Q9ULR3')"
"('Q9H3P2', 'P19387')"
"('Q92598', 'Q9H6Z4')"
"('P14625', 'O43542')"
"('Q5S007', 'Q14974')"
"('Q13315', 'Q9H1E3')"
"('Q12988', 'Q5RL73')"
"('O95156', 'Q15545')"
"('O94762', 'Q86XP3')"
"('P58546', 'Q8N1F7')"
"('Q8N6T7', 'Q9UQE7')"
"('Q9UBZ4', 'Q13404')"
"('P19438', 'O00459')"
"('Q9BYD1', 'P09001')"
"('A6NK89', 'P07339')"
"('Q08170', 'Q13616')"
"('Q9H2P0', 'Q9C009')"
"('Q9Y3D5', 'P34897')"
"('P51114', 'Q9NYF8')"
"('Q9P2W3', 'P35414')"
"('O60231', 'A9UHW6')"
"('Q7L2E3', 'Q13616')"
"('P37058', 'P11216')"
"('Q96KS0', 'Q96IF1')"
"('Q86WJ1', 'Q7L7L0')"
"('P63165', 'P25445')"
"('P43307', 'P04626')"
"('P0DPB3', 'O43823')"
"('Q8WWM7', 'P84022')"
"('P16333', 'Q06787')"
"('P09917', 'Q8IYX8')"
"('P11226', 'Q07954')"
"('P25490', 'O96019')"
"('Q9Y2Z0', 'Q16659')"
"('Q68DV7', 'P23246')"
"('Q9NZM5', 'P56537')"
"('Q9Y4W6', 'P04629')"
"('P80188', 'Q99816')"
"('P22087', 'O75531')"
"('O14965', 'Q53EZ4')"
"('Q9Y6M9', 'P39210')"
"('Q9UK80', 'Q13546')"
"('Q8TAQ2', 'Q9NS56')"
"('Q9H1A4', 'Q9Y468')"
"('Q9BX10', 'Q9UBU9')"
"('P35680', 'Q4U2R8')"
"('Q96AE4', 'P51531')"
"('Q9NRD1', 'P10253')"
"('Q9Y619', 'Q9UBD5')"
"('Q9Y210', 'Q14643')"
"('Q8IY92', 'O00148')"
"('Q07157', 'O75312')"
"('Q9Y2A7', 'Q86X19')"
"('Q13489', 'Q8WVN8')"
"('P62987', 'Q9NYJ8')"
"('Q5T5U3', 'Q7Z7A1')"
"('Q8TEW0', 'Q00722')"
"('Q9HCE1', 'Q13627')"
"('Q99523', 'Q8N8A6')"
"('Q96FW1', 'Q15185')"
"('P60709', 'P68104')"
"('Q13618', 'Q9UPN9')"
"('P05412', 'O95782')"
"('Q7Z6M4', 'Q6ZPD8')"
"('Q15746', 'Q15049')"
"('P60411', 'Q9NUL5')"
"('Q9H2K2', 'Q9UIQ6')"
"('P68371', 'O14829')"
"('P54274', 'P80297')"
"('P35968', 'P12931')"
"('P49675', 'Q8TD31')"
"('P49790', 'P14314')"
"('P35251', 'P43246')"
"('P50570', 'Q9UBV8')"
"('Q9UIF3', 'P19174')"
"('P27348', 'Q9Y6Q9')"
"('O14980', 'Q969R5')"
"('P06753', 'P13805')"
"('Q15796', 'P05023')"
"('P08238', 'Q9GZT9')"
"('P55060', 'Q9Y6K9')"
"('O95433', 'Q9UK85')"
"('Q96QB1', 'Q14032')"
"('P22460', 'O14576')"
"('O14964', 'Q16609')"
"('P38159', 'P07910')"
"('P05771', 'Q16236')"
"('Q9BQ13', 'Q4G176')"
"('Q9NWY4', 'Q9Y5P6')"
"('P12830', 'P30260')"
"('O15119', 'P29590')"
"('Q9UQK1', 'Q16821')"
"('Q86VZ1', 'Q6PJG6')"
"('Q9Y2D5', 'Q9NXR7')"
"('Q9Y4K3', 'Q9NRX1')"
"('Q9H0R3', 'O95872')"
"('O76021', 'Q5JTH9')"
"('Q6ZMU5', 'Q05397')"
"('P59991', 'Q13643')"
"('Q5VW36', 'Q9P270')"
"('Q9UBN7', 'P51965')"
"('Q15834', 'Q9BXY8')"
"('Q92804', 'P27694')"
"('Q9NWQ8', 'Q96CV9')"
"('Q86SE8', 'Q9H8W4')"
"('P28715', 'P42704')"
"('P41252', 'Q49AN0')"
"('P22061', 'Q6P597')"
"('Q9UHG0', 'Q9NWS6')"
"('Q7Z2W4', 'Q92731')"
"('P52306', 'Q92737')"
"('Q9Y5B9', 'P84243')"
"('Q9H257', 'Q9UII6')"
"('Q13469', 'P61962')"
"('P52735', 'P04629')"
"('Q15014', 'P52272')"
"('Q68CZ1', 'P34897')"
"('P49790', 'P51784')"
"('Q16594', 'O43504')"
"('P53004', 'Q9UMR3')"
"('Q6PD62', 'P08651')"
"('O14641', 'Q8NEV1')"
"('P20671', 'O95831')"
"('P21580', 'Q92985')"
"('P62873', 'Q08828')"
"('P35610', 'P54274')"
"('Q16619', 'P42702')"
"('O43237', 'P51149')"
"('Q8N5A5', 'Q8TD10')"
"('Q92630', 'Q96C00')"
"('P06748', 'P55209')"
"('P07476', 'Q8IV20')"
"('O15392', 'Q71DI3')"
"('Q6VN20', 'P62826')"
"('P11940', 'Q9H7E2')"
"('Q0D2I5', 'A0JNW5')"
"('P56703', 'O00144')"
"('P04629', 'Q13243')"
"('P07384', 'P38606')"
"('Q2KHM9', 'P51687')"
"('Q86X29', 'P78334')"
"('P62079', 'Q9BTV4')"
"('Q8WUH2', 'Q9H269')"
"('Q13418', 'Q92621')"
"('O43524', 'Q9H211')"
"('Q08379', 'P13682')"
"('Q8WWQ0', 'Q8N0Z3')"
"('Q92841', 'P62993')"
"('Q9BXL8', 'Q15717')"
"('Q92731', 'P11142')"
"('Q8TAD2', 'P26951')"
"('O75360', 'Q6IPU0')"
"('Q04323', 'O75312')"
"('P50238', 'Q92905')"
"('Q5VTE6', 'Q9BQ04')"
"('Q9NR31', 'Q9UBU9')"
"('P04141', 'Q8IU57')"
"('Q9UKM9', 'Q12952')"
"('P03372', 'Q05513')"
"('P42357', 'Q9UMR2')"
"('Q92993', 'O60684')"
"('Q05193', 'Q8WXK3')"
"('Q9BV73', 'P54725')"
"('Q13045', 'Q13243')"
"('Q6P996', 'Q9UI12')"
"('P61006', 'O95182')"
"('Q04656', 'P25686')"
"('O95819', 'Q13033')"
"('P01106', 'Q92947')"
"('P07332', 'P11274')"
"('Q15700', 'P24390')"
"('O75487', 'Q8IVT5')"
"('Q9NZV5', 'P62993')"
"('Q6QNY1', 'P05067')"
"('Q6L8G9', 'Q5T7P2')"
"('P13667', 'Q9UMX5')"
"('P55036', 'P05412')"
"('Q92783', 'Q8TES7')"
"('P06239', 'P23470')"
"('O14980', 'Q99550')"
"('Q8N3L3', 'Q9Y3C0')"
"('P52272', 'Q92844')"
"('Q9HC21', 'Q9H840')"
"('P13861', 'P51787')"
"('P12956', 'O43776')"
"('O96004', 'Q02078')"
"('Q9NXR7', 'Q93009')"
"('Q9H2G2', 'Q9BXM0')"
"('P07900', 'Q9UL19')"
"('Q15349', 'O95685')"
"('Q09472', 'P13639')"
"('P25800', 'Q8IYX7')"
"('Q15796', 'Q06413')"
"('Q16539', 'Q9Y4B6')"
"('P10619', 'Q9Y6E2')"
"('Q96KS0', 'P24928')"
"('P17844', 'Q92841')"
"('O43914', 'P43405')"
"('P00441', 'Q93008')"
"('O75044', 'P21359')"
"('O60739', 'O75347')"
"('Q14197', 'Q8WVM0')"
"('Q13177', 'Q9H0C8')"
"('Q92844', 'O96018')"
"('Q6VY07', 'Q9Y2I8')"
"('Q7Z2W4', 'Q9NQT4')"
"('P54577', 'Q14204')"
"('Q9UHY7', 'Q96PZ0')"
"('P14868', 'Q9UBN6')"
"('P98164', 'P10909')"
"('Q4VCS5', 'Q13136')"
"('Q9NWT6', 'Q96AX9')"
