negatives
"('Q9Y484', 'P62745')"
"('P33778', 'Q9UBN7')"
"('Q9UNN5', 'Q13158')"
"('P45983', 'Q04917')"
"('Q16537', 'Q02641')"
"('O75815', 'O15067')"
"('Q14289', 'P56945')"
"('P55055', 'O94875')"
"('Q14451', 'Q9UMN6')"
"('P17612', 'P18847')"
"('O75528', 'P38398')"
"('P15882', 'Q8IXI1')"
"('Q9H0J4', 'P52948')"
"('O15145', 'P12830')"
"('P18848', 'Q6UUV7')"
"('P49137', 'P04792')"
"('O76100', 'P38405')"
"('P51149', 'Q9Y4K3')"
"('O43353', 'Q9Y6K9')"
"('Q5T5Y3', 'P12757')"
"('P12980', 'O43766')"
"('P55196', 'P57087')"
"('Q13526', 'Q9Y600')"
"('Q9Y4E8', 'Q7L5N1')"
"('O95347', 'Q9NRI5')"
"('P27635', 'P62913')"
"('P02768', 'Q9UBP0')"
"('P63010', 'P40692')"
"('P46459', 'Q9BWH2')"
"('Q96S59', 'P31151')"
"('Q6ZMI0', 'Q99962')"
"('P35626', 'Q8NGQ4')"
"('Q16576', 'P22392')"
"('P00751', 'P27918')"
"('Q12802', 'P17252')"
"('Q8WVX9', 'Q9BUV8')"
"('Q15836', 'Q16623')"
"('P01106', 'Q13239')"
"('O43683', 'O43264')"
"('P01871', 'Q9Y6K9')"
"('Q8TDI0', 'P63167')"
"('Q9UHX1', 'Q12873')"
"('Q9NP98', 'Q969Q1')"
"('Q96EZ8', 'P62312')"
"('P62750', 'P46778')"
"('P62993', 'P68431')"
"('P12111', 'P08648')"
"('Q9ULV1', 'O14745')"
"('Q08945', 'P62826')"
"('Q9NZJ5', 'Q15653')"
"('P54274', 'Q9UKY1')"
"('Q8WYR1', 'Q13094')"
"('P33993', 'Q8WYB5')"
"('O75626', 'P33076')"
"('P12956', 'P45983')"
"('Q99075', 'P00533')"
"('Q14164', 'O60477')"
"('P61247', 'P62857')"
"('Q8NGK4', 'P38405')"
"('P40337', 'Q9Y3A3')"
"('P17947', 'Q02556')"
"('Q12933', 'Q16512')"
"('P55075', 'P00533')"
"('P18146', 'P35713')"
"('P50616', 'Q4VXU2')"
"('Q9NPF7', 'P08887')"
"('P17480', 'Q9BXL5')"
"('Q7Z3J3', 'P46060')"
"('Q13547', 'Q5VTD9')"
"('P62891', 'P62424')"
"('Q9C0K7', 'O43741')"
"('Q13315', 'O43313')"
"('Q13137', 'P56279')"
"('Q14653', 'P01570')"
"('P29597', 'Q969M7')"
"('P19387', 'Q15560')"
"('Q9UKF5', 'Q9NYB9')"
"('Q00610', 'O94973')"
"('574033', 'P38936')"
"('P84022', 'O60313')"
"('Q9NRI5', 'Q6VMQ6')"
"('Q9Y250', 'P30307')"
"('Q99615', 'Q9NRI5')"
"('P21333', 'P84022')"
"('Q12933', 'P0CG47')"
"('O75815', 'P53396')"
"('P55211', 'P55210')"
"('P62891', 'P62913')"
"('P20333', 'O60641')"
"('P16520', 'P42336')"
"('P04637', 'Q96QD8')"
"('P42345', 'Q15349')"
"('P30480', 'P49773')"
"('Q96KG7', 'Q9H0H5')"
"('O60880', 'P06239')"
"('Q9Y2H0', 'P16333')"
"('P42677', 'P62280')"
"('Q00987', 'P14316')"
"('Q9BRP4', 'P62333')"
"('P23467', 'P42768')"
"('P53618', 'Q9H013')"
"('P01106', 'Q8TEQ6')"
"('Q7L7L0', 'O60814')"
"('Q9UJX2', 'Q99741')"
"('P46527', 'Q16254')"
"('Q16816', 'P11216')"
"('P15151', 'P04004')"
"('P04183', 'Q9Y3C7')"
"('O15105', 'Q13547')"
"('P68371', 'Q99459')"
"('O75970', 'Q9BX67')"
"('Q9UBR1', 'O75909')"
"('P21781', 'P17948')"
"('P56746', 'P78369')"
"('Q9BUL8', 'Q02556')"
"('P50402', 'Q10586')"
"('Q01201', 'P11021')"
"('O14936', 'Q9C0A0')"
"('P53350', 'O60566')"
"('Q15393', 'P04792')"
"('Q9H8M7', 'P62917')"
"('P34998', 'P32121')"
"('Q9C0A0', 'O14936')"
"('Q13315', 'Q5XUX0')"
"('Q02156', 'P61586')"
"('P31314', 'P00352')"
"('P37023', 'Q04771')"
"('P02795', 'P58062')"
"('P10721', 'Q9ULZ2')"
"('Q13627', 'P31947')"
"('Q9UF33', 'P00519')"
"('Q13315', 'Q969J2')"
"('Q05516', 'Q96Q04')"
"('Q7L5N1', 'P51948')"
"('Q15139', 'Q96A00')"
"('P27361', 'P14921')"
"('Q13950', 'O00255')"
"('Q07866', 'Q16659')"
"('Q9NYY8', 'Q15714')"
"('Q5C9Z4', 'P62136')"
"('O95831', 'Q00653')"
"('O00505', 'P50749')"
"('P36897', 'Q969T4')"
"('Q99613', 'Q14152')"
"('Q9C0H9', 'P41240')"
"('Q02763', 'Q92529')"
"('P18146', 'P17612')"
"('P09471', 'P16473')"
"('Q15047', 'Q5UIP0')"
"('Q9H3S4', 'Q9UGN5')"
"('Q01201', 'P05387')"
"('P29353', 'Q9UKW4')"
"('P14598', 'Q9C026')"
"('O43395', 'Q15834')"
"('P35637', 'P26368')"
"('P05109', 'Q9H0T7')"
"('O60551', 'P04183')"
"('P06239', 'Q9UQQ2')"
"('Q99759', 'Q13546')"
"('P07741', 'P23508')"
"('Q5UIP0', 'Q99459')"
"('Q13148', 'Q01085')"
"('Q9NZN4', 'O94973')"
"('Q9H845', 'Q14197')"
"('P14373', 'Q9UL03')"
"('Q99848', 'Q9NX58')"
"('P56134', 'P05496')"
"('O95154', 'O43488')"
"('P04183', 'Q8IZ69')"
"('P11387', 'P17844')"
"('P04004', 'Q03405')"
"('P16333', 'O75534')"
"('P52803', 'P08069')"
"('Q16665', 'Q92831')"
"('P30086', 'O43318')"
"('P62851', 'P23396')"
"('Q9BSJ2', 'Q13748')"
"('P28702', 'Q13547')"
"('P62837', 'Q5M7Z0')"
"('Q15796', 'P03372')"
"('O75449', 'P18146')"
"('Q9H7B4', 'P17948')"
"('P52757', 'P08134')"
"('P17612', 'Q9UGJ0')"
"('P63162', 'Q5UIP0')"
"('O75369', 'P62993')"
"('O14672', 'P29320')"
"('Q86U42', 'P84103')"
"('Q9NRD5', 'Q9GZQ8')"
"('P21673', 'P17509')"
"('P18754', 'P51693')"
"('P24588', 'P17252')"
"('P41235', 'O15245')"
"('Q6UXN9', 'Q16778')"
"('Q3ZCM7', 'P51149')"
"('P26358', 'P62979')"
"('Q92620', 'P38159')"
"('P49763', 'P08069')"
"('Q96S55', 'P49005')"
"('Q96IZ5', 'P61978')"
"('Q92552', 'Q14197')"
"('Q13404', 'Q13064')"
"('P33991', 'Q09472')"
"('Q9H3S1', 'O15031')"
"('Q14318', 'P00533')"
"('P62258', 'Q16543')"
"('P84022', 'P11171')"
"('P46531', 'P10144')"
"('Q6VMQ6', 'Q9H1H9')"
"('P61513', 'P62891')"
"('Q13115', 'Q14194')"
"('P62714', 'P05412')"
"('P09211', 'P62993')"
"('O00463', 'Q15326')"
"('Q13885', 'Q9NXU5')"
"('Q9Y6X2', 'O75030')"
"('P20226', 'P28347')"
"('O15264', 'P49327')"
"('Q9P0U4', 'P20226')"
"('P30480', 'P39023')"
"('Q96HF1', 'O14904')"
"('P23528', 'P54253')"
"('O00255', 'Q9UBU7')"
"('Q9Y5Z7', 'O14686')"
"('P22612', 'O00168')"
"('Q9BXL5', 'P17030')"
"('P18146', 'P34810')"
"('P01566', 'Q8N6P7')"
"('Q16665', 'P27540')"
"('O60861', 'P55160')"
"('Q13501', 'O14920')"
"('Q13268', 'P24534')"
"('P01023', 'P55001')"
"('Q8IVF5', 'Q07889')"
"('Q14697', 'P62330')"
"('P12814', 'P26010')"
"('P01106', 'P24394')"
"('Q10586', 'P52701')"
"('P78364', 'P11142')"
"('P31749', 'P22732')"
"('Q9ULK4', 'Q9NPJ6')"
"('Q9NSE2', 'P52333')"
"('P16871', 'P52907')"
"('P41235', 'P09848')"
"('Q92833', 'Q9H9B1')"
"('P38936', 'Q8IYF3')"
"('P25205', 'P62805')"
"('Q8NCM8', 'Q13885')"
"('P15880', 'P62841')"
"('407006', 'Q96LC9')"
"('P21453', 'P04899')"
"('P46100', 'P29074')"
"('O14920', 'P60709')"
"('Q9BUN5', 'P18146')"
"('P19338', 'Q15653')"
"('P12931', 'P51813')"
"('Q9Y271', 'P30679')"
"('P16220', 'P05231')"
"('Q13153', 'Q96T58')"
"('P31749', 'P62979')"
"('P0CG48', 'Q8N488')"
"('Q9UDY8', 'P0CG48')"
"('P25788', 'Q9UNM6')"
"('P18054', 'P15144')"
"('Q99638', 'P06746')"
"('Q09028', 'Q96T58')"
"('Q92851', 'Q13490')"
"('Q13596', 'P25116')"
"('Q6UXH1', 'P67870')"
"('P11021', 'Q13233')"
"('Q96EX3', 'O43318')"
"('P78369', 'P56746')"
"('Q9UHD2', 'P18859')"
"('Q9GZS3', 'P19388')"
"('P10276', 'Q15466')"
"('P56705', 'Q9H461')"
"('Q9H257', 'Q15369')"
"('P01236', 'P10912')"
"('P62750', 'P30480')"
"('Q9UHY7', 'P49792')"
"('Q16659', 'P49368')"
"('P17987', 'P63104')"
"('Q08170', 'Q14103')"
"('P02545', 'Q71DI3')"
"('Q92625', 'Q15303')"
"('P23246', 'Q00653')"
"('O95405', 'O75694')"
"('Q12841', 'P19883')"
"('P00533', 'O15162')"
"('Q7LBE3', 'P13569')"
"('Q6NUQ1', 'Q5VTD9')"
"('P61970', 'Q9UET6')"
"('P0CG48', 'Q13501')"
"('P28702', 'P10828')"
"('A6NIT4', 'P10912')"
"('P52272', 'Q9Y5J5')"
"('P83731', 'P62899')"
"('P05109', 'Q15853')"
"('O95639', 'Q9P2I0')"
"('P29590', 'Q92547')"
"('P18848', 'Q9NRI5')"
"('P46109', 'Q8WYR1')"
"('P14174', 'Q7L5N1')"
"('P29320', 'Q8N5V2')"
"('P08107', 'Q9UBS4')"
"('Q9BY84', 'P27361')"
"('Q09472', 'Q02930')"
"('P40424', 'Q9H9S0')"
"('Q9UNA1', 'P08134')"
"('Q9H6S0', 'Q13573')"
"('P16333', 'Q99259')"
"('P01730', 'P07339')"
"('P82933', 'P54257')"
"('O75093', 'Q9Y6N7')"
"('P25021', 'O95467')"
"('Q9H2E6', 'O94875')"
"('Q9NRH3', 'P68366')"
"('Q96IP4', 'Q9P287')"
"('Q06609', 'Q9NRH3')"
"('P00519', 'O43390')"
"('P55060', 'O15131')"
"('Q16890', 'Q99683')"
"('O75478', 'Q9BRQ0')"
"('P42226', 'P06734')"
"('Q9Y237', 'Q9H1I8')"
"('P01241', 'Q9UHF4')"
"('P08238', 'P41279')"
"('P18206', 'Q9UQ03')"
"('P62258', 'Q9GZM8')"
"('P07947', 'O60674')"
"('P27361', 'P19838')"
"('Q9NYB9', 'P35900')"
"('Q13415', 'P0CG47')"
"('Q96HA8', 'P49247')"
"('P07305', 'Q9UHY7')"
"('O75367', 'Q96DB2')"
"('Q09472', 'Q8IZL2')"
"('Q13042', 'Q9NZH5')"
"('P18146', 'P43026')"
"('P21333', 'P63261')"
"('Q7L7L0', 'P62807')"
"('P40692', 'Q13315')"
"('P09471', 'O43306')"
"('P14416', 'P62714')"
"('Q9Y2A7', 'Q8WUW1')"
"('Q9UET6', 'Q09028')"
"('P55345', 'P19793')"
"('Q9HAU5', 'Q92900')"
"('Q8WWY3', 'P49756')"
"('P51681', 'Q9NWA0')"
"('P12956', 'Q9H910')"
"('Q13748', 'P19838')"
"('P49116', 'Q13573')"
"('Q01130', 'O43390')"
"('Q8N205', 'Q9UK32')"
"('Q13490', 'P01375')"
"('P62158', 'Q04206')"
"('Q07955', 'P52272')"
"('Q86UW7', 'P51965')"
"('P36954', 'O94762')"
"('Q14197', 'Q96I51')"
"('P31946', 'P10636')"
"('Q92963', 'P84022')"
"('O95251', 'O14576')"
"('P67809', 'Q2TAY7')"
"('O14640', 'Q96B18')"
"('O75494', 'P08621')"
"('O43809', 'Q15287')"
"('P24522', 'Q96ID5')"
"('P42771', 'P02730')"
"('Q14469', 'Q96EB6')"
"('P13569', 'P29992')"
"('O00182', 'P05556')"
"('Q14457', 'Q9UQE7')"
"('P51817', 'P10071')"
"('P38398', 'Q13315')"
"('Q9BTD8', 'P09012')"
"('O60341', 'Q9GZT6')"
"('P05556', 'P60709')"
"('O14978', 'Q9H8W4')"
"('P33992', 'P49736')"
"('Q04206', 'O60658')"
"('P31751', 'P55211')"
"('P08069', 'Q01995')"
"('P08173', 'P62873')"
"('407021', 'Q01453')"
"('Q5D1E8', 'Q92844')"
"('Q9UI12', 'O75365')"
"('P07900', 'P53355')"
"('P63104', 'P29353')"
"('Q9BQA1', 'P52756')"
"('P62760', 'Q86UW9')"
"('Q2NL82', 'O95819')"
"('Q13485', 'Q9Y297')"
"('P68133', 'Q9Y4A5')"
"('P52434', 'P25942')"
"('Q07889', 'Q13588')"
"('Q9H2X3', 'Q9H4B4')"
"('Q92629', 'P18146')"
"('P46092', 'O60674')"
"('P02745', 'P08246')"
"('Q96SB4', 'Q01081')"
"('Q9NRI5', 'Q9UPT5')"
"('P67775', 'Q86YF9')"
"('P24539', 'Q99816')"
"('O94925', 'O00422')"
"('Q92985', 'Q8IZ69')"
"('P11021', 'Q9BPU6')"
"('O75352', 'Q15758')"
"('P10114', 'Q5U651')"
"('Q13535', 'P38398')"
"('P08708', 'P60866')"
"('Q14738', 'Q13936')"
"('O95816', 'Q9Y2T4')"
"('Q9UM13', 'P30260')"
"('P48729', 'O95999')"
"('P61587', 'Q13177')"
"('Q13526', 'P04049')"
"('O95793', 'P31749')"
"('Q9P1U1', 'Q99996')"
"('Q9HAU4', 'P61106')"
"('Q13315', 'Q8IZ07')"
"('P56945', 'Q9H0Q3')"
"('P61981', 'Q9NSK0')"
"('Q92597', 'Q96CW1')"
"('O75626', 'Q05823')"
"('P63104', 'P0C0S8')"
"('P20333', 'P49411')"
"('Q9UBN7', 'Q9H2G2')"
"('Q4VXU2', 'Q96DH6')"
"('Q9Y2W1', 'Q9BS40')"
"('Q07817', 'Q13625')"
"('A6ZKI3', 'P00519')"
"('Q8IYT8', 'Q14181')"
"('P10586', 'P12757')"
"('Q14765', 'O14543')"
"('Q9UBX5', 'Q08397')"
"('P01100', 'P01375')"
"('P55957', 'Q99459')"
"('P12931', 'P09327')"
"('P22674', 'P18887')"
"('Q86XA0', 'Q07817')"
"('O75381', 'P14317')"
"('Q8NAP1', 'Q9Y230')"
"('Q12824', 'P38398')"
"('Q9BXR0', 'Q15047')"
"('P48551', 'P41182')"
"('Q05209', 'P09619')"
"('Q13573', 'O15372')"
"('P01242', 'P31785')"
"('Q14451', 'P31947')"
"('Q14197', 'P49748')"
"('P10721', 'Q99963')"
"('P42858', 'Q9Y3C7')"
"('Q13418', 'P55211')"
"('Q9Y616', 'P05412')"
"('P35637', 'Q15365')"
"('P51668', 'P46779')"
"('P62070', 'P04049')"
"('P50570', 'Q9BX66')"
"('Q9H7Z6', 'P11474')"
"('P51610', 'Q9NS37')"
"('O00141', 'Q14697')"
"('P41235', 'Q6Q788')"
"('Q06481', 'Q92870')"
"('Q49AR2', 'Q9Y2W2')"
"('P01889', 'P43632')"
"('P05107', 'Q99418')"
"('P01106', 'Q01973')"
"('P21246', 'Q96CQ1')"
"('P01106', 'Q92733')"
"('P15880', 'P46781')"
"('Q96FA3', 'Q9Y4K3')"
"('P11215', 'P42338')"
"('P19174', 'P20810')"
"('P49716', 'Q96E52')"
"('Q9BV47', 'Q14683')"
"('Q15029', 'O75365')"
"('28881', 'O43521')"
"('Q9UMX1', 'P10071')"
"('Q96HR3', 'O60244')"
"('Q9Y4K3', 'Q9NYY8')"
"('Q401N2', 'Q14974')"
"('Q9Y5J5', 'Q96QB1')"
"('Q15714', 'Q9P031')"
"('Q96RG2', 'P14598')"
"('Q99062', 'P29597')"
"('P12980', 'P14406')"
"('Q01094', 'Q14188')"
"('Q9HC98', 'Q15834')"
"('Q13555', 'P16220')"
"('P61586', 'P14784')"
"('P03950', 'P13385')"
"('Q9C000', 'Q13635')"
"('Q9Y239', 'Q15654')"
"('P23025', 'Q9HCN4')"
"('Q15111', 'O00591')"
"('P35609', 'P07384')"
"('O60282', 'P42263')"
"('Q06787', 'Q96F07')"
"('Q9NPI1', 'P14316')"
"('O14827', 'P01116')"
"('Q9UBU3', 'Q8TDS4')"
"('P05129', 'Q01959')"
"('Q9P0V3', 'Q9ULV3')"
"('P22087', 'O15519')"
"('P54257', 'Q9H0I3')"
"('Q15257', 'P51959')"
"('P18146', 'Q99674')"
"('P49459', 'O14929')"
"('P12004', 'Q15843')"
"('P11802', 'P04632')"
"('Q8IWW6', 'Q9HBH0')"
"('P54646', 'P36956')"
"('Q8WXH5', 'P42226')"
"('Q9Y4A5', 'Q12962')"
"('P05783', 'Q9Y5B8')"
"('P84022', 'Q9Y483')"
"('P62993', 'P43699')"
"('P84022', 'P14921')"
"('Q92990', 'Q86WV6')"
"('Q53QZ3', 'P63000')"
"('Q13137', 'Q8IYF1')"
"('P34932', 'O14727')"
"('O43915', 'P04626')"
"('Q9UDY2', 'P56746')"
"('Q71SY5', 'P10276')"
"('Q03113', 'P21918')"
"('Q13639', 'P07550')"
"('P67870', 'O75444')"
"('P61981', 'Q8NEB9')"
"('Q9Y265', 'Q9GZN1')"
"('Q03164', 'P31273')"
"('P68366', 'Q96AH8')"
"('P55072', 'P16871')"
"('O14512', 'P40238')"
"('O14745', 'P07947')"
"('P51812', 'P01112')"
"('Q13263', 'Q9Y4K3')"
"('P49747', 'P10600')"
"('P46937', 'P27348')"
"('Q15631', 'Q99598')"
"('Q9UMX0', 'P53816')"
"('P42858', 'O60828')"
"('P68400', 'P67870')"
"('O95149', 'Q9P2G9')"
"('O75525', 'Q9Y580')"
"('Q96Q83', 'Q92993')"
"('O43684', 'P30260')"
"('Q13325', 'Q96BY9')"
"('Q13111', 'P27986')"
"('Q16695', 'Q2TAY7')"
"('O75528', 'P78537')"
"('Q13616', 'Q15796')"
"('P62945', 'P46778')"
"('P60709', 'Q9NRI5')"
"('Q9UJU6', 'Q92918')"
"('P55055', 'Q9UNI6')"
"('P12956', 'P49368')"
"('P28482', 'O14654')"
"('P52735', 'Q9BXP5')"
"('P68400', 'Q9Y5Z7')"
"('Q9Y6D6', 'O75365')"
"('Q9NR12', 'Q99459')"
"('O75478', 'P68431')"
"('P53779', 'P46109')"
"('P36402', 'Q13761')"
"('Q8IZH2', 'P48643')"
"('O15234', 'P61326')"
"('Q07820', 'P55957')"
"('P29353', 'Q9H840')"
"('Q8TEC5', 'P61088')"
"('P15622', 'Q96BR9')"
"('Q13315', 'Q6NXE6')"
"('O00148', 'Q9UL18')"
"('P13535', 'P60709')"
"('Q8WUI4', 'Q99879')"
"('P52597', 'Q13247')"
"('P08107', 'P48436')"
"('P62158', 'Q16816')"
"('O14686', 'Q13573')"
"('Q15306', 'O00206')"
"('Q9BYB0', 'P19174')"
"('Q86YW0', 'P14314')"
"('P56537', 'O76024')"
"('O00471', 'Q13573')"
"('Q05397', 'Q08043')"
"('P23025', 'P54727')"
"('Q96AH8', 'P68363')"
"('Q9BTT4', 'A0JLT2')"
"('Q6WCQ1', 'P09493')"
"('Q15691', 'P16871')"
"('P06748', 'Q10570')"
"('Q99459', 'P52907')"
"('P14923', 'Q99623')"
"('Q8IZI9', 'P17181')"
"('Q9NXV2', 'P23528')"
"('O95471', 'O95484')"
"('P15880', 'O95793')"
"('P40616', 'P30480')"
"('P24666', 'P54762')"
"('Q9HAW4', 'Q99638')"
"('Q14653', 'O14625')"
"('P22736', 'Q8TAM1')"
"('Q15008', 'Q16082')"
"('Q9UJU2', 'Q92793')"
"('Q15750', 'Q15326')"
"('P62158', 'Q99759')"
"('2310', 'O95067')"
"('Q9BRX5', 'Q9Y248')"
"('P61254', 'Q07020')"
"('P61077', 'Q96A37')"
"('O75915', 'O60831')"
"('Q9Y5I7', 'O14493')"
"('P63104', 'Q9Y6R4')"
"('P62277', 'P62847')"
"('P22626', 'P26599')"
"('P63244', 'Q8WWY3')"
"('Q04206', 'Q9HC29')"
"('Q9NPB9', 'Q04206')"
"('O00233', 'P62191')"
"('Q8NHQ8', 'Q13625')"
"('P62913', 'Q15653')"
"('P41220', 'Q9UBQ0')"
"('P04626', 'Q9UQQ2')"
"('Q13111', 'Q9Y294')"
"('P14678', 'Q8TEQ6')"
"('Q15788', 'P37231')"
"('Q15020', 'P10275')"
"('Q01453', 'O15304')"
"('Q9NVX0', 'Q16659')"
"('O14513', 'P25054')"
"('Q8NDV3', 'Q8N3U4')"
"('P41219', 'P07197')"
"('Q92913', 'P22607')"
"('Q13224', 'P78352')"
"('P62913', 'Q92901')"
"('Q00653', 'P01569')"
"('P29317', 'P29353')"
"('Q9UP38', 'P50148')"
"('P15884', 'P41134')"
"('Q9P2W3', 'Q8WYR1')"
"('Q8N5U6', 'Q9Y2X8')"
"('P17542', 'Q86U70')"
"('P38919', 'Q9BY77')"
"('Q07020', 'P62906')"
"('P0CG47', 'Q9Y4K3')"
"('Q00005', 'P05386')"
"('P62070', 'O14939')"
"('Q96EE3', 'O15504')"
"('O60832', 'O00303')"
"('P04629', 'P62993')"
"('Q9UBD9', 'Q9HC73')"
"('Q9BTM1', 'Q99879')"
"('P49790', 'Q9UKX7')"
"('O75478', 'P06899')"
"('Q13347', 'O15372')"
"('P41143', 'P08754')"
"('A0JLT2', 'P19387')"
"('Q7Z3B3', 'P61289')"
"('O95777', 'Q9Y333')"
"('Q9BV73', 'Q6UVJ0')"
"('O60684', 'P49448')"
"('P10415', 'P63098')"
"('Q16254', 'P37231')"
"('Q6P3X3', 'P36897')"
"('Q16665', 'P29474')"
"('Q9UJX6', 'Q9UM13')"
"('Q9Y2Z0', 'Q00613')"
"('O43707', 'P63267')"
"('Q9H5I1', 'P16333')"
"('Q9Y3U8', 'P18077')"
"('Q9BXL5', 'P22087')"
"('O95816', 'Q9NX70')"
"('Q03135', 'Q969G5')"
"('Q15084', 'Q9Y4K3')"
"('Q8TEU8', 'P12645')"
"('P00966', 'Q9H1I8')"
"('P02778', 'P51684')"
"('Q13885', 'Q92974')"
"('P33993', 'P01889')"
"('P60484', 'P62136')"
"('Q9UGN5', 'Q9BXS4')"
"('Q15672', 'P15692')"
"('Q13077', 'P60709')"
"('Q12933', 'O00463')"
"('Q9UJ70', 'Q15393')"
"('P01106', 'P08631')"
"('P08238', 'P63261')"
"('P49768', 'P14923')"
"('P78545', 'O60858')"
"('Q15287', 'P54136')"
"('P08047', 'P10620')"
"('O15084', 'O00743')"
"('P51817', 'P50151')"
"('Q15573', 'Q01105')"
"('P29372', 'P05141')"
"('Q86WN2', 'Q9UHF4')"
"('P03915', 'O96000')"
"('P41235', 'Q92786')"
"('P49759', 'P61981')"
"('Q9Y6K9', 'P62249')"
"('Q14164', 'P61086')"
"('Q9UNK0', 'Q96AJ9')"
"('Q13547', 'P0C1H6')"
"('Q16520', 'P01100')"
"('P63146', 'P12004')"
"('P63010', 'Q16695')"
"('Q8TB96', 'O95989')"
"('O15400', 'Q9P253')"
"('Q5RL73', 'Q3KQU3')"
"('O95169', 'O75251')"
"('P00519', 'Q15642')"
"('Q9NVI7', 'Q9HAW0')"
"('Q8TAD8', 'P23497')"
"('P48454', 'Q13255')"
"('P09471', 'O00555')"
"('O43707', 'P26232')"
"('P04843', 'Q5VYV7')"
"('Q8NI27', 'P99999')"
"('Q15758', 'Q9HC98')"
"('Q4KWH8', 'Q16512')"
"('Q9BRX2', 'Q3ZCQ8')"
"('P40939', 'Q9Y4K3')"
"('P35221', 'P00533')"
"('Q92769', 'O60264')"
"('Q04864', 'Q96ST3')"
"('Q03468', 'P28715')"
"('Q13526', 'P30504')"
"('Q06265', 'Q13838')"
"('P10244', 'P06493')"
"('O15360', 'Q9BXW9')"
"('Q9NYY1', 'Q14626')"
"('P00533', 'Q9ULV8')"
"('P04908', 'Q8N257')"
"('P11309', 'Q92934')"
"('P00441', 'P10415')"
"('P38117', 'P13804')"
"('Q9Y2D8', 'Q99909')"
"('26765', 'Q92547')"
"('P01106', 'P55884')"
"('Q14653', 'Q9UHD2')"
"('Q00005', 'P62258')"
"('Q92890', 'P01871')"
"('O95402', 'Q9ULK4')"
"('O15530', 'Q8TBF2')"
"('Q96KJ9', 'Q14164')"
"('Q9UIA9', 'Q15750')"
"('Q9NPI1', 'Q16778')"
"('P08238', 'P08107')"
"('Q96Q05', 'Q9Y6K9')"
"('Q8WVM7', 'Q8NDV3')"
"('P36956', 'Q8WVJ9')"
"('Q14596', 'P40818')"
"('O43674', 'P03923')"
"('P62701', 'P15880')"
"('P33993', 'Q14683')"
"('P03923', 'P03915')"
"('Q9Y3F4', 'O60739')"
"('Q8NGR5', 'P38405')"
"('P01909', 'P01730')"
"('Q92597', 'P61981')"
"('P39023', 'Q9UNX3')"
"('P54710', 'P32418')"
"('P31749', 'P04637')"
"('Q96RU3', 'Q15642')"
"('P10828', 'P42229')"
"('P62136', 'P28482')"
"('Q9Y4K3', 'P61077')"
"('Q9HBI6', 'P18146')"
"('Q8N5C8', 'P45983')"
"('Q9BY27', 'P08727')"
"('Q13352', 'Q9BZI7')"
"('Q92538', 'P31946')"
"('P11473', 'P49715')"
"('Q9Y3C7', 'Q13469')"
"('Q13315', 'Q96B23')"
"('O14757', 'Q9NW38')"
"('P98182', 'Q96KQ7')"
"('P08912', 'P38405')"
"('P11473', 'Q00403')"
"('Q9P2S5', 'P35326')"
"('Q9NRD5', 'P11234')"
"('Q04759', 'P12931')"
"('O75569', 'Q8NHY6')"
"('P26010', 'P23229')"
"('Q9NVI1', 'P20333')"
"('P19838', 'P01570')"
"('P13232', 'Q14627')"
"('P09471', 'P42336')"
"('P46940', 'O95793')"
"('P43699', 'P46108')"
"('P01574', 'P48357')"
"('O75925', 'P84022')"
"('Q9Y5S9', 'Q9H0W8')"
"('P61106', 'P51149')"
"('P01106', 'Q9NYJ1')"
"('Q9Y6K9', 'Q9UHB6')"
"('Q14192', 'P17036')"
"('P62750', 'P62891')"
"('P00533', 'O15530')"
"('Q96S55', 'Q14191')"
"('O95376', 'P48664')"
"('P16220', 'Q96RG2')"
"('P43358', 'Q8WW24')"
"('Q9Y265', 'P49773')"
"('P10071', 'Q93074')"
"('P17612', 'Q04206')"
"('Q13362', 'P54284')"
"('Q8IUC6', 'Q9BUZ4')"
"('O95361', 'Q15047')"
"('Q9BQ52', 'Q9H1I8')"
"('P46777', 'Q53EL6')"
"('Q8N715', 'Q9BQD3')"
"('Q9NQX6', 'Q9H7E9')"
"('Q96JK2', 'Q16531')"
"('Q9HC98', 'Q9P035')"
"('Q99750', 'Q9BR84')"
"('Q14185', 'Q07890')"
"('P11801', 'Q13424')"
"('Q9NWZ3', 'Q92985')"
"('P46940', 'P01106')"
"('P18124', 'P62899')"
"('Q06187', 'P22681')"
"('P28482', 'P51812')"
"('Q92574', 'Q02833')"
"('P30443', 'P43632')"
"('P04843', 'Q9NYS7')"
"('O60880', 'P31994')"
"('Q8WWM7', 'P84022')"
"('Q8NGP3', 'P38405')"
"('Q8N2W9', 'P61086')"
"('O43293', '347745')"
"('O75084', 'Q9UMX0')"
"('Q00403', 'P19438')"
"('P07437', 'Q71U36')"
"('P12645', 'Q8TEU8')"
"('Q06455', 'O00231')"
"('P28482', 'P50993')"
"('P08047', 'P06241')"
"('Q01844', 'Q9Y3F4')"
"('Q06124', 'Q8N6P7')"
"('P63165', 'Q9H5H4')"
"('Q9BVJ7', 'P29353')"
"('P32121', 'Q8NH01')"
"('P08579', 'P23508')"
"('P63211', 'P40145')"
"('Q8TD86', 'Q96RR4')"
"('P04156', 'Q14011')"
"('Q8IY92', 'Q8WVD3')"
"('P07947', 'P00533')"
"('P31946', 'Q05513')"
"('Q9H4B7', 'Q96NA2')"
"('Q66LE6', 'Q8IX90')"
