negatives
"('Q9C035', 'Q9Y2X8')"
"('Q8NBE8', 'P38936')"
"('P26358', 'Q96T88')"
"('P18433', 'Q9P2Y5')"
"('Q9Y4X3', 'O00574')"
"('Q09428', 'Q15878')"
"('P54132', 'Q13156')"
"('P31749', 'P62140')"
"('Q99985', 'O14786')"
"('P52630', 'P30281')"
"('P11171', 'P61019')"
"('P53618', 'O15533')"
"('Q93079', 'Q9UPS6')"
"('O75578', 'Q9UKX5')"
"('O95433', 'P20774')"
"('Q7L576', 'Q9Y2A7')"
"('P62979', 'Q9NZ52')"
"('P24864', 'Q969H0')"
"('Q7Z2V1', 'P62195')"
"('P36873', 'Q96SB3')"
"('Q9NVV9', '145781')"
"('P63279', 'P15336')"
"('P04279', 'P17252')"
"('P62258', 'Q01814')"
"('P18621', 'P18077')"
"('Q05682', 'P29353')"
"('Q03113', 'Q92888')"
"('P21781', 'P02452')"
"('Q12933', 'P57078')"
"('P15498', 'Q9H0H5')"
"('P20333', 'Q13748')"
"('P46734', 'P53779')"
"('P81605', 'P02768')"
"('406899', 'Q16827')"
"('Q9UBL3', 'Q9P0U4')"
"('P16070', 'Q8WVJ9')"
"('P62140', 'Q9NZT1')"
"('Q8NFP7', 'Q9NS23')"
"('P51532', 'Q13127')"
"('P20265', 'P56693')"
"('Q86YW9', 'Q9NVC6')"
"('Q12933', 'Q9GZU2')"
"('Q9UBK2', 'Q14994')"
"('P62158', 'P62258')"
"('Q9UQP3', 'P18827')"
"('Q13435', 'Q8TBK6')"
"('P05362', 'P26038')"
"('O75044', 'Q7L0Q8')"
"('Q00839', 'P67809')"
"('Q3MHD2', 'Q14164')"
"('Q9BX84', 'P35580')"
"('P19474', 'Q14653')"
"('P51965', 'Q8N8N0')"
"('P11177', 'P08559')"
"('O95229', 'Q9H410')"
"('Q08209', 'Q9UJX2')"
"('Q07954', 'P12757')"
"('O94817', 'Q9UL03')"
"('Q16531', 'P20333')"
"('Q9NZC3', 'O15297')"
"('Q13315', 'Q969K7')"
"('Q9Y478', 'Q04941')"
"('Q9Y265', 'Q15075')"
"('P14373', 'Q96B02')"
"('O95751', 'Q8TBB1')"
"('Q3ZCQ8', 'Q9Y572')"
"('Q9UM13', 'Q9UJX6')"
"('P31689', 'Q99558')"
"('P0CG48', 'Q969F2')"
"('P09693', 'Q14790')"
"('P35443', 'P08648')"
"('P54253', 'Q9UKJ3')"
"('P21333', 'P29728')"
"('P56880', 'Q16625')"
"('Q07021', 'Q05655')"
"('P48023', 'Q99963')"
"('O43390', 'P78527')"
"('P50222', 'P54652')"
"('P23396', 'Q9UKV8')"
"('Q9NSA1', 'P00533')"
"('Q13467', 'O14640')"
"('Q8WXH5', 'P40189')"
"('Q9UHD0', 'P32927')"
"('Q9GZU2', 'Q12933')"
"('Q03014', 'P35968')"
"('P0CG48', 'Q9Y4E8')"
"('O14867', 'O15525')"
"('Q96AQ9', 'P28799')"
"('P25105', 'P29992')"
"('P56556', 'Q9UI09')"
"('Q99460', 'Q9UMX0')"
"('O60658', 'Q04864')"
"('P01106', 'P60228')"
"('Q9GZS1', 'O00425')"
"('Q9HAW0', 'Q16082')"
"('P48061', 'P51684')"
"('P67775', 'O43318')"
"('Q14974', 'P51178')"
"('Q13315', 'P52298')"
"('Q13616', 'P24385')"
"('P62158', 'P42858')"
"('P49116', 'P41235')"
"('Q7RTN6', 'Q9Y376')"
"('Q9UJX5', 'Q12834')"
