recall,precision
0.4791666666666667,0.15862068965517243
0.4583333333333333,0.1746031746031746
0.4375,0.1875
0.4166666666666667,0.2247191011235955
0.0625,0.25
0.10416666666666667,0.25
0.3958333333333333,0.25333333333333335
0.125,0.2608695652173913
0.16666666666666666,0.26666666666666666
0.14583333333333334,0.2692307692307692
0.375,0.27692307692307694
0.1875,0.28125
0.20833333333333334,0.30303030303030304
0.08333333333333333,0.3076923076923077
0.25,0.3076923076923077
0.22916666666666666,0.3142857142857143
0.2708333333333333,0.325
0.2916666666666667,0.3333333333333333
0.3125,0.3488372093023256
0.3541666666666667,0.3541666666666667
0.3333333333333333,0.35555555555555557
0.041666666666666664,0.6666666666666666
0.020833333333333332,1.0
