negatives
"('P62136', 'Q68CJ9')"
"('Q9NV70', 'P01106')"
"('Q04721', 'P46109')"
"('O00471', 'Q8IWU5')"
"('O00257', 'Q9BSM1')"
"('Q9H2P0', 'Q9GZQ8')"
"('Q8N6R0', 'P01106')"
"('Q96AC6', 'Q15750')"
"('Q14839', 'Q86YP4')"
"('Q01814', 'P01258')"
"('P06241', 'P10721')"
"('P01106', 'P58107')"
"('Q9UNX3', 'P49207')"
"('P05556', 'P29350')"
"('406991', 'P08887')"
"('P24723', 'Q96B18')"
"('P35225', 'P11142')"
"('Q9Y5S9', 'Q9BZI7')"
"('A5PKW4', 'O60921')"
"('O15533', 'Q04206')"
"('P01138', 'P01023')"
"('P00918', 'P10809')"
"('Q9BUB5', 'O95865')"
"('P15882', 'O00212')"
"('Q6IE81', 'O60925')"
"('P51398', 'Q9BYC9')"
"('Q99615', 'Q9BUB5')"
"('Q14164', 'Q9UKR5')"
"('O43524', 'P42772')"
"('P48380', 'Q8HWS3')"
"('Q6P1J9', 'Q8NEZ4')"
"('Q8TAA9', 'P17252')"
"('P31995', 'P46108')"
"('P60866', 'P35544')"
"('P08134', 'Q9Y4K3')"
"('P51970', 'P03901')"
"('P63104', 'P12956')"
"('O95831', 'P08107')"
"('O95391', 'O43395')"
"('P61952', 'Q08828')"
"('O95182', 'O00483')"
"('P61978', 'P38936')"
"('Q9NYJ8', 'Q9Y265')"
"('P52294', 'P63104')"
"('Q9BQI3', 'P10914')"
"('P17844', 'Q9UL18')"
"('P61326', 'O94829')"
"('Q9UJV9', 'P22314')"
"('Q14197', 'Q9BYC8')"
"('Q13418', 'P14174')"
"('P14923', 'O00221')"
"('P42336', 'P05023')"
"('O15519', 'P14174')"
"('P28749', 'Q16254')"
"('A0JLT2', 'O00571')"
"('O15085', 'Q9H2G2')"
"('P60520', 'Q9UH92')"
"('O15439', 'Q96RT1')"
"('O95168', 'O75438')"
"('Q5TA45', 'Q99750')"
"('P78395', 'Q969M7')"
"('O14522', 'Q16849')"
"('Q15645', 'Q8IVS8')"
