negatives
"('P28749', 'Q96GY3')"
"('Q9Y371', 'Q68EM7')"
"('Q12948', 'P62807')"
"('Q8WUB8', 'Q15532')"
"('Q15797', 'P08621')"
"('Q14103', 'Q04917')"
"('Q9HD26', 'Q6UWE0')"
"('O75626', 'P33076')"
"('P15018', 'P19235')"
"('Q86XL3', 'O15264')"
"('Q86X55', 'Q96A73')"
"('O75044', 'Q8TEJ3')"
"('Q9UBN7', 'P54252')"
"('Q96EY7', 'Q12849')"
"('O96017', 'P85037')"
"('P60709', 'Q05639')"
"('O15143', 'O00159')"
"('Q9NYY8', 'P01106')"
"('Q15717', 'Q9BZK7')"
"('P53007', 'O95718')"
"('P19320', 'P68371')"
"('Q99571', 'Q14232')"
"('Q71UM5', 'P36578')"
"('Q9H8M2', 'Q15532')"
"('O95500', 'Q16625')"
"('P04150', 'Q92793')"
"('P51948', 'P10827')"
"('Q13137', 'Q8IVS8')"
"('P11802', 'P17480')"
"('P29508', 'Q01844')"
"('P53985', 'Q8WYQ3')"
"('Q9NRD1', 'Q8NCC3')"
"('P99999', 'Q14164')"
"('P62328', 'Q16637')"
"('P11441', 'P37268')"
"('P50222', 'Q8NEA9')"
"('Q99714', 'O60260')"
"('Q6P6B1', 'Q8NFB2')"
"('Q15468', 'P60891')"
"('Q8NBJ7', 'P16104')"
"('Q93034', 'P40429')"
"('P28370', 'P51532')"
"('P03897', 'O00217')"
"('Q13322', 'Q96KG7')"
"('P16671', 'P42679')"
"('Q9Y2D8', 'O43542')"
"('Q8IZL8', 'O00203')"
"('O14744', 'Q9UL18')"
"('P08172', 'P29992')"
"('Q8WWY3', 'Q5TC82')"
"('Q92874', 'P55157')"
"('Q92597', 'Q16594')"
"('P08254', 'P35625')"
"('Q96G74', 'P78318')"
"('Q9Y5Q9', 'Q10570')"
"('P01106', 'O43497')"
"('Q9UER7', 'Q99873')"
"('P61353', 'P62750')"
"('Q14258', 'Q13492')"
"('O60293', 'Q9Y2I6')"
"('P43246', 'Q9UBN7')"
"('O14493', 'O95484')"
"('O43795', 'P68400')"
"('Q68DV7', 'Q9NQB0')"
"('Q96LM5', 'Q9BU76')"
"('Q9UNL4', 'Q9BSM1')"
"('O95994', 'P12104')"
"('Q16827', 'Q9HCN8')"
"('O76027', 'Q9NRX3')"
"('O60271', 'P45983')"
"('P49458', 'O60664')"
"('P15880', 'P08708')"
"('Q8WWF5', 'P51965')"
"('P09234', 'O14979')"
"('P05067', 'Q96CB8')"
"('P05198', 'P27694')"
"('P01100', 'P29084')"
"('Q13200', 'Q9Y5A7')"
"('P02652', 'P02768')"
"('P42771', 'Q96FW1')"
"('O15212', 'Q99759')"
"('Q53LP3', 'P61962')"
"('P01266', 'P07306')"
"('Q96GC9', 'Q8IWL3')"
"('Q9NY74', 'O95714')"
"('Q96ST2', 'A1L162')"
"('Q96A54', 'P21589')"
"('Q9P2R3', 'Q7Z3U7')"
"('Q9UPM8', 'O60308')"
"('Q9NQX7', 'Q9UBF6')"
"('P62753', 'Q02878')"
"('Q8WXG9', 'O95156')"
"('Q8IWZ5', 'Q9BYR9')"
"('P0CG20', 'Q92764')"
"('Q969L2', 'P98173')"
"('P06400', 'Q12931')"
"('Q9BQ75', 'P00533')"
"('P49773', 'P30044')"
"('P51148', 'Q15532')"
"('O14578', 'Q96RU2')"
"('Q504Q3', 'Q9NXV2')"
"('Q8WUY3', 'Q13409')"
"('Q92841', 'Q99459')"
"('P17987', 'O43930')"
"('P05121', 'P28300')"
"('Q86VZ1', 'Q9UFG5')"
"('Q9H0F5', 'Q8IUC1')"
"('Q9UHY7', 'P21980')"
"('Q8TBB1', 'Q8NBZ0')"
"('P68400', 'Q92541')"
"('Q9NWU5', 'Q96H96')"
"('Q9NP72', 'O75674')"
"('P08238', 'O15033')"
"('P20226', 'O14981')"
"('Q13619', 'Q86VP6')"
"('Q8TCJ0', 'Q15008')"
"('Q9ULR3', 'Q8WUI4')"
"('Q02539', 'Q8IY81')"
"('Q9NYZ3', 'P53350')"
"('Q86V81', 'P60520')"
"('Q9NS61', 'P31151')"
"('B0FP48', 'P58658')"
"('Q13451', 'Q6VAB6')"
"('P07942', 'Q92766')"
"('Q99755', 'Q06187')"
"('P52597', 'O95793')"
"('Q5K651', 'Q92922')"
"('Q9BXS6', 'P49790')"
"('P35527', 'O95166')"
"('O75973', 'Q9UM47')"
"('P60371', 'O43167')"
"('O95619', 'Q9BXW9')"
"('Q9Y5K5', 'Q6P4R8')"
"('O75379', 'P32856')"
"('Q15006', 'O75208')"
"('Q13011', 'P50453')"
"('O75365', 'Q14558')"
"('P17612', 'P56556')"
"('Q9BQ61', 'P09012')"
"('Q14669', 'O75695')"
"('Q15633', 'Q5T3I0')"
"('Q9BS31', 'Q9H4L7')"
"('P61081', 'Q9BTE7')"
"('Q9H0U4', 'Q9UM00')"
"('P24864', 'P28749')"
"('Q13087', 'Q9UHX1')"
"('P41159', 'O75031')"
"('Q15834', 'Q15561')"
"('P56178', 'P55317')"
"('Q99880', 'P0C0S5')"
"('Q9H211', 'P78396')"
"('Q16531', 'Q15836')"
"('Q15717', 'Q6P280')"
"('P60896', 'Q6P1X5')"
"('P42858', 'P51572')"
"('P05412', 'Q9NQ50')"
"('Q9NQV6', 'Q92560')"
"('Q12857', 'Q00403')"
"('Q96NY9', 'P61956')"
"('P05067', 'P98170')"
"('Q9BUV0', 'O94782')"
"('P60484', 'Q70Z35')"
"('P54132', 'P00533')"
"('P14678', 'Q9NVM4')"
"('P08727', 'Q8NI38')"
"('Q8IZL9', 'P53041')"
"('Q0VAQ4', 'P41143')"
"('Q6ZSY5', 'P61964')"
"('P09067', 'P06241')"
"('Q8N684', 'Q13573')"
"('P29590', 'P61956')"
"('Q9UJX3', 'P60484')"
"('O14544', 'Q96FK6')"
"('Q9BY84', 'P17858')"
"('Q6P0Q8', 'Q9UKB1')"
"('Q9UBE0', 'P28072')"
"('Q9BW19', 'P49790')"
"('P00533', 'Q75V66')"
"('P31751', 'P15056')"
"('Q8NEW0', 'Q86Y78')"
"('O14977', 'Q9UMX2')"
"('Q9UGI0', 'Q9ULM2')"
"('P46379', 'Q9HBH1')"
"('P06493', 'Q99832')"
"('Q2M2I5', 'P13647')"
"('A6NK89', 'P33993')"
"('Q9UPN4', 'Q9H0W5')"
"('O00168', 'Q9UN42')"
"('Q13643', 'Q6UWL6')"
"('P30050', 'P26373')"
"('Q96GD4', 'P17844')"
"('Q9NSE2', 'P04626')"
"('P06400', 'P32519')"
"('Q86YF9', 'Q9NQZ3')"
"('Q9HBI0', 'P15407')"
"('Q9H488', 'P78504')"
"('P78362', 'Q96SB4')"
"('Q9C000', 'Q13618')"
"('P38398', 'Q9BQ15')"
"('Q04206', 'O60907')"
"('P57060', 'Q9C029')"
"('Q9UP38', 'Q08379')"
"('O15446', 'Q9H9Y6')"
"('P43146', 'P62277')"
"('Q9NRF2', 'P62993')"
"('P62633', 'Q00577')"
"('P55795', 'Q9UFG5')"
"('P05067', 'Q99661')"
"('P27816', 'Q9NUX5')"
"('Q9NYJ8', 'O60477')"
"('Q9UGF5', 'O60262')"
"('P48431', 'P17028')"
"('Q16637', 'Q06323')"
"('Q8WTP8', 'Q8IX15')"
"('Q9UM11', 'Q12834')"
"('P58876', 'Q9P0M6')"
"('Q53H82', 'O95372')"
"('P53355', 'Q9H553')"
"('Q8N302', 'Q96AH0')"
"('Q86UV5', 'Q5SRE5')"
"('Q9UL42', 'Q9Y5P4')"
"('P08238', 'Q15208')"
"('P11177', 'Q99496')"
"('Q9NZP5', 'P38405')"
"('P51965', 'Q6UWE0')"
"('Q13573', 'Q9P2D1')"
"('Q8IUI8', 'Q5VUJ6')"
"('P47755', 'P35579')"
"('P19438', 'Q9Y4W6')"
"('Q6ZW49', 'P30291')"
"('Q9NWT6', 'Q06547')"
"('P27361', 'P17655')"
"('P31040', 'P67870')"
"('Q13554', 'O43707')"
"('O60493', 'P29558')"
"('P04141', 'P00533')"
"('P50222', 'Q00872')"
"('Q96FW1', 'Q96B02')"
"('Q9NZZ3', 'Q9UQM7')"
"('P03372', 'Q96KQ7')"
"('O95295', 'Q16539')"
"('O15226', 'Q00839')"
"('P53350', 'O75665')"
"('P02788', 'Q9P1W8')"
"('Q86XE0', 'Q9UBB9')"
"('Q7Z4Q2', 'P00533')"
"('Q8WWI5', 'O43809')"
"('P48729', 'Q6NZ67')"
"('Q86SQ0', 'P31946')"
"('Q15831', 'O43524')"
"('P17252', 'Q9H1D0')"
"('O95433', 'P60866')"
"('P11441', 'Q96EL3')"
"('Q9HBJ0', 'Q96BN2')"
"('P50395', 'P61006')"
"('Q2KHR3', 'Q8WUU5')"
"('P46940', 'Q13043')"
"('Q99490', 'P63000')"
"('P54132', 'P51957')"
"('P60328', 'Q8IVT2')"
"('Q5TI25', 'P10242')"
"('P62987', 'Q6PCD5')"
"('Q05513', 'P61224')"
"('Q15750', 'Q96KR7')"
"('P04040', 'Q96GK7')"
"('Q92843', 'O43521')"
"('P42025', 'P78371')"
"('O00308', 'P61964')"
"('P00387', 'O60260')"
"('P36896', 'Q15714')"
"('O95232', 'Q9NX70')"
"('O00303', 'P48634')"
"('Q9H040', 'P05023')"
"('P60006', 'P32119')"
"('O00159', 'Q13045')"
"('O95302', 'Q9NZ63')"
"('P62140', 'Q6NYC8')"
"('Q07955', 'P31942')"
"('Q96KP4', 'Q9H4Y5')"
"('P42771', 'P51532')"
"('Q96KP1', 'P35613')"
"('P54725', 'Q5VV17')"
"('Q9H832', 'P06858')"
"('P34931', 'Q13619')"
"('Q9BQS8', 'Q9H0B6')"
"('Q8IY81', 'Q96PK6')"
"('Q9BPU9', 'Q8IXT5')"
"('Q96LT7', 'Q8TEV9')"
"('Q9NWV8', 'O95271')"
"('Q13503', 'Q9H0H5')"
"('Q9Y5M8', 'O75365')"
"('P54578', 'P62829')"
"('Q8NCN5', 'Q9Y3Q8')"
"('Q15007', 'Q75N03')"
"('P25791', 'P40763')"
"('Q13191', 'P16234')"
"('P34947', 'Q9H0A0')"
"('Q02218', 'Q8IWL3')"
"('Q3SY56', 'P62879')"
"('Q9P2W1', 'Q9HCU9')"
"('Q04206', 'Q15306')"
"('Q9BVG8', 'Q96CS2')"
"('Q13867', 'P09972')"
"('P09914', 'P07900')"
"('Q15287', 'P78362')"
"('P09651', 'O95166')"
"('P61247', 'P26373')"
"('Q8IZI9', 'Q9HC73')"
"('P51813', 'Q96T51')"
"('Q9H5I1', 'P17987')"
"('Q96EY9', 'P32320')"
"('Q9NZH6', 'Q13158')"
"('P55072', 'Q9UBW8')"
"('O95201', 'Q9NRD5')"
"('P42858', 'Q15334')"
"('Q16643', 'Q8WUM0')"
"('Q9H3S7', 'P19320')"
"('Q8TAE7', 'P01106')"
"('P46934', 'Q16621')"
"('Q8N680', 'Q9Y2K1')"
"('Q8WXJ9', 'P68363')"
"('Q6FI13', 'Q8N257')"
"('Q13601', 'Q7Z434')"
"('P27986', 'Q14289')"
"('P62714', 'Q9GZL7')"
"('P84243', 'P54198')"
"('Q13011', 'Q9H944')"
"('Q9NYY3', 'O60911')"
"('Q13191', 'O76003')"
"('O15355', 'P41250')"
"('Q16778', 'Q9H2X6')"
"('P51843', 'P62508')"
"('P50402', 'P31946')"
"('P55198', 'O43186')"
"('P29692', 'Q9BSI4')"
"('P0DMV9', 'Q6ZMN8')"
"('P63279', 'Q00613')"
"('Q15428', 'Q15029')"
"('P62318', 'Q99496')"
"('Q15788', 'O14827')"
"('P00387', 'Q15468')"
"('O60447', 'Q15717')"
"('P01106', 'P07900')"
"('Q6ZSS7', 'Q9H7V2')"
"('P20849', 'P53708')"
"('O60885', 'P00568')"
"('Q13315', 'P01891')"
"('O94927', 'Q9NVX0')"
"('P38398', 'Q13136')"
"('Q9UNS2', 'O94889')"
"('P35221', 'Q9Y6N8')"
"('Q5TEU4', 'O60361')"
"('Q15910', 'Q8WUM4')"
"('Q9P0L0', 'P17612')"
"('P67809', 'O75937')"
"('Q96B96', 'Q6P1K1')"
"('Q02083', 'P52848')"
"('Q92914', 'Q9NVV9')"
"('Q9NWQ4', 'Q99750')"
"('Q16718', 'A1L188')"
"('P60709', 'P05067')"
"('O14980', 'Q6PD74')"
"('Q9NRD5', 'P46527')"
"('O95789', 'Q8TD55')"
"('P27694', 'Q969X5')"
"('O14980', 'P26196')"
"('P09467', 'Q15831')"
"('O14802', 'O75575')"
"('Q9H3L0', 'Q96FN5')"
"('P62913', 'P40337')"
"('P49736', 'Q02543')"
"('P83731', 'Q13177')"
"('Q9BTT4', 'Q15233')"
"('P42261', 'Q13002')"
"('Q16827', 'O15530')"
"('O75298', 'Q9UN42')"
"('P12755', 'P98160')"
"('Q15404', 'P55072')"
"('P06241', 'O00459')"
"('Q9UQL6', 'O94776')"
"('Q9BYP8', 'Q6L8G9')"
"('Q9UKE5', 'Q8N766')"
"('Q8TAE8', 'Q9NP92')"
"('Q9Y6K9', 'P19113')"
"('P49736', 'Q99877')"
"('O15234', 'O60934')"
"('Q1KMD3', 'P09651')"
"('Q15067', 'Q92858')"
"('P62701', 'P13612')"
"('P06241', 'Q16539')"
"('P49915', 'Q9GZQ8')"
"('Q99729', 'O94966')"
"('P62829', 'Q9H6S3')"
"('P29353', 'P27986')"
"('Q53EP0', 'Q8WZ42')"
"('Q5XUX0', 'P60891')"
"('Q15424', 'Q14151')"
"('Q12906', 'Q16540')"
"('Q9Y3I0', 'P02751')"
"('Q92945', 'Q9NZC7')"
"('Q96L14', 'Q8NHS4')"
"('P78406', 'Q7L5N1')"
"('Q9Y320', 'P56181')"
"('P28066', 'Q969U7')"
"('Q9H0S4', 'Q96GX1')"
"('Q96I99', 'Q14CZ7')"
"('P62308', 'O14893')"
"('Q9BXS5', 'Q9UGI0')"
"('Q08211', 'Q9P032')"
"('Q9BYQ4', 'Q8NEC5')"
"('Q01082', 'Q9NQW6')"
"('Q5UIP0', 'Q13286')"
"('Q96PK6', 'P15927')"
"('Q14134', 'Q96AA8')"
"('P42357', 'Q14330')"
"('P62140', 'Q96QC0')"
"('Q9UN37', 'Q9NZZ3')"
"('P01106', 'P10599')"
"('Q63ZY3', 'Q92917')"
"('Q9H244', 'Q9H4A6')"
"('P62937', 'Q16849')"
"('P47755', 'Q2M389')"
"('P12532', 'P21796')"
"('P05771', 'P10721')"
"('Q8NHP6', 'Q15717')"
"('Q9H490', 'Q9Y2A9')"
"('O43255', 'Q9H2X6')"
"('P62913', 'P11441')"
"('Q96EV8', 'P19174')"
"('P59991', 'P49639')"
"('P41162', 'Q53HC9')"
"('P16615', 'Q9H3N1')"
"('P05161', 'Q14651')"
"('P04406', 'Q9H492')"
"('Q9H9B4', 'O00483')"
"('P04637', 'Q9C009')"
"('P39023', 'P05386')"
"('O75419', 'Q9NRD1')"
"('P14866', 'O15519')"
"('Q9BUF5', 'Q8IU85')"
"('Q96B26', 'O14530')"
"('Q8TD84', 'Q8TDG2')"
"('Q92551', 'O00555')"
"('P36956', 'Q9NVC6')"
"('O95433', 'P49368')"
"('P01137', 'Q15198')"
"('Q9UKX7', 'P08243')"
"('P78508', 'P35606')"
"('Q8N766', 'Q5J8M3')"
"('O95817', 'Q13435')"
"('Q96EB6', 'P16220')"
"('Q13595', 'Q9UHC7')"
"('P25963', 'P68036')"
"('P29972', 'Q8TD17')"
"('Q63HM2', 'Q96MT8')"
"('P15311', 'Q9BUL8')"
"('Q01453', 'Q9BZL3')"
"('Q9BW61', 'Q92905')"
"('Q8N6T7', 'Q8WXI9')"
"('Q96GD4', 'Q9H6F5')"
"('O00499', 'Q9NTZ6')"
"('O75787', 'O75955')"
"('P38919', 'Q53EL6')"
"('P09471', 'P0C869')"
"('P68104', 'Q9UH99')"
"('A8MQ03', 'Q14774')"
"('Q9NPD3', 'P09651')"
"('O95758', 'Q92547')"
"('P05161', 'P50395')"
"('Q08379', 'P48047')"
"('P62316', 'Q9Y333')"
"('P01889', 'Q9Y266')"
"('O15042', 'Q9NZC7')"
"('Q13586', 'P98194')"
"('Q8N3K9', 'Q7L1Q6')"
"('P47898', 'Q9UBI6')"
"('Q12952', 'Q92797')"
"('P37802', 'P29401')"
"('Q9NXW9', 'P60900')"
"('P30153', 'P55072')"
"('Q6ZU80', 'Q8NEY1')"
"('Q07020', 'P39019')"
"('Q92890', 'Q96CS3')"
"('Q6VAB6', 'P08238')"
"('Q6A162', 'Q8WWY3')"
"('Q13618', 'P0DP25')"
"('Q14129', 'Q9UFD9')"
"('Q14781', 'Q9Y4C1')"
"('P33176', 'Q9ULH0')"
"('P23588', 'Q9H814')"
"('P61024', 'Q96C00')"
"('O75886', 'Q9UMX0')"
"('Q86U38', 'P0DPB6')"
"('Q6RVD6', 'Q9BYQ4')"
"('O43251', 'Q9Y3I1')"
"('P55039', 'Q15742')"
"('Q9P209', 'Q02833')"
"('P62314', 'Q9BUQ8')"
"('Q14999', 'Q13148')"
"('P23396', 'P35558')"
"('P10606', 'O95758')"
"('P21796', 'Q03135')"
"('Q9P2D0', 'Q96KN7')"
"('P40616', 'Q8WXI3')"
"('Q9Y5I7', 'O95471')"
"('Q5VTR2', 'Q5VYV7')"
"('Q6DD88', 'P40939')"
"('P51531', 'P24928')"
"('Q13158', 'P42224')"
"('Q8TCJ0', 'P56192')"
"('P25788', 'P49721')"
"('P19784', 'Q13428')"
"('P78337', 'P35548')"
"('P13645', 'Q9H2C0')"
"('P60842', 'Q16526')"
"('Q8WYQ3', 'P48047')"
"('Q96HA8', 'Q4VCS5')"
"('P50990', 'Q9GZZ9')"
"('Q15008', 'P78545')"
"('Q13315', 'Q96B23')"
"('O75400', 'Q08211')"
"('Q00341', 'P04792')"
"('Q9BVV2', 'Q9UGI0')"
"('P36873', 'Q13263')"
"('Q8N6T7', 'Q9UNN5')"
"('Q9BZI7', 'P61619')"
"('Q9Y2X3', 'Q9BVP2')"
"('Q8N6L0', 'Q9NTX7')"
"('Q9NXE4', 'Q9P0N5')"
"('Q9Y696', 'P46109')"
"('O14974', 'Q08J23')"
"('Q9H8M2', 'Q9H2H0')"
"('Q9H6D8', 'Q03135')"
"('Q8NFJ9', 'Q53HC9')"
"('Q8WVM0', 'Q14197')"
"('P36873', 'O75398')"
"('P04792', 'Q96CS2')"
"('P83731', 'P62244')"
"('P19838', 'Q00325')"
"('Q5VWQ8', 'P31749')"
"('P13639', 'Q07020')"
"('Q6AZY7', 'O15121')"
"('P07900', 'P35916')"
"('Q02539', 'Q9NWZ3')"
"('Q9Y272', 'P26371')"
"('Q86VP6', 'Q13263')"
"('Q29865', 'P43632')"
"('Q9NV70', 'O75962')"
"('Q02930', 'Q7Z3S9')"
"('Q07812', 'Q02156')"
"('O14576', 'P04350')"
"('P58107', 'Q9BX46')"
"('Q9UJP4', 'O14920')"
"('Q86WP2', 'O75031')"
"('Q68CZ2', 'Q15788')"
"('P78371', 'O15379')"
"('Q14974', 'P04626')"
"('P24941', 'Q16778')"
"('Q9UBS8', 'Q13772')"
"('O75496', 'P42771')"
"('P14927', 'P49821')"
"('Q8WZ59', 'Q9BYQ4')"
"('P62330', 'P22695')"
"('O00410', 'P22695')"
"('Q9H190', 'Q14565')"
"('P16234', 'Q86SQ0')"
"('P40692', 'P25786')"
"('P48741', 'Q8TF42')"
"('O95619', 'Q9Y230')"
"('Q9Y5B9', 'Q9NYV4')"
"('Q9UHY7', 'O95394')"
"('A6NFY7', 'Q7Z3Y8')"
"('Q13643', 'Q8IXK0')"
"('Q6A162', 'Q92835')"
"('P62841', 'P35544')"
"('Q6P1J9', 'P51148')"
"('Q8WZ42', 'Q92905')"
"('Q9H6Z9', 'O15027')"
"('Q96BJ8', 'Q9Y580')"
"('Q96P16', 'Q9UBU9')"
"('Q12888', 'Q13185')"
"('O14980', 'O60784')"
"('O75934', 'O95678')"
"('P78347', 'P24928')"
"('Q8NCB2', 'Q9UHK0')"
"('Q9UHA4', 'Q9BRX9')"
"('O14744', 'P19338')"
"('Q9Y676', 'Q86VP6')"
"('Q9UBB9', 'Q9UBU9')"
"('Q15717', 'Q643R3')"
"('Q09472', 'Q99816')"
"('Q8TD17', 'Q92556')"
"('Q9Y2J2', 'P35240')"
"('Q8WUM4', 'O75051')"
"('Q9BPW8', 'P34897')"
"('O95402', 'Q71F56')"
"('Q16670', 'O95273')"
"('P46977', 'Q9H1C4')"
"('Q4L180', 'O76071')"
"('Q9UL63', 'P13284')"
"('O94992', 'P50750')"
"('P15313', 'Q92820')"
"('Q96JM3', 'Q8NCN4')"
"('P29590', 'Q8TEE9')"
"('Q9NRG4', 'P04637')"
"('Q92831', 'Q13465')"
"('Q6ZW49', 'Q9BPX3')"
"('Q96EY4', 'P23508')"
"('O94905', 'Q6IQ23')"
"('P63104', 'P56524')"
"('P61328', 'P35498')"
"('Q9UER7', 'P14373')"
"('Q7Z4S6', 'Q13573')"
"('Q9UNS1', 'P08047')"
"('Q99732', 'P54253')"
"('Q96FJ2', 'O43521')"
"('Q9P015', 'Q9BYD2')"
"('P26358', 'P34932')"
"('O75147', 'P78371')"
"('O96013', 'P04049')"
"('P05412', 'Q9Y2S7')"
"('Q15427', 'P31943')"
"('P12268', 'O95433')"
"('O95870', 'Q8WXA8')"
"('P35372', 'P41143')"
"('P62873', 'P19878')"
"('O60478', 'Q14183')"
"('Q9UK32', 'P49815')"
"('Q7Z2W9', 'Q9Y297')"
"('Q9BS40', 'Q9Y2W1')"
"('P01130', 'P11021')"
"('Q00987', 'P09936')"
"('P07948', 'P24071')"
"('P49407', 'Q8NGX3')"
"('P29353', 'A7KAX9')"
"('Q9UKG9', 'Q02750')"
"('P32969', 'P62273')"
"('P51970', 'P54709')"
"('Q13459', 'Q16513')"
"('Q8WZA2', 'Q99714')"
"('P61289', 'Q15723')"
"('Q96HZ4', 'Q15672')"
"('Q9BYQ6', 'P49639')"
"('P55265', 'Q86VP6')"
"('P03372', 'P40763')"
"('P24928', 'P61218')"
"('Q05513', 'Q9UBS0')"
"('P63000', 'Q9NRY4')"
"('Q13535', 'Q9UQ35')"
"('P13994', 'Q5JVL4')"
"('Q9C0D4', 'Q9Y6Y8')"
"('P10809', 'Q9BXR0')"
"('Q86UW6', 'Q68CZ1')"
"('Q8WXR4', 'P08238')"
"('Q9Y4E1', 'A8K0Z3')"
"('P05067', 'P53041')"
"('P05067', 'P50579')"
"('P42771', 'P40855')"
"('Q00005', 'P04264')"
"('O95760', 'Q01638')"
"('Q9BXY8', 'Q9BQ66')"
"('Q16548', 'Q5HYN5')"
"('Q6ICB0', 'Q8IYU4')"
"('P82650', 'P04629')"
"('P15923', 'Q12874')"
"('P43243', 'Q14999')"
"('Q9BXM7', 'Q07817')"
"('Q71U36', 'Q96T51')"
"('Q9Y3M2', 'Q9HAU0')"
"('Q92598', 'Q13618')"
"('Q12874', 'O43290')"
"('P62834', 'P61586')"
"('P04899', 'Q9ULV4')"
"('Q14141', 'P22314')"
"('Q00688', 'P67809')"
"('Q01970', 'P15311')"
"('Q8TCN5', 'Q9UPM6')"
"('Q99757', 'O95071')"
"('Q9UJV3', 'Q14995')"
"('P00441', 'Q8TCX1')"
"('Q9NV31', 'Q68CQ4')"
"('Q13901', 'P10828')"
"('P63279', 'P20226')"
"('O15162', 'Q6UY14')"
"('Q9H492', 'Q9UHI6')"
"('P09914', 'P14678')"
"('Q6NYC1', 'Q96HR8')"
"('Q9Y4Y9', 'O95817')"
"('P63215', 'Q92569')"
"('Q15691', 'Q9UEY8')"
"('Q9UBZ4', 'Q13137')"
"('Q9UKR5', 'P20073')"
"('Q9BYV2', 'Q6EKJ0')"
"('Q8TCJ0', 'P48643')"
"('Q9UHD2', 'P26373')"
"('Q15831', 'Q9BYZ6')"
"('P84103', 'Q9H583')"
"('Q15910', 'O60925')"
"('Q92918', 'Q8N3Y1')"
"('P43378', 'O43889')"
"('P35348', 'O95837')"
"('Q15077', 'Q9BYR9')"
"('Q9UKK9', 'P32322')"
"('P20339', 'Q6P2P2')"
"('Q12888', 'Q9UH99')"
"('Q13286', 'Q92621')"
"('O43707', 'P13612')"
"('Q9H2G4', 'Q96EY4')"
"('P78362', 'Q7L4I2')"
"('P50225', 'Q04323')"
"('P54136', 'O00560')"
"('Q08AM6', 'Q9BRX9')"
"('O95684', 'Q08117')"
"('P21912', 'Q9Y6M9')"
"('Q9NUG6', 'Q16821')"
"('P50454', 'P15923')"
"('Q8WWY8', 'Q9NWK9')"
"('Q8IY92', 'Q5QP82')"
"('Q02556', 'P41182')"
"('O60826', 'O43295')"
"('Q9H832', 'Q7Z419')"
"('P50222', 'Q8N4B4')"
"('O14530', 'Q15047')"
"('P02675', 'P02671')"
"('P42765', 'Q01085')"
"('O43765', 'Q86UP2')"
"('O00231', 'Q5T3J3')"
"('Q12933', 'Q5VWQ8')"
"('O14757', 'Q9P2P5')"
"('O60762', 'Q92956')"
"('Q96CW1', 'Q9Y4B6')"
"('P78358', 'Q3SY00')"
"('Q99853', 'Q96A35')"
"('P22612', 'P59768')"
"('O95391', 'Q6NYC1')"
"('Q13619', 'Q92905')"
"('P62241', 'Q96HN2')"
"('Q99683', 'P63104')"
"('P02741', 'Q9Y6N6')"
"('P28335', 'Q92847')"
"('Q9H201', 'Q9H2K2')"
"('Q9Y5K5', 'Q16186')"
"('Q9UKY1', 'E9PAV3')"
"('P48431', 'P06493')"
"('Q09472', 'P01106')"
"('P02647', 'P09417')"
"('P37173', 'Q9NWN3')"
"('P42765', 'A1X283')"
"('Q13347', 'Q9UQ35')"
"('P42166', 'Q93009')"
"('Q15849', 'Q5BJF2')"
"('O00571', 'P19320')"
"('P24863', 'Q00535')"
"('P12830', 'O15143')"
"('P61960', 'P20618')"
"('P61586', 'P04844')"
"('Q16543', 'O75626')"
"('Q96SL8', 'P54845')"
"('Q00005', 'P07477')"
"('Q96F24', 'Q9UQE7')"
"('Q6NUQ4', 'Q14974')"
"('P35916', 'Q38SD2')"
"('O43707', 'Q9NUX5')"
"('P30154', 'Q86Y56')"
"('P54277', 'O95997')"
"('Q9UQ35', 'Q92838')"
"('P08865', 'P23396')"
"('O95405', 'Q8TD26')"
"('Q8TEW0', 'P84022')"
"('P04629', 'Q8TB72')"
"('Q01196', 'O75081')"
"('P60709', 'P11441')"
"('P07305', 'Q99496')"
"('P07359', 'P08311')"
"('Q8NI29', 'Q9UNE7')"
"('P04637', 'Q9UL18')"
"('Q9P0L0', 'Q08380')"
"('Q3KP44', 'Q9Y366')"
"('O14980', 'Q7Z6Z7')"
"('P22681', 'P10721')"
"('Q8IU57', 'P29597')"
"('Q96AY2', 'Q8N137')"
"('Q07654', 'P15923')"
"('P62807', 'Q5T1V6')"
"('O14512', 'Q96B26')"
"('P02452', 'P08123')"
"('Q8NA61', 'P25800')"
"('P20936', 'O15524')"
"('Q7Z419', 'P49716')"
"('Q8N3D4', 'O43390')"
"('Q13310', 'Q13595')"
"('P62841', 'P62266')"
"('Q9UBB9', 'Q2M329')"
"('P08631', 'Q9HD26')"
"('P28482', 'Q01085')"
"('P0DP23', 'Q9NR30')"
"('Q7Z3K3', 'O14964')"
"('Q9H5I1', 'P57682')"
"('P00374', 'Q99853')"
"('Q5TA79', 'Q6L8G9')"
"('P05067', 'O94985')"
"('Q8IY22', 'P21333')"
"('Q99471', 'Q08209')"
"('P48431', 'O14497')"
"('P13861', 'P51787')"
"('P58876', 'P00533')"
"('Q9BQ66', 'Q5T752')"
"('Q15185', 'Q9Y463')"
"('Q8TC76', 'Q9P244')"
"('O00148', 'Q9GZZ9')"
"('Q9UDV7', 'Q6NUN9')"
"('Q8TBB1', 'P49639')"
"('P10914', 'Q9Y4K3')"
"('Q9UHX1', 'Q9C009')"
"('P78527', 'O43918')"
"('O95166', 'O15553')"
"('Q13405', 'Q86VP6')"
