negatives
"('P05198', 'P56192')"
"('Q92598', 'P60520')"
"('P02549', 'Q9H2C0')"
"('Q16627', 'O00574')"
"('Q969U6', 'Q99750')"
"('P54274', 'Q15651')"
"('P01236', 'Q99665')"
"('Q9H0W9', 'P29401')"
"('Q5TA50', 'Q5S007')"
"('P06744', 'Q8WXK1')"
"('O60293', 'P78362')"
"('P23511', 'Q9H4I2')"
"('O75360', 'Q16772')"
"('Q8WV28', 'Q9UKW4')"
"('P13010', 'P09651')"
"('Q92993', 'Q9Y2I6')"
"('Q13617', 'Q8TES7')"
"('Q13330', 'Q9NVP1')"
"('Q13286', 'Q9Y4R8')"
"('P63000', 'P52564')"
"('Q14289', 'Q05655')"
"('Q9UL42', 'Q96SQ5')"
"('Q8N3F8', 'Q9P2R3')"
"('Q4VCS5', 'Q5VTT5')"
"('Q5VWG9', 'Q99733')"
"('Q9UHV9', 'Q99759')"
"('Q14573', 'Q86YM7')"
"('P68036', 'Q96BK5')"
"('Q9H6R7', 'Q9HCP0')"
"('Q14498', 'P13010')"
"('Q03164', 'Q96Q27')"
"('Q15293', 'Q8IX12')"
"('Q99496', 'O14980')"
"('Q96DC9', 'Q16630')"
"('P41182', 'P51671')"
"('P60520', 'P62308')"
"('Q9P2N5', 'O43678')"
"('P16402', 'P09067')"
"('P53992', 'Q9NZC7')"
"('Q15149', 'P55072')"
"('P35226', 'Q2TAY7')"
"('O14777', 'Q9P1Z2')"
"('P62269', 'P62273')"
"('Q9H9A5', 'Q8WUE5')"
"('O60231', 'Q9NRC8')"
"('Q8N6Y0', 'O60573')"
"('Q9NVC6', 'O95988')"
"('Q8TF72', 'P31947')"
"('Q9BYR6', 'Q3LI76')"
"('P02741', 'P49716')"
"('P68104', 'P10301')"
"('O43143', 'Q12962')"
"('P36873', 'Q9Y4K3')"
"('O60504', 'P60006')"
"('Q9Y5P8', 'Q01668')"
"('P19320', 'P17858')"
"('Q9BXA7', 'P50222')"
"('Q8IYD2', 'Q8IVD9')"
"('Q8NCM8', 'P68366')"
"('Q9UHD9', 'P05362')"
"('Q9UHY8', 'Q7L2K0')"
"('Q6P1N9', 'O94903')"
"('P08559', 'O94966')"
"('Q5VTE0', 'P13612')"
"('Q9UK41', 'Q9H7P6')"
"('Q13573', 'P42285')"
"('Q06609', 'Q14114')"
"('Q9Y5V3', 'P31274')"
"('P14866', 'P22626')"
"('P29558', 'O95182')"
"('Q5QNW6', 'Q96KK5')"
"('Q6FHJ7', 'P31321')"
"('P48378', 'Q96NZ1')"
"('P05771', 'Q02930')"
"('Q13057', 'Q6UXV4')"
"('Q6ZMI0', 'Q9H0U6')"
"('Q13315', 'Q14839')"
"('Q9H0W5', 'P41252')"
"('P53992', 'Q86VP6')"
"('Q8NG06', 'O43237')"
"('Q99496', 'Q3ZCQ8')"
"('Q9P1U1', 'Q9Y224')"
"('Q9Y570', 'Q9BUL8')"
"('Q9ULK4', 'O43513')"
"('O60315', 'Q13461')"
"('Q9Y3E7', 'P15313')"
"('Q7Z304', 'O75792')"
"('P62987', 'Q96AP0')"
"('P62807', 'O00255')"
"('P18887', 'Q8IW19')"
"('P46108', 'Q9BWW9')"
"('O15455', 'Q14790')"
"('Q15428', 'Q15393')"
"('P43356', 'Q8IYX8')"
"('Q13618', 'O43290')"
"('Q9UHX1', 'Q9NWB6')"
"('P68400', 'O60671')"
"('Q8NHW5', 'P05412')"
"('Q99880', 'P05362')"
"('P52732', 'P62753')"
"('P63220', 'P62269')"
"('Q5VU69', 'Q9Y5B8')"
"('P16234', 'Q9Y371')"
"('Q3B820', 'Q86X02')"
"('Q9HCG8', 'P61326')"
"('Q13315', 'Q9Y242')"
"('Q96S59', 'Q9Y4K3')"
"('Q8IZH2', 'Q9Y2D8')"
"('P21918', 'P50148')"
"('P0DJI8', 'Q9BQB6')"
"('Q9H6Y5', 'P07992')"
"('Q13620', 'O43379')"
"('Q9Y5A7', 'Q14517')"
"('O75783', 'Q5TCQ9')"
"('P35226', 'P42285')"
"('P01106', 'P05412')"
"('Q9BRK4', 'Q9BZL3')"
"('Q8NA72', 'Q9NVX0')"
"('Q9ULJ3', 'Q8WUY9')"
"('P05771', 'P32121')"
"('Q96JA1', 'P55072')"
"('Q96L21', 'Q9Y487')"
"('Q15717', 'Q96BN8')"
"('O00410', 'Q7L2J0')"
"('Q9BSJ8', 'Q9H3N1')"
"('Q13185', 'Q96IY1')"
"('P19838', 'Q9NZN8')"
"('P0DMV8', 'O14929')"
"('P21281', 'Q14432')"
"('O43865', 'P31948')"
"('Q9H788', 'Q08379')"
"('P32121', 'P25963')"
"('Q86W54', 'Q15154')"
"('Q16526', 'P07437')"
"('Q8WY91', 'Q9Y3A3')"
"('P49736', 'Q15067')"
"('Q9ULW3', 'P04156')"
"('O43566', 'P05107')"
"('Q8NEM0', 'Q06609')"
"('P60033', 'P07437')"
"('P37231', 'P49716')"
"('Q8NH83', 'Q9P2W3')"
"('Q13107', 'O00231')"
"('Q9H2H8', 'Q99933')"
"('Q5T5U3', 'Q66GS9')"
"('P55957', 'O14920')"
"('Q8TAQ2', 'Q15459')"
"('Q96BS2', 'Q7Z6B0')"
"('Q12972', 'Q99459')"
"('Q9UGL1', 'Q9NXW2')"
"('O14980', 'Q9NR50')"
"('Q8TC76', 'O75044')"
"('Q9BVC6', 'O00421')"
"('Q12929', 'Q969G3')"
"('P54578', 'P62195')"
"('P42766', 'Q9UKV8')"
"('Q8N5V2', 'P61586')"
"('P51665', 'P10606')"
"('Q9BYI3', 'Q86TV6')"
"('P08758', 'Q9Y6N6')"
"('P27986', 'P32927')"
"('P62136', 'Q9ULJ8')"
"('O94889', 'Q86YR5')"
"('P05455', 'Q15046')"
"('P19012', 'Q9H0I2')"
"('O95817', 'Q07912')"
"('Q96RU3', 'Q9H0R8')"
"('P06400', 'Q96EB6')"
"('Q08117', 'P60411')"
"('Q15170', 'P63151')"
"('Q86WU2', 'Q8N5A5')"
"('Q4VC31', 'P62837')"
"('Q9UNE7', 'O14746')"
"('P01106', 'Q5VV43')"
"('Q00536', 'O60307')"
"('Q8NI27', 'Q86W42')"
"('P22694', 'Q9H346')"
"('Q9BUZ4', 'Q9UHD9')"
"('Q9Y5E8', 'Q13867')"
"('P47755', 'Q53GL0')"
"('P27635', 'Q05D32')"
"('P05412', 'Q13155')"
"('Q13315', 'Q9UJX0')"
"('Q7Z434', 'P0C7P0')"
"('Q9H993', 'O00422')"
"('Q96J01', 'Q8WU90')"
"('Q969T9', 'P46934')"
"('Q5T5U3', 'P63104')"
"('Q96PK6', 'Q13618')"
"('Q14204', 'Q8IWL3')"
"('P42677', 'P18077')"
"('P52272', 'O94906')"
"('Q9BUJ2', 'P52948')"
"('P16104', 'Q03111')"
"('Q5TB80', 'O60308')"
"('P61812', 'Q6EMK4')"
"('Q16543', 'Q13451')"
"('P10909', 'Q9BWU1')"
"('Q14164', 'Q15459')"
"('Q13490', 'Q9HC29')"
"('P13533', 'Q24JP5')"
"('O15027', 'Q9NZN9')"
"('Q8WVS4', 'Q86YD3')"
"('Q86V81', 'P17844')"
"('P48357', 'P12931')"
"('O15123', 'P35916')"
"('P01024', 'O60216')"
"('P21333', 'P01106')"
"('Q99848', 'P11487')"
"('Q9Y6H1', 'Q04864')"
"('P35226', 'Q9Y224')"
"('Q9BQ39', 'Q9H0W5')"
"('Q9NRX4', 'Q9H477')"
"('Q70IA8', 'Q63ZY3')"
"('P50613', 'O95067')"
"('Q05655', 'P21730')"
"('P00533', 'P63092')"
"('Q6Y7W6', 'P06729')"
"('Q92624', 'P0CI01')"
"('P54132', 'Q9UQ84')"
"('O00159', 'Q0ZGT2')"
