#tail	head	num_paths
P01133	P04626	1
P04626	Q92625	2
P01133	O75582	2
O75582	P18846	1
P01133	P36888	1
P36888	P49715	1
P01133	P00533	1
P00533	P17676	4
O75582	P16220	1
P01133	P04629	3
P04629	Q13363	2
P04629	P68104	2
P01133	Q07890	3
Q07890	P19419	1
P01133	Q9UBN7	3
Q9UBN7	Q15717	1
Q15717	P28324	2
Q07890	P01100	1
P01133	P16234	2
P16234	Q12778	1
P16234	P98177	1
P01133	P63279	2
P63279	Q13547	1
P01133	P62736	2
P62736	P05412	1
P01133	P21802	6
P21802	P09630	1
P09630	P17535	1
Q9UBN7	Q07666	1
P01133	P63104	1
P63104	O14901	1
P04629	O94776	2
Q07890	P01106	1
P21802	P60484	1
P60484	Q9Y6Q9	1
P62736	P19838	1
P63279	Q9Y6X2	1
P01133	P62993	1
P62993	Q16576	2
Q9UBN7	Q04206	1
P01133	P02545	1
P02545	O14593	3
P01133	P06213	1
P06213	Q15796	2
P01133	P22681	1
P22681	P84022	1
P01133	P36956	1
P36956	P08047	1
P01133	P35968	1
P35968	P42224	1
P21802	P40763	1
P21802	P42229	1
P21802	P51692	1
P21802	P05067	1
P05067	Q15583	1
P00533	Q92625	3
P00533	P63104	2
P63104	P18846	4
P00533	P10275	8
P10275	P49715	3
P10275	P16220	2
P00533	Q13363	3
P00533	P68104	2
P00533	P16885	2
P16885	P19419	4
P00533	P45983	2
P45983	P28324	2
P00533	P01100	3
P00533	Q00535	2
Q00535	Q12778	2
P00533	P54619	2
P54619	P98177	2
P00533	Q8TDI0	4
Q8TDI0	Q13547	1
P00533	P54577	2
P54577	P05412	2
P10275	P17535	2
P00533	Q68CZ2	1
Q68CZ2	Q07666	1
P00533	P42858	2
P42858	O14901	2
Q8TDI0	O94776	2
P00533	P68366	3
P68366	P01106	1
P00533	Q05397	2
Q05397	Q9Y6Q9	3
P00533	P19838	2
P00533	P61978	3
P61978	Q9Y6X2	2
Q8TDI0	Q16576	1
P00533	Q99933	1
Q99933	Q04206	1
P00533	P02545	2
P68366	Q15796	2
P61978	P84022	1
P00533	P06748	2
P06748	P08047	2
P00533	P42224	2
P00533	P40763	2
P00533	P42229	3
P00533	P51692	2
P10275	Q15583	3
P04626	P08069	1
P08069	P63104	1
P04626	P03372	3
P03372	P49715	1
P04626	P35354	4
P35354	P17676	1
P04626	Q16543	1
Q16543	P16220	1
P04626	P00533	1
P04626	P07900	3
P07900	P68104	1
P04626	P16885	1
P04626	Q9GZT3	2
Q9GZT3	Q15717	2
P35354	P01100	1
P04626	Q9UNE7	1
Q9UNE7	Q12778	1
P03372	P98177	1
P35354	Q13547	1
P04626	P15498	2
P15498	P05412	1
P04626	P24385	1
P24385	P17535	1
P15498	Q07666	2
Q15717	O14901	1
P03372	O94776	1
P07900	P01106	1
P04626	P07355	1
P07355	Q9Y6Q9	1
P35354	P19838	1
P04626	Q15303	2
Q15303	Q9Y6X2	2
P04626	P62993	1
P04626	P15941	1
P15941	Q04206	1
P04626	Q99623	1
Q99623	O14593	1
P04626	P20936	1
P20936	Q15796	1
P04626	P49336	1
P49336	P84022	1
P07900	P08047	1
P04626	P42224	1
P04626	P40763	1
Q15303	P42229	2
P04626	Q13882	1
Q13882	P51692	2
P04626	P35222	1
P35222	Q15583	1
P21860	Q13882	2
Q13882	Q92625	1
P21860	P0DMV8	10
P0DMV8	P63104	1
P21860	P10275	2
P21860	P42684	1
P42684	P17676	1
P21860	P31749	6
P31749	P16220	1
P31749	Q13363	1
P0DMV8	P68104	1
P21860	P16885	1
P0DMV8	P20226	1
P20226	P28324	1
P0DMV8	P01100	1
P31749	Q12778	1
P31749	P98177	1
P21860	P43405	1
P43405	Q13547	1
P0DMV8	P05412	1
P21860	P18146	2
P18146	P17535	1
P21860	P15498	1
P18146	O14901	1
P21860	Q9H9S0	1
Q9H9S0	O94776	1
P0DMV8	P01106	1
P21860	Q05397	1
P0DMV8	P19838	1
P21860	Q15303	2
P21860	P01889	1
P01889	Q16576	1
P0DMV8	Q04206	1
P21860	Q96EY7	1
Q96EY7	O14593	1
P0DMV8	Q15796	1
P0DMV8	P84022	1
P31749	P08047	1
P31749	P42224	1
P21860	P30450	1
P30450	P40763	1
Q8NFM7	P00533	27
Q8NFM7	Q9Y4K3	2
Q9Y4K3	Q13547	1
Q8NFM7	O43318	4
O43318	Q07666	1
O43318	P01106	1
Q9Y4K3	Q16576	1
O43318	Q04206	1
O43318	P84022	1
P10586	P00533	4
P10586	O60939	1
O60939	Q13315	1
Q13315	P18846	1
P10586	P28482	9
P28482	P49715	1
P28482	P16220	1
P10586	P04629	7
P28482	P19419	1
P28482	P28324	1
P28482	Q12778	1
P28482	P98177	1
P10586	Q96KM6	2
Q96KM6	Q13547	1
P10586	O75400	3
O75400	P05412	1
P28482	P17535	1
P04629	Q07666	1
P28482	O14901	1
P10586	O14654	2
O14654	P01106	1
P10586	P19838	3
P19838	Q9Y6Q9	1
O75400	Q9Y6X2	1
Q96KM6	Q16576	1
O14654	Q04206	1
O75400	P52272	1
P52272	O14593	1
P10586	P06213	1
P10586	P35568	1
P35568	P84022	1
P19838	P08047	1
P04629	P42224	1
P04629	P40763	1
P04629	P51692	1
P28482	Q15583	1
