negatives
"('Q9Y6J0', 'P62158')"
"('Q13233', 'P21333')"
"('Q16610', 'Q12805')"
"('P13073', 'Q07820')"
"('Q8IWZ8', 'Q92620')"
"('P05556', 'P09382')"
"('Q13432', 'P09429')"
"('O00501', 'Q8N7P3')"
"('Q14397', 'P35557')"
"('P16220', 'Q9Y3S1')"
"('P47914', 'P40429')"
"('P31749', 'Q8TEY5')"
"('P22626', 'Q05519')"
"('Q53G59', 'Q9NP79')"
"('P22528', 'Q15853')"
"('P17252', 'Q15717')"
"('P98175', 'P84085')"
"('Q13042', 'P84022')"
"('P61073', 'Q99623')"
"('O15389', 'O60880')"
"('P10644', 'Q15750')"
"('P25054', 'O14513')"
"('Q8N1G0', 'P63165')"
"('P55795', 'P50616')"
"('P55196', 'O14640')"
"('P40337', 'Q9BRA2')"
"('P04899', 'P42338')"
"('Q8TCY5', 'Q01726')"
"('Q9HBM6', 'O94864')"
"('Q9NYJ8', 'Q9Y265')"
"('P30304', 'Q9BWU1')"
"('Q96PY6', 'Q9GZX5')"
"('Q6FI13', 'Q9UBN7')"
"('P07333', 'P42566')"
"('O75365', 'Q5SRE5')"
"('P35222', 'P20265')"
"('P36406', 'Q99816')"
"('Q9Y3E7', 'O43633')"
"('O95400', 'P62308')"
"('P07550', 'Q5TCQ9')"
"('Q96Q83', 'Q9UBU8')"
"('P10914', 'Q92793')"
"('P19320', 'P05556')"
"('P57078', 'Q9BUZ4')"
"('P61968', 'P48739')"
"('Q9H0Q3', 'Q9GZT6')"
"('Q99985', 'O14786')"
"('Q9BXP5', 'P61978')"
"('P22612', 'Q08828')"
"('Q92918', 'O43318')"
"('P20290', 'P35222')"
"('Q14790', 'Q9H3D4')"
"('Q8NEV4', 'P40227')"
"('Q00653', 'Q6P2Q9')"
"('Q9UI09', 'O14561')"
"('Q13469', 'P43694')"
"('Q9GZM8', 'Q3V6T2')"
"('406900', 'Q96J02')"
"('Q16576', 'Q09028')"
"('O15524', 'Q9UM73')"
"('P49642', 'P25788')"
"('P55011', 'O60266')"
"('Q8N5V2', 'O43809')"
"('P15336', 'Q9NR55')"
"('P42336', 'O00329')"
"('O95685', 'Q9Y243')"
"('P05113', 'P40238')"
"('Q13191', 'P22455')"
"('P23284', 'P23508')"
"('O95863', 'Q9Y297')"
"('P05997', 'O75578')"
"('P25025', 'P04899')"
"('P08107', 'P12830')"
"('P53680', 'O75417')"
"('Q9NQN1', 'P38405')"
"('P22455', 'P29353')"
"('Q13263', 'P62136')"
"('P62993', 'P15941')"
"('P10082', 'Q12884')"
"('P27361', 'P37840')"
"('P05412', 'Q13469')"
"('O75964', 'O75947')"
"('Q8IY92', 'P51610')"
"('Q99963', 'P35527')"
"('Q5VWQ8', 'Q07889')"
"('P59998', 'Q07890')"
"('Q99996', 'O43586')"
"('Q96JK9', 'Q9UM47')"
"('Q8TF20', 'P49716')"
"('Q9P2G9', 'P05387')"
"('Q13404', 'P50876')"
"('P56704', 'P34925')"
"('P12829', 'P02768')"
"('P82650', 'Q9UBC1')"
"('P31947', 'O15151')"
"('P33316', 'Q96BK5')"
"('P52948', 'Q9UM73')"
"('Q13547', 'P37231')"
"('P35080', 'P68104')"
"('Q8WWW0', 'Q92624')"
"('Q13535', 'P08047')"
"('Q9UQ80', 'Q15329')"
"('P50750', 'P19838')"
"('Q969Q6', 'Q9UF02')"
"('P61086', 'Q9UHQ1')"
"('Q96EP1', 'Q15078')"
"('Q96A08', 'Q15291')"
"('Q99459', 'P48444')"
"('P19012', 'Q6ZU52')"
"('P67775', 'P49368')"
"('P06858', 'Q9P2H0')"
"('Q15047', 'Q9NY59')"
"('Q9Y3V2', 'P25963')"
"('Q96I34', 'O43252')"
"('Q9NW38', 'Q96B02')"
"('Q9UKN5', 'P08138')"
"('P12931', 'Q14118')"
"('P27816', 'Q96L34')"
"('P17612', 'Q93100')"
"('Q8NE71', 'Q9NX58')"
"('O75478', 'Q92830')"
"('Q15185', 'P30480')"
"('P62158', 'Q00653')"
"('P53803', 'P61218')"
"('P01106', 'Q9BVK8')"
"('Q9UKV8', 'P53621')"
"('Q9UGP4', 'Q9H422')"
"('Q9BZR6', 'P08138')"
"('P32121', 'Q8NH90')"
"('Q86YW9', 'Q9Y2X0')"
"('Q12824', 'Q92922')"
"('P55072', 'Q9UNZ2')"
"('Q13557', 'Q13501')"
"('Q9HBI1', 'Q13418')"
"('Q9HC52', 'P84243')"
"('P25100', 'O95837')"
"('Q6PID8', 'Q13617')"
"('O00471', 'P42285')"
"('Q9Y4X3', 'P46092')"
"('P01106', 'Q14129')"
"('Q13501', 'Q9Y6K9')"
"('Q9UKI9', 'P51610')"
"('Q86VX9', 'Q15750')"
"('P12931', 'P31995')"
"('Q9BPU6', 'P11021')"
"('P35070', 'Q15303')"
"('Q96IP4', 'P08572')"
"('P01106', 'Q96PK6')"
"('Q12933', 'Q5VWQ8')"
"('P01579', 'P10912')"
"('P35968', 'P46109')"
"('Q16827', 'O14531')"
"('P62258', 'P10398')"
"('P12931', 'Q9NRY4')"
"('P20248', 'Q13309')"
"('Q96NY9', 'Q96AY2')"
"('O96013', 'P53667')"
"('Q9UNY4', 'P43243')"
"('P27348', 'P23246')"
"('P61421', 'P56559')"
"('Q15257', 'P78371')"
"('Q14451', 'P15880')"
"('Q8IW93', 'Q9Y4D1')"
"('P42263', 'Q14957')"
"('Q6WCQ1', 'P52735')"
"('P30153', 'P52630')"
"('P22415', 'Q02880')"
"('Q9H9Q4', 'P49917')"
"('Q29983', 'P62987')"
"('Q99558', 'P35544')"
"('P26045', 'P04626')"
"('Q6WCQ1', 'P80723')"
"('P55072', 'O00221')"
"('Q9UNF1', 'Q9BUV8')"
"('P51149', 'P23508')"
"('P15311', 'P16871')"
"('P50914', 'Q9UL18')"
"('P21333', 'Q9Y572')"
"('Q14161', 'O43307')"
"('P08047', 'P46695')"
"('P61587', 'O75914')"
"('P14866', 'P52756')"
"('P07437', 'P49642')"
"('P10275', 'Q92759')"
"('P07948', 'Q9Y6Q6')"
"('Q9Y3E5', 'Q14164')"
"('Q13217', 'P11142')"
"('P17948', 'Q00722')"
"('P08107', 'Q9Y239')"
"('Q9UNH5', 'Q9UJX5')"
"('P17948', 'P40763')"
"('O00585', 'P51677')"
"('Q14191', 'P0CG48')"
"('Q14194', 'P31942')"
"('Q9Y2Q3', 'Q8N1F7')"
"('Q92752', 'P18827')"
"('Q96D71', 'P11234')"
"('P23284', 'Q9HC24')"
"('Q12933', 'P13994')"
"('Q9UBC3', 'Q15910')"
"('P25440', 'Q96L91')"
"('Q66LE6', 'Q08289')"
"('P80303', 'P55210')"
"('O95391', 'Q9H2H8')"
"('P00519', 'Q9Y6W5')"
"('P09619', 'O00459')"
"('Q96PU5', 'Q9Y3C5')"
"('P62136', 'Q96QC0')"
"('Q02224', 'Q9Y6A5')"
"('406937', 'Q08209')"
"('Q9Y618', 'P10276')"
"('Q8NAV1', 'Q14181')"
"('Q9BZ23', 'P19838')"
"('O94875', 'P32969')"
"('Q93077', 'Q9BY41')"
"('P10070', 'P62258')"
"('P35606', 'Q9UKE5')"
"('Q8IWE5', 'P51151')"
"('Q16401', 'O00231')"
"('Q16548', 'Q96PG8')"
"('Q13772', 'P19793')"
"('P01889', 'O60506')"
"('P10070', 'Q9NRP7')"
"('Q9UER7', 'Q01201')"
"('Q96EB6', 'P22492')"
"('Q96CV9', 'Q8TF68')"
"('Q9HAV0', 'P63096')"
"('O14641', 'Q8N4T4')"
"('Q8N257', 'Q13547')"
"('P56182', 'P68104')"
"('O14920', 'P98177')"
"('P35372', 'Q5JWF2')"
"('P60709', 'Q8TF72')"
"('P12931', 'Q9Y4J8')"
"('Q96EZ8', 'Q9NPJ6')"
"('P14784', 'P23458')"
"('P19419', 'P62380')"
"('P63000', 'Q9Y6R4')"
"('P23945', 'Q9UKG1')"
"('Q92932', 'Q9H254')"
"('Q9H8V3', 'Q99459')"
"('P68371', 'Q96NA2')"
"('P05412', 'Q9UPN3')"
"('Q16625', 'O75508')"
"('P05112', 'P26951')"
"('P55055', 'O94875')"
"('P01106', 'P08047')"
"('P22681', 'Q07666')"
"('P18146', 'P10275')"
"('Q07960', 'P63000')"
"('Q96HE7', 'P13667')"
"('Q92830', 'Q09472')"
"('Q12923', 'Q9HB21')"
"('P10275', 'O15393')"
"('P30556', 'P28482')"
"('P63104', 'Q08211')"
"('P00519', 'Q9Y6Q9')"
"('O15455', 'Q8N5C8')"
"('P51684', 'O60674')"
"('P04628', 'P09544')"
"('P63104', 'Q00839')"
"('O43677', 'O96000')"
"('P50991', 'P53041')"
"('P02768', 'P02671')"
"('Q9NS68', 'Q13077')"
"('Q13112', 'P12004')"
"('Q13535', 'Q8IX21')"
"('Q13547', 'Q14839')"
"('P32121', 'Q96RB7')"
"('P17252', 'P22612')"
"('Q08117', 'Q99963')"
"('B1A4H9', 'P17181')"
"('O76071', 'O14519')"
"('P19878', 'O15264')"
"('P55211', 'P55210')"
"('Q8N5F7', 'Q01081')"
"('Q16630', 'Q99504')"
"('O95990', 'P27824')"
"('P53778', 'Q04206')"
"('P52798', 'P54764')"
"('Q9UKE5', 'P08579')"
"('P17275', 'P32519')"
"('P00441', 'Q9BUN8')"
"('O95486', 'Q9NQW1')"
"('P54274', 'P00519')"
"('O95347', 'P19532')"
"('P08572', 'P26010')"
"('Q8NI22', 'P49257')"
"('P51587', 'Q86YC2')"
"('P51817', 'Q9UGJ0')"
"('Q9NYJ8', 'P53778')"
"('O95136', 'P08754')"
"('P17252', 'Q9H0R8')"
"('Q13200', 'O75815')"
"('P55854', 'P63279')"
"('Q9H2G2', 'Q13285')"
"('P21781', 'Q02763')"
"('Q96SB3', 'O15169')"
"('Q96RQ1', 'P27361')"
"('Q13315', 'Q96EA4')"
"('P54253', 'Q96N03')"
"('P84022', 'Q9Y2K2')"
"('O95750', 'P08138')"
"('Q8N5R6', 'Q7Z6G3')"
"('Q9NP31', 'P04626')"
"('Q9Y4K3', 'P08581')"
"('Q15628', 'Q9NR12')"
"('P24522', 'P32456')"
"('P62888', 'P62910')"
"('Q13158', 'Q05513')"
"('Q17RP2', 'P07199')"
"('Q16539', 'Q9Y2T4')"
"('Q92830', 'Q12962')"
"('P01106', 'Q6XE24')"
"('O14979', 'P16104')"
"('Q8IZ07', 'Q99717')"
"('P62258', 'P98175')"
"('Q9NPF8', 'P04156')"
"('P45984', 'Q9Y5K3')"
"('P61513', 'P62987')"
"('Q53ET0', 'P14060')"
"('O95166', 'Q9Y5U8')"
"('P12757', 'Q15036')"
"('P45983', 'P28324')"
"('P16104', 'Q9UKV0')"
"('O75604', 'Q7L4P6')"
"('P83916', 'P68431')"
"('Q9UPT9', 'P06865')"
"('P12980', 'Q9NQV8')"
"('P32456', 'Q9Y2M5')"
"('P63173', 'P43146')"
"('Q07020', 'Q15843')"
"('Q12959', 'O95996')"
"('Q9Y678', 'Q99459')"
"('P05556', 'P08195')"
"('P10276', 'P30041')"
"('Q15388', 'Q96C03')"
"('Q8WWV3', 'Q9NQC3')"
"('P55072', 'Q8TAT6')"
"('P36957', 'Q02218')"
"('P61289', 'Q9H1Y0')"
"('P62140', 'Q9UF02')"
"('Q8WUX9', 'Q15102')"
"('A0JLT2', 'Q9Y2X9')"
"('O14686', 'Q9C005')"
"('P60484', 'P08047')"
"('Q6ZRS2', 'Q9NPF5')"
"('O15230', 'P11047')"
"('Q15029', 'P01106')"
"('Q9H4E5', 'O96013')"
"('P11171', 'P49720')"
"('O14543', 'Q13526')"
"('Q13952', 'Q9NZM4')"
"('P62753', 'P22090')"
"('Q14687', 'Q93062')"
"('Q14164', 'P07910')"
"('Q9P0W0', 'P48551')"
"('O75159', 'P10721')"
"('Q14103', 'Q15424')"
"('Q96G01', 'Q14203')"
"('P25116', 'P61952')"
"('P17301', 'P60709')"
"('Q9NRA8', 'Q14974')"
"('P16220', 'P32969')"
"('Q9H0I3', 'P54257')"
"('P52630', 'Q7Z2W4')"
"('P18509', 'P41586')"
"('Q15645', 'Q9H4B4')"
"('Q96SN8', 'Q9Y383')"
"('P35998', 'P62191')"
"('P01106', 'Q9H9P8')"
"('P50552', 'P05106')"
"('P78527', 'Q9HB75')"
"('Q09472', 'Q8IZL2')"
"('Q02750', 'P27361')"
"('406883', 'P01116')"
"('P01562', 'P26992')"
"('P54619', 'P98177')"
"('P82279', 'P02768')"
"('P07237', 'Q9H3N1')"
"('P17931', 'P12318')"
"('Q9UJX2', 'P40938')"
"('Q6IA17', 'O00206')"
"('Q9HC98', 'P46459')"
"('P61978', 'Q01081')"
"('O95999', 'P62979')"
"('P84022', 'P62993')"
"('O94842', 'P16885')"
"('Q9HBE4', 'P19235')"
"('Q9H422', 'P62993')"
"('P22090', 'P08865')"
"('Q9UL18', 'P62899')"
"('P02763', 'P05121')"
"('Q9Y2D8', 'P18146')"
"('Q16594', 'O75486')"
"('O60508', 'P84103')"
"('P46940', 'P62316')"
"('O60684', 'Q9Y6F8')"
"('O95484', 'P56748')"
"('Q9H840', 'Q9Y3F4')"
"('Q99828', 'P11802')"
"('P16220', 'Q53TS8')"
"('Q9BXL7', 'Q9Y6K9')"
"('P50616', 'Q9C0C2')"
"('P53350', 'A4QPB2')"
"('Q9UKX5', 'Q07890')"
"('P04259', 'P08727')"
"('Q92734', 'P01112')"
"('Q9UJU2', 'O95813')"
"('P35626', 'Q8NGJ6')"
"('P36888', 'Q92835')"
"('Q9Y466', 'P15170')"
"('P08865', 'P62244')"
"('Q9BQD3', 'Q9H8S9')"
"('P63173', 'P84098')"
"('P29353', 'Q07889')"
"('Q9UKN8', 'Q13573')"
"('P63000', 'P0CG48')"
"('P55769', 'Q5UIP0')"
"('Q16566', 'Q08493')"
"('Q8NCD3', 'P49450')"
"('Q9P0J0', 'P40763')"
"('O76081', 'Q92504')"
"('Q12933', 'Q92569')"
"('P17181', 'P52333')"
"('P35222', 'Q8WVC0')"
"('P08754', 'Q08462')"
"('Q9Y4K3', 'P60228')"
"('P04637', 'Q96PG8')"
"('P62993', 'Q92988')"
"('P61587', 'Q13177')"
"('Q9UBT2', 'P30480')"
"('O43182', 'P60953')"
"('P40763', 'P41597')"
"('P20226', 'P14859')"
"('Q14789', 'P51636')"
"('Q9C004', 'P04049')"
"('P46777', 'P27635')"
"('O43915', 'P21802')"
"('O15230', 'P26012')"
"('P38919', 'P63104')"
"('P08865', 'P39019')"
"('P15311', 'P23508')"
"('P62158', 'P11233')"
"('P18124', 'Q9UHD2')"
"('Q9C0J8', 'Q9UKY1')"
"('Q13023', 'P06241')"
"('Q13485', 'O75593')"
"('P36873', 'Q13554')"
"('Q01831', 'P54725')"
"('Q6XUX3', 'P49720')"
"('P18615', 'Q15836')"
"('P41235', 'P55157')"
"('P01137', 'P36897')"
"('P67870', 'Q9H9F9')"
"('Q16778', 'Q9BTM1')"
"('P58012', 'P19875')"
"('Q99961', 'P35968')"
"('P02458', 'P56199')"
"('406919', 'P09603')"
"('Q04206', 'P01100')"
"('P20366', 'Q13596')"
"('Q99459', 'O75334')"
"('P45983', 'Q9BPZ7')"
"('Q9UBI6', 'Q00975')"
"('P54259', 'O14641')"
"('Q9UQK1', 'Q9NZT1')"
"('Q9H9A6', 'Q99459')"
"('P47992', 'P32248')"
"('Q15528', 'Q96HR3')"
"('P68431', 'Q14781')"
"('P19838', 'P10914')"
"('Q96B02', 'P78317')"
"('P06241', 'Q07666')"
"('O95467', 'Q9Y265')"
"('P28482', 'P15309')"
"('P61247', 'P62979')"
"('100302193', 'Q9H9Z2')"
"('Q9H4B4', 'P33241')"
"('P06396', 'O43707')"
"('O60880', 'Q15052')"
"('P26373', 'P62891')"
"('O75947', 'O75964')"
"('P02775', 'P46092')"
"('P24468', 'P23769')"
"('P61073', 'Q15853')"
"('P01889', 'P26640')"
"('P17252', 'O94806')"
"('Q99459', 'Q12996')"
"('Q9H0J4', 'O60232')"
"('Q86WV6', 'P39656')"
"('O94806', 'Q9H0R8')"
"('Q8TCG1', 'Q9UQF2')"
"('Q9UHD2', 'P51116')"
"('P06702', 'P30153')"
"('Q6P1J9', 'Q92797')"
"('O75379', 'O00161')"
"('P55157', 'P12018')"
"('P49841', 'P17844')"
"('Q99704', 'P42680')"
"('P07602', 'Q86YV5')"
"('Q16619', 'Q13651')"
"('P18077', 'P46778')"
"('P47914', 'P62899')"
"('Q9BQ66', 'Q9BYD3')"
"('Q04759', 'Q9BXL7')"
"('P04628', 'Q9NPG1')"
"('P16104', 'Q96QK1')"
"('P17612', 'Q9BXT2')"
"('Q16643', 'Q9Y572')"
"('P63000', 'P14778')"
"('P05451', 'P40763')"
"('P49755', 'Q9Y2Q3')"
"('O60814', 'P20671')"
"('Q9NYU2', 'P04222')"
"('Q13972', 'P01116')"
"('P35226', 'Q8NDX5')"
"('O15143', 'P59998')"
"('P01106', 'Q8TCU6')"
"('P12268', 'Q9UBN6')"
"('P18146', 'Q12772')"
"('P03886', 'Q9P0J0')"
"('Q13315', 'O43524')"
"('P00734', 'P07359')"
"('Q16539', 'Q06413')"
"('Q9H5I1', 'P16333')"
"('P01243', 'P67870')"
"('Q15291', 'Q9UPS6')"
"('P31947', 'P30305')"
"('Q9UHV9', 'Q9Y478')"
"('Q96EK5', 'Q13573')"
"('Q16891', 'P33240')"
"('P49407', 'P32298')"
"('P16520', 'P63211')"
"('P42224', 'Q16665')"
"('P10721', 'Q14451')"
"('Q96BS2', 'Q7Z5J4')"
"('Q8NBT2', 'Q9HBM1')"
"('O95347', 'P01889')"
"('P63104', 'Q9H4B7')"
"('P46777', 'P39023')"
"('Q14790', 'Q9NPP4')"
"('Q9C005', 'P58876')"
"('Q9P2S5', 'P25205')"
"('Q9UBG0', 'P61812')"
"('P58753', 'P20963')"
"('P63096', 'Q08828')"
"('P61328', 'P29317')"
"('P61254', 'P62917')"
"('P02766', 'Q7Z5J4')"
"('O14836', 'Q12933')"
"('P41235', 'P22891')"
"('Q15041', 'P49703')"
"('O14544', 'Q08334')"
"('Q5VWK5', 'P29597')"
"('Q9Y3F4', 'P01889')"
"('Q13535', 'Q8NFJ5')"
"('O95983', 'Q16576')"
"('Q9BXN2', 'P08962')"
"('Q9UIF7', 'Q9UGP5')"
"('P62195', 'Q9BRP4')"
"('Q8TBB1', 'P22234')"
"('O15519', 'O43353')"
"('P98160', 'P28300')"
"('P38919', 'Q9UKV8')"
"('O00444', 'Q12873')"
"('P04141', 'P10912')"
"('Q15796', 'Q5T9A4')"
"('P10276', 'Q16659')"
"('Q9H6E5', 'P63104')"
"('O15488', 'P13807')"
"('Q9Y5B9', 'P06899')"
"('P12814', 'P08514')"
"('P05412', 'P18847')"
"('P49674', 'P04637')"
"('Q6P1J9', 'P11308')"
"('P32321', 'Q6ZVK8')"
"('Q15717', 'P11387')"
"('Q9H2X3', 'Q9NZN5')"
"('P27348', 'P35222')"
"('P15248', 'P16471')"
"('Q9Y600', 'P38936')"
"('P27348', 'O15198')"
"('Q13573', 'O60610')"
"('Q06455', 'Q13547')"
"('O95674', 'O15126')"
"('C9JDP6', 'P56750')"
"('Q96KQ7', 'P41227')"
"('Q13885', 'Q9BTW9')"
"('P63010', 'Q15149')"
"('Q05195', 'P0CG48')"
"('Q02556', 'Q92793')"
"('Q13796', 'P62993')"
"('Q05086', 'Q5JPE7')"
"('P40429', 'P49207')"
"('Q16594', 'Q9H0E3')"
"('P68431', 'O14929')"
"('O95167', 'O95299')"
"('Q05516', 'P20248')"
"('Q99880', 'P0C5Y9')"
"('P42771', 'P11802')"
"('P01111', 'P48736')"
