negatives
"('Q9Y6J0', 'P62158')"
"('Q9BUF5', 'Q71U36')"
"('O95484', 'C9JDP6')"
"('P42684', 'P04040')"
"('P63146', 'Q9GZS3')"
"('O75815', 'Q99460')"
"('P22612', 'Q03060')"
"('P51617', 'Q16539')"
"('Q92832', 'Q5QJE6')"
"('P01889', 'P14550')"
"('P63104', 'P55060')"
"('Q13489', 'O15379')"
"('P09960', 'P04222')"
"('Q86YT6', 'P51668')"
"('P54257', 'O14764')"
"('O95704', 'P20338')"
"('Q9Y6K9', 'P42677')"
"('Q9BQD3', 'Q6ZVK8')"
"('Q9UET6', 'P20618')"
"('O14531', 'Q99963')"
"('Q15542', 'P84243')"
"('P26641', 'O95295')"
"('P49792', 'O15504')"
"('P37173', 'P30154')"
"('Q9H5J8', 'P21246')"
"('P49356', 'Q12974')"
"('P32121', 'Q8NH18')"
"('Q96B02', 'Q99942')"
"('P00519', 'P49450')"
"('P04141', 'P51532')"
"('Q00978', 'P40763')"
"('Q02153', 'Q14938')"
"('P10914', 'P40306')"
"('P55210', 'P07948')"
"('P12980', 'Q9NV96')"
"('P62140', 'O60391')"
"('Q5VVX9', 'Q9BYV2')"
"('Q96J02', 'Q9H469')"
"('Q9UKV8', 'P18621')"
"('Q6ZSG1', 'P61077')"
"('Q9UQL6', 'P31947')"
"('P55212', 'P02545')"
"('P11229', 'P62879')"
"('O43320', 'P29317')"
"('P53350', 'Q7L5D6')"
"('P48023', 'P42680')"
"('Q8WXG1', 'Q05516')"
"('Q06323', 'Q99460')"
"('Q92794', 'Q5VVX9')"
"('O75131', 'P47897')"
"('P07585', 'P00533')"
"('Q92786', 'P41235')"
"('P30872', 'P04899')"
"('P35544', 'P62081')"
"('P17980', 'P07858')"
"('O43765', 'P35080')"
"('Q9P283', 'O43597')"
"('Q15834', 'O75541')"
"('Q92830', 'P43246')"
"('P02768', 'Q5T442')"
"('P52803', 'P17948')"
"('Q15418', 'P33981')"
"('Q9UKV3', 'P61981')"
"('P61978', 'Q9BTD8')"
"('P17301', 'O00329')"
"('P14780', 'P17931')"
"('P08253', 'P01137')"
"('P35225', 'P48551')"
"('O75800', 'Q14258')"
"('P36406', 'Q9H4K1')"
"('Q92793', 'Q13472')"
"('P22301', 'Q99062')"
"('Q8NGK0', 'P38405')"
"('P49716', 'Q7RTN6')"
"('P17612', 'P20941')"
"('O75791', 'P63244')"
"('Q9UKS6', 'Q13444')"
"('Q15366', 'P26368')"
"('P17661', 'P07384')"
"('O14672', 'Q99075')"
"('Q96BR9', 'Q8N554')"
"('Q9UNN5', 'P20073')"
"('O14531', 'Q16555')"
"('Q96EN9', 'Q9Y6X2')"
"('O95166', 'Q14257')"
"('P25788', 'Q9Y244')"
"('P62873', 'Q9NQ66')"
"('Q16236', 'P62979')"
"('P07237', 'Q92956')"
"('Q9NX09', 'Q9Y297')"
"('P06753', 'Q9BQD3')"
"('Q9HAW0', 'O14925')"
"('Q9Y262', 'P01243')"
"('P98175', 'P55795')"
"('Q15596', 'P35222')"
"('P62714', 'Q16537')"
"('Q13889', 'P18074')"
"('P10242', 'Q5TKA1')"
"('P35626', 'Q8NGN1')"
"('P62158', 'Q16566')"
"('Q13233', 'P50990')"
"('Q9BQY4', 'O14641')"
"('O75800', 'Q6PCD5')"
"('P61289', 'Q96EV8')"
"('P31946', 'Q71U36')"
"('P17612', 'Q07699')"
"('Q8WXI9', 'Q92769')"
"('Q04724', 'P06746')"
"('P62070', 'P27361')"
"('P49286', 'O14610')"
"('Q92845', 'Q9NWB1')"
"('P22681', 'Q15262')"
"('407006', 'O43521')"
"('Q9P0U4', 'Q6DRA6')"
"('Q6TCH7', 'P04049')"
"('Q5BJF2', 'P18146')"
"('P43364', 'Q9BQ70')"
"('Q02779', 'P28482')"
"('P19438', 'P62979')"
"('Q9Y5L0', 'O75365')"
"('Q05516', 'P05231')"
"('Q96LK0', 'Q9BQD3')"
"('Q9UBW7', 'P17480')"
"('Q00536', 'P63104')"
"('P05129', 'P61586')"
"('O43395', 'Q8TBK6')"
"('Q86UD3', 'P62837')"
"('P27986', 'P05023')"
"('P31152', 'P18146')"
"('P46781', 'P15880')"
"('O94907', 'P31146')"
"('Q6WCQ1', 'P46940')"
"('Q9H7M9', 'O15162')"
"('O75815', 'O15067')"
"('P17987', 'Q9GZX7')"
"('O95169', 'O96000')"
"('Q13472', 'P27694')"
"('O60880', 'P21860')"
"('O15372', 'Q9UBQ5')"
"('P24530', 'P04899')"
"('P49023', 'P23229')"
"('O00232', 'O00231')"
"('Q9UHV7', 'P10828')"
"('Q9Y5N6', 'Q99741')"
"('Q8IV61', 'P01112')"
"('P84022', 'Q9BQ52')"
"('P12814', 'Q9UI47')"
"('P22626', 'Q8IYB3')"
"('P14416', 'P67775')"
"('Q7Z4P5', 'Q13873')"
"('P47985', 'Q14197')"
"('Q92569', 'P40763')"
"('Q08AG7', 'Q96CW5')"
"('Q9P003', 'Q9BRT8')"
"('Q16385', 'Q969G2')"
"('Q06124', 'Q15149')"
"('Q99683', 'Q16637')"
"('P84022', 'Q01543')"
"('Q9P2J3', 'P84022')"
"('Q8N7P3', 'Q8N6F1')"
"('P22694', 'Q07699')"
"('P46783', 'Q9Y6K9')"
"('Q86VK4', 'P18146')"
"('Q9UQE7', 'Q14457')"
"('Q13191', 'O43150')"
"('Q9GZT5', 'O60353')"
"('P06576', 'P31483')"
"('P42345', 'Q9Y4H2')"
"('P62140', 'O60927')"
"('P57740', 'P49792')"
"('P00533', 'P08962')"
"('P35544', 'P07949')"
"('P22087', 'Q9NX58')"
"('Q9UNY4', 'O15105')"
"('P40763', 'P27986')"
"('Q9Y4K3', 'Q99836')"
"('Q06187', 'P78347')"
"('P21815', 'P13612')"
"('O14640', 'Q9ULK5')"
"('P63000', 'O95793')"
"('Q9NYA1', 'P01111')"
"('Q14152', 'P55010')"
"('P62424', 'P46779')"
"('P60510', 'P40227')"
"('Q13315', 'Q9Y546')"
"('P20333', 'P39656')"
"('O75376', 'Q9UQL6')"
"('Q13064', 'Q13404')"
"('Q93077', 'Q99880')"
"('O43665', 'O00422')"
"('P98171', 'Q07889')"
"('O14543', 'Q9Y286')"
"('P67775', 'P35222')"
"('Q9H8W4', 'P61244')"
"('P62263', 'P62273')"
"('O95166', 'Q9BXW4')"
"('Q99459', 'Q9HAV4')"
"('P01375', 'Q07889')"
"('P49848', 'P41235')"
"('P06730', 'P67775')"
"('Q04917', 'Q96F07')"
"('Q15257', 'P16220')"
"('P63104', 'Q7Z6B7')"
"('Q00613', 'P08107')"
"('O60282', 'P48058')"
"('Q9NYY1', 'P01589')"
"('P21246', 'P56182')"
"('P49662', 'Q86Y56')"
"('Q9UHG2', 'P16220')"
"('O95619', 'P0C0S5')"
"('P06241', 'Q9Y210')"
"('Q9UDY2', 'O75508')"
"('B1A4H9', 'Q5VWK5')"
"('P17676', 'Q9HC16')"
"('Q00653', 'P51532')"
"('P07202', 'Q9UHF4')"
"('O94806', 'P61224')"
"('Q00653', 'Q12789')"
"('P01106', 'Q92974')"
"('Q9P227', 'Q07890')"
"('Q00987', 'Q16665')"
"('Q15750', 'P10644')"
"('B1A4H9', 'Q9HC73')"
"('P50591', 'Q15628')"
"('Q9H9L3', 'P46108')"
"('Q13007', 'P01574')"
"('Q9NRA0', 'Q13547')"
"('P31947', 'Q2M3G4')"
"('Q02156', 'P21796')"
"('Q9UBS0', 'O00418')"
"('O95793', 'P15880')"
"('Q9H1Y0', 'O00264')"
"('Q86SQ4', 'P01889')"
"('Q9NQX3', 'P18505')"
"('P07288', 'Q04864')"
"('Q9H269', 'Q7L1V2')"
"('Q49AN0', 'O00327')"
"('Q13467', 'P49841')"
"('P16471', 'P62937')"
"('Q8N2W9', 'Q96KM6')"
"('Q96KQ7', 'Q99684')"
"('P02647', 'P08779')"
"('Q13424', 'P78508')"
"('P29474', 'P35609')"
"('P63104', 'Q9NYF5')"
"('P01562', 'P01589')"
"('O15160', 'Q9Y2S0')"
"('P52735', 'Q9UJM3')"
"('Q96T60', 'Q9BQ66')"
"('P16671', 'O00206')"
"('P54253', 'Q8NEM7')"
"('Q96RQ1', 'P31995')"
"('P49790', 'Q9NRG9')"
"('P01106', 'Q8IV04')"
