negatives
"('P15812', 'P18146')"
"('P43629', 'P07711')"
"('Q16795', 'O95178')"
"('Q13535', 'Q8WXE1')"
"('Q86U42', 'P63104')"
"('Q13368', 'Q99250')"
"('P18031', 'P62070')"
"('O15239', 'O95168')"
"('Q13164', 'P23219')"
"('Q99729', 'P26599')"
"('P39019', 'O15479')"
"('P48507', 'P23508')"
"('Q9NYQ7', 'Q9UH65')"
"('Q01484', 'Q14643')"
"('P49411', 'O00141')"
"('P34932', 'Q9Y6K9')"
"('Q15388', 'O60260')"
"('P17676', 'P06400')"
"('P62826', 'P68104')"
"('P31152', 'P35354')"
"('P02768', 'Q8NDX5')"
"('P31946', 'Q86X27')"
"('Q13177', 'Q14161')"
"('P49427', 'P57737')"
"('P43405', 'P59901')"
"('P08138', 'P04844')"
"('P51970', 'P03897')"
"('Q9NQT4', 'Q9Y2L1')"
"('Q8IY67', 'P50616')"
"('Q96PY5', 'P60953')"
"('Q9NZJ4', 'Q9P1U0')"
"('Q15029', 'Q9Y5J5')"
"('P41182', 'O00221')"
"('Q9HC29', 'Q9Y2G2')"
"('P17612', 'P15311')"
"('Q04721', 'Q92585')"
"('Q99714', 'Q7L0Y3')"
"('P0C0S8', 'O15379')"
"('O15123', 'P08138')"
"('Q15788', 'P51449')"
"('P41220', 'Q14524')"
"('Q9ULJ6', 'P61244')"
"('O43237', 'Q6PEY2')"
"('Q96SB3', 'P32238')"
"('P61247', 'O95793')"
"('P62241', 'P08865')"
"('P05771', 'P28482')"
"('Q9UKE5', 'P28482')"
"('P00519', 'P29350')"
"('P01106', 'P50539')"
"('P02775', 'P22736')"
"('Q9C040', 'Q9Y2X8')"
"('Q15744', 'P13727')"
"('P51617', 'P59046')"
"('P01116', 'Q15311')"
"('P27986', 'P15498')"
"('O15520', 'Q02763')"
"('Q9BXW9', 'P19438')"
"('P40337', 'Q3MHD2')"
"('O60260', 'Q13155')"
"('Q14318', 'Q9BVC4')"
"('O00238', 'Q96AE7')"
"('Q14642', 'P08567')"
"('P62805', 'O75164')"
"('Q15819', 'Q13424')"
"('Q13643', 'Q9P286')"
"('O60506', 'P16104')"
"('P14784', 'Q8WYR1')"
"('Q92597', 'P26641')"
"('P63279', 'Q9NS56')"
"('P26012', 'P21333')"
"('P02768', 'P35030')"
"('P16333', 'P20042')"
"('P49406', 'O60732')"
"('P14780', 'Q01955')"
"('Q15836', 'Q16623')"
"('O43353', 'Q01469')"
"('P17152', 'Q12983')"
"('P16333', 'O43918')"
"('P48556', 'P17980')"
"('Q9UQL6', 'Q7Z2G1')"
"('Q99816', 'P0CG48')"
"('Q9UGY1', 'P04179')"
"('Q9Y4Y9', 'O15116')"
"('O14576', 'Q9GZM8')"
"('Q15303', 'P07585')"
"('P29459', 'P32927')"
"('O43639', 'Q9NQC3')"
"('P21860', 'P40189')"
"('P61077', 'Q15796')"
"('Q8NBZ0', 'Q9Y265')"
"('Q16254', 'P53350')"
"('Q09019', 'Q8IY92')"
"('O43920', 'Q9Y375')"
"('P22626', 'Q01081')"
"('P05107', 'P08571')"
"('P38432', 'Q96EY1')"
"('P78527', 'O60583')"
"('P45378', 'O95989')"
"('P01106', 'O95980')"
"('O60921', 'Q99615')"
"('Q01201', 'P62263')"
"('P01889', 'P16152')"
"('Q99523', 'P23560')"
"('Q96BD5', 'P84243')"
"('Q9UJU2', 'Q92793')"
"('P02792', 'P43490')"
"('P31947', 'Q92934')"
"('Q9BZ29', 'P08134')"
"('Q00005', 'Q15717')"
"('Q9BUK6', 'Q8IWF7')"
"('O00329', 'O00459')"
"('P19174', 'P11678')"
"('Q99572', 'P62993')"
"('Q9Y297', 'Q9C026')"
"('O43309', 'P63165')"
"('P10275', 'O00459')"
"('P21266', 'P28161')"
"('Q9Y4K3', 'Q13283')"
"('Q15834', 'Q9UFG5')"
"('Q6VMQ6', 'Q9BV20')"
"('P01106', 'P16989')"
"('Q07157', 'Q5TCQ9')"
"('Q8WV28', 'Q13191')"
"('P01579', 'P26951')"
"('P04350', 'Q9P1Y5')"
"('P49643', 'P49642')"
"('P10827', 'Q9Y618')"
"('P43487', 'P16035')"
"('O60262', 'O60840')"
"('Q6UUV7', 'P17861')"
"('P62140', 'Q8N726')"
"('P17028', 'P51693')"
"('O00716', 'Q99741')"
"('P17612', 'P62158')"
"('Q8WVZ9', 'Q9GZQ8')"
"('O00562', 'P61586')"
"('P04222', 'P61769')"
"('O95707', 'P78345')"
"('P00519', 'P42224')"
"('P04439', 'Q99706')"
"('Q9UQP3', 'P18564')"
"('P51817', 'Q9Y698')"
"('Q9HDC9', 'P58215')"
"('P42224', 'P01106')"
"('P01562', 'P52333')"
"('Q15477', 'Q9UQ88')"
"('P13232', 'P23458')"
"('P21815', 'P13612')"
"('P63010', 'Q9Y6Q5')"
"('Q8WYB5', 'P49736')"
"('Q14164', 'P15311')"
"('Q09472', 'P54725')"
"('Q09666', 'Q99459')"
"('Q9P202', 'O75096')"
