negatives
"('P61978', 'P09651')"
"('Q5VTD9', 'Q9P2E2')"
"('Q96KB5', 'Q13485')"
"('P01106', 'P41212')"
"('Q92847', 'P63096')"
"('Q9ULH1', 'P22681')"
"('P51608', 'P51531')"
"('P15880', 'P62847')"
"('P62753', 'Q15843')"
"('O75379', 'Q12846')"
"('Q01844', 'Q92793')"
"('O15524', 'Q8N6P7')"
"('P05067', 'P35579')"
"('O75400', 'Q8IWX8')"
"('P27348', 'P27448')"
"('P02768', 'Q8NDX5')"
"('Q15648', 'Q9NWA0')"
"('Q12923', 'P50479')"
"('P48730', 'P84022')"
"('Q9C0C7', 'Q9NT62')"
"('Q96LR5', 'P98170')"
"('P10515', 'O00330')"
"('Q7Z589', 'P51587')"
"('Q8IYF1', 'P49910')"
"('P02768', 'P07477')"
"('Q9NWB1', 'O14641')"
"('Q9C035', 'Q9Y2X8')"
"('P84996', 'Q9HAV0')"
"('P58753', 'Q9NYJ8')"
"('Q9Y2L1', 'P22392')"
"('Q16539', 'Q66LE6')"
"('Q9H2M9', 'O75365')"
"('P25942', 'P11142')"
"('P27986', 'Q9NRJ4')"
"('Q14164', 'O75347')"
"('P30466', 'Q14954')"
"('Q14242', 'P13611')"
"('P53708', 'P35609')"
"('P08134', 'P40337')"
"('Q9H492', 'P24723')"
"('Q9UKA9', 'Q14103')"
"('P63096', 'O00329')"
"('P23025', 'P54727')"
"('O43809', 'Q9NV58')"
"('Q8IU81', 'Q15797')"
"('Q15744', 'O43166')"
"('P25786', 'Q9Y5K5')"
"('Q9Y6K9', 'Q3ZCQ8')"
"('O60264', 'Q01826')"
"('O15524', 'Q9Y4H2')"
"('P26006', 'P06756')"
"('O75592', 'P63104')"
"('P48552', 'P04150')"
"('Q9HCU9', 'Q14789')"
"('Q9H171', 'Q13363')"
"('P62745', 'O75914')"
"('Q14203', 'P31749')"
"('Q9Y478', 'P15311')"
"('P04049', 'O43482')"
"('P06730', 'Q9UBU9')"
"('Q8N7H5', 'Q9GZS3')"
"('O75496', 'P42771')"
"('Q9NPF5', 'Q9UBU8')"
"('A4D0S4', 'P05106')"
"('P25963', 'P56279')"
"('Q5T5X7', 'P55854')"
"('P10275', 'Q96S59')"
"('P00492', 'P60520')"
"('Q14192', 'P10644')"
"('P10768', 'P30480')"
"('O75380', 'Q13387')"
"('Q10586', 'P38398')"
"('Q9H2G4', 'O14936')"
"('Q96C10', 'Q9H0D6')"
"('Q9UNX3', 'P83731')"
"('P17028', 'Q92993')"
"('Q9Y6K9', 'Q8TEL6')"
"('P27361', 'O15198')"
"('P25054', 'Q9ULH1')"
"('P27348', 'Q9UK53')"
"('Q08209', 'Q9NZT1')"
"('Q04206', 'Q15672')"
"('Q9NPF5', 'Q96L91')"
"('Q9BQA1', 'Q9HCK5')"
"('P14316', 'Q08209')"
"('P25116', 'P62873')"
"('Q15257', 'P31749')"
"('Q92793', 'Q12778')"
"('P67870', 'Q96K83')"
"('Q9Y239', 'P55957')"
"('Q8TC92', 'P56537')"
"('Q8NGB9', 'P38405')"
"('P26639', 'O75815')"
"('Q9NV56', 'Q13315')"
"('P30480', 'O15067')"
"('Q12933', 'P48552')"
"('P42336', 'P49841')"
"('Q9BQ66', 'Q9NRQ2')"
"('O43320', 'P10721')"
"('O00483', 'O95139')"
"('Q9Y2B0', 'Q9UKE5')"
"('O75865', 'P49639')"
"('P61981', 'P06576')"
"('P51911', 'P06753')"
"('Q9NWT8', 'O14965')"
"('O00238', 'Q15797')"
"('P83731', 'P83881')"
"('Q06413', 'Q13164')"
"('O94762', 'P19387')"
"('Q6PD62', 'P36954')"
"('Q02978', 'Q14197')"
"('P08123', 'P31431')"
"('P10144', 'P11362')"
"('P04839', 'Q02556')"
"('O43676', 'P03905')"
"('Q9BVL2', 'P25054')"
"('Q92622', 'Q9P2Y5')"
"('P06241', 'O14559')"
"('P61586', 'P68032')"
"('Q12791', 'Q13698')"
"('P06899', 'Q6UXN9')"
"('P60709', 'P11532')"
"('P18859', 'O75964')"
"('P61077', 'Q13233')"
"('Q9Y6N6', 'P26006')"
"('P04271', 'P46940')"
"('P24941', 'Q9UJX3')"
"('P06733', 'O43318')"
"('Q9Y4K3', 'O43169')"
"('P01834', 'P01871')"
"('O60244', 'O95402')"
"('P51532', 'Q14164')"
"('Q96J02', 'P31947')"
"('Q15149', 'O15198')"
"('P30968', 'Q5JWF2')"
"('P08235', 'P34932')"
"('Q92913', 'P35916')"
"('Q9Y478', 'O00764')"
"('P56539', 'P18564')"
"('Q13501', 'P28482')"
"('P32745', 'P08107')"
"('O15143', 'Q07890')"
"('P16520', 'P45984')"
"('O43318', 'P46734')"
"('P49354', 'P49356')"
"('P19174', 'Q9BYB0')"
"('Q15645', 'Q99459')"
"('O14920', 'P04792')"
"('Q99459', 'P53992')"
"('Q96AP7', 'O95832')"
"('P25116', 'P48736')"
"('Q9UK08', 'Q92633')"
"('Q13247', 'P84103')"
"('Q13315', 'Q15554')"
"('Q99417', 'P23528')"
"('P15153', 'P60709')"
"('Q13177', 'Q03001')"
"('5512', 'P06400')"
"('P30086', 'O15111')"
"('Q9UBI6', 'P40145')"
"('Q13432', 'O00231')"
"('P14867', 'Q15111')"
"('Q92854', 'O15031')"
"('P61218', 'P62875')"
"('P61927', 'P62750')"
"('P50553', 'P15923')"
"('P60709', 'P06396')"
"('P25788', 'Q9H307')"
"('Q96GF1', 'P62837')"
"('P35609', 'P03950')"
"('P08123', 'Q13683')"
"('Q0VDF9', 'Q00613')"
"('P26373', 'Q99459')"
"('P06241', 'Q9Y4K3')"
"('Q15648', 'O95402')"
"('Q6PI73', 'P43405')"
"('Q71DI3', 'O00257')"
"('Q13315', 'Q9H2X6')"
"('Q15459', 'P98175')"
"('Q99666', 'P63279')"
"('Q9HC98', 'Q86Y56')"
"('P49116', 'Q13573')"
"('Q99750', 'Q9P2K9')"
"('P48039', 'P26641')"
"('Q8WTQ7', 'P41597')"
"('Q5JWF2', 'Q8NFM4')"
"('P48039', 'Q13151')"
"('Q96DE5', 'O60566')"
"('P08047', 'O15438')"
"('P63279', 'Q8WV44')"
"('Q9NRR5', 'P45877')"
"('P42566', 'Q9UMX0')"
"('O00206', 'O60602')"
"('Q9BXP5', 'Q16891')"
"('P18146', 'Q96IM9')"
"('P35226', 'O95503')"
"('Q15834', 'O60941')"
"('Q5T3J3', 'P18847')"
"('Q05513', 'P35568')"
"('Q13347', 'O14602')"
"('Q9Y5X3', 'O60925')"
"('Q12805', 'Q9P2R6')"
"('O00141', 'Q13435')"
"('P14678', 'Q9Y333')"
"('Q13402', 'Q9Y6N9')"
"('Q96RK4', 'Q15154')"
"('Q96I34', 'O43252')"
"('P43403', 'Q96P31')"
"('P08047', 'P98161')"
"('Q13432', 'P07766')"
"('Q8IZJ0', 'P48551')"
"('O00165', 'P18146')"
"('P38398', 'P78396')"
"('Q6PD62', 'P01871')"
"('Q9Y620', 'Q8N5R6')"
"('Q9BST9', 'O60504')"
"('P35244', 'P49736')"
"('Q9UBN7', 'Q05516')"
"('Q11203', 'O15062')"
"('Q15262', 'P27361')"
"('P14317', 'Q9UQ16')"
"('P09341', 'O00574')"
"('O95831', 'Q9Y572')"
"('P83881', 'P62910')"
"('P53004', 'P15336')"
"('Q9Y535', 'P53803')"
"('P67775', 'Q01668')"
"('Q15700', 'Q14160')"
"('P42771', 'Q9BY76')"
"('P05013', 'P24394')"
"('Q9H2G2', 'Q13087')"
"('Q8N6F1', 'O75508')"
"('P62820', 'P15822')"
"('P12109', 'O75578')"
"('Q92839', 'P56537')"
"('Q92597', 'P12956')"
"('Q8TB24', 'P00519')"
"('Q92630', 'Q9Y2V2')"
"('Q13705', 'P84022')"
"('P63010', 'P53680')"
"('P63104', 'Q12778')"
"('Q92905', 'P01106')"
"('P01834', 'Q03135')"
"('Q96BZ8', 'Q13118')"
"('P45985', 'P32121')"
"('Q14676', 'P68400')"
"('Q8IZL8', 'P84243')"
"('O60285', 'Q8TCW9')"
"('P17252', 'Q9NQA5')"
"('Q14562', 'Q15796')"
"('P99999', 'P31483')"
"('Q99558', 'O15519')"
"('P19784', 'Q9HCE7')"
"('Q15306', 'P53999')"
"('P46459', 'P48169')"
"('P05388', 'P68402')"
"('P01889', 'P62910')"
"('Q9GZY0', 'Q9UKK6')"
"('P54652', 'Q99683')"
"('P35626', 'Q96RD3')"
"('Q96FI4', 'P18887')"
"('P20333', 'P43003')"
"('O14920', 'P19838')"
"('Q8TAD8', 'Q9UBW7')"
"('O43639', 'P30530')"
"('Q9GZR7', 'Q14240')"
"('Q13136', 'P30153')"
"('Q9UFF9', 'P15311')"
"('P55795', 'P17844')"
"('Q14192', 'Q13642')"
"('Q15788', 'Q9HCU4')"
"('P10144', 'O95155')"
"('P10276', 'P48552')"
"('Q6P2Q9', 'P55795')"
"('Q9P2G9', 'P08621')"
"('P60953', 'A7KAX9')"
"('P62244', 'P60866')"
"('Q9Y478', 'Q13642')"
"('Q14204', 'Q13573')"
"('P41567', 'P11171')"
"('P27986', 'O60721')"
"('P62888', 'Q00653')"
"('Q00722', 'Q05655')"
"('P62891', 'P46778')"
"('P49773', 'P30480')"
"('O96019', 'Q15014')"
"('Q96C92', 'Q9Y2X7')"
"('P03928', 'O75964')"
"('O15530', 'Q9H6R7')"
"('Q9Y3U8', 'P18124')"
"('P49747', 'P06756')"
"('O60237', 'Q01449')"
"('P30559', 'P29992')"
"('Q2M1Z3', 'Q15811')"
"('Q8WVC0', 'P23193')"
"('P04632', 'P18031')"
"('P28715', 'P84098')"
"('P04156', 'P49639')"
"('Q02878', 'Q9UKV8')"
"('Q8IZ52', 'O15198')"
"('P56748', 'O75508')"
