recall,precision
0.021897810218978103,0.21428571428571427
0.014598540145985401,0.25
0.029197080291970802,0.25
0.0364963503649635,0.29411764705882354
0.043795620437956206,0.3333333333333333
0.051094890510948905,0.3684210526315789
0.058394160583941604,0.4
0.06569343065693431,0.42857142857142855
0.072992700729927,0.45454545454545453
0.08029197080291971,0.4782608695652174
0.08759124087591241,0.5
0.0948905109489051,0.52
0.10218978102189781,0.5384615384615384
0.10948905109489052,0.5555555555555556
0.11678832116788321,0.5714285714285714
0.12408759124087591,0.5862068965517241
0.13138686131386862,0.6
0.1386861313868613,0.6129032258064516
0.145985401459854,0.625
0.15328467153284672,0.6363636363636364
0.16058394160583941,0.6470588235294118
0.0072992700729927005,1.0
