negatives
"('Q9BZM3', 'P62993')"
"('Q9HC29', 'P09651')"
"('Q9BT22', 'Q6ZVL6')"
"('Q13315', 'O14974')"
"('P50542', 'Q96CN9')"
"('P15407', 'Q15853')"
"('Q99525', 'Q16695')"
"('Q13753', 'P06756')"
"('P20963', 'P06729')"
"('Q9H2P0', 'Q10586')"
"('O15239', 'Q16795')"
"('Q16576', 'Q9UKG1')"
"('Q9Y5J5', 'O60762')"
"('Q92698', 'O43542')"
"('P43629', 'Q9BU61')"
"('Q15428', 'Q15427')"
"('Q96B26', 'Q9NQT4')"
"('P84243', 'O00257')"
"('Q13573', 'Q9UNS2')"
"('Q8IY92', 'P50542')"
"('P05141', 'P01889')"
"('P17980', 'Q9UL46')"
"('P13533', 'Q9NRG4')"
"('Q9H3D4', 'P04637')"
"('P16104', 'P04075')"
"('Q969T4', 'P50914')"
"('Q9HAV4', 'P68104')"
"('P13631', 'P48443')"
"('Q9H7D7', 'Q13620')"
"('Q6DT37', 'Q9UHD2')"
"('Q16539', 'Q16512')"
"('P63096', 'P16520')"
"('Q14152', 'O15371')"
"('P36873', 'O75807')"
"('O43427', 'O15294')"
"('Q14686', 'P03372')"
"('P30480', 'Q15436')"
"('P29459', 'Q13568')"
"('P48061', 'P46094')"
"('Q9NZI8', 'Q9UET6')"
"('Q13480', 'A7KAX9')"
"('Q8NG81', 'P38405')"
"('Q9NRJ3', 'P46094')"
"('P06400', 'Q99683')"
"('P02778', 'P51685')"
"('P22681', 'P08581')"
"('Q96Q15', 'Q8IYD1')"
"('Q96LZ3', 'Q13469')"
"('Q9Y6Q9', 'Q86X55')"
"('Q9BQ83', 'P22695')"
"('P17252', 'Q13224')"
"('O14625', 'P51677')"
"('P36956', 'P52790')"
"('Q16543', 'Q6P1N0')"
"('Q12905', 'P49736')"
"('Q05516', 'P54274')"
"('Q7Z460', 'Q15691')"
"('Q96BY6', 'P15153')"
"('Q9Y5W7', 'P20823')"
"('P35232', 'O75306')"
"('Q92905', 'Q96DB2')"
"('Q9C0D3', 'Q15369')"
"('Q13114', 'P25942')"
"('P41235', 'O00257')"
"('P63104', 'Q15208')"
"('Q9BZZ5', 'Q9Y478')"
"('O95400', 'P61978')"
"('P60709', 'P22087')"
"('Q8IYD8', 'O95985')"
"('P07711', 'O75530')"
"('Q9NX58', 'P05198')"
"('Q92598', 'P63104')"
"('O14745', 'P35241')"
"('Q9P1U1', 'O15143')"
"('P60660', 'O43809')"
"('O00291', 'P09497')"
"('O14818', 'P30480')"
"('P10827', 'Q96G25')"
"('Q9GZM8', 'O14576')"
"('P56748', 'O15551')"
"('P22607', 'P42338')"
"('O96019', 'P52565')"
"('P35269', 'P19387')"
"('P52565', 'O96019')"
"('O75563', 'P08631')"
"('P56524', 'Q7L7L0')"
"('Q8IVM0', 'Q86UA6')"
"('P12081', 'Q9UKE5')"
"('P61224', 'P05107')"
"('P10275', 'P34932')"
"('Q6IBS0', 'Q8IV63')"
"('Q9Y5V3', 'P68366')"
"('P15248', 'P42702')"
"('P04406', 'Q13087')"
"('Q96QZ7', 'P98164')"
"('P62906', 'P39023')"
"('Q96MT8', 'Q9NS73')"
"('P07910', 'Q05519')"
"('Q06124', 'Q9Y4H2')"
