negatives
"('Q8NCM8', 'Q6PEY2')"
"('P43626', 'P32121')"
"('O14512', 'Q01344')"
"('P01566', 'P10912')"
"('Q05513', 'Q15109')"
"('P55072', 'O75674')"
"('Q4G163', 'Q12834')"
"('P01574', 'O75626')"
"('Q9Y219', 'Q99466')"
"('P27658', 'P18206')"
"('P11388', 'P78527')"
"('P31943', 'P26599')"
"('Q00653', 'P46783')"
"('P05106', 'Q9NQ66')"
"('P07900', 'Q13077')"
"('P30530', 'P06239')"
"('P42858', 'O14645')"
"('Q9UPT9', 'Q06323')"
"('P02768', 'P02654')"
"('Q9NR97', 'Q9NYK1')"
"('P18084', 'O75369')"
"('Q15466', 'P11474')"
"('Q9Y333', 'P62314')"
"('P05106', 'P23229')"
"('Q96QV6', 'Q08945')"
"('Q9Y4K3', 'P61077')"
"('Q86TJ2', 'Q8NEM7')"
"('O14920', 'Q16543')"
"('Q9UHV7', 'P48443')"
"('P35251', 'P35250')"
"('P50552', 'O15117')"
"('Q99836', 'Q12874')"
"('406937', 'Q01860')"
"('Q96HA8', 'P15531')"
"('Q9NYY1', 'P26992')"
"('Q9NRF9', 'P51610')"
"('P35326', 'P08631')"
"('O14543', 'Q06124')"
"('O95433', 'Q9BUV8')"
"('O75665', 'Q9P2H0')"
"('Q13409', 'P68363')"
"('P54259', 'Q92794')"
"('P04141', 'P05412')"
"('P06241', 'O60840')"
"('P20393', 'Q8WYA1')"
"('P0CG48', 'P60900')"
"('Q9Y383', 'P46100')"
"('Q99558', 'Q9UM73')"
"('P03950', 'Q15904')"
"('P62837', 'P98170')"
"('P31946', 'Q13627')"
"('Q9NXR1', 'Q70YC4')"
"('O00422', 'P61247')"
"('P54253', 'P12955')"
"('Q8N474', 'P56704')"
"('Q96L14', 'Q9UFG5')"
"('P51965', 'Q13233')"
"('Q15628', 'Q9NYJ8')"
"('Q13905', 'Q13191')"
"('Q99623', 'Q9UET6')"
"('P55209', 'P01889')"
"('P00519', 'Q9UQ16')"
"('Q16539', 'Q02078')"
"('Q9BRP1', 'Q8IY92')"
"('Q9UGN5', 'Q8WUE5')"
"('Q5JVS0', 'P51114')"
"('Q08170', 'P61978')"
"('Q96DB2', 'P23527')"
"('P31947', 'Q9UBF8')"
"('P31749', 'Q9H7J1')"
"('P62333', 'Q16401')"
"('O75928', 'Q9UHY7')"
"('Q9ULX9', 'P07602')"
"('P13612', 'Q13683')"
"('407018', 'P28676')"
"('P61978', 'P27986')"
"('Q92609', 'Q9UBQ0')"
"('Q9H251', 'Q9Y6N9')"
"('Q9NVV4', 'Q9UHD2')"
"('P35579', 'O00255')"
"('P16104', 'Q9UBV8')"
"('P20827', 'P22607')"
"('P61956', 'Q12873')"
"('Q6VMQ6', 'Q96CS7')"
"('Q15303', 'O95208')"
"('O00206', 'P16671')"
"('Q9Y4G8', 'Q99623')"
"('P13637', 'O00168')"
"('P16234', 'Q9ULV8')"
"('O15145', 'Q99873')"
"('P43364', 'Q9UNH6')"
"('Q13509', 'Q99759')"
"('P26368', 'Q13247')"
"('Q9H0R8', 'P47869')"
"('Q8WZ42', 'Q9BZW7')"
"('Q99963', 'Q9UM73')"
"('P46459', 'P18505')"
"('O95084', 'Q99081')"
"('P34947', 'P25024')"
"('P27361', 'P01116')"
"('Q04912', 'O15031')"
"('P61088', 'Q96P09')"
"('P04637', 'Q8TAQ2')"
"('Q9NS23', 'Q9Y297')"
"('P42224', 'P13164')"
"('Q7Z6E9', 'O95405')"
"('P32121', 'Q8NGM1')"
"('O60443', 'Q99459')"
"('406906', 'P78536')"
"('P42858', 'Q96D09')"
"('Q7L590', 'P09884')"
"('Q9H2V7', 'Q9H1C4')"
"('P16401', 'P45973')"
"('P62249', 'P62857')"
"('P00533', 'O14654')"
"('Q15797', 'P22670')"
"('Q96JB5', 'Q9NRI5')"
"('Q9UHD2', 'P07195')"
"('P11940', 'Q9UL18')"
"('Q5TA45', 'P20073')"
"('Q15475', 'P23771')"
"('O95786', 'Q9HC29')"
"('Q9H492', 'Q16512')"
"('P19429', 'Q9HAU4')"
"('Q06455', 'Q96ST3')"
"('Q96QZ7', 'Q9H251')"
"('P26640', 'P23508')"
"('P10916', 'P13533')"
"('P29353', 'Q9UM73')"
"('P47871', 'Q5JWF2')"
"('Q969S8', 'O15379')"
"('P26641', 'P48039')"
"('P60709', 'P46783')"
"('Q15797', 'Q9NYG2')"
"('O60934', 'P23497')"
"('Q93034', 'Q9NWX5')"
"('Q86V81', 'Q9H4D5')"
"('P21359', 'P63165')"
"('P05129', 'Q9NQA5')"
"('Q12830', 'P68431')"
"('Q06190', 'Q02641')"
"('P48454', 'P41594')"
"('O75381', 'P50542')"
"('Q99459', 'P09874')"
"('P55211', 'Q09472')"
"('P27986', 'P23443')"
"('Q13501', 'P27815')"
"('Q07283', 'Q9BUP0')"
"('Q13155', 'Q12873')"
"('O14757', 'Q9NW38')"
"('P23497', 'Q92793')"
"('P26441', 'O75716')"
"('Q12830', 'P98095')"
"('P61978', 'Q14103')"
"('Q96E35', 'Q8WZ19')"
"('P40818', 'Q14596')"
"('P48556', 'Q15008')"
"('Q13243', 'Q15287')"
"('P08631', 'Q9UI08')"
"('Q16821', 'Q13263')"
"('P42224', 'P08603')"
"('P25445', 'P50591')"
"('Q9NX58', 'Q9UJX6')"
"('P09544', 'O00144')"
"('P02768', 'P01834')"
"('P62263', 'P62854')"
"('O60296', 'P47869')"
"('P62140', 'Q68CJ9')"
"('O95813', 'Q9UBV4')"
"('Q8N983', 'Q9NY93')"
"('P41182', 'Q9UBK2')"
"('O95831', 'O76061')"
"('Q8WYH8', 'P49736')"
"('Q13007', 'Q5VWK5')"
"('P31947', 'O43166')"
"('Q8IWX8', 'Q9NQ29')"
"('P49841', 'Q9NR80')"
"('P67870', 'P30307')"
"('Q13243', 'Q93033')"
"('Q15287', 'Q01130')"
"('O43809', 'Q16630')"
"('Q15185', 'Q9HBG4')"
"('Q15796', 'P25490')"
"('Q16891', 'Q9UH62')"
"('P03905', 'P03886')"
"('Q96DV4', 'Q15560')"
"('P51970', 'O95182')"
"('Q06643', 'P01374')"
"('O14786', 'P08648')"
"('Q86TI0', 'P61106')"
"('P35225', 'Q8N6P7')"
"('Q01804', 'Q9HAW0')"
"('Q15311', 'O94973')"
"('O15131', 'P43155')"
"('O43889', 'P18146')"
"('P41182', 'P25490')"
"('P49642', 'O14920')"
"('Q13555', 'Q96BA8')"
"('P32121', 'Q8NH76')"
"('O43242', 'O75832')"
"('P37231', 'P51608')"
"('O60684', 'P60520')"
"('Q8IVF5', 'O00212')"
"('P67870', 'P34897')"
"('P63104', 'P25205')"
"('O43524', 'P50591')"
"('Q9HCK5', 'P67809')"
"('Q8WWC4', 'Q15714')"
"('Q9NRD5', 'P05129')"
"('P48023', 'Q8WV41')"
"('P01241', 'P15509')"
"('P52597', 'P52756')"
"('Q9HAV0', 'Q96PN6')"
"('Q8TD19', 'P36897')"
"('Q9BTT4', 'O75448')"
"('O14965', 'P30305')"
"('P02647', 'O95477')"
"('P33151', 'O60716')"
"('Q04206', 'Q96L73')"
"('P32456', 'Q15418')"
"('406952', 'Q9Y6Q9')"
"('Q9UER7', 'Q9NQB0')"
"('Q9UQC2', 'P27361')"
"('Q9NVV9', 'O14641')"
"('P31995', 'O75023')"
"('Q9NS73', 'O43318')"
"('O00221', 'P62158')"
"('407046', 'P56817')"
"('P30153', 'P42285')"
"('P21781', 'P08069')"
