recall,precision
0.007194244604316547,0.125
0.02158273381294964,0.2
0.02877697841726619,0.2
0.03597122302158273,0.20833333333333334
0.014388489208633094,0.2222222222222222
0.04316546762589928,0.24
0.050359712230215826,0.2692307692307692
0.05755395683453238,0.2962962962962963
0.06474820143884892,0.32142857142857145
0.07194244604316546,0.3333333333333333
0.07913669064748201,0.3548387096774194
0.08633093525179857,0.375
0.09352517985611511,0.3939393939393939
0.10071942446043165,0.4117647058823529
0.1079136690647482,0.42857142857142855
0.11510791366906475,0.4444444444444444
0.0,1.0
