negatives
"('P35226', 'O75525')"
"('Q9Y3P9', 'P48059')"
"('P09871', 'P02747')"
"('Q15125', 'Q9Y2T5')"
"('Q13885', 'O00231')"
"('P09417', 'P53367')"
"('P46108', 'P46782')"
"('Q12824', 'Q9NRR5')"
"('Q9BV73', 'Q6P9A2')"
"('Q93062', 'Q8TES7')"
"('Q99459', 'P23258')"
"('Q96J02', 'O15165')"
"('Q9NZM5', 'P19525')"
"('P23490', 'P08670')"
"('P42166', 'O14646')"
"('Q9UL17', 'Q14694')"
"('Q9H5H4', 'O95758')"
"('Q9NWT1', 'Q9UGY1')"
"('Q14241', 'P40337')"
"('P01100', 'P51659')"
"('Q5VTD9', 'Q9BRK4')"
"('Q9UNZ2', 'O94888')"
"('Q01081', 'O95400')"
"('Q01844', 'Q15797')"
"('P51659', 'P62993')"
"('P10914', 'P23771')"
"('P01242', 'Q99062')"
"('Q8N0Z3', 'Q96BD8')"
"('Q9H0R8', 'P14678')"
"('Q6VAB6', 'P27348')"
"('Q9H5V9', 'Q8N4N3')"
"('Q5TC82', 'P62888')"
"('P46459', 'Q9BSM1')"
"('P61978', 'P68366')"
"('Q99728', 'P17931')"
"('Q93034', 'P62875')"
"('Q9NX61', 'Q9NQX4')"
"('Q8NHY2', 'Q9BX70')"
"('Q8NB16', 'O43633')"
"('P60981', 'P01241')"
"('P17947', 'P21757')"
"('P67936', 'P35579')"
"('Q12933', 'Q9H1R3')"
"('P45880', 'Q13268')"
"('Q15843', 'O14979')"
"('Q96SI9', 'P35226')"
"('Q9BZS1', 'P35453')"
"('Q13535', 'O95714')"
"('O60353', 'O75487')"
"('P52907', 'Q6FI81')"
"('Q9UNX3', 'P05362')"
"('O14936', 'Q9BZL6')"
"('Q3ZCQ8', 'P25786')"
"('Q15973', 'P60410')"
"('O75190', 'P01241')"
"('Q9HC98', 'Q15323')"
"('O95166', 'P35268')"
"('Q96T59', 'A8MXV6')"
"('P78352', 'O43166')"
"('P13612', 'P68371')"
"('Q14249', 'Q8WWA0')"
"('Q13303', 'P15927')"
"('Q9NQT8', 'Q15678')"
"('Q9ULX7', 'Q7Z2K6')"
"('Q9H461', 'O14640')"
"('Q96A37', 'P52948')"
"('P02675', 'P38936')"
"('O60684', 'Q9Y6F8')"
"('O95466', 'O60861')"
"('Q14676', 'Q96RU2')"
"('Q69YH5', 'P18146')"
"('Q9H0P0', 'Q6P5W5')"
"('Q9Y6K9', 'P32298')"
"('Q9NTM9', 'Q14697')"
"('P98170', 'O00165')"
"('Q9NVC6', 'Q96RN5')"
"('P46531', 'Q13526')"
"('Q63HR2', 'Q86SQ7')"
"('P03901', 'O95139')"
"('Q8N3R9', 'Q9BUF7')"
"('P49746', 'Q96FC9')"
"('A1L4K1', 'Q9Y3B7')"
"('Q3KQV3', 'Q9H9D4')"
"('P50151', 'P16520')"
"('O14641', 'Q9BSL1')"
"('Q6P2Q9', 'Q7L2J0')"
"('P55317', 'P35453')"
"('Q13162', 'P04114')"
"('Q9UFF9', 'O75015')"
"('O75317', 'Q53GS9')"
"('P48551', 'Q9UMW8')"
"('P43268', 'P42858')"
"('P08865', 'O00399')"
"('P52597', 'Q9UKV8')"
"('Q9P281', 'P01106')"
"('Q9P2R7', 'O75208')"
"('Q96PM5', 'Q8TF42')"
"('Q09028', 'P30519')"
"('Q99081', 'Q9UJX0')"
"('Q9UNX4', 'Q9Y606')"
"('Q13472', 'Q0VG06')"
"('P61163', 'Q9BTE1')"
"('Q13363', 'P25054')"
"('Q08495', 'P34897')"
"('Q9UHG0', 'Q9H0E2')"
"('P46060', 'Q14999')"
"('O94953', 'Q9BTT4')"
"('O95347', 'P47755')"
"('Q15011', 'P52565')"
"('P62140', 'Q9UBN1')"
"('Q9BQ95', 'Q9H244')"
"('P09110', 'P04040')"
"('Q99623', 'P19532')"
"('P17152', 'O75208')"
"('P50914', 'O96028')"
"('O15496', 'P29972')"
"('Q92624', 'Q969K3')"
"('P51148', 'P35998')"
"('P29317', 'P35568')"
"('Q8IWE4', 'Q86VP6')"
"('Q9H6Z9', 'Q15596')"
"('O75820', 'P15056')"
"('P07437', 'P17844')"
"('Q3SY00', 'P78358')"
"('O00716', 'P35222')"
"('Q8IYT4', 'P68371')"
"('P14373', 'Q9BYI3')"
"('P07954', 'P46926')"
"('Q63HK5', 'Q12933')"
"('Q9Y3A3', 'O95684')"
"('P01100', 'Q0VG06')"
"('Q9UBU8', 'O75386')"
"('Q6UWR7', 'Q9BXS9')"
"('O14544', 'Q14765')"
"('Q6FI81', 'Q9Y5K5')"
"('Q6R327', 'P17028')"
"('Q16659', 'O60563')"
"('Q08345', 'P29353')"
"('Q9H0F6', 'P01375')"
"('P54577', 'Q9C009')"
"('Q9HD34', 'Q13011')"
"('Q96R06', 'Q68CZ1')"
"('Q15477', 'P06748')"
"('Q93079', 'Q7L7L0')"
"('Q86X19', 'Q16625')"
"('P40227', 'P60510')"
"('P07910', 'P32121')"
"('Q9BRX9', 'Q13573')"
"('P60328', 'P50222')"
"('P35908', 'O75530')"
"('Q9NZC3', 'Q9UNN8')"
"('Q56NI9', 'O60341')"
"('Q9HBW0', 'P63092')"
"('Q96PV0', 'Q07890')"
"('Q9UQ88', 'Q13153')"
"('O95471', 'P56747')"
"('Q9H0H5', 'P62993')"
"('Q9UN19', 'Q96R05')"
"('Q93098', 'Q9ULW2')"
"('O96019', 'Q9UJX2')"
"('P49792', 'Q8NFH3')"
"('P57078', 'Q6NSJ2')"
"('Q13042', 'P06493')"
"('Q8NHQ1', 'Q969G5')"
"('P55196', 'P58401')"
"('Q9UI12', 'Q9UHA4')"
"('P52597', 'P61978')"
"('Q12778', 'Q13948')"
"('P78371', 'P48643')"
"('Q9Y3E0', 'P38606')"
"('Q6P1M9', 'Q16659')"
"('Q9Y5B9', 'P38398')"
"('Q8NFW5', 'Q14CS0')"
"('P50453', 'P08311')"
"('Q9BYR7', 'Q9Y6Z4')"
"('O75582', 'Q9BVK2')"
"('Q9ULH1', 'P62330')"
"('Q99459', 'Q9Y2Z0')"
"('O75400', 'Q9Y6W5')"
"('P61421', 'Q9P0L0')"
"('Q4G0F5', 'Q9C029')"
"('Q9UBB9', 'O43482')"
"('P62942', 'Q01995')"
"('P60568', 'P31785')"
"('Q9NQW7', 'Q6NUQ1')"
"('Q13609', 'P26371')"
"('Q13077', 'Q13489')"
"('P49959', 'Q9H4L4')"
"('Q8NFW8', 'P48059')"
"('Q9BTE6', 'Q99961')"
"('P22307', 'Q15645')"
"('Q96DB2', 'P31689')"
"('O43639', 'Q08345')"
"('A6NEM1', 'P61968')"
"('P63096', 'Q02818')"
"('Q93009', 'Q13077')"
"('Q96H55', 'P28290')"
"('P49716', 'O94991')"
"('P05093', 'Q9UM11')"
"('Q9ULM6', 'Q8NDV7')"
"('O95801', 'Q9UJA5')"
"('Q14694', 'O75385')"
"('P08238', 'Q504Q3')"
