negatives
"('Q92769', 'Q9NRR4')"
"('P23511', 'Q01094')"
"('Q96M61', 'O94972')"
"('P09471', 'Q68DD2')"
"('P63261', 'Q86UA6')"
"('Q15796', 'Q13643')"
"('P25929', 'P04899')"
"('P01106', 'P60228')"
"('P01106', 'P28070')"
"('P20226', 'P29084')"
"('P18146', 'Q9BYX2')"
"('O43242', 'Q9HAW0')"
"('P30050', 'P62899')"
"('Q6FHJ7', 'Q9H461')"
"('Q8TAQ2', 'Q99816')"
"('P33992', 'P62805')"
"('P11021', 'P18850')"
"('P31947', 'Q9UK53')"
"('Q9Y4K3', 'P41091')"
"('P29275', 'Q5JWF2')"
"('P80098', 'P51684')"
"('Q9UIA9', 'Q15750')"
"('P62136', 'Q13557')"
"('Q9Y6Y9', 'P35247')"
"('Q14831', 'P62879')"
"('Q92997', 'Q5SW24')"
"('O14939', 'P18031')"
"('Q9UK59', 'P12980')"
"('P0C5Z0', 'Q92769')"
"('P81605', 'Q2M3C7')"
"('P47914', 'P05387')"
"('O60814', 'P0C0S5')"
"('Q96B02', 'Q969V5')"
"('Q92918', 'Q9UJU6')"
"('Q16891', 'Q16543')"
"('P47914', 'P62917')"
"('P68104', 'P62993')"
"('P50151', 'Q8NFM4')"
"('P05129', 'O43889')"
"('P05109', 'P38936')"
"('Q13415', 'P49736')"
"('Q07020', 'P61313')"
"('Q8WUH2', 'P36894')"
"('Q9NVW2', 'Q9Y2X8')"
"('Q9UPS6', 'Q9UBL3')"
"('Q9Y2D5', 'P19174')"
"('Q9P286', 'Q9UGJ1')"
"('O14640', 'Q9Y2T1')"
"('P14174', 'P11171')"
"('Q5VU43', 'Q5VTD9')"
"('P33991', 'Q9UNS1')"
"('Q96EY1', 'P20936')"
"('O95295', 'Q9UL45')"
"('O00206', 'Q9H0E2')"
"('P04637', 'O75925')"
"('Q03169', 'Q04206')"
"('P42768', 'P06241')"
"('P05387', 'P18621')"
"('Q9UL18', 'P43243')"
"('Q9Y297', 'Q53EL6')"
"('P30050', 'P83916')"
"('P01106', 'O95139')"
"('P19438', 'P35579')"
"('Q15291', 'Q9C005')"
"('P19012', 'Q9NTK1')"
"('P17612', 'P28482')"
"('Q9NYJ8', 'P54652')"
"('Q13526', 'P14635')"
"('P22612', 'Q15361')"
"('Q8NDX5', 'P35227')"
"('P01112', 'Q99759')"
"('P43403', 'Q9UJU6')"
"('Q96FJ2', 'Q96LC9')"
"('P00367', 'Q14197')"
"('P62805', 'P49736')"
"('P62258', 'P42167')"
"('P42858', 'Q9BVJ6')"
"('Q5XUX0', 'P63208')"
"('Q16659', 'P10644')"
"('O60716', 'Q99459')"
"('Q9UER7', 'P21953')"
"('O14964', 'Q8N5R6')"
"('P05455', 'Q9Y478')"
"('P23511', 'P14859')"
"('Q07817', 'Q9C000')"
"('P31749', 'P22732')"
"('P17676', 'P56524')"
"('P61981', 'Q8N3F8')"
"('Q13501', 'Q15628')"
"('Q9Y3S1', 'P54253')"
"('Q15021', 'Q8NEM0')"
"('Q03519', 'P04222')"
"('P32121', 'Q9Y585')"
"('Q16566', 'Q70SY1')"
"('P28482', 'P50993')"
"('Q6RSH7', 'Q9NSA3')"
"('P61254', 'P46778')"
"('P0C5Z0', 'P33778')"
"('P48551', 'P01571')"
"('Q14680', 'O75716')"
"('Q9Y4K3', 'O43809')"
"('Q08043', 'P63261')"
"('Q92905', 'Q13573')"
"('Q92796', 'P54257')"
"('P02647', 'P09417')"
"('Q8NEY8', 'Q92599')"
"('P17612', 'O95622')"
"('P98175', 'Q9UKA9')"
"('P63218', 'O60266')"
"('Q9H2G2', 'Q05655')"
"('P54136', 'Q15287')"
"('O95167', 'O43677')"
"('P32121', 'Q96KK4')"
"('O15372', 'Q9Y478')"
"('Q9Y6G9', 'Q9BVA1')"
"('Q13151', 'Q14683')"
"('Q13554', 'O60359')"
"('Q13315', 'Q6PIW4')"
"('P35626', 'P51686')"
"('Q7L8L6', 'Q86UT6')"
"('O15264', 'P07814')"
"('P51003', 'Q9UKF6')"
"('P52198', 'Q9P286')"
"('Q9H2X3', 'P61812')"
"('P63165', 'P49711')"
"('Q9H5I1', 'P00519')"
"('P54257', 'Q08170')"
"('Q92889', 'P53350')"
"('Q9Y4K3', 'P63173')"
"('P54619', 'Q13131')"
"('Q9HC24', 'Q01804')"
"('P46783', 'Q99558')"
"('Q9UJX2', 'Q92922')"
"('P01579', 'P15260')"
"('Q14344', 'P47712')"
"('Q15583', 'Q13547')"
"('P12931', 'P53355')"
"('P25787', 'P20618')"
"('Q07020', 'P05386')"
"('Q14511', 'Q8IZD9')"
"('P09417', 'P02647')"
"('Q92765', 'Q9H1J5')"
"('Q9Y6X3', 'Q6KC79')"
"('P41235', 'P00740')"
"('Q6IAA8', 'Q9NQL2')"
"('Q13422', 'Q13363')"
"('O75122', 'O94817')"
"('Q14005', 'Q8N6Y0')"
"('P10914', 'Q9ULK4')"
"('P46109', 'P49023')"
"('O60674', 'P98077')"
"('P11171', 'P24941')"
"('P10144', 'P14222')"
"('Q9NRH1', 'Q8WUY8')"
"('P43364', 'Q9Y375')"
"('Q16620', 'P98077')"
"('P01242', 'P31785')"
"('Q00839', 'P52272')"
"('Q96MA1', 'Q01844')"
"('Q15475', 'Q15834')"
"('P22392', 'P04844')"
"('P54829', 'P02647')"
"('P61077', 'Q9ULK6')"
"('P06401', 'P53778')"
"('P52798', 'P20936')"
"('P11487', 'P35916')"
"('Q9HCE7', 'P21802')"
"('Q15369', 'Q16665')"
"('P63146', 'Q9GZS3')"
"('P36507', 'Q9UHA4')"
"('Q9Y2S0', 'P43364')"
"('P52209', 'P62330')"
"('P01308', 'P08581')"
"('P27824', 'P19438')"
"('C9JDP6', 'Q9UDY2')"
"('Q15366', 'Q14103')"
"('O94762', 'P24928')"
"('P12830', 'Q15475')"
"('Q16659', 'P60842')"
"('P13637', 'Q6P1N9')"
"('P62714', 'P63151')"
"('P63104', 'Q12778')"
