negatives
"('B2RUZ4', 'Q9BXK5')"
"('Q15327', 'P54296')"
"('Q6PJQ5', 'Q15906')"
"('Q99590', 'P26368')"
"('Q14541', 'P30041')"
"('P49418', 'O43426')"
"('P31948', 'Q9BQE3')"
"('P04439', 'Q9NYU2')"
"('O75695', 'P49674')"
"('P03372', 'Q7L2E3')"
"('Q9H5N1', 'Q15276')"
"('Q99801', 'Q9BQA1')"
"('Q12824', 'O96019')"
"('P15313', 'Q9UNK0')"
"('P08238', 'O94868')"
"('Q7Z6G3', 'Q9BXY8')"
"('P53582', 'Q58EX7')"
"('Q9NYQ7', 'Q00887')"
"('O95182', 'Q96LL9')"
"('P15927', 'Q8TDB6')"
"('P46060', 'Q13043')"
"('P46013', 'Q9H0W5')"
"('Q9NQC3', 'P31939')"
"('Q9BT73', 'P20618')"
"('P01877', 'Q8N365')"
"('Q15678', 'P14923')"
"('P36873', 'Q12972')"
"('P39019', 'Q14134')"
"('O75170', 'Q99471')"
"('P55795', 'Q9HCJ5')"
"('P18206', 'Q9NRC8')"
"('Q96CS3', 'Q92616')"
"('O43818', 'Q9P2P5')"
"('Q504Q3', 'Q7Z406')"
"('P0DP24', 'P32241')"
"('P16435', 'Q9Y6M9')"
"('Q96S90', 'Q6NUQ1')"
"('P12956', 'P60520')"
"('Q5VU43', 'Q9UKE5')"
"('Q99733', 'P06733')"
"('P10588', 'P03372')"
"('O60506', 'O75880')"
"('Q01518', 'Q8TD19')"
"('P24941', 'Q96HS1')"
"('O75643', 'Q9UMS4')"
"('Q71RC2', 'Q8IVT5')"
"('Q12952', 'Q9P2E9')"
"('P05067', 'Q5T2W1')"
"('Q16513', 'P20290')"
"('P61978', 'P18754')"
"('O75815', 'P08581')"
"('P63000', 'Q7Z3V4')"
"('Q9H0E3', 'P84022')"
"('Q9P2P5', 'Q8N5C6')"
"('Q8IUX7', 'P62993')"
"('Q96S59', 'O15350')"
"('P63104', 'P23528')"
"('P15880', 'Q9NRC8')"
"('Q9HCE1', 'Q86Y56')"
"('O14920', 'Q9Y6Q9')"
"('P06400', 'P11441')"
"('P17931', 'P15941')"
"('Q9NW13', 'O00541')"
"('P27694', 'Q02880')"
"('O75947', 'O75208')"
"('Q8IV63', 'P62826')"
"('Q15648', 'P55055')"
"('P49736', 'Q96M27')"
"('A0AVI4', 'P51668')"
"('B2RXF5', 'Q63ZY3')"
"('P09017', 'Q96RT1')"
"('Q86XA9', 'P37198')"
"('P12931', 'O14939')"
"('Q9Y572', 'O00571')"
"('P49842', 'Q99808')"
"('O43426', 'P16333')"
"('P16220', 'P18846')"
"('P49792', 'Q14324')"
"('P08962', 'Q9BQB6')"
"('Q13526', 'Q14103')"
"('Q14974', 'P49761')"
"('Q71U36', 'Q15058')"
"('Q9UNF0', 'Q9NWX6')"
"('P16333', 'Q96T58')"
"('P23528', 'Q13464')"
"('P35244', 'Q9BTE6')"
"('P10588', 'Q9H1E5')"
"('Q9BYP8', 'Q8IZC7')"
"('P00533', 'P30304')"
"('P49590', 'Q6RW13')"
"('P62899', 'Q9UKV8')"
"('Q9UBU9', 'Q15633')"
"('P34896', 'Q96IZ0')"
"('Q9BSD3', 'Q5S007')"
"('P24385', 'P01100')"
"('O60232', 'P10599')"
"('Q8N137', 'Q5T5P2')"
"('Q9BTE6', 'Q96AE4')"
"('P35244', 'Q10567')"
"('Q15428', 'Q13310')"
"('Q16378', 'Q8TAX7')"
"('P62136', 'Q9H175')"
"('O75530', 'Q8IZ13')"
"('Q9NYZ3', 'P17612')"
"('O75478', 'Q9Y262')"
"('P27694', 'O43823')"
"('Q9P275', 'Q8NI36')"
"('Q9NZD8', 'Q04941')"
"('P62917', 'Q9H492')"
"('Q9Y478', 'Q49AN0')"
"('O75439', 'P0C7P0')"
"('Q92616', 'Q9Y6K9')"
"('Q96H55', 'P08238')"
"('O15259', 'Q9Y3Y2')"
"('Q8N370', 'P60369')"
"('Q13948', 'Q92793')"
"('Q13616', 'Q9BQ67')"
"('Q9Y4E8', 'Q9Y577')"
"('Q96QZ7', 'P41743')"
"('Q13084', 'Q13421')"
"('P12830', 'Q9H3U1')"
"('Q7Z3S9', 'Q92925')"
"('P61158', 'Q9Y606')"
"('P30466', 'P26640')"
"('O60504', 'Q99829')"
"('Q9UNX4', 'Q9NQT4')"
"('P35244', 'Q8TEQ6')"
"('O60493', 'P29558')"
"('P62191', 'P62244')"
"('P35240', 'P29508')"
"('Q09472', 'P27986')"
"('Q8N392', 'Q99547')"
"('P32242', 'B2RXF5')"
"('P00374', 'Q8IWL3')"
"('Q16531', 'Q9Y2Q3')"
"('P35658', 'Q14999')"
"('P48634', 'P0C7T5')"
"('Q9BV73', 'Q8NFH3')"
"('Q96QT6', 'P52747')"
"('Q7Z3Y9', 'Q8IYE0')"
"('Q5FBB7', 'Q15172')"
"('O15084', 'P61218')"
"('P61224', 'O00329')"
"('P55769', 'Q99496')"
"('Q15572', 'Q53T94')"
"('Q13618', 'Q13427')"
"('Q6VAB6', 'P49711')"
"('Q9UJX3', 'Q09472')"
"('O75603', 'O43186')"
"('Q9UKB1', 'O15371')"
"('O00410', 'P13569')"
"('P41219', 'P20700')"
"('P11021', 'O95466')"
"('P49407', 'O14581')"
"('P35462', 'P48764')"
"('P04792', 'Q14155')"
"('Q15291', 'Q01167')"
"('P07900', 'Q9C040')"
"('P00533', 'Q96IV0')"
"('Q12792', 'Q8NBS9')"
"('P12081', 'P49286')"
"('Q9UJX2', 'Q01094')"
"('O95376', 'P50222')"
"('Q99570', 'P48643')"
"('Q13203', 'Q8NAP3')"
"('P00533', 'Q92569')"
"('P01106', 'P49281')"
"('Q13526', 'Q6UY14')"
"('P04275', 'Q96CV9')"
"('Q14974', 'Q14980')"
"('Q13618', 'O95394')"
"('P02452', 'P07384')"
"('P54289', 'Q9NZN8')"
"('O15287', 'Q13472')"
"('Q8N5Z5', 'Q13618')"
"('Q9UKG1', 'P04792')"
"('O75663', 'P04629')"
"('Q9Y597', 'O60307')"
"('Q9C0C7', 'P50990')"
"('P19838', 'P04040')"
"('Q01844', 'Q14320')"
"('Q9H583', 'Q5TCY1')"
"('P05067', 'Q9UN72')"
"('Q969Z0', 'Q7Z6L0')"
"('P31939', 'P55809')"
"('P17858', 'Q8IVH2')"
"('Q9HCK5', 'P23588')"
"('O96017', 'P49756')"
"('Q13601', 'Q9UBU9')"
"('Q86TM6', 'Q5VVQ6')"
"('Q5VVX9', 'Q86UW7')"
"('Q9BRJ7', 'Q13616')"
"('Q8IWY9', 'Q9H9S0')"
"('Q9Y5J7', 'P10619')"
"('O43809', 'P61978')"
"('Q8N6Y0', 'P47897')"
"('P13196', 'P08579')"
"('Q8N8B7', 'Q8NA61')"
"('Q07960', 'Q9HBH0')"
"('P31930', 'Q9Y230')"
"('Q8IV38', 'Q00613')"
"('Q92905', 'Q13610')"
"('O14744', 'Q9UBB5')"
"('Q3ZCM7', 'Q8N163')"
"('P33764', 'Q8TBB1')"
"('P20248', 'Q9UM11')"
"('Q9UJ70', 'Q99081')"
"('O95817', 'P53396')"
"('P04629', 'Q9NQT8')"
"('P16499', 'Q8IWX8')"
"('P60329', 'Q8WW32')"
"('P52758', 'Q00987')"
"('Q92545', 'Q6PD62')"
"('Q8IUE6', 'Q5QNW6')"
"('Q14152', 'P14921')"
"('Q92747', 'Q6IQ23')"
"('Q12967', 'P27361')"
"('Q49AN0', 'Q9NRD5')"
"('Q13077', 'Q96LM5')"
"('P60033', 'O00571')"
"('O43390', 'P52597')"
"('P01106', 'Q9NUQ3')"
"('P54578', 'Q99666')"
"('O75251', 'O75489')"
"('Q9NUX5', 'Q9NVM4')"
"('O00625', 'Q96ST3')"
"('P33992', 'Q6IQ23')"
"('Q08209', 'Q96GX8')"
"('Q96B18', 'P05129')"
"('Q09666', 'P26640')"
"('Q96G04', 'P54803')"
"('O15264', 'P63104')"
"('P13500', 'P25024')"
"('P53611', 'Q92696')"
"('O95816', 'P62249')"
"('P46379', 'Q53EZ4')"
"('Q15020', 'Q9Y3B9')"
"('P40222', 'Q969G3')"
"('O60637', 'Q15036')"
"('Q99471', 'Q2WGJ6')"
"('P51398', 'P60520')"
"('P30876', 'Q08211')"
"('Q9Y6M9', 'Q9UHA4')"
"('Q86Y56', 'Q8TAT6')"
"('Q9BRS2', 'P11441')"
"('Q6A162', 'Q5MCW4')"
"('Q9HCE1', 'Q96KP4')"
"('O75380', 'P03905')"
"('P62333', 'P54578')"
"('Q8NB12', 'Q8IXP5')"
"('O14757', 'P35611')"
"('Q14653', 'Q92887')"
"('Q9NYA1', 'Q9Y4K3')"
"('Q7L576', 'Q9UHB6')"
"('Q13526', 'P41182')"
"('Q9BRP8', 'P15880')"
"('Q15797', 'Q13465')"
"('Q9Y6X1', 'P05067')"
"('P11279', 'P46531')"
"('O96015', 'Q96HA8')"
"('P20226', 'Q659A1')"
"('Q6ZTN6', 'Q5JRV8')"
"('Q8IYS1', 'Q8IYX7')"
"('Q14004', 'Q15554')"
"('Q9UMX6', 'Q02846')"
"('Q02790', 'P08238')"
"('Q99748', 'O00451')"
"('Q96EP1', 'Q14449')"
"('Q9NWT6', 'P20290')"
"('Q7Z3Y8', 'O95995')"
"('P17612', 'Q8NH18')"
"('P28702', 'Q99459')"
"('O14757', 'Q9NQT8')"
"('P08571', 'P12314')"
"('Q9BUY5', 'O95967')"
"('Q92905', 'Q12906')"
"('P05771', 'P62873')"
"('Q13620', 'Q8NA75')"
"('Q96EY7', 'P03372')"
"('Q9HCE1', 'Q5TKA1')"
"('P21796', 'Q9P0L0')"
"('Q7Z3D6', 'P25788')"
"('Q9UGC6', 'Q5T752')"
"('P13501', 'P51685')"
"('P49368', 'Q8NHY2')"
"('P51636', 'P31689')"
"('P15927', 'P49643')"
"('Q96T55', 'O94888')"
"('Q9NRN7', 'P01889')"
"('P19388', 'Q9H9Y6')"
"('P04629', 'Q9Y5M8')"
"('Q9Y6I9', 'Q13370')"
"('Q13601', 'Q9H171')"
"('P68431', 'Q9Y2H1')"
"('P13569', 'Q05086')"
"('Q2M2I8', 'O95782')"
"('Q99873', 'Q8N3J3')"
"('Q15796', 'Q8TAD8')"
"('O60678', 'P40337')"
"('Q8NCN5', 'Q9UBU9')"
"('Q14008', 'Q9NRC8')"
"('P63279', 'P56537')"
"('Q09472', 'Q99683')"
"('O95243', 'P34897')"
"('P49759', 'Q6AZY7')"
"('O14908', 'Q8N1F7')"
"('Q93062', 'Q96ME1')"
"('P01106', 'P56192')"
"('O75694', 'Q7Z406')"
"('Q9UBB6', 'O96006')"
"('O15523', 'P60033')"
"('Q13315', 'Q96RU2')"
"('P34897', 'Q9UQL6')"
"('Q01860', 'P68371')"
"('P17987', 'Q9GZX7')"
"('P50454', 'P22626')"
"('O75323', 'O43524')"
"('P47736', 'O14980')"
"('Q58FF8', 'Q9P202')"
"('P09341', 'P61073')"
"('Q02535', 'Q9UH92')"
"('P30876', 'P49841')"
"('P09382', 'Q9NQ25')"
"('Q969H0', 'Q96RN5')"
"('O94880', 'Q13547')"
"('P62266', 'Q6NUN9')"
"('Q9H6E5', 'Q9NRD1')"
"('Q9UKA1', 'P52566')"
"('Q9H2X6', 'Q06413')"
"('O14775', 'P48736')"
"('P51532', 'O14802')"
"('P12830', 'P49748')"
"('P62253', 'Q13233')"
"('P62191', 'P35558')"
"('O75643', 'Q9UJV9')"
"('P01106', 'Q9NZW5')"
"('P83876', 'P42262')"
"('Q96SN8', 'Q96CW5')"
"('Q00535', 'Q00526')"
"('Q99728', 'Q13907')"
"('P24385', 'P25205')"
"('Q96GG9', 'Q99627')"
"('Q06203', 'P25205')"
"('P48047', 'Q93050')"
"('Q9UI42', 'Q14330')"
"('P16402', 'P63104')"
"('P31150', 'Q9BWE0')"
"('Q9NS73', 'Q6PEV8')"
"('Q9H0U4', 'Q9NZ01')"
"('Q7L8S5', 'P37198')"
"('P21333', 'Q5VV17')"
"('Q9H0W5', 'Q7L2E3')"
"('P0DP25', 'P15382')"
"('O43918', 'P52701')"
"('Q8IWT6', 'Q15717')"
"('Q01973', 'Q14149')"
"('Q9H944', 'Q15181')"
"('Q9Y6K9', 'O95391')"
"('Q6PKG0', 'Q14152')"
"('O95718', 'P42677')"
"('Q9H160', 'P24385')"
"('Q9Y3E7', 'Q9H444')"
"('P25054', 'Q01082')"
"('P12035', 'Q52LG2')"
"('Q9BYR7', 'Q9NV39')"
"('P46776', 'Q13153')"
"('Q9UJV9', 'Q13838')"
"('Q8NF50', 'Q96N67')"
"('P49639', 'P60369')"
"('O95817', 'Q16674')"
"('Q8TC92', 'P56537')"
"('Q96FV9', 'Q96BY2')"
"('P18075', 'P01848')"
"('Q9Y2D8', 'Q9UHD2')"
"('Q8TEJ3', 'Q9ULR3')"
"('P13612', 'P55072')"
"('O43290', 'P38919')"
"('Q86XF7', 'Q9BYQ3')"
"('P62829', 'P62266')"
"('P27824', 'Q9H5K3')"
"('Q9Y2W1', 'Q16637')"
"('Q01844', 'P54252')"
"('Q01082', 'Q9NQ66')"
"('P01730', 'P19338')"
"('Q9H4B6', 'P49674')"
"('P10398', 'P31947')"
"('Q9BRX2', 'O14980')"
"('P36551', 'P49736')"
"('Q9UQ84', 'Q9P2K5')"
"('P58340', 'O75132')"
"('Q8TF61', 'P63208')"
"('Q7L5N1', 'O00571')"
"('Q9Y2H8', 'P49716')"
"('O14964', 'P06213')"
"('Q8N0U8', 'Q9P0N5')"
