negatives
"('P78406', 'Q6UXN9')"
"('Q13043', 'Q15208')"
"('P14174', 'Q7Z465')"
"('P29353', 'P13797')"
"('Q14194', 'P31943')"
"('Q96N67', 'P52655')"
"('Q07020', 'P60866')"
"('P47712', 'P14598')"
"('O60303', 'O00139')"
"('P46778', 'P61254')"
"('Q9NS73', 'Q9Y2G2')"
"('P06241', 'O00329')"
"('O94874', 'P05412')"
"('P54274', 'Q03154')"
"('P17612', 'Q86YV6')"
"('O75553', 'P86479')"
"('P22694', 'Q9UBS0')"
"('P62820', 'P45880')"
"('P27361', 'P20339')"
"('P24928', 'P0CAP1')"
"('P31321', 'O95817')"
"('O75448', 'P19793')"
"('Q9Y3U8', 'Q86VP6')"
"('P08238', 'O14544')"
"('Q14525', 'A8MQ03')"
"('Q96ST2', 'Q7KZ85')"
"('Q6DD88', 'P16435')"
"('Q00597', 'Q8IYD8')"
"('Q6P2Q9', 'Q6NUN9')"
"('Q9NSI2', 'Q8IVT5')"
"('Q9UBU9', 'Q8TAQ2')"
"('O00203', 'P63104')"
"('O43474', 'P46531')"
"('P11021', 'Q05086')"
"('Q92900', 'Q9UPR3')"
"('P50150', 'P48051')"
"('Q09028', 'O00505')"
"('P67809', 'Q02878')"
"('Q9Y2D8', 'O75449')"
"('Q13489', 'Q13404')"
"('Q96NL6', 'Q96BD5')"
"('P35555', 'O15265')"
"('O14802', 'Q96A35')"
"('P10275', 'Q16665')"
"('P14923', 'Q6P1J9')"
"('Q9H0W5', 'O00264')"
"('P62877', 'Q86VP6')"
"('P52306', 'Q9BW83')"
"('Q86T29', 'P45983')"
"('Q96KN7', 'P51957')"
"('Q9BRP4', 'P25786')"
"('Q14232', 'P81605')"
"('O00567', 'P49411')"
"('P67870', 'Q9BW71')"
"('Q8TAD8', 'Q92793')"
"('P62826', 'Q14498')"
"('P26373', 'P55072')"
"('A6NEM1', 'Q7L273')"
"('Q86VP6', 'Q8WTV0')"
"('O75665', 'Q9Y2Z0')"
"('Q8WTR7', 'Q969L4')"
"('Q15323', 'P54259')"
"('P10914', 'Q9HBE5')"
"('O95714', 'Q13347')"
"('Q9H6T3', 'O15212')"
"('P08238', 'Q16587')"
"('Q96JH7', 'Q92890')"
"('P62244', 'P40337')"
"('Q9P2W3', 'P42338')"
"('P25116', 'O95837')"
"('Q01968', 'Q01780')"
"('Q9H7Z7', 'P01106')"
"('Q9UN81', 'Q6PKG0')"
"('Q8WXH0', 'P32121')"
"('O14746', 'P29590')"
"('Q9GZM6', 'Q9P2W3')"
"('P20036', 'Q9HC56')"
"('P41594', 'P63092')"
"('P56279', 'Q13315')"
"('Q9Y696', 'P50502')"
"('P60510', 'Q7Z2T5')"
"('Q14999', 'Q13123')"
"('P35609', 'Q9UBF9')"
"('Q5S007', 'P27348')"
"('Q5TCM9', 'O43609')"
"('Q9H0R8', 'P11142')"
"('Q13155', 'P02751')"
"('P50222', 'O75603')"
"('Q01831', 'Q16531')"
"('O00308', 'P54619')"
"('O95073', 'Q9H4K1')"
"('P16591', 'P15311')"
"('P0DPB5', 'P62993')"
"('Q8TBB1', 'Q8IZU0')"
"('Q5JTH9', 'Q8WTT2')"
"('P35249', 'Q92499')"
"('P38646', 'Q13469')"
"('Q8IVT5', 'Q99627')"
"('P07900', 'O75344')"
"('Q13547', 'P04908')"
"('P98160', 'O00555')"
"('Q6STE5', 'P05412')"
"('P16070', 'P18146')"
"('O15511', 'P12830')"
"('Q9Y4P3', 'P03372')"
"('P09651', 'Q6ZS30')"
"('Q969V6', 'Q2MV58')"
"('Q8IX06', 'Q12899')"
"('Q8NEY8', 'Q92890')"
"('P17612', 'Q8NGE1')"
"('P51003', 'Q9UKF6')"
"('Q13635', 'Q11206')"
"('O60260', 'Q96QV6')"
"('P10827', 'P60709')"
"('Q14653', 'Q99731')"
"('P61457', 'P50502')"
"('Q04864', 'Q9UJ70')"
"('Q86TJ2', 'Q9Y4A5')"
"('Q8N6F1', 'Q96B33')"
"('Q9UPE1', 'O75569')"
"('P84022', 'P30153')"
"('Q96G25', 'P49336')"
"('O14828', 'Q9Y5M8')"
"('O95684', 'Q1MSJ5')"
"('Q9BRP4', 'Q16401')"
"('Q01844', 'Q12933')"
"('P84022', 'Q99697')"
"('O94989', 'Q14847')"
"('Q9NP66', 'Q9UIG4')"
"('O94817', 'Q14152')"
"('O14964', 'Q3LI72')"
"('Q8N680', 'Q92793')"
"('P43694', 'Q02363')"
"('O75351', 'Q9NRW7')"
"('Q9Y4K3', 'P22681')"
"('Q8WXK3', 'Q9UBU9')"
"('P17600', 'P08670')"
"('Q9H0D6', 'P11308')"
"('P05161', 'Q92985')"
"('O43399', 'Q06547')"
"('O95155', 'P51668')"
"('Q96A35', 'Q9H0U6')"
"('Q4ZIN3', 'Q9NXF8')"
"('P51610', 'Q9NRF9')"
"('P61513', 'Q9Y6B2')"
"('P0C7T5', 'O75843')"
"('P37268', 'P00533')"
"('O00762', 'P78396')"
"('O14807', 'Q7L0Q8')"
"('Q14839', 'Q9P275')"
"('Q9BUV8', 'P04843')"
"('P14373', 'O95983')"
"('P63173', 'Q08380')"
"('Q01082', 'Q9H9G7')"
"('Q6ZWJ1', 'Q8N137')"
"('P15374', 'P09622')"
"('Q13573', 'Q7L7X3')"
"('Q9BYZ6', 'O96017')"
"('P46108', 'O43683')"
"('Q5TCZ1', 'Q13444')"
"('Q96HR8', 'Q15573')"
"('Q00765', 'Q9NZS2')"
"('O14713', 'Q8WV83')"
"('Q13315', 'Q9UHB7')"
"('Q14839', 'O76064')"
"('Q9C0F1', 'Q68CZ6')"
"('P25025', 'P63092')"
"('Q15025', 'Q9H213')"
"('P50222', 'Q9NRW1')"
"('Q96AP7', 'O95484')"
"('Q504Q3', 'Q13310')"
"('Q8TDN6', 'Q9UGY1')"
"('P35968', 'P20936')"
"('Q9NVJ2', 'Q562F6')"
"('P01111', 'P00540')"
"('Q96MT8', 'Q9BUI4')"
"('Q8TAG9', 'Q9Y2I9')"
"('P84022', 'Q9GZV5')"
"('P09086', 'P05113')"
"('P62917', 'Q13310')"
"('P17676', 'P20023')"
"('Q13177', 'Q96I15')"
"('Q9UIA0', 'Q9BVG8')"
"('Q6IBS0', 'Q15051')"
"('O75319', 'Q8N5Z5')"
"('P43364', 'Q9Y375')"
"('Q13618', 'P43243')"
"('Q15149', 'P60484')"
"('P02545', 'O75147')"
"('Q96JG6', 'O75379')"
"('Q00839', 'Q9Y5B9')"
"('Q8NCU4', 'Q13137')"
"('Q03135', 'Q13586')"
"('P33176', 'Q9HBR0')"
"('Q6PKG0', 'P62241')"
"('Q92905', 'P11387')"
"('P43403', 'O15264')"
"('Q9Y4P1', 'Q8IVT5')"
"('Q8WXK3', 'P27448')"
"('O95758', 'Q3SYG4')"
"('Q8N7Q3', 'Q9H3D4')"
"('Q9UHD9', 'Q8N4V1')"
"('P63096', 'P27361')"
"('P53350', 'Q92844')"
"('Q8N6G5', 'Q8NBL1')"
"('Q9UHB6', 'P32121')"
"('Q9BSE4', 'Q9Y5U9')"
"('P49674', 'P48730')"
"('P50222', 'O15315')"
"('O14965', 'P05412')"
"('Q52LG2', 'Q6PEX3')"
"('Q02241', 'Q9Y6K9')"
"('Q9NSE2', 'Q4KMP7')"
"('P41159', 'Q99650')"
"('Q9NVS2', 'P26373')"
"('Q3SY84', 'P08727')"
"('Q2KHM9', 'P49674')"
"('P13805', 'Q96E35')"
"('P13612', 'P14618')"
"('Q7L3S4', 'Q02539')"
"('O95487', 'P12830')"
"('P41218', 'P26196')"
"('Q7Z6R9', 'A5D8V6')"
"('P38936', 'P09874')"
"('P62829', 'P52815')"
"('O43765', 'Q2WGJ6')"
"('Q8IWZ5', 'P14770')"
"('Q9BRX5', 'O95400')"
"('Q9C0J8', 'Q15717')"
"('Q8IYK4', 'Q9UHD9')"
"('Q15672', 'Q9UBK2')"
"('P61962', 'Q13489')"
"('P19438', 'P19838')"
"('P08729', 'P12004')"
"('Q15323', 'Q96S42')"
"('P19174', 'Q06124')"
"('P54219', 'Q8TD22')"
"('P26368', 'Q13148')"
"('Q96GD0', 'P49407')"
"('Q16623', 'P21145')"
"('P02042', 'Q969P0')"
"('Q96AZ1', 'P04350')"
"('Q8N1G4', 'Q9NY27')"
"('Q14554', 'P13284')"
"('Q9NX08', 'O60826')"
"('P51674', 'Q96FV3')"
"('P13612', 'Q01085')"
"('Q93034', 'P32121')"
"('Q12905', 'Q7L2E3')"
"('P02751', 'P35579')"
"('P50222', 'O15539')"
"('Q86X55', 'Q8IVD9')"
"('P17676', 'Q05195')"
"('P38919', 'P40429')"
"('O00257', 'Q63HN8')"
"('Q9NQZ6', 'O60504')"
"('Q9NX40', 'P09669')"
"('P14618', 'P24941')"
"('Q9H307', 'Q7Z3Y8')"
"('P06400', 'P55211')"
"('Q9H5Z6', 'P60411')"
"('Q9P0L0', 'Q9Y3E0')"
"('P61289', 'Q15723')"
"('Q9UK08', 'P53778')"
"('P14778', 'P51617')"
"('O00567', 'P13639')"
"('P55084', 'Q6IQ23')"
"('Q9Y2T1', 'Q15973')"
"('Q7L190', 'P62993')"
"('Q07020', 'P05388')"
"('Q7Z6Z7', 'P22061')"
"('Q9H0R8', 'Q02156')"
"('P12931', 'Q13936')"
"('Q68DV7', 'Q9ULX6')"
"('Q93009', 'Q15011')"
"('Q96E29', 'P09651')"
"('Q96C92', 'P20248')"
"('Q9H4L4', 'P17480')"
"('Q9UKT9', 'Q16543')"
"('Q9H9J2', 'Q15056')"
"('P30046', 'P30480')"
"('Q9NS71', 'O95071')"
"('P05412', 'O43148')"
"('P24592', 'A6NI15')"
"('P56545', 'Q96JN0')"
"('Q8TC76', 'Q9P0V3')"
"('Q8TCE9', 'Q5JR12')"
"('Q9GZQ8', 'Q9NRD5')"
"('Q6A162', 'Q08E93')"
"('Q9H4Z2', 'P51610')"
"('Q15058', 'Q9UM00')"
"('Q60I27', 'P51148')"
"('P26010', 'Q9UQF2')"
"('Q15843', 'Q5T6V5')"
"('P78318', 'P46937')"
"('Q9UL03', 'O43292')"
"('Q52LR7', 'Q9UBU8')"
"('Q4VC31', 'P63244')"
"('Q5JWF2', 'P30443')"
"('P16581', 'P35609')"
"('Q14980', 'Q6K0P9')"
"('Q02539', 'P19838')"
"('Q86V42', 'Q8IYH5')"
"('P49116', 'P08238')"
"('Q9BV10', 'P40429')"
"('O75800', 'Q86UW7')"
"('Q93009', 'P28062')"
"('Q14974', 'O14715')"
"('P25445', 'O60701')"
"('Q9Y230', 'Q9BR76')"
"('P19838', 'Q06481')"
"('Q9UKB1', 'Q96E29')"
"('P48169', 'O60296')"
"('Q9Y5P6', 'O60678')"
"('Q9UHI6', 'Q9H492')"
"('P60033', 'P50991')"
"('P60842', 'Q16526')"
"('P11586', 'P35637')"
"('Q9Y4K3', 'P54819')"
"('O95696', 'P84243')"
"('Q9UBU9', 'Q7Z4N8')"
"('P07327', 'Q16836')"
"('O14980', 'Q9HCJ0')"
"('Q9BYG5', 'Q8IX03')"
"('P18887', 'P27694')"
"('Q16186', 'Q13200')"
"('Q02809', 'O75665')"
"('P49327', 'A0MZ66')"
"('P11021', 'P14866')"
"('Q9Y5M8', 'Q92956')"
"('P52597', 'Q15287')"
"('Q9H3N8', 'Q8WXI9')"
"('P06733', 'O94804')"
"('P47755', 'Q9ULV0')"
"('Q7Z4I7', 'P60370')"
"('Q9UGL9', 'Q6L8G4')"
"('Q5F1R6', 'Q86VP6')"
"('O43586', 'P46778')"
"('P15104', 'Q99714')"
"('Q8WWI1', 'P47755')"
"('P06748', 'P11441')"
"('Q13438', 'Q9H295')"
"('Q8IXT1', 'P53396')"
"('P23769', 'Q6A162')"
"('O14980', 'Q9NX31')"
"('Q9P0N5', 'O60716')"
"('Q16348', 'P61968')"
"('O60749', 'Q15714')"
"('Q9UBU9', 'O75122')"
"('O00560', 'O95070')"
"('P46108', 'Q13285')"
"('Q13748', 'Q13618')"
"('Q00653', 'Q9NR30')"
"('Q5RL73', 'P15927')"
"('P05412', 'Q96QK1')"
"('Q9Y6Q9', 'P03372')"
"('Q9UKD2', 'Q86VP6')"
"('P24941', 'Q969K7')"
"('P02792', 'Q58FF7')"
"('P04156', 'Q8NDX6')"
"('Q9BRX9', 'Q92917')"
"('P01859', 'Q9H0R8')"
"('Q13522', 'P06400')"
"('P41218', 'P62140')"
"('P26045', 'Q04828')"
"('P10909', 'P08254')"
"('Q9BRV8', 'O00506')"
"('P60953', 'Q86VW2')"
"('P84103', 'Q8NE01')"
"('P15880', 'P08708')"
"('Q16531', 'Q9NZN8')"
"('Q9Y2W1', 'Q9UHX1')"
"('Q9NRR5', 'O75830')"
"('P63000', 'P45983')"
"('Q1A5X7', 'Q9BYV2')"
"('P83881', 'P42766')"
"('O75110', 'Q6PD62')"
"('P54132', 'O75771')"
"('P60033', 'O43707')"
"('P60369', 'P16860')"
"('P13682', 'Q9NRD5')"
"('P13667', 'Q6IBS0')"
"('P05067', 'Q6PI47')"
"('Q68D86', 'O00505')"
"('Q04206', 'Q8NES8')"
"('Q15021', 'P48431')"
"('P16234', 'Q6S5L8')"
"('Q16254', 'Q9Y618')"
"('P00338', 'P35558')"
"('Q9BTD8', 'Q9H1E3')"
"('P49901', 'O43609')"
"('P05204', 'P62993')"
"('Q9NS91', 'Q96CX3')"
"('P07355', 'Q9UKE5')"
"('P49257', 'P35232')"
"('O43617', 'Q9Y296')"
"('P50542', 'P51659')"
"('Q9NSE2', 'Q15796')"
"('P53611', 'O75781')"
"('P11308', 'O15393')"
"('P47914', 'P62851')"
"('Q14498', 'Q12906')"
"('Q8NEC5', 'P26371')"
"('Q9BQE3', 'Q9Y5M8')"
"('Q15257', 'Q7KZI7')"
"('Q02878', 'Q00653')"
"('O76076', 'Q9GZP4')"
"('P67809', 'Q13242')"
"('Q01105', 'P63104')"
"('O00232', 'O75832')"
"('Q9UGY1', 'Q99848')"
"('Q96SB4', 'Q9NX58')"
"('O14908', 'Q14114')"
"('O95758', 'Q9P031')"
"('Q96S53', 'Q3MII6')"
"('Q9BQB6', 'P81172')"
"('P27694', 'Q9Y5N6')"
"('P13612', 'O43324')"
"('P32119', 'P49736')"
"('Q07020', 'P62269')"
"('Q9NYU2', 'P62191')"
"('Q14209', 'P06493')"
"('O15294', 'Q9HCN4')"
"('Q8IUD6', 'P61088')"
"('P15927', 'O60671')"
"('P04275', 'P17301')"
"('Q15025', 'Q96GS6')"
"('P51825', 'P50750')"
"('P50222', 'P11441')"
"('Q13148', 'P26373')"
"('Q16619', 'P08887')"
"('P29597', 'P15498')"
"('Q16659', 'Q7L5N1')"
"('Q6VMQ6', 'Q15047')"
"('Q8IWZ5', 'Q9H2X0')"
"('P54257', 'Q96IX9')"
"('Q8IUC2', 'O43711')"
"('Q8NI22', 'O43242')"
"('Q92871', 'P62879')"
"('P05067', 'Q9NX02')"
"('Q13368', 'Q96RT1')"
"('O75530', 'P46776')"
"('P61247', 'Q2NL82')"
"('O75446', 'Q03164')"
"('P31948', 'P25788')"
"('P14373', 'Q9P2Y4')"
"('P48431', 'P61011')"
"('Q15717', 'Q92833')"
"('Q6P2E9', 'Q99459')"
"('P49736', 'Q9UM00')"
"('Q9NVI1', 'P49286')"
"('Q16543', 'Q4V328')"
"('Q13433', 'Q96G27')"
"('Q9BXW7', 'Q13011')"
"('P01137', 'O43524')"
"('P60981', 'P24941')"
"('Q96L73', 'Q9Y466')"
"('P46108', 'Q8N1N4')"
"('Q86T65', 'O14641')"
"('Q8IZJ0', 'P26992')"
"('A8MQ03', 'Q8IZW8')"
"('Q16790', 'O00410')"
"('Q13315', 'Q14839')"
"('Q13838', 'P50570')"
"('P21453', 'O95136')"
"('Q92973', 'O60518')"
"('Q92831', 'Q9Y5Q3')"
"('P18206', 'P49023')"
"('Q86WZ6', 'P45973')"
"('Q9NZ94', 'P07602')"
"('P24534', 'P06733')"
"('P48556', 'O00487')"
"('Q13158', 'Q92851')"
"('O15156', 'P52292')"
"('Q8N5N7', 'Q9HD33')"
"('P01834', 'P01861')"
"('O75380', 'Q8N4V1')"
"('Q9BXP5', 'P61289')"
"('Q12788', 'Q9P275')"
"('Q14203', 'P41227')"
"('Q92918', 'O43561')"
"('O75360', 'Q9H4E7')"
"('Q14683', 'Q9BQP7')"
"('O43541', 'Q99717')"
"('Q86V81', 'Q9BZI7')"
"('Q9UNW1', 'P04798')"
"('P61221', 'Q14980')"
"('Q9NZB2', 'P43243')"
"('P61218', 'Q8N556')"
"('P12314', 'Q8NHJ6')"
"('O43427', 'P80370')"
"('P79483', 'P07900')"
"('O00571', 'Q9NX70')"
"('P62877', 'P57078')"
"('Q00613', 'Q9UNE7')"
"('O14639', 'P62993')"
"('P98082', 'P12931')"
"('Q8IUW3', 'Q9NQC7')"
"('P45984', 'O00560')"
"('P12931', 'Q96NS5')"
"('Q02246', 'Q12860')"
"('O43639', 'Q16630')"
"('Q9UNZ2', 'Q709F0')"
"('O95208', 'P16234')"
"('Q9Y3F4', 'Q70E73')"
"('Q13370', 'P58658')"
"('P49736', 'P61313')"
"('P35558', 'Q96CS3')"
"('Q96P20', 'Q5T3I0')"
"('Q9Y4D8', 'P63104')"
"('Q9GZL7', 'Q15631')"
"('P22087', 'Q9UBC5')"
"('P41219', 'P05412')"
"('P35626', 'O76000')"
"('P63104', 'P31937')"
"('P49116', 'Q99570')"
"('Q9H1H9', 'Q14683')"
"('Q9UNE7', 'P55017')"
"('Q13503', 'Q15717')"
"('O43298', 'Q8NEA9')"
"('Q92793', 'P52292')"
"('P49761', 'Q14974')"
"('P54829', 'P48047')"
"('Q6P5R6', 'Q2NL98')"
"('P61769', 'Q66K74')"
"('P09874', 'Q9NQB0')"
"('Q9P2P5', 'Q8N5I2')"
"('O14576', 'Q13561')"
"('P12814', 'P48039')"
"('Q04721', 'P60953')"
"('Q8IWZ5', 'O60336')"
"('Q9NZL9', 'Q71U36')"
"('Q93062', 'P62328')"
"('P05362', 'P26373')"
"('Q8IWL3', 'Q9NRL3')"
"('Q13573', 'P62851')"
"('Q96TA2', 'Q9H6K4')"
"('O95166', 'Q92945')"
"('P08238', 'P62249')"
"('Q96KB5', 'Q96S44')"
"('P53778', 'Q96RT1')"
"('P11142', 'Q9HCK5')"
"('O60237', 'P35579')"
"('P43307', 'Q9BVJ6')"
"('Q12923', 'Q8TEH3')"
"('P11532', 'P46934')"
"('Q9GZT4', 'Q96HP4')"
"('Q9BPX3', 'P62330')"
"('Q9BYM8', 'Q14653')"
"('Q8N8J7', 'Q96LD1')"
"('Q92851', 'P19838')"
"('P25963', 'Q13616')"
"('Q02978', 'Q96RR4')"
"('P49821', 'P05023')"
"('P20749', 'P05412')"
"('Q8TAF3', 'P19784')"
"('Q66GS9', 'Q8WXA9')"
"('P25098', 'Q8NGP8')"
"('Q8N5N7', 'Q96I99')"
"('P34947', 'Q14678')"
"('P19174', 'P06396')"
"('O94952', 'Q9Y6B2')"
"('Q9UKV5', 'P17987')"
"('P16333', 'Q01484')"
"('Q9UNH7', 'P12268')"
"('P17252', 'P06213')"
"('Q10713', 'Q9NPH0')"
"('Q9H0D6', 'P09651')"
"('Q9UK08', 'P45983')"
"('P43657', 'Q9HAV0')"
"('P35606', 'Q9NRD1')"
"('Q96D21', 'P04049')"
"('O95166', 'Q15417')"
"('Q05329', 'O60906')"
"('Q9UGL1', 'O95238')"
"('Q15717', 'Q9BYX7')"
"('Q92993', 'P06400')"
"('Q96JP5', 'Q9NQ29')"
"('Q14160', 'P62136')"
"('Q969K3', 'Q14790')"
"('Q13064', 'Q14657')"
"('Q14192', 'Q9NP73')"
"('Q8WY36', 'Q9BYG3')"
"('Q86XF7', 'O75525')"
"('A1XBS5', 'Q92624')"
"('Q9Y219', 'Q04721')"
"('Q15906', 'Q96L91')"
"('P17655', 'O94903')"
"('Q14103', 'P14618')"
"('P21912', 'O76031')"
"('Q16891', 'Q9C002')"
"('Q13813', 'Q9NQX3')"
"('O60216', 'P52701')"
"('Q96T88', 'O95243')"
"('Q13315', 'Q01844')"
"('P01106', 'Q96I59')"
"('Q9NPF7', 'Q15011')"
"('Q99590', 'Q9P2E3')"
"('Q9UQF2', 'P00533')"
"('P19174', 'O15031')"
"('Q9UKE5', 'P60981')"
"('Q9H361', 'Q05639')"
"('Q06124', 'Q8TBB1')"
"('O95999', 'Q9UDY8')"
"('P05067', 'P20916')"
"('P09958', 'Q9H8Y8')"
"('Q9ULV8', 'P16234')"
"('Q6N063', 'P26641')"
"('P42766', 'P08865')"
"('Q9Y4B6', 'Q9BVG8')"
"('Q96CV9', 'Q13501')"
"('Q6A162', 'Q8NF50')"
"('P83731', 'P05362')"
"('Q12768', 'P35244')"
"('Q6ZNA4', 'Q9NYG5')"
"('P04406', 'P60709')"
"('O14733', 'O60711')"
"('O95568', 'P17987')"
"('Q14999', 'Q9Y4L1')"
"('Q9HBH7', 'P78358')"
"('Q15047', 'P17028')"
"('Q9BTW9', 'P36954')"
"('Q9NW13', 'P27635')"
"('O00429', 'P10809')"
"('Q86YV6', 'Q58FG0')"
"('Q8NHQ1', 'Q9UFN0')"
"('P63151', 'P51617')"
"('Q66K14', 'P49760')"
"('Q13309', 'P40305')"
"('P32969', 'Q13616')"
"('Q53H12', 'P57078')"
"('P49917', 'Q13347')"
"('P22681', 'P06241')"
"('Q9Y3M2', 'Q86T75')"
"('P43360', 'Q9HAV4')"
"('P40692', 'Q5T1H1')"
"('O14965', 'P60900')"
"('Q96B67', 'P49407')"
"('P61006', 'P27105')"
"('P14780', 'P01100')"
"('P55212', 'P08670')"
"('Q09666', 'P35579')"
"('Q9NTG7', 'Q00169')"
"('P04792', 'Q5UIP0')"
"('Q9BQ66', 'P22735')"
"('O43707', 'P05362')"
"('Q53F19', 'Q16666')"
"('Q5MNZ6', 'P04818')"
"('P07954', 'P62807')"
"('Q9UNX3', 'P06748')"
"('Q96AC1', 'P55072')"
"('O43837', 'Q16740')"
"('Q7L8L6', 'Q96GX5')"
"('P19320', 'Q9Y3B4')"
"('P61353', 'P05412')"
"('Q00610', 'O14976')"
"('Q9H329', 'Q9Y6N6')"
"('P08571', 'P27986')"
"('Q9NRR6', 'Q92834')"
"('Q92609', 'P60520')"
"('Q15369', 'Q92813')"
"('P19320', 'P05976')"
"('P08575', 'P20963')"
"('Q7KZ85', 'P0CAP2')"
"('Q8TCJ0', 'P38646')"
"('Q5T4F7', 'P56706')"
"('P25063', 'P09769')"
"('P22830', 'Q86UV6')"
"('O00358', 'Q9UPW6')"
"('P61254', 'Q14562')"
"('P04629', 'Q7L2J0')"
"('Q9HCU4', 'Q99612')"
"('P04629', 'Q6NUQ1')"
"('P15884', 'P24385')"
"('P25686', 'Q9Y597')"
"('P15311', 'Q9NWX5')"
"('P06748', 'P11308')"
"('Q15428', 'Q04637')"
"('Q93034', 'Q9BZI7')"
"('P54253', 'Q96RK0')"
"('P05412', 'Q12800')"
"('P30307', 'Q9P2M7')"
"('P28702', 'O75376')"
"('Q9NR30', 'Q9Y230')"
"('Q5M7Z0', 'P62837')"
"('Q05209', 'Q9UNF0')"
"('Q14203', 'Q9BTE1')"
"('P62140', 'Q12972')"
"('P62304', 'Q13620')"
"('P10114', 'P46934')"
"('Q8WTW3', 'P83436')"
"('P46934', 'P21860')"
"('Q6PCD5', 'P15927')"
"('Q16539', 'Q14684')"
"('Q9UJV9', 'P21127')"
"('Q8N3E9', 'Q96FV0')"
"('P10321', 'Q9BRX8')"
"('P06744', 'Q16829')"
"('Q6A162', 'Q8TAB7')"
"('P41238', 'Q9NUQ7')"
"('Q9P1Q5', 'P38405')"
"('P52597', 'Q9BQ52')"
"('Q9NP72', 'P43115')"
"('Q13177', 'Q00005')"
"('P06241', 'P16333')"
"('Q13901', 'Q9NQT4')"
"('Q99471', 'Q7L273')"
"('P41143', 'P16615')"
"('Q92777', 'O75052')"
"('Q13617', 'P13647')"
"('P53370', 'P23378')"
"('O00258', 'P08185')"
"('Q8NAP3', 'Q9H2U1')"
"('Q86UE8', 'O75679')"
"('P54646', 'P48736')"
"('Q9NPF4', 'Q9BUJ2')"
"('P36952', 'P08123')"
"('P0DP23', 'Q8NCR3')"
"('Q8WUI4', 'O75420')"
"('P14923', 'Q9UHP6')"
"('Q16236', 'Q13501')"
"('P35268', 'P62987')"
"('Q5T5U3', 'Q9NQX4')"
"('Q99741', 'P54274')"
"('P14174', 'O75340')"
"('Q15262', 'O95257')"
"('P38606', 'Q6IAA8')"
"('Q01658', 'P78537')"
"('Q9BW71', 'P67870')"
"('Q09472', 'Q8N9N2')"
"('P01106', 'Q8N8J7')"
"('O60683', 'P40855')"
"('Q9UHL9', 'Q96CB8')"
"('P22626', 'Q15051')"
"('Q9BVA0', 'Q9Y2D8')"
"('P08729', 'Q07889')"
"('P19338', 'Q02878')"
"('P28070', 'P01889')"
"('P05091', 'P05412')"
"('Q504Q3', 'P40227')"
"('Q9UNY4', 'Q9Y6A5')"
"('Q96B97', 'A8MQ03')"
"('Q13568', 'P29459')"
"('P62269', 'P27635')"
"('Q9BYV6', 'P19429')"
"('Q9UM54', 'P35637')"
"('Q6MZP7', 'Q15329')"
"('Q05209', 'O60674')"
"('Q9Y265', 'Q92993')"
"('P31947', 'O15372')"
"('Q8NI27', 'P48067')"
"('O60231', 'O75147')"
"('Q9UJV3', 'Q15040')"
"('Q8WXE9', 'O14976')"
"('Q86UA6', 'P07437')"
"('P50914', 'P62987')"
"('Q12866', 'P42229')"
"('Q96CS2', 'Q6ZUJ4')"
"('Q9NW13', 'Q9NVU7')"
"('O75718', 'O43809')"
"('P49792', 'P34931')"
"('Q2TAC2', 'P40617')"
"('Q9Y2Z0', 'Q9UHD1')"
"('Q16576', 'Q92833')"
"('P28289', 'Q96QB1')"
"('P62266', 'P62241')"
"('Q9Y6P5', 'Q9UBU9')"
"('P25942', 'Q13114')"
"('P00533', 'Q96PD2')"
"('O15131', 'Q06609')"
"('Q86YC2', 'Q9BYZ6')"
"('Q8WV35', 'P18146')"
"('Q9HCE1', 'Q76FK4')"
"('P63279', 'Q96EB6')"
"('O14976', 'O60763')"
"('P50221', 'Q9UDX3')"
"('P50613', 'P52597')"
"('Q9UG63', 'P06748')"
"('Q3KQV3', 'Q8TF50')"
"('Q13515', 'Q6NUQ1')"
"('Q96GX1', 'O00555')"
"('P42773', 'Q9BYU1')"
"('P20618', 'Q96RG2')"
"('Q9H2C0', 'P10809')"
"('P07550', 'Q15043')"
"('P15090', 'P41743')"
"('Q14164', 'P49720')"
"('P07359', 'P14770')"
"('Q09472', 'Q3SY56')"
"('P13716', 'P57081')"
"('Q13148', 'Q00577')"
"('Q92905', 'Q9GZS3')"
"('P62877', 'Q96GG9')"
"('P40763', 'P19838')"
"('Q12905', 'Q7Z7F7')"
"('O76003', 'P17027')"
"('Q9Y5U4', 'P04035')"
"('P26447', 'Q7Z7A1')"
"('P01160', 'P08473')"
"('P05161', 'O95363')"
"('Q9UBU6', 'Q9NQ11')"
"('P25098', 'O76000')"
"('Q5VTD9', 'Q9BRK4')"
"('O43181', 'P16615')"
"('Q13033', 'Q13188')"
"('O15372', 'P46379')"
"('P42771', 'Q15361')"
"('P62241', 'P82933')"
"('Q06187', 'O43521')"
"('P68400', 'P14317')"
"('Q9UM00', 'P49736')"
"('Q9NRD1', 'Q14671')"
"('O75794', 'Q8IWL3')"
"('Q8NI27', 'Q5JWF2')"
"('Q96KR1', 'Q7L2J0')"
"('Q9Y478', 'P16118')"
"('P10745', 'O95967')"
"('Q9NSE4', 'Q86YD3')"
"('P55084', 'Q14061')"
"('Q9UN42', 'Q9BU23')"
"('P63279', 'P78317')"
"('Q96GQ7', 'Q9NV06')"
"('Q8N684', 'P26368')"
"('P05412', 'Q15388')"
"('Q96QZ7', 'P98164')"
