negatives
"('P25116', 'P50148')"
"('Q96AP7', 'P56750')"
"('O75528', 'Q9BRQ0')"
"('P60763', 'Q9UHY1')"
"('Q96P48', 'O00220')"
"('Q13485', 'Q93008')"
"('P42224', 'P14136')"
"('O75145', 'O15083')"
"('P61604', 'Q9Y4K3')"
"('O43182', 'P15153')"
"('P31946', 'P33176')"
"('Q9NPI8', 'Q9NPD8')"
"('P39019', 'P62857')"
"('Q04206', 'Q13748')"
"('P40337', 'Q99417')"
"('Q99459', 'Q96CW5')"
"('P22612', 'Q86W47')"
"('Q04917', 'P25963')"
"('P04085', 'P14616')"
"('Q8N5U6', 'Q5UIP0')"
"('P46736', 'P0C0S5')"
"('O00442', 'Q02543')"
"('P12931', 'P23743')"
"('Q9HBM6', 'O75528')"
"('Q96EB6', 'P10275')"
"('Q13535', 'Q9P0K8')"
"('Q70Z53', 'O76003')"
"('Q9GZR7', 'O14717')"
"('O43493', 'P06241')"
"('Q9NQ87', 'Q6VMQ6')"
"('P59901', 'P08637')"
"('P19174', 'Q9H9L3')"
"('Q9UHW5', 'O95402')"
"('Q96BR1', 'P98177')"
"('P04626', 'Q8TEW6')"
"('Q68EM7', 'Q9HBH0')"
"('406984', 'Q96RT1')"
"('O94875', 'O75955')"
"('P22681', 'P19235')"
"('P01106', 'P20839')"
"('O14836', 'Q99836')"
"('P51610', 'P78537')"
"('Q9NP92', 'P18146')"
"('P63215', 'P53778')"
"('Q13547', 'P29590')"
"('P48730', 'Q8N6T3')"
"('Q14978', 'P61981')"
"('P18847', 'P04637')"
"('Q13404', 'Q9C035')"
"('Q8WYP5', 'P37198')"
"('P26678', 'Q09013')"
"('Q12913', 'P42768')"
"('Q8NH00', 'P38405')"
"('P49207', 'Q92901')"
"('Q9HD42', 'O95343')"
"('Q13315', 'P49591')"
"('Q9P0U4', 'P06899')"
"('P04070', 'P35237')"
"('P61247', 'O75352')"
"('Q9ULW5', 'P30793')"
"('P22557', 'Q9P2R7')"
"('P10275', 'Q02790')"
"('Q9H3P2', 'Q8WX92')"
"('O43237', 'Q13885')"
"('P09564', 'P09382')"
"('P48023', 'O60504')"
"('Q13772', 'Q99700')"
"('O95936', 'O60925')"
"('P48552', 'P56545')"
"('Q13237', 'Q13936')"
"('O14744', 'O15105')"
"('P82930', 'P58062')"
"('O60285', 'Q8TCW9')"
"('Q13976', 'Q9BZL4')"
"('Q9Y271', 'O95837')"
"('Q09028', 'Q9UK53')"
"('Q8IZQ1', 'O94817')"
"('Q8N726', 'P18146')"
"('P63104', 'P05787')"
"('Q13547', 'P35680')"
"('P32121', 'Q8NGX6')"
"('O00255', 'P14136')"
"('Q96A54', 'Q13131')"
"('O14908', 'P17252')"
"('Q7Z408', 'Q9H2G2')"
"('Q9C035', 'P62837')"
"('Q96B18', 'P49674')"
"('Q969Q6', 'Q8IZS8')"
"('P05107', 'Q9Y624')"
"('Q9NWB6', 'O14744')"
"('Q13573', 'Q9Y295')"
"('Q14686', 'P10828')"
"('P32121', 'Q8N0Y3')"
"('O95983', 'Q9UPN9')"
"('P08700', 'Q9HBE5')"
"('Q92985', 'P63146')"
"('P63173', 'P62906')"
"('O95059', 'P06576')"
"('Q13315', 'Q6XPR3')"
"('Q14197', 'Q9UJS0')"
"('574032', 'P40763')"
"('P52272', 'Q92973')"
"('P17931', 'P02751')"
"('P54619', 'P13807')"
"('Q14627', 'P23458')"
"('P04637', 'P15559')"
"('Q93098', 'Q13467')"
"('P50914', 'O95793')"
"('Q9GZT3', 'P30480')"
