recall,precision
0.004484304932735426,0.25
0.008968609865470852,0.2857142857142857
0.013452914798206279,0.375
0.017937219730941704,0.4444444444444444
0.02242152466367713,0.5
0.07174887892376682,0.5333333333333333
0.026905829596412557,0.5454545454545454
0.03139013452914798,0.5833333333333334
0.03587443946188341,0.6153846153846154
0.04035874439461883,0.6428571428571429
0.04484304932735426,0.6666666666666666
0.04932735426008968,0.6875
0.053811659192825115,0.7058823529411765
0.05829596412556054,0.7222222222222222
0.06278026905829596,0.7368421052631579
0.06726457399103139,0.75
