negatives
"('P17987', 'P63104')"
"('Q9H8Y8', 'P09958')"
"('Q14008', 'Q92932')"
"('Q96ST3', 'Q01201')"
"('Q15811', 'Q13432')"
"('P43364', 'Q96T60')"
"('Q15047', 'Q5UIP0')"
"('P34932', 'P10144')"
"('Q14164', 'P60660')"
"('P03891', 'O96000')"
"('Q14181', 'Q15910')"
"('Q8WUA2', 'Q99717')"
"('P01569', 'P48357')"
"('Q9Y6N6', 'P05106')"
"('Q01968', 'Q9H0U4')"
"('Q04759', 'P19883')"
"('P07437', 'Q99836')"
"('P08700', 'Q13651')"
"('P26639', 'P12081')"
"('Q70Z53', 'Q13435')"
"('P45984', 'Q9NQW7')"
"('Q9UKV5', 'P60604')"
"('P31751', 'O95685')"
"('Q9Y490', 'P53708')"
"('Q9HB90', 'Q9UHA4')"
"('O15255', 'P00519')"
"('Q9BQE3', 'Q92974')"
"('Q12824', 'Q01196')"
"('P37108', 'P49458')"
"('Q15056', 'O60739')"
"('Q15311', 'P0CG48')"
"('Q15170', 'Q9UNL2')"
"('P13797', 'P01889')"
"('P05129', 'O14807')"
"('O75821', 'P47813')"
"('Q12873', 'Q14247')"
"('O15031', 'Q04912')"
"('P03915', 'Q9NX14')"
"('O00483', 'Q9NX14')"
"('P01106', 'O75081')"
"('Q07960', 'Q7L0Q8')"
"('P63096', 'O43306')"
"('Q9NP77', 'O60216')"
"('P04085', 'P35968')"
"('Q14802', 'Q9NXK8')"
"('P23921', 'Q9H1Y0')"
"('O75143', 'Q9BSB4')"
"('Q9UNA4', 'Q13137')"
"('Q14469', 'Q96EB6')"
"('Q14703', 'Q8IZ13')"
"('Q15796', '406955')"
"('P06239', 'P01730')"
"('P04843', 'Q09028')"
"('Q9H160', 'Q4LE39')"
"('Q13573', 'P35637')"
"('O14920', 'O14965')"
"('Q15797', 'P57729')"
"('P50222', 'Q9BQ66')"
"('Q9BXY8', 'Q9BQ66')"
"('P35916', 'P46108')"
"('P13501', 'P51686')"
"('O60508', 'Q07955')"
"('P26006', 'P50552')"
"('P62306', 'Q9Y5J5')"
"('O75436', 'Q96QK1')"
"('P29965', 'P08648')"
"('Q16514', 'P17544')"
"('P01137', 'Q14392')"
"('P20585', 'Q8IY92')"
"('Q13547', 'Q8WXI9')"
"('Q9P0M6', 'P06899')"
"('O75044', 'P61587')"
"('P17252', 'O75689')"
"('Q9UKV0', 'Q7L7L0')"
"('P00533', 'Q71U36')"
"('Q9HD67', 'O15496')"
"('P08865', 'P08238')"
"('P26368', 'Q13573')"
"('Q03252', 'O43918')"
"('Q9BY11', 'O75128')"
"('Q8IZQ1', 'O94817')"
"('P05112', 'Q01344')"
"('P05067', 'P21810')"
"('O75676', 'Q13573')"
"('Q13315', 'Q8IZL8')"
"('O43837', 'Q99700')"
"('P12814', 'P08514')"
"('P18887', 'P29372')"
"('P13612', 'P46108')"
"('P03886', 'O95139')"
"('P19022', 'O75197')"
"('Q92598', 'P11142')"
"('Q13547', 'P35498')"
"('Q969Q6', 'Q8WXS5')"
"('P09211', 'P21246')"
"('Q92945', '406885')"
"('Q5VVX9', 'Q96LD4')"
"('Q9BZL6', 'Q9BQQ3')"
"('Q92793', 'Q71DI3')"
"('Q12873', 'P08670')"
"('Q13416', 'Q12905')"
"('P67775', 'P31751')"
"('Q9UBE0', 'Q9UBT2')"
"('P05556', 'P35609')"
"('Q06124', 'P16144')"
"('Q9NRX3', 'Q9UKR5')"
"('Q86YV6', 'P60660')"
"('P13747', 'Q96I34')"
"('Q07889', 'O43597')"
"('Q9NZJ0', 'P38936')"
"('P50151', 'P27986')"
"('P56270', 'P43146')"
"('Q5VTD9', 'Q6ZW76')"
"('P17612', 'P48549')"
"('O75351', 'Q9NZZ3')"
"('O75716', 'Q14164')"
"('Q12778', 'P12931')"
"('Q5D862', 'Q9UL18')"
"('O43677', 'P03886')"
"('Q00577', 'P20702')"
"('Q969U6', 'P63208')"
"('P35527', 'P01857')"
"('P26599', 'Q13242')"
"('P14317', 'P50570')"
"('P18206', 'Q14781')"
"('Q16890', 'Q969L2')"
"('P56537', 'Q9NZV8')"
"('P07900', 'P43403')"
