negatives
"('Q9Y3M2', 'Q12923')"
"('P08151', 'P14373')"
"('Q99497', 'P30044')"
"('O14964', 'P51168')"
"('Q6IF63', 'P38405')"
"('Q9Y5L4', 'Q13547')"
"('Q08380', 'P62701')"
"('Q96AG4', 'Q9H967')"
"('P22695', 'P30480')"
"('O14757', 'Q13263')"
"('Q969R5', 'Q9NVV9')"
"('O14818', 'O75157')"
"('Q14940', 'Q99653')"
"('P02768', 'P01857')"
"('Q99958', 'Q86VP1')"
"('Q6ZWJ1', 'Q9NRM7')"
"('Q13191', 'Q16832')"
"('P16220', 'Q9Y250')"
"('Q3LI76', 'Q9UF72')"
"('P14866', 'Q9UHX1')"
"('Q12906', 'Q9Y3B4')"
"('Q13615', 'Q9NQT4')"
"('Q96GX5', 'Q9HCM4')"
"('Q9BVG8', 'O95684')"
"('Q15287', 'Q96SB4')"
"('P28702', 'P11473')"
"('Q16864', 'Q16531')"
"('P16885', 'P19174')"
"('P46777', 'P25398')"
"('Q96H55', 'O75955')"
"('P32929', 'P09622')"
"('Q99942', 'P51572')"
"('Q9HA65', 'Q13617')"
"('P35268', 'P54709')"
"('P31948', 'P11171')"
"('P22061', 'P01889')"
"('Q15717', 'P20226')"
"('Q9H5Z1', 'Q9Y2D8')"
"('Q8IUC6', 'O60602')"
"('P49736', 'Q13748')"
"('P37173', 'O95067')"
"('P15884', 'P55040')"
"('P15927', 'Q9Y371')"
"('P05230', 'P35968')"
"('O95155', 'P30260')"
"('P14210', 'P17948')"
"('Q9NYL9', 'P46940')"
"('Q16539', 'P30304')"
"('P46776', 'Q13620')"
"('P36406', 'Q86YD7')"
"('P17947', 'P01591')"
"('O60861', 'Q5T5U3')"
"('Q9BY76', 'P60709')"
"('O15027', 'Q15436')"
"('P07947', 'P29323')"
"('Q9Y5B9', 'P0C5Y9')"
"('O94856', 'P55157')"
"('Q99759', 'P61981')"
"('O14686', 'P24928')"
"('Q15717', 'Q01658')"
"('Q15750', 'P58753')"
"('Q9UPY3', 'Q49AN0')"
"('Q6ZVD8', 'O75317')"
