negatives
"frozenset({'O00555', 'P0DP25', 'TGFbetaReceptor'})"
"frozenset({'P16220', 'TGFbetaReceptor', 'O60869'})"
"frozenset({'Q93034', 'O60506', 'TGFbetaReceptor'})"
"frozenset({'Q9HAU4', 'TGFbetaReceptor', 'P08621'})"
"frozenset({'P56524', 'P05067', 'TGFbetaReceptor'})"
"frozenset({'Q99459', 'TGFbetaReceptor', 'O00471'})"
"frozenset({'P15927', 'Q96DI7', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'Q8TEP8', 'Q8N960'})"
"frozenset({'P48431', 'Q9Y4E8', 'TGFbetaReceptor'})"
"frozenset({'Q6ZR03', 'TGFbetaReceptor', 'Q96M29'})"
"frozenset({'Q13618', 'Q53H12', 'TGFbetaReceptor'})"
"frozenset({'P42224', 'Q8TDB6', 'TGFbetaReceptor'})"
"frozenset({'Q12768', 'O75436', 'TGFbetaReceptor'})"
"frozenset({'Q8NGY2', 'P38405', 'TGFbetaReceptor'})"
"frozenset({'P48431', 'TGFbetaReceptor', 'O95343'})"
"frozenset({'P26010', 'O75530', 'TGFbetaReceptor'})"
"frozenset({'Q9NQ76', 'P46108', 'TGFbetaReceptor'})"
"frozenset({'P63215', 'TGFbetaReceptor', 'Q15147'})"
"frozenset({'P61978', 'TGFbetaReceptor', 'P05412'})"
"frozenset({'P16220', 'TGFbetaReceptor', 'Q15349'})"
"frozenset({'Q9H0I2', 'Q53EZ4', 'TGFbetaReceptor'})"
"frozenset({'Q8IY26', 'Q99942', 'TGFbetaReceptor'})"
"frozenset({'P78362', 'Q8TDD5', 'TGFbetaReceptor'})"
"frozenset({'P10144', 'TGFbetaReceptor', 'P46531'})"
"frozenset({'P36405', 'Q8WZ55', 'TGFbetaReceptor'})"
"frozenset({'Q8IVD9', 'Q7L5Y6', 'TGFbetaReceptor'})"
"frozenset({'O00571', 'TGFbetaReceptor', 'O95819'})"
"frozenset({'Q15051', 'O14735', 'TGFbetaReceptor'})"
"frozenset({'P12830', 'TGFbetaReceptor', 'Q969F2'})"
"frozenset({'P00519', 'Q6ZUJ8', 'TGFbetaReceptor'})"
"frozenset({'O14662', 'Q12846', 'TGFbetaReceptor'})"
"frozenset({'P54646', 'P59768', 'TGFbetaReceptor'})"
"frozenset({'Q8WYH8', 'P60409', 'TGFbetaReceptor'})"
"frozenset({'Q13535', 'P23246', 'TGFbetaReceptor'})"
"frozenset({'Q8N2Z9', 'Q6NZ36', 'TGFbetaReceptor'})"
"frozenset({'P05814', 'P62993', 'TGFbetaReceptor'})"
"frozenset({'P02814', 'A6NK89', 'TGFbetaReceptor'})"
"frozenset({'Q15056', 'P14866', 'TGFbetaReceptor'})"
"frozenset({'P54136', 'Q9BSJ2', 'TGFbetaReceptor'})"
"frozenset({'P06748', 'P04637', 'TGFbetaReceptor'})"
"frozenset({'Q9P2E2', 'Q02779', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'Q96S55', 'Q86T82'})"
"frozenset({'O15198', 'TGFbetaReceptor', 'Q92610'})"
"frozenset({'P54725', 'P13010', 'TGFbetaReceptor'})"
"frozenset({'Q92504', 'Q5TCM9', 'TGFbetaReceptor'})"
"frozenset({'Q9NRW1', 'TGFbetaReceptor', 'Q9NVR5'})"
"frozenset({'P05026', 'Q13107', 'TGFbetaReceptor'})"
"frozenset({'Q9Y6N9', 'P62068', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'O95817', 'Q9UMR5'})"
"frozenset({'P49736', 'Q13185', 'TGFbetaReceptor'})"
"frozenset({'Q9NX70', 'Q15528', 'TGFbetaReceptor'})"
"frozenset({'Q99062', 'Q9GZX6', 'TGFbetaReceptor'})"
"frozenset({'Q92598', 'Q13625', 'TGFbetaReceptor'})"
"frozenset({'Q96GC9', 'Q96CS3', 'TGFbetaReceptor'})"
"frozenset({'Q5BJF6', 'P08047', 'TGFbetaReceptor'})"
"frozenset({'P17096', 'Q15365', 'TGFbetaReceptor'})"
"frozenset({'Q9BQD3', 'TGFbetaReceptor', 'O75558'})"
"frozenset({'Q16665', 'Q99614', 'TGFbetaReceptor'})"
"frozenset({'O60499', 'Q01968', 'TGFbetaReceptor'})"
"frozenset({'Q14204', 'TGFbetaReceptor', 'Q68CZ1'})"
"frozenset({'Q8TAP4', 'O43298', 'TGFbetaReceptor'})"
"frozenset({'Q12879', 'TGFbetaReceptor', 'P62136'})"
"frozenset({'Q9UJX6', 'Q08209', 'TGFbetaReceptor'})"
"frozenset({'P82979', 'P67870', 'TGFbetaReceptor'})"
"frozenset({'P52565', 'Q8N5I3', 'TGFbetaReceptor'})"
"frozenset({'Q12905', 'P0DMV9', 'TGFbetaReceptor'})"
"frozenset({'Q8IW45', 'TGFbetaReceptor', 'P35573'})"
"frozenset({'Q92993', 'P60369', 'TGFbetaReceptor'})"
"frozenset({'Q8NGK3', 'TGFbetaReceptor', 'P22612'})"
"frozenset({'TGFbetaReceptor', 'O95639', 'P62136'})"
"frozenset({'Q13185', 'P62258', 'TGFbetaReceptor'})"
"frozenset({'O75674', 'Q5JPE7', 'TGFbetaReceptor'})"
"frozenset({'O43747', 'P84077', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'P53674', 'Q9NYB0'})"
"frozenset({'P35637', 'P22234', 'TGFbetaReceptor'})"
"frozenset({'P09913', 'TGFbetaReceptor', 'P50750'})"
"frozenset({'Q9UKB1', 'Q9UL15', 'TGFbetaReceptor'})"
"frozenset({'A6NC98', 'P40425', 'TGFbetaReceptor'})"
"frozenset({'Q14444', 'TGFbetaReceptor', 'P05412'})"
"frozenset({'TGFbetaReceptor', 'P08047', 'Q01959'})"
"frozenset({'Q13469', 'TGFbetaReceptor', 'Q969G3'})"
"frozenset({'P27540', 'TGFbetaReceptor', 'P06733'})"
"frozenset({'TGFbetaReceptor', 'Q9BQ69', 'P19525'})"
"frozenset({'Q00325', 'Q9Y2K1', 'TGFbetaReceptor'})"
"frozenset({'O75356', 'P22304', 'TGFbetaReceptor'})"
"frozenset({'O43175', 'TGFbetaReceptor', 'Q6P1J9'})"
"frozenset({'Q8IZL9', 'Q9C040', 'TGFbetaReceptor'})"
"frozenset({'Q8WWY3', 'TGFbetaReceptor', 'Q9H2C0'})"
"frozenset({'Q96EH3', 'Q8IXZ2', 'TGFbetaReceptor'})"
"frozenset({'Q9UHR4', 'P55072', 'TGFbetaReceptor'})"
"frozenset({'Q9Y6B2', 'O94952', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'P43405', 'Q13422'})"
"frozenset({'P08754', 'TGFbetaReceptor', 'P50151'})"
"frozenset({'Q8IX12', 'Q8IWZ8', 'TGFbetaReceptor'})"
"frozenset({'Q1MSJ5', 'Q8NA72', 'TGFbetaReceptor'})"
"frozenset({'Q9HCS4', 'O95813', 'TGFbetaReceptor'})"
"frozenset({'P60329', 'Q7Z3S9', 'TGFbetaReceptor'})"
"frozenset({'Q9Y2Z9', 'P05067', 'TGFbetaReceptor'})"
"frozenset({'Q5BJF6', 'Q9UGP4', 'TGFbetaReceptor'})"
"frozenset({'Q02338', 'Q96DB2', 'TGFbetaReceptor'})"
"frozenset({'P17612', 'TGFbetaReceptor', 'Q8NH64'})"
"frozenset({'Q13618', 'P78386', 'TGFbetaReceptor'})"
"frozenset({'P06400', 'O00757', 'TGFbetaReceptor'})"
"frozenset({'P10599', 'P11021', 'TGFbetaReceptor'})"
"frozenset({'Q96AJ1', 'TGFbetaReceptor', 'Q8IY31'})"
"frozenset({'P04629', 'O15397', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'P35226', 'Q13573'})"
"frozenset({'P12931', 'Q6UXZ4', 'TGFbetaReceptor'})"
"frozenset({'Q13616', 'Q06330', 'TGFbetaReceptor'})"
"frozenset({'Q13309', 'O43524', 'TGFbetaReceptor'})"
"frozenset({'P41586', 'TGFbetaReceptor', 'P50150'})"
"frozenset({'P63173', 'P62263', 'TGFbetaReceptor'})"
"frozenset({'O94992', 'Q96J88', 'TGFbetaReceptor'})"
"frozenset({'P08648', 'P12814', 'TGFbetaReceptor'})"
"frozenset({'Q7Z7G1', 'P04626', 'TGFbetaReceptor'})"
"frozenset({'Q5T754', 'Q6L8H1', 'TGFbetaReceptor'})"
"frozenset({'P32249', 'Q03167', 'TGFbetaReceptor'})"
"frozenset({'Q8N4G2', 'Q99755', 'TGFbetaReceptor'})"
"frozenset({'Q9Y4K3', 'Q9H8S9', 'TGFbetaReceptor'})"
"frozenset({'P0DP23', 'O75165', 'TGFbetaReceptor'})"
"frozenset({'Q13547', 'Q9BTC8', 'TGFbetaReceptor'})"
"frozenset({'P15336', 'P0DP25', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'Q96FJ2', 'P63172'})"
"frozenset({'Q6IEE8', 'Q86VP6', 'TGFbetaReceptor'})"
"frozenset({'P32121', 'TGFbetaReceptor', 'Q8NH41'})"
"frozenset({'Q9H4L7', 'TGFbetaReceptor', 'P31943'})"
"frozenset({'TGFbetaReceptor', 'P20674', 'Q9C002'})"
"frozenset({'TGFbetaReceptor', 'Q3V6T2', 'P56645'})"
"frozenset({'TGFbetaReceptor', 'Q9NYF8', 'P62993'})"
"frozenset({'P63000', 'P19838', 'TGFbetaReceptor'})"
"frozenset({'P03886', 'Q9P0J0', 'TGFbetaReceptor'})"
"frozenset({'Q6P1W5', 'Q14687', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'Q5TZK3', 'Q13422'})"
"frozenset({'TGFbetaReceptor', 'P78371', 'Q15393'})"
"frozenset({'P53367', 'O94903', 'TGFbetaReceptor'})"
"frozenset({'Q15717', 'P51114', 'TGFbetaReceptor'})"
"frozenset({'P02771', 'TGFbetaReceptor', 'O43147'})"
"frozenset({'P56945', 'Q02363', 'TGFbetaReceptor'})"
"frozenset({'Q504Q3', 'TGFbetaReceptor', 'P62899'})"
"frozenset({'Q8N3F8', 'TGFbetaReceptor', 'O95600'})"
"frozenset({'Q13315', 'TGFbetaReceptor', 'Q9BZL4'})"
"frozenset({'Q9NSC5', 'Q86YM7', 'TGFbetaReceptor'})"
"frozenset({'Q9H492', 'Q86TI0', 'TGFbetaReceptor'})"
"frozenset({'Q01081', 'TGFbetaReceptor', 'P51003'})"
"frozenset({'P04406', 'Q13952', 'TGFbetaReceptor'})"
"frozenset({'P51668', 'Q13064', 'TGFbetaReceptor'})"
"frozenset({'Q8IV03', 'P07197', 'TGFbetaReceptor'})"
"frozenset({'P20338', 'P04637', 'TGFbetaReceptor'})"
"frozenset({'Q16543', 'Q14584', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'P50402', 'Q9UQL6'})"
"frozenset({'P55287', 'P49286', 'TGFbetaReceptor'})"
"frozenset({'Q01543', 'Q05655', 'TGFbetaReceptor'})"
"frozenset({'Q86SX3', 'TGFbetaReceptor', 'P35638'})"
"frozenset({'O43869', 'TGFbetaReceptor', 'P22612'})"
"frozenset({'Q86V48', 'Q96H55', 'TGFbetaReceptor'})"
"frozenset({'Q9UHD9', 'Q07654', 'TGFbetaReceptor'})"
"frozenset({'O00483', 'Q02978', 'TGFbetaReceptor'})"
"frozenset({'Q9NRI5', 'P63104', 'TGFbetaReceptor'})"
"frozenset({'P05114', 'Q9Y4A5', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'P62807', 'Q9BW19'})"
"frozenset({'Q9NVU7', 'P33993', 'TGFbetaReceptor'})"
"frozenset({'O75147', 'Q8IXT5', 'TGFbetaReceptor'})"
"frozenset({'Q9NWU5', 'Q7Z695', 'TGFbetaReceptor'})"
"frozenset({'O95831', 'TGFbetaReceptor', 'O95747'})"
"frozenset({'Q5SW79', 'Q6UVJ0', 'TGFbetaReceptor'})"
"frozenset({'P51809', 'TGFbetaReceptor', 'Q96NW4'})"
"frozenset({'Q9HCG8', 'TGFbetaReceptor', 'Q8TEW6'})"
"frozenset({'P32121', 'Q9H340', 'TGFbetaReceptor'})"
"frozenset({'O75317', 'TGFbetaReceptor', 'P46531'})"
"frozenset({'Q14241', 'TGFbetaReceptor', 'O95073'})"
"frozenset({'O00203', 'P55081', 'TGFbetaReceptor'})"
"frozenset({'Q8NGY0', 'Q9P2W3', 'TGFbetaReceptor'})"
"frozenset({'Q02221', 'TGFbetaReceptor', 'P00395'})"
"frozenset({'Q7Z698', 'Q5TCM9', 'TGFbetaReceptor'})"
"frozenset({'Q92616', 'Q9NRC8', 'TGFbetaReceptor'})"
"frozenset({'Q13535', 'TGFbetaReceptor', 'Q86W50'})"
"frozenset({'TGFbetaReceptor', 'Q6P1N0', 'P24941'})"
"frozenset({'Q09472', 'TGFbetaReceptor', 'Q13227'})"
"frozenset({'Q9Y2Z9', 'TGFbetaReceptor', 'Q8NI60'})"
"frozenset({'Q9UK80', 'Q693B1', 'TGFbetaReceptor'})"
"frozenset({'Q9P253', 'TGFbetaReceptor', 'Q8IYB3'})"
"frozenset({'Q9HCX4', 'Q9Y210', 'TGFbetaReceptor'})"
"frozenset({'Q7L5N1', 'Q9NXE8', 'TGFbetaReceptor'})"
"frozenset({'Q9Y463', 'P61962', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'Q96GM5', 'O43586'})"
"frozenset({'Q9UBS5', 'P46108', 'TGFbetaReceptor'})"
"frozenset({'Q9HCE1', 'P14324', 'TGFbetaReceptor'})"
"frozenset({'Q99525', 'Q6NXT2', 'TGFbetaReceptor'})"
"frozenset({'Q92993', 'Q92731', 'TGFbetaReceptor'})"
"frozenset({'P40692', 'TGFbetaReceptor', 'Q96JJ3'})"
"frozenset({'P49736', 'O95782', 'TGFbetaReceptor'})"
"frozenset({'Q8WVP5', 'P05067', 'TGFbetaReceptor'})"
"frozenset({'Q9UBI6', 'P48051', 'TGFbetaReceptor'})"
"frozenset({'Q15750', 'Q9Y2G2', 'TGFbetaReceptor'})"
"frozenset({'O14827', 'TGFbetaReceptor', 'O95433'})"
"frozenset({'Q13976', 'O60237', 'TGFbetaReceptor'})"
"frozenset({'Q9H6L2', 'Q96CS7', 'TGFbetaReceptor'})"
"frozenset({'O43251', 'Q8NDC0', 'TGFbetaReceptor'})"
"frozenset({'P62195', 'P62191', 'TGFbetaReceptor'})"
"frozenset({'P47898', 'P63096', 'TGFbetaReceptor'})"
"frozenset({'Q9C0F1', 'Q96T37', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'P25705', 'P24941'})"
"frozenset({'P62266', 'P62081', 'TGFbetaReceptor'})"
"frozenset({'O75581', 'Q9Y6I3', 'TGFbetaReceptor'})"
"frozenset({'P16871', 'Q9BUF5', 'TGFbetaReceptor'})"
"frozenset({'P17612', 'Q8NGG4', 'TGFbetaReceptor'})"
"frozenset({'P04629', 'O43237', 'TGFbetaReceptor'})"
"frozenset({'Q9Y3D3', 'P62191', 'TGFbetaReceptor'})"
"frozenset({'O15162', 'Q96RN5', 'TGFbetaReceptor'})"
"frozenset({'Q16656', 'TGFbetaReceptor', 'P24385'})"
"frozenset({'P49407', 'Q05193', 'TGFbetaReceptor'})"
"frozenset({'Q9NQA5', 'P40763', 'TGFbetaReceptor'})"
"frozenset({'O75385', 'Q9H0R8', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'Q13151', 'Q13573'})"
"frozenset({'O75578', 'Q14031', 'TGFbetaReceptor'})"
"frozenset({'P19404', 'P49821', 'TGFbetaReceptor'})"
"frozenset({'P49368', 'Q99496', 'TGFbetaReceptor'})"
"frozenset({'P18583', 'Q53GS9', 'TGFbetaReceptor'})"
"frozenset({'Q15139', 'Q96QB1', 'TGFbetaReceptor'})"
"frozenset({'Q9H2X6', 'P17676', 'TGFbetaReceptor'})"
"frozenset({'Q13501', 'P06213', 'TGFbetaReceptor'})"
"frozenset({'P78362', 'P82912', 'TGFbetaReceptor'})"
"frozenset({'P12830', 'P01100', 'TGFbetaReceptor'})"
"frozenset({'P61978', 'TGFbetaReceptor', 'P98175'})"
"frozenset({'Q99439', 'Q9NWT6', 'TGFbetaReceptor'})"
"frozenset({'O15379', 'Q12772', 'TGFbetaReceptor'})"
"frozenset({'Q9BQ87', 'O75376', 'TGFbetaReceptor'})"
"frozenset({'Q9UHD9', 'P01036', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'Q96T60', 'Q96MW1'})"
"frozenset({'P42679', 'P12931', 'TGFbetaReceptor'})"
"frozenset({'Q16363', 'O00182', 'TGFbetaReceptor'})"
"frozenset({'P53999', 'P11021', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'Q02878', 'P62081'})"
"frozenset({'O60927', 'Q16821', 'TGFbetaReceptor'})"
"frozenset({'P62854', 'Q12906', 'TGFbetaReceptor'})"
"frozenset({'Q8NF99', 'Q9NWS9', 'TGFbetaReceptor'})"
"frozenset({'Q13011', 'P25705', 'TGFbetaReceptor'})"
"frozenset({'P24394', 'P01570', 'TGFbetaReceptor'})"
"frozenset({'Q8N9W5', 'Q3SY56', 'TGFbetaReceptor'})"
"frozenset({'Q96RD2', 'Q9P2W3', 'TGFbetaReceptor'})"
"frozenset({'P51686', 'P80098', 'TGFbetaReceptor'})"
"frozenset({'Q92681', 'Q8WTU0', 'TGFbetaReceptor'})"
"frozenset({'Q92831', 'Q8ND90', 'TGFbetaReceptor'})"
"frozenset({'P32121', 'O14980', 'TGFbetaReceptor'})"
"frozenset({'Q96JN0', 'TGFbetaReceptor', 'Q15022'})"
"frozenset({'P12931', 'TGFbetaReceptor', 'Q9NR45'})"
"frozenset({'Q99650', 'Q8IZJ0', 'TGFbetaReceptor'})"
"frozenset({'O75973', 'P60827', 'TGFbetaReceptor'})"
"frozenset({'P06748', 'P49450', 'TGFbetaReceptor'})"
"frozenset({'Q00839', 'P83881', 'TGFbetaReceptor'})"
"frozenset({'Q9UBC1', 'Q9H307', 'TGFbetaReceptor'})"
"frozenset({'Q92731', 'P62269', 'TGFbetaReceptor'})"
"frozenset({'P02788', 'TGFbetaReceptor', 'Q8NFR7'})"
"frozenset({'TGFbetaReceptor', 'Q13620', 'Q13330'})"
"frozenset({'P61513', 'TGFbetaReceptor', 'O43586'})"
"frozenset({'P63261', 'O43707', 'TGFbetaReceptor'})"
"frozenset({'Q96T76', 'Q7Z7L1', 'TGFbetaReceptor'})"
"frozenset({'P04150', 'Q08209', 'TGFbetaReceptor'})"
"frozenset({'Q8WWB3', 'TGFbetaReceptor', 'O95678'})"
"frozenset({'O95967', 'P37235', 'TGFbetaReceptor'})"
"frozenset({'P36639', 'Q9HC36', 'TGFbetaReceptor'})"
"frozenset({'Q9UN30', 'O00257', 'TGFbetaReceptor'})"
"frozenset({'Q92598', 'O95166', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'P18124', 'P05412'})"
"frozenset({'Q3LI66', 'Q8N6U2', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'P63151', 'P48643'})"
"frozenset({'Q9BRX9', 'P28482', 'TGFbetaReceptor'})"
"frozenset({'Q3LI66', 'Q3LI72', 'TGFbetaReceptor'})"
"frozenset({'P45983', 'P42229', 'TGFbetaReceptor'})"
"frozenset({'P49321', 'P08047', 'TGFbetaReceptor'})"
"frozenset({'P10644', 'TGFbetaReceptor', 'O75969'})"
"frozenset({'Q8TBF4', 'Q02539', 'TGFbetaReceptor'})"
"frozenset({'Q96H35', 'Q6ZT12', 'TGFbetaReceptor'})"
"frozenset({'Q14749', 'Q9GZT8', 'TGFbetaReceptor'})"
"frozenset({'P24928', 'P46937', 'TGFbetaReceptor'})"
"frozenset({'Q9Y266', 'P00441', 'TGFbetaReceptor'})"
"frozenset({'Q03135', 'P49815', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'P61024', 'Q08050'})"
"frozenset({'Q92841', 'O94903', 'TGFbetaReceptor'})"
"frozenset({'Q9BQA5', 'TGFbetaReceptor', 'Q8IYA8'})"
"frozenset({'Q9P2G9', 'P84077', 'TGFbetaReceptor'})"
"frozenset({'O00410', 'Q16790', 'TGFbetaReceptor'})"
"frozenset({'P25103', 'P34947', 'TGFbetaReceptor'})"
"frozenset({'O14508', 'O75367', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'Q9UIS9', 'Q92769'})"
"frozenset({'O95684', 'Q9HB58', 'TGFbetaReceptor'})"
"frozenset({'Q00839', 'Q9UNF1', 'TGFbetaReceptor'})"
"frozenset({'Q6PKG0', 'Q14152', 'TGFbetaReceptor'})"
"frozenset({'Q96FV3', 'P13224', 'TGFbetaReceptor'})"
"frozenset({'P04150', 'TGFbetaReceptor', 'P82094'})"
"frozenset({'Q12873', 'P33240', 'TGFbetaReceptor'})"
"frozenset({'P35968', 'TGFbetaReceptor', 'Q8WX93'})"
"frozenset({'Q9NW38', 'Q9GZU7', 'TGFbetaReceptor'})"
"frozenset({'P63261', 'Q16543', 'TGFbetaReceptor'})"
"frozenset({'Q8WV44', 'P05067', 'TGFbetaReceptor'})"
"frozenset({'Q70IA6', 'O43847', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'P33992', 'Q16643'})"
"frozenset({'Q9NYI0', 'P54278', 'TGFbetaReceptor'})"
"frozenset({'O15049', 'Q9H0I2', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'P01106', 'Q9ULZ2'})"
"frozenset({'Q15637', 'Q12872', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'P39687', 'Q96FW1'})"
"frozenset({'P07357', 'P10643', 'TGFbetaReceptor'})"
"frozenset({'Q86X19', 'Q8TAD4', 'TGFbetaReceptor'})"
"frozenset({'O14633', 'Q07627', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'O00541', 'Q9BYG3'})"
"frozenset({'Q6ZQN5', 'P18754', 'TGFbetaReceptor'})"
"frozenset({'P56545', 'Q9UKL3', 'TGFbetaReceptor'})"
"frozenset({'P29373', 'Q96JG6', 'TGFbetaReceptor'})"
"frozenset({'O15379', 'P29374', 'TGFbetaReceptor'})"
"frozenset({'Q8NHG8', 'O00743', 'TGFbetaReceptor'})"
"frozenset({'Q9UL63', 'O43504', 'TGFbetaReceptor'})"
"frozenset({'P48431', 'TGFbetaReceptor', 'O95347'})"
"frozenset({'Q13469', 'TGFbetaReceptor', 'Q13422'})"
"frozenset({'P04798', 'Q99986', 'TGFbetaReceptor'})"
"frozenset({'P04629', 'Q14839', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'Q99675', 'Q8IUS5'})"
"frozenset({'P11021', 'P62993', 'TGFbetaReceptor'})"
"frozenset({'P60981', 'P60709', 'TGFbetaReceptor'})"
"frozenset({'P84022', 'TGFbetaReceptor', 'Q9UEE9'})"
"frozenset({'Q06124', 'Q92569', 'TGFbetaReceptor'})"
"frozenset({'Q9BQ04', 'Q8IY81', 'TGFbetaReceptor'})"
"frozenset({'Q13190', 'Q9H9E3', 'TGFbetaReceptor'})"
"frozenset({'Q5VIR6', 'TGFbetaReceptor', 'O60341'})"
"frozenset({'O14929', 'Q04864', 'TGFbetaReceptor'})"
"frozenset({'Q8NFP4', 'Q8N448', 'TGFbetaReceptor'})"
"frozenset({'Q8N5S1', 'Q15311', 'TGFbetaReceptor'})"
"frozenset({'P35244', 'P28340', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'O95166', 'Q02809'})"
"frozenset({'Q9NZL4', 'Q86UK5', 'TGFbetaReceptor'})"
"frozenset({'Q9Y3F4', 'O60739', 'TGFbetaReceptor'})"
"frozenset({'Q13617', 'Q6P597', 'TGFbetaReceptor'})"
"frozenset({'Q8IVW6', 'Q9UPM6', 'TGFbetaReceptor'})"
"frozenset({'Q16531', 'O75486', 'TGFbetaReceptor'})"
"frozenset({'P26885', 'Q9Y6D5', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'Q9Y2P8', 'P05412'})"
"frozenset({'TGFbetaReceptor', 'Q9UI14', 'Q96C03'})"
"frozenset({'P08572', 'TGFbetaReceptor', 'P14780'})"
"frozenset({'P17482', 'Q9UMS5', 'TGFbetaReceptor'})"
"frozenset({'P07900', 'Q9Y572', 'TGFbetaReceptor'})"
"frozenset({'Q93008', 'P62979', 'TGFbetaReceptor'})"
"frozenset({'Q15628', 'P0DP25', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'Q96H55', 'Q0JRZ9'})"
"frozenset({'P53680', 'P42566', 'TGFbetaReceptor'})"
"frozenset({'Q07157', 'TGFbetaReceptor', 'P09758'})"
"frozenset({'P07947', 'Q6P1W5', 'TGFbetaReceptor'})"
"frozenset({'Q9BW61', 'Q5H9S7', 'TGFbetaReceptor'})"
"frozenset({'Q9H4L4', 'Q08J23', 'TGFbetaReceptor'})"
"frozenset({'Q86UE8', 'P26367', 'TGFbetaReceptor'})"
"frozenset({'Q9HCK8', 'O95365', 'TGFbetaReceptor'})"
"frozenset({'Q16512', 'P19012', 'TGFbetaReceptor'})"
"frozenset({'Q8N8S7', 'Q6XZF7', 'TGFbetaReceptor'})"
"frozenset({'P32780', 'P41235', 'TGFbetaReceptor'})"
"frozenset({'A6NHT5', 'Q15475', 'TGFbetaReceptor'})"
"frozenset({'Q2MJR0', 'Q8IUH5', 'TGFbetaReceptor'})"
"frozenset({'O95758', 'P28360', 'TGFbetaReceptor'})"
"frozenset({'Q9NRL2', 'Q92731', 'TGFbetaReceptor'})"
"frozenset({'P25786', 'Q8NBZ0', 'TGFbetaReceptor'})"
"frozenset({'Q9ULV4', 'B0YJ81', 'TGFbetaReceptor'})"
"frozenset({'O95484', 'Q8N6F1', 'TGFbetaReceptor'})"
"frozenset({'P18146', 'Q9UJW0', 'TGFbetaReceptor'})"
"frozenset({'P21709', 'P07900', 'TGFbetaReceptor'})"
"frozenset({'Q13291', 'P08575', 'TGFbetaReceptor'})"
"frozenset({'P12830', 'Q6T4R5', 'TGFbetaReceptor'})"
"frozenset({'P19438', 'Q13490', 'TGFbetaReceptor'})"
"frozenset({'Q08380', 'Q15843', 'TGFbetaReceptor'})"
"frozenset({'P09661', 'Q9UMS4', 'TGFbetaReceptor'})"
"frozenset({'Q9H490', 'Q969N2', 'TGFbetaReceptor'})"
"frozenset({'P41252', 'TGFbetaReceptor', 'Q9UQL6'})"
"frozenset({'Q7Z698', 'Q13501', 'TGFbetaReceptor'})"
"frozenset({'Q8NFH3', 'O15504', 'TGFbetaReceptor'})"
"frozenset({'P04629', 'P54277', 'TGFbetaReceptor'})"
"frozenset({'O94766', 'Q9Y2U8', 'TGFbetaReceptor'})"
"frozenset({'P49368', 'P13612', 'TGFbetaReceptor'})"
"frozenset({'Q16254', 'Q96JM7', 'TGFbetaReceptor'})"
"frozenset({'Q9Y5Q9', 'Q969F1', 'TGFbetaReceptor'})"
"frozenset({'P29590', 'TGFbetaReceptor', 'Q8N9N5'})"
"frozenset({'P17947', 'P13010', 'TGFbetaReceptor'})"
"frozenset({'P17612', 'Q05469', 'TGFbetaReceptor'})"
"frozenset({'P09848', 'P41235', 'TGFbetaReceptor'})"
"frozenset({'P23508', 'Q14160', 'TGFbetaReceptor'})"
"frozenset({'Q9H3U1', 'Q13099', 'TGFbetaReceptor'})"
"frozenset({'Q16531', 'Q9UM54', 'TGFbetaReceptor'})"
"frozenset({'P07437', 'TGFbetaReceptor', 'Q6R327'})"
"frozenset({'P57088', 'Q99608', 'TGFbetaReceptor'})"
"frozenset({'P53621', 'Q9NXB0', 'TGFbetaReceptor'})"
"frozenset({'Q96EZ8', 'Q68CJ9', 'TGFbetaReceptor'})"
"frozenset({'Q13515', 'P62195', 'TGFbetaReceptor'})"
