negatives
"frozenset({'Q01196', 'P17542', 'TGFbetaReceptor'})"
"frozenset({'P62266', 'P23396', 'TGFbetaReceptor'})"
"frozenset({'P43307', 'P49257', 'TGFbetaReceptor'})"
"frozenset({'P55040', 'Q13049', 'TGFbetaReceptor'})"
"frozenset({'P43360', 'Q8IYE0', 'TGFbetaReceptor'})"
"frozenset({'P84098', 'P63220', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'P20671', 'Q99879'})"
"frozenset({'Q9BXR0', 'Q9H974', 'TGFbetaReceptor'})"
"frozenset({'Q92997', 'TGFbetaReceptor', 'Q96BV0'})"
"frozenset({'P31749', 'O75925', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'Q86VZ1', 'Q13733'})"
"frozenset({'Q8WYH8', 'P23434', 'TGFbetaReceptor'})"
"frozenset({'Q06609', 'TGFbetaReceptor', 'Q86YC2'})"
"frozenset({'Q8IW45', 'Q7Z3S9', 'TGFbetaReceptor'})"
"frozenset({'O75607', 'P06576', 'TGFbetaReceptor'})"
"frozenset({'P52272', 'TGFbetaReceptor', 'Q9Y2Q9'})"
"frozenset({'A5A3E0', 'Q96KN2', 'TGFbetaReceptor'})"
"frozenset({'Q8NEU8', 'Q7L591', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'P00441', 'P18669'})"
"frozenset({'Q15628', 'Q05655', 'TGFbetaReceptor'})"
"frozenset({'O00762', 'Q99848', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'Q14542', 'Q9UMX0'})"
"frozenset({'TGFbetaReceptor', 'P55084', 'Q5U5Q3'})"
"frozenset({'TGFbetaReceptor', 'P00558', 'Q15118'})"
"frozenset({'Q86UW9', 'TGFbetaReceptor', 'Q9BYV2'})"
"frozenset({'TGFbetaReceptor', 'P61604', 'O14733'})"
"frozenset({'Q8TCJ0', 'Q9Y6I3', 'TGFbetaReceptor'})"
"frozenset({'Q9NVW2', 'Q9H0E2', 'TGFbetaReceptor'})"
"frozenset({'O43189', 'Q14683', 'TGFbetaReceptor'})"
"frozenset({'Q96AE4', 'O75147', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'P17861', 'P27824'})"
"frozenset({'P49736', 'P13500', 'TGFbetaReceptor'})"
"frozenset({'O75607', 'P62258', 'TGFbetaReceptor'})"
"frozenset({'Q9NQT4', 'P14618', 'TGFbetaReceptor'})"
"frozenset({'P30153', 'Q9UBN1', 'TGFbetaReceptor'})"
"frozenset({'P13646', 'P04264', 'TGFbetaReceptor'})"
"frozenset({'Q5BJF6', 'P61006', 'TGFbetaReceptor'})"
"frozenset({'Q96KQ7', 'TGFbetaReceptor', 'O60315'})"
"frozenset({'Q16658', 'TGFbetaReceptor', 'Q9NQW6'})"
"frozenset({'Q9NR12', 'TGFbetaReceptor', 'O75128'})"
"frozenset({'Q9UHD1', 'TGFbetaReceptor', 'Q9UNL2'})"
"frozenset({'P86479', 'P59797', 'TGFbetaReceptor'})"
"frozenset({'O15357', 'P68371', 'TGFbetaReceptor'})"
"frozenset({'Q4KMG9', 'TGFbetaReceptor', 'P20340'})"
"frozenset({'TGFbetaReceptor', 'Q9UPQ0', 'Q06546'})"
"frozenset({'Q8IXW5', 'Q14240', 'TGFbetaReceptor'})"
"frozenset({'P78362', 'P78549', 'TGFbetaReceptor'})"
"frozenset({'P61019', 'P13804', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'Q96AX1', 'P08670'})"
"frozenset({'Q9UPY3', 'Q13618', 'TGFbetaReceptor'})"
"frozenset({'Q9UNQ2', 'Q9UBQ5', 'TGFbetaReceptor'})"
"frozenset({'O43674', 'O95168', 'TGFbetaReceptor'})"
"frozenset({'O43889', 'Q9BU79', 'TGFbetaReceptor'})"
"frozenset({'Q9NRD1', 'Q9H330', 'TGFbetaReceptor'})"
"frozenset({'Q8N9B5', 'Q96JN2', 'TGFbetaReceptor'})"
"frozenset({'Q9HCK5', 'Q04837', 'TGFbetaReceptor'})"
"frozenset({'Q9NS56', 'Q9BPZ2', 'TGFbetaReceptor'})"
"frozenset({'P01112', 'P49721', 'TGFbetaReceptor'})"
"frozenset({'Q8NCF5', 'TGFbetaReceptor', 'Q12933'})"
"frozenset({'P25786', 'TGFbetaReceptor', 'Q14164'})"
"frozenset({'Q16186', 'P63220', 'TGFbetaReceptor'})"
"frozenset({'Q96KM6', 'TGFbetaReceptor', 'Q15942'})"
"frozenset({'Q9Y2J2', 'Q8TBX8', 'TGFbetaReceptor'})"
"frozenset({'O43290', 'Q16666', 'TGFbetaReceptor'})"
"frozenset({'Q9NUJ3', 'P43365', 'TGFbetaReceptor'})"
"frozenset({'Q9NX63', 'O96008', 'TGFbetaReceptor'})"
"frozenset({'P63261', 'TGFbetaReceptor', 'Q969G3'})"
"frozenset({'P16435', 'O15503', 'TGFbetaReceptor'})"
"frozenset({'O95365', 'Q00987', 'TGFbetaReceptor'})"
"frozenset({'Q504Q3', 'P46783', 'TGFbetaReceptor'})"
"frozenset({'O15084', 'TGFbetaReceptor', 'Q14694'})"
"frozenset({'P02724', 'TGFbetaReceptor', 'Q14145'})"
"frozenset({'P42167', 'P55197', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'P04637', 'P27695'})"
"frozenset({'P43034', 'Q14204', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'Q99963', 'Q9Y6M9'})"
"frozenset({'Q16537', 'O15516', 'TGFbetaReceptor'})"
"frozenset({'P61923', 'O60610', 'TGFbetaReceptor'})"
"frozenset({'Q9NY47', 'TGFbetaReceptor', 'P62136'})"
"frozenset({'Q8IUC1', 'TGFbetaReceptor', 'P32242'})"
"frozenset({'TGFbetaReceptor', 'O75486', 'Q92466'})"
"frozenset({'P07305', 'O76075', 'TGFbetaReceptor'})"
"frozenset({'P67775', 'Q86US8', 'TGFbetaReceptor'})"
"frozenset({'Q15797', 'Q99460', 'TGFbetaReceptor'})"
"frozenset({'O14531', 'Q93062', 'TGFbetaReceptor'})"
"frozenset({'Q8N0Z6', 'Q92905', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'Q9UL01', 'Q5TA45'})"
"frozenset({'P32246', 'P63096', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'P10914', 'P14316'})"
"frozenset({'TGFbetaReceptor', 'Q13569', 'Q9GZX7'})"
"frozenset({'P22301', 'P42224', 'TGFbetaReceptor'})"
"frozenset({'Q96J02', 'TGFbetaReceptor', 'O14640'})"
"frozenset({'O00116', 'Q9H0W5', 'TGFbetaReceptor'})"
"frozenset({'P52272', 'P30419', 'TGFbetaReceptor'})"
"frozenset({'P42704', 'TGFbetaReceptor', 'Q9BZQ6'})"
"frozenset({'Q9BYR5', 'Q8TDS5', 'TGFbetaReceptor'})"
"frozenset({'Q03252', 'P55072', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'P08047', 'P62508'})"
"frozenset({'Q13561', 'TGFbetaReceptor', 'P24522'})"
"frozenset({'O00303', 'Q15800', 'TGFbetaReceptor'})"
"frozenset({'O96014', 'P51654', 'TGFbetaReceptor'})"
"frozenset({'P29016', 'Q86WK6', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'Q5MIZ7', 'Q9NR45'})"
"frozenset({'P19388', 'P62875', 'TGFbetaReceptor'})"
"frozenset({'Q9BQE3', 'Q13620', 'TGFbetaReceptor'})"
"frozenset({'O15379', 'Q9H4Z3', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'O95273', 'A0PK00'})"
"frozenset({'Q13283', 'P06239', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'P01903', 'Q9UMR2'})"
"frozenset({'Q96HE9', 'Q92900', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'O75830', 'Q9NRR5'})"
"frozenset({'Q08380', 'Q14697', 'TGFbetaReceptor'})"
"frozenset({'O60391', 'TGFbetaReceptor', 'P22612'})"
"frozenset({'P55809', 'TGFbetaReceptor', 'P30041'})"
"frozenset({'Q4U2R6', 'Q9BZE1', 'TGFbetaReceptor'})"
"frozenset({'Q15415', 'P61978', 'TGFbetaReceptor'})"
"frozenset({'Q9HCS7', 'Q12906', 'TGFbetaReceptor'})"
