negatives
"frozenset({'Q8IZJ0', 'EGFR1', 'P26992'})"
"frozenset({'P61086', 'Q96EQ8', 'EGFR1'})"
"frozenset({'Q8TAD8', 'EGFR1', 'Q15797'})"
"frozenset({'Q6P4I2', 'Q15038', 'EGFR1'})"
"frozenset({'P52292', 'Q9UH99', 'EGFR1'})"
"frozenset({'Q96PN8', 'Q58EX7', 'EGFR1'})"
"frozenset({'P21709', 'O15357', 'EGFR1'})"
"frozenset({'P15407', 'Q9NYJ8', 'EGFR1'})"
"frozenset({'Q8N5Z5', 'Q8TBB1', 'EGFR1'})"
"frozenset({'Q04206', 'P01589', 'EGFR1'})"
"frozenset({'P53708', 'EGFR1', 'P12110'})"
"frozenset({'P02533', 'O14964', 'EGFR1'})"
"frozenset({'P51617', 'Q9H6S0', 'EGFR1'})"
"frozenset({'P61970', 'O95782', 'EGFR1'})"
"frozenset({'P68400', 'EGFR1', 'P11717'})"
"frozenset({'O15151', 'P36873', 'EGFR1'})"
"frozenset({'Q9NS91', 'Q99638', 'EGFR1'})"
"frozenset({'Q96C92', 'EGFR1', 'Q9Y2I6'})"
"frozenset({'P23083', 'EGFR1', 'O75364'})"
"frozenset({'Q9NY61', 'EGFR1', 'Q8NI36'})"
"frozenset({'Q99816', 'P35240', 'EGFR1'})"
"frozenset({'P84022', 'EGFR1', 'Q9UHV2'})"
"frozenset({'P62699', 'EGFR1', 'Q6VN20'})"
"frozenset({'Q8TDZ2', 'P61006', 'EGFR1'})"
"frozenset({'Q6NUN9', 'Q13263', 'EGFR1'})"
"frozenset({'Q9Y2X9', 'Q9H582', 'EGFR1'})"
"frozenset({'Q8TEW0', 'EGFR1', 'P33151'})"
"frozenset({'A1L4K1', 'EGFR1', 'Q3SY00'})"
"frozenset({'Q02539', 'EGFR1', 'Q16531'})"
"frozenset({'P09651', 'EGFR1', 'Q9Y399'})"
"frozenset({'P48730', 'P48729', 'EGFR1'})"
"frozenset({'P31943', 'Q13151', 'EGFR1'})"
"frozenset({'P46782', 'EGFR1', 'Q01201'})"
"frozenset({'Q9H019', 'EGFR1', 'Q8IWL3'})"
"frozenset({'Q9Y3I0', 'Q8IWT0', 'EGFR1'})"
"frozenset({'Q96Q83', 'EGFR1', 'Q8IUH5'})"
"frozenset({'EGFR1', 'Q12906', 'P35268'})"
"frozenset({'P61086', 'P04818', 'EGFR1'})"
"frozenset({'Q7Z3Y8', 'EGFR1', 'Q8N6Y0'})"
"frozenset({'Q8WUI4', 'EGFR1', 'Q99880'})"
"frozenset({'Q06187', 'EGFR1', 'P07900'})"
"frozenset({'Q9Y3B2', 'EGFR1', 'Q9BUU2'})"
"frozenset({'P55210', 'P08047', 'EGFR1'})"
"frozenset({'P31946', 'P55196', 'EGFR1'})"
"frozenset({'Q9NR56', 'P17844', 'EGFR1'})"
"frozenset({'P35221', 'EGFR1', 'P63267'})"
"frozenset({'Q9Y4P8', 'O94817', 'EGFR1'})"
"frozenset({'EGFR1', 'P58004', 'Q13501'})"
"frozenset({'P12270', 'P61513', 'EGFR1'})"
"frozenset({'P84098', 'P19338', 'EGFR1'})"
"frozenset({'P61018', 'EGFR1', 'Q15544'})"
"frozenset({'P19971', 'P07900', 'EGFR1'})"
"frozenset({'Q14240', 'EGFR1', 'Q08379'})"
"frozenset({'P26373', 'P23396', 'EGFR1'})"
"frozenset({'O14862', 'EGFR1', 'Q6NT76'})"
"frozenset({'P55210', 'P21673', 'EGFR1'})"
"frozenset({'Q16526', 'P49674', 'EGFR1'})"
"frozenset({'Q9BQY4', 'EGFR1', 'P86480'})"
"frozenset({'Q9Y297', 'P07900', 'EGFR1'})"
"frozenset({'Q8NEY8', 'Q2TAC2', 'EGFR1'})"
"frozenset({'P28482', 'EGFR1', 'Q92974'})"
"frozenset({'Q96FW1', 'Q15714', 'EGFR1'})"
"frozenset({'P52789', 'Q9NZN8', 'EGFR1'})"
"frozenset({'P54577', 'EGFR1', 'O60739'})"
"frozenset({'EGFR1', 'Q15717', 'Q9H2H8'})"
"frozenset({'Q9NRA0', 'EGFR1', 'Q15139'})"
"frozenset({'EGFR1', 'Q7Z4Q2', 'O60939'})"
"frozenset({'Q96SW2', 'EGFR1', 'P12268'})"
"frozenset({'P09651', 'P48668', 'EGFR1'})"
"frozenset({'P49023', 'P42574', 'EGFR1'})"
"frozenset({'Q93034', 'Q9NPC3', 'EGFR1'})"
"frozenset({'P04839', 'P40424', 'EGFR1'})"
"frozenset({'Q92552', 'EGFR1', 'Q13616'})"
"frozenset({'P62910', 'EGFR1', 'P19022'})"
"frozenset({'Q96SB4', 'EGFR1', 'O95232'})"
"frozenset({'Q06190', 'EGFR1', 'O00305'})"
"frozenset({'O94913', 'Q8N5N7', 'EGFR1'})"
"frozenset({'Q9UK23', 'EGFR1', 'P42566'})"
"frozenset({'Q9Y6Q9', 'EGFR1', 'P04637'})"
"frozenset({'Q96GQ7', 'Q96HE9', 'EGFR1'})"
"frozenset({'O94916', 'Q8N5D6', 'EGFR1'})"
"frozenset({'P56199', 'P49747', 'EGFR1'})"
"frozenset({'Q9BTL3', 'EGFR1', 'Q08379'})"
"frozenset({'P08908', 'P62879', 'EGFR1'})"
"frozenset({'Q8IWF6', 'Q9HBV2', 'EGFR1'})"
"frozenset({'Q53TQ3', 'Q9C086', 'EGFR1'})"
"frozenset({'P80370', 'Q3ZCM7', 'EGFR1'})"
"frozenset({'Q9NPC6', 'O43707', 'EGFR1'})"
"frozenset({'Q8WXX7', 'Q3KNV8', 'EGFR1'})"
"frozenset({'Q14934', 'P43694', 'EGFR1'})"
"frozenset({'Q13177', 'Q96K21', 'EGFR1'})"
"frozenset({'P17987', 'EGFR1', 'O00628'})"
"frozenset({'P57739', 'A6NM45', 'EGFR1'})"
"frozenset({'Q04917', 'EGFR1', 'P04049'})"
"frozenset({'P31946', 'P21580', 'EGFR1'})"
"frozenset({'Q99496', 'P51784', 'EGFR1'})"
"frozenset({'EGFR1', 'P00966', 'Q96DX5'})"
"frozenset({'O75197', 'Q9GZT5', 'EGFR1'})"
"frozenset({'Q9NR30', 'EGFR1', 'P06702'})"
"frozenset({'P49711', 'EGFR1', 'Q86WJ1'})"
"frozenset({'Q99814', 'EGFR1', 'Q07812'})"
"frozenset({'Q13009', 'O96028', 'EGFR1'})"
"frozenset({'Q9NPF4', 'Q9BS26', 'EGFR1'})"
"frozenset({'Q9UKJ5', 'Q5TA81', 'EGFR1'})"
"frozenset({'Q6P1J9', 'EGFR1', 'Q6S8J3'})"
"frozenset({'O00762', 'Q96S59', 'EGFR1'})"
"frozenset({'Q9UBN7', 'P34897', 'EGFR1'})"
"frozenset({'P22695', 'EGFR1', 'P61020'})"
"frozenset({'Q68EM7', 'EGFR1', 'Q9HBH0'})"
"frozenset({'P37173', 'Q5JSH3', 'EGFR1'})"
"frozenset({'Q96HA1', 'P52948', 'EGFR1'})"
"frozenset({'P36383', 'EGFR1', 'Q9NRR5'})"
"frozenset({'Q9UPN4', 'P36941', 'EGFR1'})"
"frozenset({'Q9BQ87', 'Q86Y13', 'EGFR1'})"
"frozenset({'Q99614', 'EGFR1', 'O00257'})"
"frozenset({'Q9Y3E0', 'EGFR1', 'P38606'})"
"frozenset({'P32119', 'P10599', 'EGFR1'})"
"frozenset({'P84022', 'Q9P2J3', 'EGFR1'})"
"frozenset({'EGFR1', 'Q8NC96', 'Q7Z7F0'})"
"frozenset({'Q9Y279', 'EGFR1', 'O95707'})"
"frozenset({'Q8IXJ9', 'P31267', 'EGFR1'})"
"frozenset({'O75528', 'EGFR1', 'P04637'})"
"frozenset({'Q8TAU3', 'Q6P597', 'EGFR1'})"
"frozenset({'Q9Y263', 'EGFR1', 'Q04323'})"
"frozenset({'Q08117', 'EGFR1', 'P19012'})"
"frozenset({'Q09472', 'P14921', 'EGFR1'})"
"frozenset({'Q7L5A3', 'Q9NRD5', 'EGFR1'})"
"frozenset({'Q15554', 'Q6P1X5', 'EGFR1'})"
"frozenset({'Q92731', 'Q9P2J5', 'EGFR1'})"
"frozenset({'O15117', 'Q9H2G2', 'EGFR1'})"
"frozenset({'Q9NYU2', 'P49356', 'EGFR1'})"
"frozenset({'P07947', 'EGFR1', 'P35222'})"
"frozenset({'EGFR1', 'O43678', 'O75489'})"
"frozenset({'EGFR1', 'P61289', 'Q15735'})"
"frozenset({'P61927', 'P46779', 'EGFR1'})"
"frozenset({'P21802', 'P35568', 'EGFR1'})"
"frozenset({'Q6ZU52', 'EGFR1', 'Q9BUH8'})"
"frozenset({'Q14151', 'Q9GZQ8', 'EGFR1'})"
"frozenset({'Q13620', 'EGFR1', 'Q8TC44'})"
"frozenset({'Q9BWG4', 'EGFR1', 'Q92481'})"
"frozenset({'Q96DB2', 'Q92522', 'EGFR1'})"
"frozenset({'P51148', 'EGFR1', 'P11171'})"
"frozenset({'Q8NAP3', 'Q96EB6', 'EGFR1'})"
"frozenset({'P19525', 'EGFR1', 'Q9H444'})"
"frozenset({'Q9BX40', 'Q14203', 'EGFR1'})"
"frozenset({'Q14999', 'EGFR1', 'P52907'})"
"frozenset({'Q00535', 'P35240', 'EGFR1'})"
"frozenset({'P40337', 'EGFR1', 'Q9NR22'})"
"frozenset({'Q9H078', 'EGFR1', 'Q13618'})"
"frozenset({'P08865', 'O15042', 'EGFR1'})"
"frozenset({'Q9BXP2', 'EGFR1', 'O00214'})"
"frozenset({'P40938', 'EGFR1', 'P55072'})"
"frozenset({'O14640', 'Q92995', 'EGFR1'})"
"frozenset({'A8K0Z3', 'Q9NV70', 'EGFR1'})"
"frozenset({'P35244', 'EGFR1', 'O75128'})"
"frozenset({'Q9H0A8', 'EGFR1', 'P08237'})"
"frozenset({'EGFR1', 'Q12933', 'Q8N3R9'})"
"frozenset({'P36941', 'EGFR1', 'Q96DN5'})"
"frozenset({'P05129', 'EGFR1', 'O00418'})"
"frozenset({'P11801', 'P07900', 'EGFR1'})"
"frozenset({'P00734', 'Q8TEW0', 'EGFR1'})"
"frozenset({'P78317', 'EGFR1', 'Q5T7P3'})"
"frozenset({'Q2TAC2', 'EGFR1', 'Q8IYX8'})"
"frozenset({'Q9NQX4', 'P35579', 'EGFR1'})"
"frozenset({'P42694', 'Q13363', 'EGFR1'})"
"frozenset({'Q6UXV4', 'Q9Y512', 'EGFR1'})"
"frozenset({'Q7RTU3', 'Q3LI66', 'EGFR1'})"
"frozenset({'Q9Y3D0', 'P48200', 'EGFR1'})"
"frozenset({'Q15428', 'Q13247', 'EGFR1'})"
"frozenset({'Q9UK73', 'Q15370', 'EGFR1'})"
"frozenset({'Q96P09', 'Q96B02', 'EGFR1'})"
"frozenset({'P47893', 'EGFR1', 'P17612'})"
"frozenset({'P51679', 'O43927', 'EGFR1'})"
"frozenset({'Q9BRK4', 'EGFR1', 'Q96MT8'})"
"frozenset({'P38919', 'P34947', 'EGFR1'})"
"frozenset({'Q9Y6D6', 'P19338', 'EGFR1'})"
"frozenset({'Q16665', 'EGFR1', 'P29474'})"
"frozenset({'Q8NH90', 'P38405', 'EGFR1'})"
"frozenset({'Q9NS73', 'P25791', 'EGFR1'})"
"frozenset({'P31269', 'Q93062', 'EGFR1'})"
"frozenset({'Q9HAU4', 'Q02535', 'EGFR1'})"
"frozenset({'Q01658', 'EGFR1', 'P20226'})"
"frozenset({'Q9UNZ2', 'EGFR1', 'Q96C11'})"
"frozenset({'Q02156', 'Q9H9S0', 'EGFR1'})"
"frozenset({'P37231', 'EGFR1', 'P42229'})"
"frozenset({'Q9Y597', 'O60573', 'EGFR1'})"
"frozenset({'P50616', 'EGFR1', 'Q8IY67'})"
"frozenset({'P17600', 'Q8WUA4', 'EGFR1'})"
"frozenset({'A0JLT2', 'Q9BQ75', 'EGFR1'})"
