negatives
"frozenset({'Q92608', 'O15117', 'Receptor'})"
"frozenset({'P26371', 'P49771', 'Receptor'})"
"frozenset({'Q92995', 'Q9BYV6', 'Receptor'})"
"frozenset({'P08865', 'Receptor', 'Q9UHB6'})"
"frozenset({'P35232', 'Q15149', 'Receptor'})"
"frozenset({'O43482', 'Receptor', 'Q969G3'})"
"frozenset({'Q9Y478', 'P48047', 'Receptor'})"
"frozenset({'Q86XF7', 'A8MQ03', 'Receptor'})"
"frozenset({'O43915', 'Q15836', 'Receptor'})"
"frozenset({'P60673', 'P63267', 'Receptor'})"
"frozenset({'P24928', 'P01106', 'Receptor'})"
"frozenset({'Q9NY93', 'Receptor', 'P62899'})"
"frozenset({'P08253', 'Q14031', 'Receptor'})"
"frozenset({'P30533', 'Q13541', 'Receptor'})"
"frozenset({'P45973', 'Receptor', 'Q9UIS9'})"
"frozenset({'Q13724', 'P51784', 'Receptor'})"
"frozenset({'Q99466', 'P49757', 'Receptor'})"
"frozenset({'O15111', 'Receptor', 'Q9BVC4'})"
"frozenset({'Q9C005', 'P62807', 'Receptor'})"
"frozenset({'Receptor', 'O14654', 'O00459'})"
"frozenset({'P48431', 'O95071', 'Receptor'})"
"frozenset({'Q8WTU0', 'Receptor', 'Q8WWM9'})"
"frozenset({'Q9BYU1', 'Q9NWQ9', 'Receptor'})"
"frozenset({'Q15717', 'Q9P021', 'Receptor'})"
"frozenset({'Q9UHD2', 'P43405', 'Receptor'})"
"frozenset({'Q9BTV5', 'Q969T4', 'Receptor'})"
"frozenset({'P37173', 'Q9BT67', 'Receptor'})"
"frozenset({'P20290', 'Q9UPV0', 'Receptor'})"
"frozenset({'Receptor', 'P05067', 'Q9H094'})"
"frozenset({'P35240', 'Q9NZI8', 'Receptor'})"
"frozenset({'P25787', 'Q9Y3I1', 'Receptor'})"
"frozenset({'Q08379', 'P49638', 'Receptor'})"
"frozenset({'Q9BYC9', 'Q99853', 'Receptor'})"
"frozenset({'Q06710', 'P17252', 'Receptor'})"
"frozenset({'Receptor', 'P28329', 'P42765'})"
"frozenset({'P60228', 'P62333', 'Receptor'})"
"frozenset({'Q8NGK6', 'P62873', 'Receptor'})"
"frozenset({'Q9H967', 'P35579', 'Receptor'})"
"frozenset({'Q01484', 'Q14573', 'Receptor'})"
"frozenset({'Q66K74', 'Q9GZQ8', 'Receptor'})"
"frozenset({'Q96EQ0', 'Q8WW22', 'Receptor'})"
"frozenset({'P46779', 'Receptor', 'P24941'})"
"frozenset({'Q15287', 'Q6VN20', 'Receptor'})"
"frozenset({'Q9BV68', 'Receptor', 'P35573'})"
"frozenset({'Q8IXH6', 'Q9H492', 'Receptor'})"
"frozenset({'Q9H0R8', 'Receptor', 'P08621'})"
"frozenset({'Q13485', 'Q14192', 'Receptor'})"
"frozenset({'Q9Y580', 'Q04917', 'Receptor'})"
"frozenset({'Q9Y4H2', 'P63104', 'Receptor'})"
"frozenset({'P60520', 'Q96CV9', 'Receptor'})"
"frozenset({'Q07020', 'Q7L2Z9', 'Receptor'})"
"frozenset({'Q9BY67', 'P17931', 'Receptor'})"
"frozenset({'Receptor', 'P55786', 'Q13177'})"
"frozenset({'P51149', 'Receptor', 'P07741'})"
"frozenset({'Q6NT76', 'Receptor', 'P78356'})"
"frozenset({'P42338', 'P62834', 'Receptor'})"
"frozenset({'Q14978', 'Q07866', 'Receptor'})"
"frozenset({'Q92542', 'O75934', 'Receptor'})"
"frozenset({'Q9UK80', 'Q9BPZ7', 'Receptor'})"
"frozenset({'Receptor', 'Q8N6T7', 'P68104'})"
"frozenset({'Q8NGA5', 'P32121', 'Receptor'})"
"frozenset({'Q9NVC6', 'Q9BUE0', 'Receptor'})"
"frozenset({'Q9UPQ8', 'Q16322', 'Receptor'})"
"frozenset({'Q09472', 'P01563', 'Receptor'})"
"frozenset({'Q9P289', 'P62714', 'Receptor'})"
"frozenset({'P35908', 'Q16526', 'Receptor'})"
"frozenset({'P05387', 'P62829', 'Receptor'})"
"frozenset({'Receptor', 'Q13619', 'Q09028'})"
"frozenset({'Receptor', 'P62829', 'O60216'})"
"frozenset({'Receptor', 'Q9ULK2', 'Q02446'})"
"frozenset({'Q9H967', 'Q13620', 'Receptor'})"
"frozenset({'Q13618', 'P63220', 'Receptor'})"
"frozenset({'Q13129', 'P55854', 'Receptor'})"
"frozenset({'Q9Y4P1', 'Receptor', 'Q8TC84'})"
"frozenset({'P26441', 'P09619', 'Receptor'})"
"frozenset({'Q8TDU9', 'P30679', 'Receptor'})"
"frozenset({'Q14008', 'Q8N7R7', 'Receptor'})"
"frozenset({'P12755', 'P55084', 'Receptor'})"
"frozenset({'P15927', 'Q12768', 'Receptor'})"
"frozenset({'Receptor', 'Q9NR33', 'Q9ULR0'})"
"frozenset({'O95411', 'Q9Y572', 'Receptor'})"
"frozenset({'Q13009', 'Q9H4E5', 'Receptor'})"
"frozenset({'O75717', 'P46736', 'Receptor'})"
"frozenset({'Q9NPF4', 'Q08J23', 'Receptor'})"
"frozenset({'P55211', 'P43146', 'Receptor'})"
"frozenset({'P98179', 'Q9H492', 'Receptor'})"
"frozenset({'O75717', 'Q9UKX7', 'Receptor'})"
"frozenset({'Q14764', 'Receptor', 'P08238'})"
"frozenset({'Receptor', 'P13807', 'O15078'})"
"frozenset({'P0DP23', 'Receptor', 'P53355'})"
"frozenset({'Q96CS2', 'O14879', 'Receptor'})"
"frozenset({'O43741', 'Q9P0T4', 'Receptor'})"
"frozenset({'Q14186', 'O14543', 'Receptor'})"
"frozenset({'A6NHG9', 'Q9P2W3', 'Receptor'})"
"frozenset({'Q96FC9', 'Q16254', 'Receptor'})"
"frozenset({'P60228', 'Q99814', 'Receptor'})"
"frozenset({'Q9UBX1', 'Q15165', 'Receptor'})"
"frozenset({'Q9NNW5', 'Receptor', 'Q5U5Q3'})"
"frozenset({'Q9NRL3', 'P30153', 'Receptor'})"
"frozenset({'P35080', 'O43765', 'Receptor'})"
"frozenset({'P35221', 'P68400', 'Receptor'})"
"frozenset({'Q8N122', 'Receptor', 'Q8TCU6'})"
"frozenset({'Receptor', 'Q01804', 'P68431'})"
"frozenset({'P11308', 'P28482', 'Receptor'})"
"frozenset({'Q15554', 'O60563', 'Receptor'})"
"frozenset({'Q6IV72', 'P60409', 'Receptor'})"
"frozenset({'Q9NX24', 'P04156', 'Receptor'})"
"frozenset({'Q08379', 'Q96IX9', 'Receptor'})"
"frozenset({'Q96S44', 'P04637', 'Receptor'})"
"frozenset({'Q9Y597', 'Q9NRR6', 'Receptor'})"
"frozenset({'P62913', 'P42677', 'Receptor'})"
"frozenset({'Q9UPS6', 'Receptor', 'P68431'})"
"frozenset({'P12081', 'P56192', 'Receptor'})"
"frozenset({'Q14088', 'Q8TBB1', 'Receptor'})"
"frozenset({'Q93079', 'Receptor', 'Q92769'})"
"frozenset({'P50222', 'Q96T60', 'Receptor'})"
"frozenset({'Q5HYI8', 'Q6NUS6', 'Receptor'})"
"frozenset({'Q8TBN0', 'Q6ZVK8', 'Receptor'})"
"frozenset({'Q9NRD1', 'P0DMV9', 'Receptor'})"
"frozenset({'Q13077', 'Q02040', 'Receptor'})"
"frozenset({'Q13315', 'Q03468', 'Receptor'})"
"frozenset({'Q13501', 'Receptor', 'P08670'})"
"frozenset({'P35548', 'P35269', 'Receptor'})"
"frozenset({'Q9BRX9', 'Q6P2Q9', 'Receptor'})"
"frozenset({'P40855', 'Q8NBZ7', 'Receptor'})"
"frozenset({'Q7Z3S9', 'P52824', 'Receptor'})"
"frozenset({'P46934', 'Q9H492', 'Receptor'})"
"frozenset({'A6NJZ3', 'P38405', 'Receptor'})"
"frozenset({'Q969H6', 'Q00653', 'Receptor'})"
"frozenset({'P18433', 'P62993', 'Receptor'})"
"frozenset({'P19338', 'Receptor', 'Q15022'})"
"frozenset({'Q13164', 'Q15349', 'Receptor'})"
"frozenset({'Q8N6M6', 'Q96QB1', 'Receptor'})"
"frozenset({'Q9Y5Y4', 'Q9P055', 'Receptor'})"
"frozenset({'Q9BW61', 'Q9UHD8', 'Receptor'})"
"frozenset({'Q9Y446', 'Q92731', 'Receptor'})"
"frozenset({'Receptor', 'O00165', 'O60641'})"
"frozenset({'Q13164', 'Receptor', 'Q9H6Z9'})"
"frozenset({'Q9UJA5', 'Q70EL4', 'Receptor'})"
"frozenset({'O43424', 'Receptor', 'P29074'})"
"frozenset({'P62913', 'Q969P0', 'Receptor'})"
"frozenset({'Q96BN2', 'Q92831', 'Receptor'})"
"frozenset({'O75676', 'P68400', 'Receptor'})"
"frozenset({'Q9NRW7', 'Receptor', 'Q9NZD1'})"
"frozenset({'P0DP24', 'Q15051', 'Receptor'})"
"frozenset({'Q99459', 'Q9UKM9', 'Receptor'})"
"frozenset({'P26368', 'O75955', 'Receptor'})"
"frozenset({'Receptor', 'P50148', 'Q96LB2'})"
"frozenset({'Receptor', 'Q5VWX1', 'Q13330'})"
"frozenset({'Q70EL3', 'Receptor', 'Q86WV6'})"
"frozenset({'Q92626', 'Receptor', 'Q6AZY7'})"
"frozenset({'Q9H992', 'Q6ZNA4', 'Receptor'})"
"frozenset({'P11388', 'P38398', 'Receptor'})"
"frozenset({'Q9UK58', 'Q8N9Q2', 'Receptor'})"
"frozenset({'P22626', 'P09913', 'Receptor'})"
"frozenset({'P40818', 'O75791', 'Receptor'})"
"frozenset({'Q15717', 'O60291', 'Receptor'})"
"frozenset({'Q6A162', 'Receptor', 'Q96E11'})"
"frozenset({'P48729', 'P61981', 'Receptor'})"
"frozenset({'Q14232', 'Q00839', 'Receptor'})"
"frozenset({'O95718', 'P57088', 'Receptor'})"
"frozenset({'P27361', 'Q9UN42', 'Receptor'})"
"frozenset({'Receptor', 'P55290', 'P24385'})"
"frozenset({'P12956', 'O60684', 'Receptor'})"
"frozenset({'P43353', 'P35228', 'Receptor'})"
"frozenset({'Q15819', 'Q8WU20', 'Receptor'})"
"frozenset({'Q14999', 'P55072', 'Receptor'})"
"frozenset({'P07951', 'Q8N365', 'Receptor'})"
"frozenset({'P49773', 'Q9Y265', 'Receptor'})"
"frozenset({'P41594', 'Q9NSB8', 'Receptor'})"
"frozenset({'Receptor', 'Q9Y616', 'P05412'})"
"frozenset({'P61962', 'Q86SE9', 'Receptor'})"
"frozenset({'Q2TB18', 'Q13426', 'Receptor'})"
"frozenset({'Q96P71', 'Receptor', 'Q99767'})"
"frozenset({'Q969P0', 'P14618', 'Receptor'})"
"frozenset({'P38432', 'Q6BCY4', 'Receptor'})"
"frozenset({'P40692', 'O95870', 'Receptor'})"
"frozenset({'O75530', 'Q99496', 'Receptor'})"
"frozenset({'Q8IWL3', 'Q8N442', 'Receptor'})"
"frozenset({'Q9Y3C5', 'Receptor', 'Q9C0C9'})"
"frozenset({'Q16665', 'Q9HAU0', 'Receptor'})"
"frozenset({'P49768', 'Q99828', 'Receptor'})"
"frozenset({'P49848', 'P35869', 'Receptor'})"
"frozenset({'Q8N5N7', 'P57737', 'Receptor'})"
"frozenset({'Q15005', 'Q6DKI7', 'Receptor'})"
"frozenset({'O60885', 'Q14839', 'Receptor'})"
"frozenset({'P51679', 'O95715', 'Receptor'})"
"frozenset({'Q9UL15', 'Q03933', 'Receptor'})"
"frozenset({'P04350', 'Q96Q83', 'Receptor'})"
"frozenset({'Receptor', 'P35244', 'O43795'})"
"frozenset({'P33981', 'Q8N4C6', 'Receptor'})"
"frozenset({'P18084', 'P04004', 'Receptor'})"
"frozenset({'Receptor', 'P62829', 'Q9NYJ8'})"
"frozenset({'Q13616', 'Q99733', 'Receptor'})"
"frozenset({'P30154', 'Receptor', 'Q49AN0'})"
"frozenset({'Q12873', 'Receptor', 'P68431'})"
"frozenset({'Q8TCJ0', 'Q8TBX8', 'Receptor'})"
"frozenset({'Receptor', 'Q96AK3', 'P02751'})"
"frozenset({'Q53H82', 'O95394', 'Receptor'})"
"frozenset({'Q9H7B2', 'Q14999', 'Receptor'})"
"frozenset({'Q13618', 'O95198', 'Receptor'})"
"frozenset({'Q9UMS4', 'Receptor', 'Q14164'})"
"frozenset({'Q9UBI6', 'O00222', 'Receptor'})"
"frozenset({'Q01082', 'Q92614', 'Receptor'})"
"frozenset({'P46939', 'Receptor', 'Q9Y4J8'})"
"frozenset({'Q9BXS5', 'Q8IXK0', 'Receptor'})"
"frozenset({'Q96RU7', 'P15336', 'Receptor'})"
"frozenset({'Q9ULK4', 'Q9Y2S7', 'Receptor'})"
"frozenset({'P49736', 'Q9UBU7', 'Receptor'})"
"frozenset({'P49768', 'P10415', 'Receptor'})"
"frozenset({'Receptor', 'O60934', 'Q92547'})"
"frozenset({'Q5S007', 'O15269', 'Receptor'})"
"frozenset({'Receptor', 'O95168', 'P15923'})"
"frozenset({'Q9BVA1', 'Receptor', 'Q96AH8'})"
"frozenset({'Q86VV8', 'Receptor', 'Q9H2C0'})"
"frozenset({'P62324', 'Q9UKB1', 'Receptor'})"
"frozenset({'P0DP24', 'Q13557', 'Receptor'})"
"frozenset({'Q14324', 'O95166', 'Receptor'})"
"frozenset({'Q96BA8', 'O95393', 'Receptor'})"
"frozenset({'Q7Z3S9', 'Q2WGJ6', 'Receptor'})"
"frozenset({'Q9Y6H1', 'Q5JRX3', 'Receptor'})"
"frozenset({'Q96ED9', 'Q9UFB7', 'Receptor'})"
"frozenset({'P04629', 'Q08379', 'Receptor'})"
"frozenset({'Receptor', 'Q96EN8', 'P20336'})"
"frozenset({'Receptor', 'P61218', 'Q9P1U0'})"
"frozenset({'O14610', 'Q9H1C0', 'Receptor'})"
"frozenset({'P60880', 'P21579', 'Receptor'})"
"frozenset({'Receptor', 'Q9NXR8', 'Q9H0E9'})"
"frozenset({'P05187', 'P01584', 'Receptor'})"
"frozenset({'Receptor', 'Q96IZ5', 'P14373'})"
"frozenset({'Receptor', 'Q96NL6', 'Q13131'})"
"frozenset({'Q9UL18', 'Receptor', 'Q9UNE7'})"
"frozenset({'O14827', 'Q9NZT1', 'Receptor'})"
"frozenset({'Q8IYL2', 'P05538', 'Receptor'})"
"frozenset({'P28698', 'Q8NBB4', 'Receptor'})"
"frozenset({'O00311', 'Receptor', 'Q9HBG6'})"
"frozenset({'P51149', 'Q16891', 'Receptor'})"
"frozenset({'Q96ST3', 'Q9H7L9', 'Receptor'})"
"frozenset({'Q9UJW0', 'O00399', 'Receptor'})"
"frozenset({'P42345', 'Q15019', 'Receptor'})"
"frozenset({'Q92784', 'O43592', 'Receptor'})"
"frozenset({'P61328', 'P35916', 'Receptor'})"
"frozenset({'P09067', 'P40425', 'Receptor'})"
"frozenset({'P14314', 'O14975', 'Receptor'})"
"frozenset({'Q9Y2V2', 'P30153', 'Receptor'})"
"frozenset({'Q86Y13', 'P63279', 'Receptor'})"
"frozenset({'Q9HCE1', 'Receptor', 'Q9BPX5'})"
"frozenset({'Q99895', 'Q8TF65', 'Receptor'})"
"frozenset({'Receptor', 'P17081', 'Q53QZ3'})"
"frozenset({'P12830', 'P0DMV9', 'Receptor'})"
"frozenset({'Q9Y6I7', 'P61077', 'Receptor'})"
"frozenset({'P15336', 'P08758', 'Receptor'})"
"frozenset({'P56524', 'P25208', 'Receptor'})"
"frozenset({'Q9NTJ3', 'Receptor', 'O00358'})"
"frozenset({'Receptor', 'P10321', 'P26717'})"
"frozenset({'P62714', 'O60359', 'Receptor'})"
"frozenset({'P21926', 'P05556', 'Receptor'})"
"frozenset({'P21675', 'P62805', 'Receptor'})"
"frozenset({'O60306', 'Q86SE5', 'Receptor'})"
"frozenset({'Q9Y3I0', 'Receptor', 'P05412'})"
"frozenset({'Q9UL42', 'Q6ZVT0', 'Receptor'})"
"frozenset({'Q8TBJ4', 'Q9ULC3', 'Receptor'})"
"frozenset({'P18074', 'P00533', 'Receptor'})"
"frozenset({'P19174', 'Q9H7P6', 'Receptor'})"
"frozenset({'Q9Y305', 'Q15154', 'Receptor'})"
"frozenset({'Q00688', 'Q96LK0', 'Receptor'})"
"frozenset({'P02810', 'Q8TAX7', 'Receptor'})"
"frozenset({'O75131', 'O60841', 'Receptor'})"
"frozenset({'Q9H0S4', 'O75147', 'Receptor'})"
"frozenset({'O95400', 'Q7Z591', 'Receptor'})"
"frozenset({'P58182', 'Receptor', 'P22694'})"
"frozenset({'Q04206', 'Q86X55', 'Receptor'})"
"frozenset({'Receptor', 'O43865', 'Q04726'})"
"frozenset({'Q6PJT7', 'Q8TAD8', 'Receptor'})"
"frozenset({'P0DP24', 'Q15691', 'Receptor'})"
"frozenset({'P08133', 'Q9NRF9', 'Receptor'})"
"frozenset({'Q9H8V3', 'Q15155', 'Receptor'})"
"frozenset({'P35557', 'Q13233', 'Receptor'})"
"frozenset({'P11021', 'Q92597', 'Receptor'})"
"frozenset({'Q8N488', 'Q9HCM7', 'Receptor'})"
"frozenset({'Q9UKX3', 'Q8N4C6', 'Receptor'})"
"frozenset({'Q96S94', 'P10301', 'Receptor'})"
"frozenset({'P62888', 'P83881', 'Receptor'})"
"frozenset({'Receptor', 'Q8N5M1', 'Q9Y608'})"
"frozenset({'Q13061', 'O14958', 'Receptor'})"
"frozenset({'Q15149', 'Q8WZ19', 'Receptor'})"
"frozenset({'P17812', 'Q04323', 'Receptor'})"
"frozenset({'Q13547', 'Q9BZD6', 'Receptor'})"
"frozenset({'Q9Y5Q9', 'P04637', 'Receptor'})"
"frozenset({'Q6UXV4', 'Q9NX14', 'Receptor'})"
"frozenset({'Q15008', 'Q8TCJ0', 'Receptor'})"
"frozenset({'Receptor', 'O15260', 'Q15424'})"
"frozenset({'Q9HCM3', 'P30511', 'Receptor'})"
"frozenset({'O95251', 'O14980', 'Receptor'})"
"frozenset({'B2RUY7', 'Q5TCM9', 'Receptor'})"
"frozenset({'P51451', 'P31995', 'Receptor'})"
"frozenset({'P17568', 'P54709', 'Receptor'})"
"frozenset({'P27348', 'Q9UKX3', 'Receptor'})"
"frozenset({'Q86UA6', 'P04264', 'Receptor'})"
"frozenset({'Receptor', 'Q9H4K1', 'Q8NG27'})"
"frozenset({'Q9NPJ6', 'P40939', 'Receptor'})"
"frozenset({'Q96H86', 'Receptor', 'O75864'})"
"frozenset({'P04629', 'Receptor', 'P13637'})"
"frozenset({'Q6NUN9', 'P25398', 'Receptor'})"
"frozenset({'Q9H972', 'Q01860', 'Receptor'})"
"frozenset({'Q5VIR6', 'Q8TD31', 'Receptor'})"
"frozenset({'O15539', 'P04899', 'Receptor'})"
"frozenset({'Q8TCT1', 'P07737', 'Receptor'})"
"frozenset({'Q9Y5Y6', 'Q14790', 'Receptor'})"
"frozenset({'Q14203', 'Receptor', 'Q08999'})"
"frozenset({'P19388', 'Q9H204', 'Receptor'})"
"frozenset({'P27361', 'P17480', 'Receptor'})"
"frozenset({'Receptor', 'P51398', 'Q92665'})"
"frozenset({'Q9UQ72', 'Q15796', 'Receptor'})"
"frozenset({'Q9BUN8', 'P23526', 'Receptor'})"
"frozenset({'P12931', 'P31946', 'Receptor'})"
"frozenset({'P53041', 'P57078', 'Receptor'})"
"frozenset({'P31751', 'O60346', 'Receptor'})"
"frozenset({'Receptor', 'Q9UJZ1', 'Q15393'})"
"frozenset({'P62820', 'O00217', 'Receptor'})"
"frozenset({'Q6NUN9', 'Q7Z406', 'Receptor'})"
"frozenset({'P08133', 'P21926', 'Receptor'})"
"frozenset({'Q02083', 'P55058', 'Receptor'})"
"frozenset({'Receptor', 'Q9Y3M2', 'Q12923'})"
"frozenset({'Q7L5N1', 'Receptor', 'P08621'})"
"frozenset({'Q9BX97', 'Q9H0V9', 'Receptor'})"
"frozenset({'Q9HBI0', 'P17301', 'Receptor'})"
"frozenset({'P49736', 'Q96QV6', 'Receptor'})"
"frozenset({'Q5HYN5', 'Q8N9Q2', 'Receptor'})"
"frozenset({'Q9H6K1', 'Q13404', 'Receptor'})"
"frozenset({'O14775', 'P11229', 'Receptor'})"
"frozenset({'Q9NRD1', 'Q15208', 'Receptor'})"
"frozenset({'P62913', 'P62244', 'Receptor'})"
"frozenset({'O76094', 'Q8N0Z3', 'Receptor'})"
"frozenset({'P25786', 'Receptor', 'O95073'})"
"frozenset({'O14980', 'O43900', 'Receptor'})"
"frozenset({'Receptor', 'Q01130', 'P05412'})"
"frozenset({'O60499', 'Q6NXE6', 'Receptor'})"
"frozenset({'Q9C0J8', 'P11802', 'Receptor'})"
"frozenset({'P55268', 'P24043', 'Receptor'})"
"frozenset({'Q9UKL4', 'P17302', 'Receptor'})"
"frozenset({'Q9H2G9', 'Q9H6Z4', 'Receptor'})"
"frozenset({'Q9C005', 'O75069', 'Receptor'})"
"frozenset({'Receptor', 'P05067', 'Q07955'})"
"frozenset({'Q14999', 'Q07157', 'Receptor'})"
"frozenset({'Q16630', 'Q8WZ42', 'Receptor'})"
"frozenset({'Q9Y284', 'Receptor', 'Q8NFW5'})"
"frozenset({'Receptor', 'P58173', 'P22694'})"
"frozenset({'P15735', 'Q6ZSY5', 'Receptor'})"
"frozenset({'P42229', 'Q9Y6X2', 'Receptor'})"
"frozenset({'Q00610', 'P04843', 'Receptor'})"
"frozenset({'Q08379', 'P59797', 'Receptor'})"
"frozenset({'Q8TBB1', 'P49757', 'Receptor'})"
"frozenset({'P11171', 'Q9Y237', 'Receptor'})"
"frozenset({'Q9Y4P1', 'Q9H492', 'Receptor'})"
"frozenset({'Q86Y13', 'P78337', 'Receptor'})"
"frozenset({'P84103', 'O60508', 'Receptor'})"
"frozenset({'P17980', 'Q8NE28', 'Receptor'})"
"frozenset({'Q9NRD5', 'Receptor', 'Q9UBB9'})"
"frozenset({'Receptor', 'P22087', 'Q49A26'})"
"frozenset({'O95169', 'P43403', 'Receptor'})"
"frozenset({'Receptor', 'O75592', 'Q05086'})"
"frozenset({'Q8IW40', 'Q8N6Y0', 'Receptor'})"
"frozenset({'Q9Y3C8', 'P18206', 'Receptor'})"
"frozenset({'P29374', 'Q4LE39', 'Receptor'})"
"frozenset({'P12004', 'Q96QE3', 'Receptor'})"
"frozenset({'Q9UL18', 'P04637', 'Receptor'})"
"frozenset({'Q99523', 'Q96A35', 'Receptor'})"
"frozenset({'P62324', 'Q9P0P0', 'Receptor'})"
"frozenset({'O75400', 'Q8IWX8', 'Receptor'})"
"frozenset({'Q8TD10', 'Q86YD7', 'Receptor'})"
"frozenset({'Q96T88', 'Q93009', 'Receptor'})"
"frozenset({'P0CJ68', 'Q15181', 'Receptor'})"
"frozenset({'P11441', 'Q9UQ80', 'Receptor'})"
"frozenset({'Q86WH2', 'Receptor', 'P46821'})"
"frozenset({'Q8WY36', 'P05067', 'Receptor'})"
"frozenset({'P34897', 'O75792', 'Receptor'})"
"frozenset({'P49639', 'Q8TBB1', 'Receptor'})"
"frozenset({'P21399', 'A6NI79', 'Receptor'})"
"frozenset({'Q9BS26', 'Q15717', 'Receptor'})"
"frozenset({'P35610', 'P31150', 'Receptor'})"
"frozenset({'P61586', 'Q13829', 'Receptor'})"
"frozenset({'Q9NWX5', 'P05067', 'Receptor'})"
"frozenset({'O60262', 'Q14416', 'Receptor'})"
"frozenset({'P16234', 'Receptor', 'P56539'})"
"frozenset({'Q969T4', 'P14373', 'Receptor'})"
"frozenset({'P19438', 'Q9Y478', 'Receptor'})"
"frozenset({'Q08117', 'Q5VTD9', 'Receptor'})"
"frozenset({'Q9UK41', 'Q96EY5', 'Receptor'})"
"frozenset({'Q504Q3', 'P62195', 'Receptor'})"
"frozenset({'Q96JK9', 'Q92585', 'Receptor'})"
"frozenset({'P30279', 'P42771', 'Receptor'})"
"frozenset({'Q9NZJ0', 'Receptor', 'Q9UBW8'})"
"frozenset({'Q9Y2J2', 'P31946', 'Receptor'})"
"frozenset({'Q13643', 'Q6PEY2', 'Receptor'})"
"frozenset({'O43516', 'Receptor', 'O95817'})"
"frozenset({'Q9Y575', 'P43403', 'Receptor'})"
"frozenset({'Q13011', 'Q13114', 'Receptor'})"
"frozenset({'Q9Y6B7', 'Receptor', 'O00189'})"
"frozenset({'P12111', 'O75923', 'Receptor'})"
"frozenset({'Q9H4A3', 'O95198', 'Receptor'})"
"frozenset({'P40763', 'Q9P0J0', 'Receptor'})"
"frozenset({'Receptor', 'P30518', 'Q5JY77'})"
"frozenset({'Q9P2J3', 'Receptor', 'P84022'})"
"frozenset({'Q13561', 'Q96MT8', 'Receptor'})"
"frozenset({'Q6ZU80', 'Q9NRA8', 'Receptor'})"
"frozenset({'P18433', 'P0DP23', 'Receptor'})"
"frozenset({'Q69YQ0', 'Receptor', 'Q14241'})"
"frozenset({'P08729', 'P62993', 'Receptor'})"
"frozenset({'P26196', 'Q96C92', 'Receptor'})"
"frozenset({'Q9Y623', 'P62633', 'Receptor'})"
"frozenset({'Receptor', 'P84103', 'P51003'})"
"frozenset({'P34947', 'Q9GZL7', 'Receptor'})"
"frozenset({'P15880', 'Receptor', 'P50570'})"
"frozenset({'P60174', 'Receptor', 'Q9UQL6'})"
"frozenset({'Q92560', 'O14933', 'Receptor'})"
"frozenset({'Q9NPJ6', 'Q13561', 'Receptor'})"
"frozenset({'Receptor', 'P19447', 'Q9Y5V3'})"
"frozenset({'Q8N412', 'P02787', 'Receptor'})"
"frozenset({'Q0D2J5', 'P08651', 'Receptor'})"
"frozenset({'Q13627', 'Q13114', 'Receptor'})"
"frozenset({'P23246', 'P11387', 'Receptor'})"
"frozenset({'Receptor', 'O95166', 'P13647'})"
"frozenset({'O60307', 'Q7L804', 'Receptor'})"
"frozenset({'Q9H0W5', 'P68032', 'Receptor'})"
"frozenset({'P12830', 'Q15334', 'Receptor'})"
"frozenset({'Q96F86', 'Q8WXF0', 'Receptor'})"
"frozenset({'Receptor', 'Q9Y4C2', 'O43597'})"
"frozenset({'P37837', 'Q13126', 'Receptor'})"
"frozenset({'P62280', 'Q96BK5', 'Receptor'})"
"frozenset({'P27361', 'P10275', 'Receptor'})"
"frozenset({'Q16513', 'P49715', 'Receptor'})"
"frozenset({'O00303', 'P78424', 'Receptor'})"
"frozenset({'P38646', 'P33316', 'Receptor'})"
"frozenset({'P49715', 'P47902', 'Receptor'})"
"frozenset({'Q9NQ29', 'Q96SB4', 'Receptor'})"
"frozenset({'Q15287', 'Q8IUF8', 'Receptor'})"
"frozenset({'P54257', 'P14867', 'Receptor'})"
"frozenset({'Q8TAD2', 'P26992', 'Receptor'})"
"frozenset({'P07237', 'Receptor', 'Q9Y5S9'})"
"frozenset({'Receptor', 'Q15365', 'P31483'})"
"frozenset({'Q16539', 'Receptor', 'P50150'})"
"frozenset({'Q9NSV4', 'O95067', 'Receptor'})"
"frozenset({'O75674', 'A6NHT5', 'Receptor'})"
"frozenset({'Q8NEY8', 'Q13501', 'Receptor'})"
"frozenset({'Q8IVT5', 'Q8TAF3', 'Receptor'})"
"frozenset({'Q9NXK8', 'Q14802', 'Receptor'})"
"frozenset({'Q04771', 'O15105', 'Receptor'})"
"frozenset({'Q96J02', 'Q14157', 'Receptor'})"
"frozenset({'P06899', 'P51610', 'Receptor'})"
"frozenset({'O14786', 'P58658', 'Receptor'})"
"frozenset({'P12757', 'O75716', 'Receptor'})"
"frozenset({'P22626', 'Receptor', 'Q86V81'})"
"frozenset({'O95622', 'Receptor', 'Q02156'})"
"frozenset({'P40692', 'Q0PNE2', 'Receptor'})"
"frozenset({'Q16849', 'Q13332', 'Receptor'})"
"frozenset({'P57081', 'P13716', 'Receptor'})"
"frozenset({'O95793', 'P40616', 'Receptor'})"
"frozenset({'O43175', 'Q93034', 'Receptor'})"
"frozenset({'Receptor', 'P05388', 'P08708'})"
"frozenset({'P00966', 'P52565', 'Receptor'})"
"frozenset({'P11021', 'P23258', 'Receptor'})"
"frozenset({'Q9UGY1', 'Q96EY7', 'Receptor'})"
"frozenset({'Q14623', 'P98164', 'Receptor'})"
"frozenset({'Q96AD5', 'Q99418', 'Receptor'})"
