negatives
"frozenset({'Q8NEU8', 'Q7L591', 'Receptor'})"
"frozenset({'Receptor', 'P00441', 'P18669'})"
"frozenset({'Q15628', 'Q05655', 'Receptor'})"
"frozenset({'O00762', 'Q99848', 'Receptor'})"
"frozenset({'Receptor', 'Q14542', 'Q9UMX0'})"
"frozenset({'Receptor', 'P55084', 'Q5U5Q3'})"
"frozenset({'Receptor', 'P00558', 'Q15118'})"
"frozenset({'Q86UW9', 'Receptor', 'Q9BYV2'})"
"frozenset({'Receptor', 'P61604', 'O14733'})"
"frozenset({'Q8TCJ0', 'Q9Y6I3', 'Receptor'})"
"frozenset({'Q9NVW2', 'Q9H0E2', 'Receptor'})"
"frozenset({'O43189', 'Q14683', 'Receptor'})"
"frozenset({'Q96AE4', 'O75147', 'Receptor'})"
"frozenset({'Receptor', 'P17861', 'P27824'})"
"frozenset({'P49736', 'P13500', 'Receptor'})"
"frozenset({'O75607', 'P62258', 'Receptor'})"
"frozenset({'Q9NQT4', 'P14618', 'Receptor'})"
"frozenset({'P30153', 'Q9UBN1', 'Receptor'})"
"frozenset({'P13646', 'P04264', 'Receptor'})"
"frozenset({'Q5BJF6', 'P61006', 'Receptor'})"
"frozenset({'Q96KQ7', 'Receptor', 'O60315'})"
"frozenset({'Q16658', 'Receptor', 'Q9NQW6'})"
"frozenset({'Q9NR12', 'Receptor', 'O75128'})"
"frozenset({'Q9UHD1', 'Receptor', 'Q9UNL2'})"
"frozenset({'P86479', 'P59797', 'Receptor'})"
"frozenset({'O15357', 'P68371', 'Receptor'})"
"frozenset({'Q4KMG9', 'Receptor', 'P20340'})"
"frozenset({'Receptor', 'Q9UPQ0', 'Q06546'})"
"frozenset({'Q8IXW5', 'Q14240', 'Receptor'})"
"frozenset({'P78362', 'P78549', 'Receptor'})"
"frozenset({'P61019', 'P13804', 'Receptor'})"
"frozenset({'Receptor', 'Q96AX1', 'P08670'})"
"frozenset({'Q9UPY3', 'Q13618', 'Receptor'})"
"frozenset({'Q9UNQ2', 'Q9UBQ5', 'Receptor'})"
"frozenset({'O43674', 'O95168', 'Receptor'})"
"frozenset({'O43889', 'Q9BU79', 'Receptor'})"
"frozenset({'Q9NRD1', 'Q9H330', 'Receptor'})"
"frozenset({'Q8N9B5', 'Q96JN2', 'Receptor'})"
"frozenset({'Q9HCK5', 'Q04837', 'Receptor'})"
"frozenset({'Q9NS56', 'Q9BPZ2', 'Receptor'})"
"frozenset({'P01112', 'P49721', 'Receptor'})"
"frozenset({'Q8NCF5', 'Receptor', 'Q12933'})"
"frozenset({'P25786', 'Receptor', 'Q14164'})"
"frozenset({'Q16186', 'P63220', 'Receptor'})"
"frozenset({'Q96KM6', 'Receptor', 'Q15942'})"
"frozenset({'Q9Y2J2', 'Q8TBX8', 'Receptor'})"
"frozenset({'O43290', 'Q16666', 'Receptor'})"
