negatives
"frozenset({'Q02750', 'Notch', 'P67775'})"
"frozenset({'Q12772', 'Q03431', 'Notch'})"
"frozenset({'Q9BT17', 'Notch', 'F7VJQ1'})"
"frozenset({'Q9HCE7', 'P24534', 'Notch'})"
"frozenset({'Q96F24', 'Notch', 'Q13137'})"
"frozenset({'P52735', 'Notch', 'P58107'})"
"frozenset({'P25090', 'Notch', 'P55773'})"
"frozenset({'Q00325', 'Notch', 'Q5TC82'})"
"frozenset({'Q9Y2T4', 'P10415', 'Notch'})"
"frozenset({'P63092', 'Notch', 'Q08462'})"
"frozenset({'P40939', 'Q9ULK4', 'Notch'})"
"frozenset({'Notch', 'Q9NRX1', 'Q8WTT2'})"
"frozenset({'Q6ZW49', 'Q9ULK4', 'Notch'})"
"frozenset({'Q9Y5E8', 'Q9UNL2', 'Notch'})"
"frozenset({'Q8NFM4', 'Notch', 'Q9BV19'})"
"frozenset({'Q00610', 'Notch', 'O60518'})"
"frozenset({'Notch', 'O60341', 'Q9NQZ8'})"
"frozenset({'O00273', 'Notch', 'P31946'})"
"frozenset({'Notch', 'Q8N668', 'Q04656'})"
"frozenset({'O14641', 'Notch', 'P05771'})"
"frozenset({'O00571', 'Q9H0R8', 'Notch'})"
"frozenset({'P23443', 'Notch', 'Q9BPZ7'})"
"frozenset({'Q92905', 'Notch', 'Q99717'})"
"frozenset({'P40692', 'O15438', 'Notch'})"
"frozenset({'P22061', 'Notch', 'P23508'})"
"frozenset({'Q9UBQ5', 'Notch', 'P63244'})"
"frozenset({'Notch', 'P10747', 'P42338'})"
"frozenset({'O60508', 'Notch', 'O75937'})"
"frozenset({'Q9Y5R4', 'Notch', 'Q9UBV8'})"
"frozenset({'Q9BV86', 'Notch', 'Q9Y295'})"
"frozenset({'Notch', 'O60331', 'Q9HCE1'})"
"frozenset({'P98170', 'Notch', 'P52788'})"
"frozenset({'Q86YB7', 'Notch', 'Q5SXM8'})"
"frozenset({'Q9NZC3', 'O14556', 'Notch'})"
"frozenset({'P82675', 'Notch', 'P51398'})"
"frozenset({'Q8IZH2', 'Q66GS9', 'Notch'})"
"frozenset({'P51693', 'Notch', 'Q92993'})"
"frozenset({'Notch', 'P11802', 'P08047'})"
"frozenset({'O14641', 'P40337', 'Notch'})"
"frozenset({'Q9HBL0', 'Q96QB1', 'Notch'})"
"frozenset({'Q6UVJ0', 'Notch', 'Q9H9S0'})"
"frozenset({'Q7KZI7', 'Notch', 'P41743'})"
"frozenset({'Notch', 'Q96GD4', 'Q9P2J3'})"
"frozenset({'Q8NGR3', 'Notch', 'P49407'})"
"frozenset({'O95644', 'Notch', 'P16220'})"
"frozenset({'Q96LX8', 'Notch', 'Q5VWN6'})"
"frozenset({'Q8NGI8', 'Notch', 'P22612'})"
"frozenset({'Q9UHY7', 'Q15645', 'Notch'})"
"frozenset({'Notch', 'Q9Y3I1', 'Q9BXP5'})"
"frozenset({'P49759', 'Notch', 'Q8TBY9'})"
"frozenset({'P05112', 'Notch', 'P17676'})"
"frozenset({'P55072', 'P14635', 'Notch'})"
"frozenset({'O14965', 'Notch', 'P17844'})"
"frozenset({'Q15717', 'Q9NR00', 'Notch'})"
"frozenset({'Q9NWX6', 'Notch', 'Q99707'})"
"frozenset({'Notch', 'Q99835', 'P32121'})"
"frozenset({'O43504', 'P55211', 'Notch'})"
"frozenset({'O00574', 'Notch', 'P13236'})"
"frozenset({'O76041', 'Q13077', 'Notch'})"
"frozenset({'Q96AX1', 'Notch', 'O14617'})"
"frozenset({'Q8WWM7', 'Notch', 'P34059'})"
"frozenset({'Notch', 'P49796', 'P63096'})"
"frozenset({'Q9Y6Y0', 'Notch', 'Q92900'})"
"frozenset({'O75367', 'Notch', 'P0C1H6'})"
"frozenset({'O75807', 'P62140', 'Notch'})"
"frozenset({'P24941', 'Notch', 'P05090'})"
"frozenset({'Notch', 'Q12851', 'P05412'})"
"frozenset({'Q9UK08', 'O00329', 'Notch'})"
"frozenset({'Notch', 'Q6NX45', 'Q13137'})"
"frozenset({'Q96EY1', 'Notch', 'Q9Y5J5'})"
"frozenset({'P54274', 'O60907', 'Notch'})"
"frozenset({'Q9NPJ1', 'Q9BUN5', 'Notch'})"
"frozenset({'Notch', 'Q9HB19', 'Q8TBB1'})"
"frozenset({'P29353', 'Notch', 'P35527'})"
"frozenset({'P60983', 'Notch', 'Q9Y4K3'})"
"frozenset({'Q3B726', 'Notch', 'Q9NYV6'})"
"frozenset({'O60308', 'Q5T5Y3', 'Notch'})"
"frozenset({'O43765', 'Notch', 'O15067'})"
"frozenset({'Q9HBF4', 'Notch', 'Q15154'})"
"frozenset({'Q8IWV7', 'Notch', 'Q04323'})"
"frozenset({'P18850', 'Notch', 'Q99941'})"
"frozenset({'Notch', 'P62241', 'P61513'})"
"frozenset({'Notch', 'P31749', 'P35568'})"
"frozenset({'P03372', 'Notch', 'Q7Z6Z7'})"
"frozenset({'Notch', 'Q9Y6K9', 'Q96Q05'})"
"frozenset({'O14490', 'Notch', 'Q92796'})"
"frozenset({'Q3ZCQ8', 'Notch', 'Q96D53'})"
"frozenset({'Q9H0R8', 'Notch', 'P23396'})"
"frozenset({'Notch', 'Q9P0N5', 'P05067'})"
"frozenset({'O75582', 'Notch', 'Q9P1T7'})"
"frozenset({'Notch', 'Q96HB5', 'Q3SY00'})"
"frozenset({'Notch', 'Q9Y2I6', 'Q15911'})"
"frozenset({'Q04864', 'Notch', 'Q9NRG9'})"
"frozenset({'Q9H7X3', 'Notch', 'Q9BQ66'})"
"frozenset({'Q9NYZ3', 'O00291', 'Notch'})"
"frozenset({'Notch', 'Q9UNH7', 'Q8NAP1'})"
"frozenset({'Q9BRR0', 'Notch', 'P17040'})"
"frozenset({'Notch', 'P05060', 'P05067'})"
"frozenset({'Q96IX9', 'Notch', 'P35900'})"
"frozenset({'O95273', 'Q9Y2Q3', 'Notch'})"
"frozenset({'Q8NHY2', 'Notch', 'P05412'})"
"frozenset({'O75420', 'Q9Y3M2', 'Notch'})"
"frozenset({'Q9BSM1', 'Notch', 'Q7L190'})"
"frozenset({'P53621', 'O14862', 'Notch'})"
"frozenset({'P60568', 'Notch', 'P01023'})"
"frozenset({'Notch', 'Q9UHD8', 'P67809'})"
"frozenset({'Notch', 'Q5TZK3', 'Q15834'})"
"frozenset({'Notch', 'O96006', 'Q13131'})"
"frozenset({'Q9C0J8', 'Notch', 'Q9H4L7'})"
"frozenset({'Q92966', 'Q8IYX8', 'Notch'})"
"frozenset({'Q15717', 'Q9UBU8', 'Notch'})"
"frozenset({'Notch', 'P16234', 'Q15147'})"
"frozenset({'P01570', 'Notch', 'P32927'})"
"frozenset({'O43257', 'Notch', 'Q6ZRS2'})"
"frozenset({'P55201', 'Notch', 'Q14566'})"
"frozenset({'Notch', 'Q96GD4', 'Q8WUF5'})"
"frozenset({'Notch', 'P59022', 'Q15038'})"
"frozenset({'Q9NVH2', 'Notch', 'O43684'})"
"frozenset({'Notch', 'Q86VR2', 'P0CG08'})"
"frozenset({'Notch', 'O00212', 'Q92608'})"
"frozenset({'Notch', 'O75147', 'P35232'})"
"frozenset({'Q13761', 'Notch', 'P01730'})"
"frozenset({'Notch', 'P51617', 'Q13049'})"
"frozenset({'Q5TA76', 'Notch', 'Q701N4'})"
"frozenset({'Notch', 'O60610', 'Q9NZC7'})"
"frozenset({'O95084', 'P62937', 'Notch'})"
"frozenset({'P04626', 'Notch', 'P05093'})"
"frozenset({'Q6NXS1', 'P62140', 'Notch'})"
"frozenset({'Q99623', 'Q92667', 'Notch'})"
"frozenset({'Notch', 'P55773', 'P51684'})"
"frozenset({'O75694', 'Notch', 'O43281'})"
"frozenset({'Q9BTY2', 'Notch', 'Q5T753'})"
"frozenset({'Notch', 'P15924', 'P63167'})"
"frozenset({'Q9NPH3', 'Notch', 'Q13478'})"
"frozenset({'Q9HB03', 'Notch', 'Q8N307'})"
"frozenset({'Q8WWV3', 'Notch', 'Q9H3Q1'})"
"frozenset({'Q9NQ55', 'O00567', 'Notch'})"
"frozenset({'P13489', 'Notch', 'Q96LK0'})"
"frozenset({'Notch', 'P55345', 'P06748'})"
"frozenset({'Q92599', 'Notch', 'Q99719'})"
"frozenset({'P49841', 'Q9UBK2', 'Notch'})"
"frozenset({'Q06330', 'Q6P3S6', 'Notch'})"
"frozenset({'Notch', 'Q03933', 'Q92733'})"
"frozenset({'Q15051', 'Notch', 'P63027'})"
"frozenset({'P62249', 'Notch', 'P26373'})"
"frozenset({'Q15075', 'Q07912', 'Notch'})"
"frozenset({'Notch', 'Q9BPX7', 'O60885'})"
"frozenset({'Notch', 'O96008', 'Q9NZJ7'})"
"frozenset({'P13473', 'P07814', 'Notch'})"
"frozenset({'Notch', 'P54619', 'O75821'})"
"frozenset({'P40337', 'Q12906', 'Notch'})"
"frozenset({'Notch', 'P01579', 'P15260'})"
"frozenset({'Q8NA72', 'Q96CS2', 'Notch'})"
"frozenset({'Q96L34', 'Notch', 'Q9NPB6'})"
"frozenset({'Notch', 'Q9UQB9', 'P38398'})"
"frozenset({'Q9H0R8', 'Notch', 'P06576'})"
"frozenset({'Q9NZN5', 'Notch', 'P60953'})"
"frozenset({'Q9P219', 'Q9HCE7', 'Notch'})"
"frozenset({'Q8NBU5', 'Q96CS3', 'Notch'})"
"frozenset({'P14373', 'Notch', 'P23759'})"
"frozenset({'Notch', 'O75223', 'A6NK89'})"
"frozenset({'Notch', 'P12931', 'P28065'})"
"frozenset({'Q9UBN1', 'P62136', 'Notch'})"
"frozenset({'Q13352', 'Notch', 'O76024'})"
"frozenset({'P04628', 'Notch', 'Q14332'})"
"frozenset({'Notch', 'Q96T76', 'P10276'})"
"frozenset({'Notch', 'P30086', 'Q969G6'})"
"frozenset({'P61011', 'Notch', 'P09132'})"
"frozenset({'Notch', 'Q9H553', 'Q99816'})"
"frozenset({'Notch', 'O00267', 'Q9H5J0'})"
"frozenset({'Q9NWB7', 'Notch', 'Q9NSB8'})"
"frozenset({'Q92890', 'Notch', 'P48740'})"
"frozenset({'Notch', 'P31749', 'Q07817'})"
"frozenset({'Q01201', 'O14497', 'Notch'})"
"frozenset({'O43189', 'Notch', 'Q15022'})"
"frozenset({'Notch', 'P37840', 'P05455'})"
"frozenset({'P49736', 'Notch', 'P46782'})"
"frozenset({'Q15818', 'Q24JP5', 'Notch'})"
"frozenset({'O60308', 'Q8TCG1', 'Notch'})"
"frozenset({'Q9GZN2', 'Notch', 'Q9UBU9'})"
"frozenset({'Notch', 'Q9Y5J5', 'Q14527'})"
"frozenset({'Q9ULV4', 'Notch', 'P11441'})"
"frozenset({'Notch', 'P63146', 'Q9HAW4'})"
"frozenset({'Notch', 'P62750', 'P60033'})"
"frozenset({'P00540', 'P50222', 'Notch'})"
"frozenset({'P26045', 'Q8TBK6', 'Notch'})"
"frozenset({'P04183', 'Q5T3J3', 'Notch'})"
"frozenset({'P27482', 'Notch', 'P63098'})"
"frozenset({'Q9BVA1', 'Notch', 'P42766'})"
"frozenset({'Q12906', 'Notch', 'P56181'})"
"frozenset({'Q96NN9', 'Notch', 'P05067'})"
"frozenset({'Q9HD33', 'Notch', 'Q9Y297'})"
"frozenset({'Notch', 'P62140', 'Q99501'})"
"frozenset({'Q86YB7', 'Q7Z7A3', 'Notch'})"
"frozenset({'Q9NNX1', 'Notch', 'Q14161'})"
"frozenset({'Q71SY5', 'Notch', 'A0JLT2'})"
"frozenset({'Notch', 'P05067', 'Q07955'})"
"frozenset({'Notch', 'Q01664', 'P38398'})"
"frozenset({'Notch', 'P41218', 'Q9H0D6'})"
"frozenset({'O14519', 'O76071', 'Notch'})"
"frozenset({'P12830', 'P14635', 'Notch'})"
"frozenset({'Q14533', 'Notch', 'Q6A163'})"
"frozenset({'O43318', 'Notch', 'P21333'})"
"frozenset({'Notch', 'P05060', 'P49750'})"
"frozenset({'P29317', 'Notch', 'Q00722'})"
"frozenset({'P10275', 'Notch', 'P20142'})"
"frozenset({'Notch', 'P12757', 'P46934'})"
"frozenset({'P82650', 'Notch', 'Q86VP6'})"
"frozenset({'O00560', 'Notch', 'O75170'})"
"frozenset({'Q16363', 'Notch', 'Q9NQC3'})"
"frozenset({'Q13573', 'Notch', 'P42167'})"
"frozenset({'Notch', 'Q92636', 'P60709'})"
"frozenset({'P42704', 'Notch', 'Q9BZQ6'})"
"frozenset({'P46937', 'Notch', 'Q92598'})"
"frozenset({'Q96RU3', 'Notch', 'O00401'})"
"frozenset({'Q9NVA2', 'Notch', 'Q9Y371'})"
"frozenset({'Notch', 'P10809', 'Q8IXQ9'})"
"frozenset({'Q63HR2', 'P31273', 'Notch'})"
"frozenset({'Q495W5', 'Notch', 'Q15262'})"
"frozenset({'Q8IZJ0', 'Notch', 'Q13651'})"
"frozenset({'P40222', 'Notch', 'Q9UBB9'})"
"frozenset({'P08172', 'Q8WYR1', 'Notch'})"
"frozenset({'Q8TDN6', 'Notch', 'Q9UL40'})"
"frozenset({'Notch', 'Q13618', 'P62829'})"
"frozenset({'Q99638', 'Notch', 'Q9HAW4'})"
"frozenset({'Q9NYW8', 'P63165', 'Notch'})"
"frozenset({'P48736', 'Notch', 'P01111'})"
"frozenset({'Notch', 'Q8IY92', 'Q5SRE5'})"
"frozenset({'O14964', 'Notch', 'P61764'})"
"frozenset({'Q68CP9', 'Notch', 'P04637'})"
"frozenset({'Notch', 'P05129', 'P26010'})"
"frozenset({'P78424', 'Notch', 'Q8TBB1'})"
"frozenset({'Q8TCT1', 'Notch', 'P16949'})"
"frozenset({'Q96I99', 'Q13326', 'Notch'})"
"frozenset({'P38646', 'Notch', 'P62993'})"
"frozenset({'Q9BUV0', 'Notch', 'Q86VP3'})"
"frozenset({'Q9H0W5', 'P52597', 'Notch'})"
"frozenset({'P48039', 'Q96AG4', 'Notch'})"
"frozenset({'P10589', 'P55316', 'Notch'})"
"frozenset({'Q6ZU52', 'Notch', 'O60925'})"
"frozenset({'Notch', 'Q01094', 'P42574'})"
"frozenset({'Notch', 'P49588', 'Q9NSD9'})"
"frozenset({'Q00987', 'O15516', 'Notch'})"
"frozenset({'Q9UK08', 'Notch', 'P14416'})"
"frozenset({'P78352', 'Notch', 'P39086'})"
"frozenset({'P42702', 'Notch', 'P05014'})"
"frozenset({'Q02539', 'Notch', 'Q9UGY1'})"
"frozenset({'Q96AG4', 'P00519', 'Notch'})"
"frozenset({'Q92841', 'P26651', 'Notch'})"
"frozenset({'Q92569', 'P08069', 'Notch'})"
"frozenset({'Notch', 'P31749', 'Q15047'})"
"frozenset({'O95475', 'Notch', 'Q08117'})"
"frozenset({'Q9BYR9', 'Notch', 'Q3KQV3'})"
"frozenset({'P19320', 'Notch', 'P62917'})"
"frozenset({'P08138', 'Notch', 'P49767'})"
"frozenset({'P09622', 'Notch', 'Q9Y3B7'})"
"frozenset({'O14657', 'Notch', 'Q9NRD1'})"
"frozenset({'Q16082', 'Notch', 'Q9Y3C7'})"
"frozenset({'Q15029', 'Notch', 'O14829'})"
"frozenset({'Notch', 'Q9UMX0', 'Q14542'})"
"frozenset({'Notch', 'P50570', 'Q99962'})"
"frozenset({'Q9Y468', 'Notch', 'P00367'})"
"frozenset({'Notch', 'Q9Y2K6', 'Q9Y4E8'})"
"frozenset({'P10636', 'Notch', 'P05067'})"
"frozenset({'Q8WUX9', 'Notch', 'Q9UBU9'})"
"frozenset({'Q01968', 'Notch', 'Q9UBU9'})"
"frozenset({'P55072', 'Q9UQL6', 'Notch'})"
"frozenset({'Q02447', 'Notch', 'P61073'})"
"frozenset({'Notch', 'Q9UP65', 'P17252'})"
"frozenset({'Notch', 'P05556', 'P09382'})"
"frozenset({'Q9HAU0', 'Notch', 'Q5EBL8'})"
"frozenset({'P68366', 'P10636', 'Notch'})"
"frozenset({'Notch', 'Q9UFB7', 'Q92997'})"
"frozenset({'Notch', 'O60506', 'Q07955'})"
"frozenset({'Q6ZMR5', 'P01106', 'Notch'})"
"frozenset({'O14810', 'Notch', 'Q9UGV2'})"
"frozenset({'P00540', 'Notch', 'P01111'})"
"frozenset({'Q68CP9', 'Notch', 'Q01664'})"
"frozenset({'Q13554', 'O00305', 'Notch'})"
"frozenset({'Notch', 'P58012', 'Q9Y2W1'})"
"frozenset({'Notch', 'P62805', 'P55210'})"
"frozenset({'P35626', 'Q96RD2', 'Notch'})"
"frozenset({'P01308', 'Notch', 'P22607'})"
"frozenset({'Q6ZW49', 'Q15291', 'Notch'})"
"frozenset({'Notch', 'P05412', 'Q9Y2T2'})"
"frozenset({'Notch', 'Q5TZK3', 'Q9BYR5'})"
"frozenset({'Q86X76', 'Notch', 'Q9Y2S7'})"
"frozenset({'Q15906', 'Q15831', 'Notch'})"
"frozenset({'P12980', 'O15522', 'Notch'})"
"frozenset({'Notch', 'Q9BVV2', 'O96006'})"
"frozenset({'Notch', 'P35232', 'Q9H3H9'})"
"frozenset({'P37198', 'Notch', 'Q8NFH5'})"
"frozenset({'Q9UNE7', 'Notch', 'P15559'})"
"frozenset({'Q96EV8', 'Q9H0B6', 'Notch'})"
"frozenset({'Q9BUH8', 'Q9P2F9', 'Notch'})"
"frozenset({'P07900', 'Notch', 'Q8TC59'})"
"frozenset({'Q00613', 'Notch', 'Q6ZUT9'})"
"frozenset({'P82650', 'Notch', 'Q9GZU8'})"
"frozenset({'Q9GZZ9', 'P49419', 'Notch'})"
"frozenset({'P04626', 'Notch', 'P35232'})"
"frozenset({'Q05193', 'Notch', 'P04629'})"
"frozenset({'Notch', 'P53990', 'P51148'})"
"frozenset({'Notch', 'Q8WV48', 'Q9NRR5'})"
"frozenset({'Q6IQ23', 'Q5VZ89', 'Notch'})"
"frozenset({'Q9BTV5', 'Notch', 'P12931'})"
"frozenset({'Notch', 'P60602', 'O00483'})"
"frozenset({'P03372', 'P09341', 'Notch'})"
"frozenset({'P14735', 'Notch', 'O43325'})"
"frozenset({'P49238', 'P55774', 'Notch'})"
"frozenset({'Q15843', 'Notch', 'P27348'})"
"frozenset({'Notch', 'O14908', 'P04629'})"
"frozenset({'P49841', 'Notch', 'Q9P0R6'})"
"frozenset({'Notch', 'P80303', 'O95467'})"
"frozenset({'Q14240', 'Q14152', 'Notch'})"
"frozenset({'A9YTQ3', 'Q9UQL6', 'Notch'})"
"frozenset({'Notch', 'P05067', 'C9J442'})"
"frozenset({'Notch', 'P18428', 'P04003'})"
"frozenset({'Q16236', 'Notch', 'Q6P1K2'})"
"frozenset({'Q96EP0', 'Notch', 'Q8N4L8'})"
"frozenset({'Notch', 'Q9HBE5', 'Q9NYS7'})"
"frozenset({'Q9NS15', 'O00555', 'Notch'})"
"frozenset({'P49841', 'Notch', 'P13807'})"
"frozenset({'Q13509', 'Notch', 'Q7Z624'})"
"frozenset({'Notch', 'P04141', 'Q01196'})"
"frozenset({'Q6W2J9', 'Notch', 'Q12948'})"
"frozenset({'Notch', 'Q15149', 'P02549'})"
"frozenset({'Q66GS9', 'Notch', 'P15313'})"
"frozenset({'O43264', 'Q12768', 'Notch'})"
"frozenset({'Q6NUS6', 'Notch', 'P43307'})"
"frozenset({'Notch', 'O75396', 'P46459'})"
"frozenset({'O75553', 'O14512', 'Notch'})"
"frozenset({'Q8WXK1', 'Notch', 'Q63ZY3'})"
"frozenset({'Q5T749', 'Notch', 'Q9NRQ2'})"
"frozenset({'Q8N6N6', 'Notch', 'Q9GZT8'})"
"frozenset({'P41223', 'P51828', 'Notch'})"
"frozenset({'Q96L91', 'Q9UBU8', 'Notch'})"
"frozenset({'Q9UMR2', 'Notch', 'Q9Y6K9'})"
"frozenset({'Q96BD5', 'Notch', 'O00233'})"
"frozenset({'Q8N9N5', 'Q86YD3', 'Notch'})"
"frozenset({'P68431', 'Q9H6F5', 'Notch'})"
"frozenset({'Q12873', 'O43657', 'Notch'})"
"frozenset({'Notch', 'P00519', 'O43493'})"
"frozenset({'Q13349', 'Notch', 'P46109'})"
"frozenset({'P48431', 'Notch', 'Q9H1A4'})"
"frozenset({'Q8NBI6', 'Notch', 'Q9HCE1'})"
"frozenset({'Q96B23', 'Notch', 'Q9UQ88'})"
"frozenset({'P35626', 'Notch', 'Q8NH85'})"
"frozenset({'P52948', 'Q8NFH3', 'Notch'})"
"frozenset({'Notch', 'Q9GZQ8', 'Q8IYT8'})"
"frozenset({'P13535', 'Q14324', 'Notch'})"
"frozenset({'Q9GZV5', 'Q13887', 'Notch'})"
"frozenset({'Q96LD4', 'Q9ULA0', 'Notch'})"
"frozenset({'P05423', 'Notch', 'Q9BQY4'})"
"frozenset({'Q15051', 'Notch', 'Q9UBN7'})"
"frozenset({'P54727', 'Notch', 'Q9UBN7'})"
"frozenset({'P35575', 'Q96IY1', 'Notch'})"
"frozenset({'Q8WWW0', 'Notch', 'P36873'})"
"frozenset({'Q13461', 'Notch', 'O60315'})"
"frozenset({'P40337', 'Notch', 'Q8N6L1'})"
"frozenset({'Notch', 'P41227', 'Q6N069'})"
