negatives
"frozenset({'P37198', 'Hedgehog', 'Q9NUU7'})"
"frozenset({'Q99523', 'Q9H6R4', 'Hedgehog'})"
"frozenset({'Q13151', 'Hedgehog', 'Q07955'})"
"frozenset({'P61218', 'Hedgehog', 'O97980'})"
"frozenset({'P15884', 'Q8TEK3', 'Hedgehog'})"
"frozenset({'P61326', 'Hedgehog', 'O75533'})"
"frozenset({'Hedgehog', 'P05388', 'Q5S007'})"
"frozenset({'Q9H4B6', 'Hedgehog', 'Q17RY0'})"
"frozenset({'P62993', 'P22557', 'Hedgehog'})"
"frozenset({'Q9NQZ6', 'Hedgehog', 'Q96BR6'})"
"frozenset({'P46379', 'Q9HBT8', 'Hedgehog'})"
"frozenset({'Q9UBU9', 'Hedgehog', 'O75575'})"
"frozenset({'Q92781', 'Hedgehog', 'O43929'})"
"frozenset({'Hedgehog', 'P46087', 'Q9BVJ6'})"
"frozenset({'Hedgehog', 'Q14289', 'O43150'})"
"frozenset({'Hedgehog', 'P40337', 'P62330'})"
"frozenset({'Q9UJW3', 'Hedgehog', 'P50458'})"
"frozenset({'Q06587', 'Q15554', 'Hedgehog'})"
"frozenset({'P78423', 'P32248', 'Hedgehog'})"
"frozenset({'P27540', 'P06733', 'Hedgehog'})"
"frozenset({'P83731', 'P62753', 'Hedgehog'})"
"frozenset({'Q9UHD2', 'Q9H0W5', 'Hedgehog'})"
"frozenset({'Q9BZR9', 'Q6ZNA4', 'Hedgehog'})"
"frozenset({'O00505', 'Hedgehog', 'Q96LM6'})"
"frozenset({'Q8NDX5', 'Q9UN30', 'Hedgehog'})"
"frozenset({'O00628', 'Hedgehog', 'P50991'})"
"frozenset({'Q969P0', 'Q5JNZ5', 'Hedgehog'})"
"frozenset({'P30048', 'P43364', 'Hedgehog'})"
"frozenset({'Q9GZQ8', 'P14678', 'Hedgehog'})"
"frozenset({'Q9ULV0', 'Q9HBH1', 'Hedgehog'})"
"frozenset({'P78406', 'Hedgehog', 'P51784'})"
"frozenset({'Hedgehog', 'Q9H5F2', 'Q8NEC5'})"
"frozenset({'O75643', 'Q6P3X3', 'Hedgehog'})"
"frozenset({'P26441', 'Q01344', 'Hedgehog'})"
"frozenset({'Hedgehog', 'P49406', 'Q9BYD2'})"
"frozenset({'Hedgehog', 'Q9UBV2', 'Q9H6Z9'})"
"frozenset({'Q9Y5Z4', 'O75340', 'Hedgehog'})"
"frozenset({'Q5M775', 'Q8N3V7', 'Hedgehog'})"
"frozenset({'Q3LI76', 'Q16348', 'Hedgehog'})"
"frozenset({'O94903', 'Hedgehog', 'Q92841'})"
"frozenset({'P42345', 'P54646', 'Hedgehog'})"
"frozenset({'P08581', 'Hedgehog', 'P04637'})"
"frozenset({'Q02809', 'Q9UDY2', 'Hedgehog'})"
"frozenset({'Q16718', 'Hedgehog', 'O75438'})"
"frozenset({'Q8N715', 'Hedgehog', 'Q9ULW6'})"
"frozenset({'P06748', 'P49711', 'Hedgehog'})"
"frozenset({'Q9H2A2', 'Hedgehog', 'Q96RN5'})"
"frozenset({'P61247', 'Hedgehog', 'P46934'})"
"frozenset({'Q8NHU3', 'Hedgehog', 'Q9BU64'})"
"frozenset({'P61981', 'P46937', 'Hedgehog'})"
"frozenset({'O75937', 'Hedgehog', 'P07910'})"
"frozenset({'P55316', 'Hedgehog', 'Q07864'})"
"frozenset({'P48431', 'Hedgehog', 'Q9Y4W2'})"
"frozenset({'P11487', 'P08069', 'Hedgehog'})"
"frozenset({'Q9Y5K5', 'Hedgehog', 'Q9H981'})"
"frozenset({'P35613', 'Hedgehog', 'Q969Z0'})"
"frozenset({'Hedgehog', 'Q9UHV9', 'O14775'})"
"frozenset({'P62851', 'Q92731', 'Hedgehog'})"
"frozenset({'Q9HCK5', 'P11940', 'Hedgehog'})"
"frozenset({'Q03405', 'P34059', 'Hedgehog'})"
"frozenset({'Q9H6Y7', 'P61081', 'Hedgehog'})"
"frozenset({'P43627', 'Hedgehog', 'Q31612'})"
"frozenset({'Q6P0Q8', 'Hedgehog', 'P62258'})"
"frozenset({'P61086', 'Q99728', 'Hedgehog'})"
"frozenset({'Q96HA8', 'O14519', 'Hedgehog'})"
"frozenset({'Q15154', 'Q5BJF6', 'Hedgehog'})"
"frozenset({'Q16821', 'Hedgehog', 'O95685'})"
"frozenset({'Q66PJ3', 'Hedgehog', 'Q9Y6K9'})"
"frozenset({'P49792', 'Q9BTL4', 'Hedgehog'})"
"frozenset({'Hedgehog', 'P61073', 'Q05655'})"
"frozenset({'Q5VWQ8', 'Hedgehog', 'P20333'})"
"frozenset({'Q8IU54', 'Hedgehog', 'Q04206'})"
"frozenset({'Q9NR33', 'Hedgehog', 'P61964'})"
"frozenset({'Hedgehog', 'P47897', 'Q99496'})"
"frozenset({'Q8IXT5', 'Q9BPU9', 'Hedgehog'})"
"frozenset({'Hedgehog', 'P35226', 'P04637'})"
"frozenset({'Q8IYD8', 'Hedgehog', 'Q14469'})"
"frozenset({'P05771', 'Hedgehog', 'Q08462'})"
"frozenset({'Q5JST6', 'Hedgehog', 'Q9H6Z9'})"
"frozenset({'P16520', 'P09471', 'Hedgehog'})"
"frozenset({'Hedgehog', 'P17931', 'P08962'})"
"frozenset({'Q9H307', 'Q15287', 'Hedgehog'})"
"frozenset({'Q7L5D6', 'Hedgehog', 'Q8IVT5'})"
"frozenset({'P61201', 'P68431', 'Hedgehog'})"
"frozenset({'Q8WZ42', 'O15084', 'Hedgehog'})"
"frozenset({'Q92688', 'Hedgehog', 'Q7Z6Z7'})"
"frozenset({'Q9H492', 'Q15334', 'Hedgehog'})"
"frozenset({'Hedgehog', 'Q13131', 'Q96L34'})"
"frozenset({'Q12888', 'Hedgehog', 'O75122'})"
"frozenset({'O15075', 'Q86VQ0', 'Hedgehog'})"
"frozenset({'P49736', 'Hedgehog', 'Q8NCA5'})"
"frozenset({'Q9UBU8', 'Q04864', 'Hedgehog'})"
"frozenset({'Q08828', 'Hedgehog', 'Q8TD86'})"
