negatives
"frozenset({'P30480', 'OncostatinM', 'P28331'})"
"frozenset({'Q13618', 'OncostatinM', 'Q9BQA1'})"
"frozenset({'Q96A72', 'P61326', 'OncostatinM'})"
"frozenset({'Q15109', 'OncostatinM', 'P05067'})"
"frozenset({'OncostatinM', 'P51532', 'P28370'})"
"frozenset({'OncostatinM', 'Q8WVZ9', 'P22061'})"
"frozenset({'Q8NC51', 'OncostatinM', 'P61513'})"
"frozenset({'OncostatinM', 'Q01959', 'P37840'})"
"frozenset({'OncostatinM', 'O43463', 'P03372'})"
"frozenset({'Q9UJX2', 'OncostatinM', 'P63098'})"
"frozenset({'P10828', 'OncostatinM', 'Q9UBK2'})"
"frozenset({'P23527', 'OncostatinM', 'P60033'})"
"frozenset({'P07550', 'OncostatinM', 'P13473'})"
"frozenset({'OncostatinM', 'Q9Y253', 'Q9UI95'})"
"frozenset({'OncostatinM', 'Q8IVT5', 'Q15125'})"
"frozenset({'Q9H4P4', 'OncostatinM', 'O60260'})"
"frozenset({'Q9H8V3', 'OncostatinM', 'P04637'})"
"frozenset({'OncostatinM', 'O00716', 'P00374'})"
"frozenset({'OncostatinM', 'P17301', 'P21815'})"
"frozenset({'OncostatinM', 'Q52LW3', 'Q15751'})"
"frozenset({'OncostatinM', 'P62324', 'Q969H0'})"
"frozenset({'OncostatinM', 'P15884', 'Q9Y3B2'})"
"frozenset({'OncostatinM', 'P52757', 'P61956'})"
"frozenset({'OncostatinM', 'Q16819', 'Q9UQ35'})"
"frozenset({'OncostatinM', 'Q5H9R7', 'Q9UPN7'})"
"frozenset({'OncostatinM', 'P60033', 'O60506'})"
"frozenset({'OncostatinM', 'Q96HA8', 'P36406'})"
"frozenset({'OncostatinM', 'Q9HAU0', 'Q53HC0'})"
"frozenset({'Q9BZJ0', 'OncostatinM', 'Q9Y3I1'})"
"frozenset({'OncostatinM', 'Q96IK5', 'Q9BYG5'})"
"frozenset({'OncostatinM', 'Q9NRJ5', 'Q5R3I4'})"
"frozenset({'P08754', 'OncostatinM', 'P16520'})"
"frozenset({'OncostatinM', 'P24941', 'Q69YL0'})"
"frozenset({'OncostatinM', 'P33552', 'P62993'})"
"frozenset({'OncostatinM', 'Q8NGZ4', 'P22612'})"
"frozenset({'Q8IVW4', 'Q9UGI0', 'OncostatinM'})"
"frozenset({'Q8TE76', 'OncostatinM', 'P34897'})"
"frozenset({'OncostatinM', 'Q96A05', 'Q9UHA4'})"
"frozenset({'OncostatinM', 'Q13618', 'Q9BU76'})"
"frozenset({'OncostatinM', 'Q9GZZ9', 'P49419'})"
"frozenset({'P40429', 'OncostatinM', 'P62753'})"
"frozenset({'OncostatinM', 'Q92618', 'O60341'})"
"frozenset({'OncostatinM', 'P09629', 'P68400'})"
"frozenset({'OncostatinM', 'Q9NUQ3', 'Q92841'})"
"frozenset({'OncostatinM', 'Q13227', 'Q9BQ87'})"
"frozenset({'O75444', 'OncostatinM', 'Q9Y5Q3'})"
"frozenset({'P29350', 'OncostatinM', 'P31785'})"
"frozenset({'OncostatinM', 'P61981', 'P19474'})"
"frozenset({'Q96D46', 'OncostatinM', 'O15160'})"
"frozenset({'OncostatinM', 'P33991', 'O95696'})"
"frozenset({'Q8N8S7', 'P63000', 'OncostatinM'})"
"frozenset({'OncostatinM', 'Q9NWH9', 'P43243'})"
"frozenset({'OncostatinM', 'P01040', 'P60033'})"
"frozenset({'O14933', 'OncostatinM', 'Q92560'})"
"frozenset({'OncostatinM', 'P10515', 'P50897'})"
"frozenset({'OncostatinM', 'P58012', 'P04179'})"
"frozenset({'Q9ULV8', 'OncostatinM', 'P06239'})"
"frozenset({'OncostatinM', 'P0DOncostatinMV9', 'P01100'})"
"frozenset({'OncostatinM', 'Q58EX7', 'P32242'})"
"frozenset({'Q01850', 'Q96BZ8', 'OncostatinM'})"
"frozenset({'OncostatinM', 'O15442', 'Q9ULA0'})"
"frozenset({'OncostatinM', 'Q15717', 'Q15404'})"
"frozenset({'OncostatinM', 'Q53FD0', 'Q96JN2'})"
"frozenset({'OncostatinM', 'P61224', 'P27986'})"
"frozenset({'OncostatinM', 'O15105', 'Q9ULH7'})"
"frozenset({'OncostatinM', 'P0C2W1', 'P03372'})"
"frozenset({'OncostatinM', 'P17947', 'Q9Y6K1'})"
"frozenset({'OncostatinM', 'P05067', 'O95704'})"
"frozenset({'OncostatinM', 'P30988', 'P0DP25'})"
"frozenset({'O94916', 'OncostatinM', 'P15121'})"
"frozenset({'OncostatinM', 'Q9BW83', 'Q96NL6'})"
"frozenset({'OncostatinM', 'P62195', 'P51449'})"
"frozenset({'P48544', 'OncostatinM', 'P09471'})"
"frozenset({'OncostatinM', 'P27482', 'Q16566'})"
"frozenset({'OncostatinM', 'P04637', 'P55060'})"
"frozenset({'Q9BUN8', 'Q9Y385', 'OncostatinM'})"
"frozenset({'OncostatinM', 'Q8N3U4', 'O60216'})"
"frozenset({'OncostatinM', 'Q8N3V7', 'Q9NQW6'})"
"frozenset({'OncostatinM', 'Q9BXU0', 'O43482'})"
"frozenset({'OncostatinM', 'Q3LI70', 'Q9NRY6'})"
"frozenset({'OncostatinM', 'Q53GS9', 'O43159'})"
"frozenset({'OncostatinM', 'Q13469', 'P38646'})"
"frozenset({'P34932', 'OncostatinM', 'P11441'})"
"frozenset({'OncostatinM', 'P12956', 'Q15233'})"
"frozenset({'P86496', 'OncostatinM', 'P35711'})"
"frozenset({'Q86Y01', 'OncostatinM', 'P61077'})"
"frozenset({'OncostatinM', 'Q13952', 'P12004'})"
"frozenset({'OncostatinM', 'P18405', 'O75182'})"
"frozenset({'OncostatinM', 'Q9Y4B4', 'Q9NVV9'})"
"frozenset({'Q00613', 'OncostatinM', 'P53355'})"
"frozenset({'OncostatinM', 'P03372', 'Q8WUI4'})"
"frozenset({'Q6P158', 'O00567', 'OncostatinM'})"
"frozenset({'OncostatinM', 'P24278', 'Q7L273'})"
"frozenset({'OncostatinM', 'Q8NB46', 'Q9UBU9'})"
"frozenset({'P27348', 'OncostatinM', 'P13639'})"
"frozenset({'Q9BVN2', 'OncostatinM', 'P43360'})"
"frozenset({'P00533', 'OncostatinM', 'Q9UI26'})"
"frozenset({'Q8NE01', 'Q12974', 'OncostatinM'})"
"frozenset({'OncostatinM', 'Q4V328', 'P61088'})"
"frozenset({'P40692', 'Q96NE9', 'OncostatinM'})"
"frozenset({'OncostatinM', 'P50221', 'P05067'})"
"frozenset({'OncostatinM', 'Q92838', 'Q01113'})"
"frozenset({'OncostatinM', 'Q16537', 'Q562F6'})"
"frozenset({'OncostatinM', 'P31948', 'P60484'})"
"frozenset({'Q8NG66', 'OncostatinM', 'P51955'})"
"frozenset({'OncostatinM', 'P06400', 'P12757'})"
"frozenset({'Q7L2E3', 'OncostatinM', 'Q96GX1'})"
"frozenset({'OncostatinM', 'Q68E01', 'O15514'})"
"frozenset({'Q9UOncostatinM13', 'OncostatinM', 'Q14676'})"
"frozenset({'O94875', 'P12814', 'OncostatinM'})"
"frozenset({'O43633', 'OncostatinM', 'O75477'})"
"frozenset({'OncostatinM', 'Q86YD3', 'Q9Y4K0'})"
"frozenset({'P05412', 'OncostatinM', 'P26373'})"
"frozenset({'P62873', 'OncostatinM', 'O60840'})"
"frozenset({'P48449', 'OncostatinM', 'P22736'})"
"frozenset({'OncostatinM', 'P11021', 'P35228'})"
"frozenset({'OncostatinM', 'P18754', 'O95865'})"
"frozenset({'OncostatinM', 'Q5T7OncostatinM9', 'P55058'})"
"frozenset({'OncostatinM', 'Q8N4V1', 'O60885'})"
"frozenset({'P07437', 'OncostatinM', 'P02751'})"
"frozenset({'OncostatinM', 'O75643', 'Q93074'})"
"frozenset({'OncostatinM', 'Q7L5N1', 'Q8WV16'})"
"frozenset({'OncostatinM', 'Q9UHL9', 'O75928'})"
"frozenset({'OncostatinM', 'Q16539', 'Q969V6'})"
"frozenset({'OncostatinM', 'Q86TG7', 'Q8N448'})"
"frozenset({'OncostatinM', 'Q13573', 'Q12874'})"
"frozenset({'OncostatinM', 'Q7Z7A1', 'Q8NHV4'})"
"frozenset({'OncostatinM', 'P20839', 'O15027'})"
"frozenset({'OncostatinM', 'P20591', 'Q9NYI0'})"
"frozenset({'Q15149', 'OncostatinM', 'P14923'})"
"frozenset({'OncostatinM', 'Q9NX70', 'Q92616'})"
"frozenset({'OncostatinM', 'Q9NRG9', 'O75147'})"
"frozenset({'OncostatinM', 'Q9UQ35', 'O00571'})"
"frozenset({'OncostatinM', 'O60831', 'Q6NUS6'})"
"frozenset({'P19320', 'OncostatinM', 'Q13765'})"
"frozenset({'P63000', 'OncostatinM', 'P39023'})"
"frozenset({'OncostatinM', 'Q9Y3E0', 'Q9BRQ6'})"
"frozenset({'OncostatinM', 'Q16576', 'Q16695'})"
"frozenset({'OncostatinM', 'Q9Y6G9', 'P63167'})"
"frozenset({'OncostatinM', 'O95257', 'Q8IYX8'})"
"frozenset({'OncostatinM', 'P07332', 'P10721'})"
"frozenset({'Q15583', 'OncostatinM', 'Q96BX8'})"
"frozenset({'OncostatinM', 'Q08379', 'Q13227'})"
"frozenset({'OncostatinM', 'Q9BT25', 'Q9NPJ6'})"
"frozenset({'OncostatinM', 'Q9BQA1', 'P83369'})"
"frozenset({'O43633', 'Q8NB16', 'OncostatinM'})"
"frozenset({'OncostatinM', 'P08238', 'P52292'})"
"frozenset({'Q92918', 'OncostatinM', 'Q96IK0'})"
"frozenset({'OncostatinM', 'P00519', 'P50570'})"
"frozenset({'Q9H2C0', 'Q9Y4A5', 'OncostatinM'})"
"frozenset({'OncostatinM', 'P78334', 'Q9H3K2'})"
"frozenset({'OncostatinM', 'P10073', 'Q96JS3'})"
"frozenset({'Q8NGN1', 'OncostatinM', 'P17612'})"
"frozenset({'P26368', 'OncostatinM', 'Q8N684'})"
"frozenset({'OncostatinM', 'Q86U06', 'Q8IZU0'})"
"frozenset({'Q8NFH5', 'OncostatinM', 'Q9Y2U8'})"
"frozenset({'Q6P597', 'P15884', 'OncostatinM'})"
"frozenset({'Q16795', 'OncostatinM', 'P28331'})"
"frozenset({'P25054', 'OncostatinM', 'Q92688'})"
"frozenset({'OncostatinM', 'P04049', 'Q96KB5'})"
"frozenset({'OncostatinM', 'Q93062', 'Q9UQ90'})"
"frozenset({'Q9NQT5', 'OncostatinM', 'Q13901'})"
"frozenset({'OncostatinM', 'O95221', 'Q9P2W3'})"
"frozenset({'P53992', 'Q96K21', 'OncostatinM'})"
"frozenset({'Q08170', 'OncostatinM', 'O43290'})"
"frozenset({'OncostatinM', 'Q9UBX2', 'P19338'})"
"frozenset({'OncostatinM', 'Q9BUN1', 'O43186'})"
"frozenset({'OncostatinM', 'P28074', 'Q9HCE1'})"
"frozenset({'OncostatinM', 'P05423', 'P62875'})"
"frozenset({'OncostatinM', 'Q86VP6', 'Q9NUD5'})"
"frozenset({'OncostatinM', 'Q9BXS5', 'Q96ED9'})"
"frozenset({'OncostatinM', 'Q96GN5', 'P01106'})"
"frozenset({'Q01726', 'OncostatinM', 'P23526'})"
"frozenset({'O00267', 'OncostatinM', 'Q8N7H5'})"
"frozenset({'Q96QD8', 'OncostatinM', 'P60953'})"
"frozenset({'Q99496', 'P13010', 'OncostatinM'})"
"frozenset({'OncostatinM', 'A1A5C7', 'P26371'})"
"frozenset({'Q9BS26', 'OncostatinM', 'Q9UNF0'})"
"frozenset({'OncostatinM', 'P30291', 'O14980'})"
"frozenset({'P22612', 'OncostatinM', 'Q8NGP9'})"
"frozenset({'OncostatinM', 'Q9BXJ9', 'O60216'})"
"frozenset({'OncostatinM', 'Q9Y6OncostatinM9', 'O75438'})"
"frozenset({'Q9ULV8', 'P07948', 'OncostatinM'})"
"frozenset({'OncostatinM', 'Q9NZL4', 'Q32P28'})"
"frozenset({'Q14999', 'OncostatinM', 'P39023'})"
"frozenset({'OncostatinM', 'Q9BSD7', 'Q9BY84'})"
"frozenset({'O95678', 'Q6A162', 'OncostatinM'})"
"frozenset({'OncostatinM', 'P40937', 'P35251'})"
"frozenset({'OncostatinM', 'Q9NRD1', 'P22695'})"
"frozenset({'P19320', 'OncostatinM', 'P38919'})"
"frozenset({'Q9BQ89', 'P60410', 'OncostatinM'})"
"frozenset({'P98073', 'OncostatinM', 'Q9ULZ3'})"
"frozenset({'P12931', 'OncostatinM', 'Q02153'})"
"frozenset({'Q9UK17', 'OncostatinM', 'Q13948'})"
"frozenset({'OncostatinM', 'Q92620', 'O60508'})"
"frozenset({'OncostatinM', 'P40121', 'Q96AE4'})"
"frozenset({'Q9UNX3', 'OncostatinM', 'Q96SW2'})"
"frozenset({'OncostatinM', 'Q8N8U2', 'Q9BQA5'})"
"frozenset({'OncostatinM', 'Q8N4P2', 'Q13099'})"
"frozenset({'P52333', 'OncostatinM', 'O14544'})"
"frozenset({'OncostatinM', 'P07954', 'Q15051'})"
"frozenset({'P82933', 'OncostatinM', 'Q9UHA4'})"
"frozenset({'Q02539', 'OncostatinM', 'Q9NYB0'})"
"frozenset({'Q9UOncostatinM19', 'Q99576', 'OncostatinM'})"
"frozenset({'P68431', 'P0C0S5', 'OncostatinM'})"
"frozenset({'P12931', 'Q13796', 'OncostatinM'})"
"frozenset({'Q5T681', 'OncostatinM', 'Q13114'})"
"frozenset({'P13489', 'OncostatinM', 'Q9NXK8'})"
"frozenset({'Q9HBV2', 'OncostatinM', 'Q8TCX1'})"
"frozenset({'Q03135', 'OncostatinM', 'P21359'})"
"frozenset({'OncostatinM', 'P15621', 'Q9HAU5'})"
"frozenset({'Q9H609', 'OncostatinM', 'P19012'})"
"frozenset({'OncostatinM', 'P13612', 'P68032'})"
"frozenset({'OncostatinM', 'Q96DZ5', 'Q08379'})"
"frozenset({'OncostatinM', 'Q16659', 'Q03001'})"
"frozenset({'OncostatinM', 'Q99471', 'Q9H1P6'})"
"frozenset({'OncostatinM', 'Q6ZW31', 'Q86SQ0'})"
