negatives
"frozenset({'OncostatinM', 'Q9BTV5', 'Q01581'})"
"frozenset({'OncostatinM', 'P52272', 'O14964'})"
"frozenset({'OncostatinM', 'Q9H6S1', 'Q9NVV4'})"
"frozenset({'P07384', 'P53602', 'OncostatinM'})"
"frozenset({'OncostatinM', 'Q12778', 'P98177'})"
"frozenset({'Q9BSW7', 'OncostatinM', 'Q9Y2I6'})"
"frozenset({'OncostatinM', 'Q14332', 'Q8WXA8'})"
"frozenset({'OncostatinM', 'O00401', 'P16333'})"
"frozenset({'O14639', 'OncostatinM', 'Q9NR12'})"
"frozenset({'Q15306', 'OncostatinM', 'P05161'})"
"frozenset({'OncostatinM', 'Q9NRD1', 'P16402'})"
"frozenset({'Q9BYH8', 'OncostatinM', 'O14920'})"
"frozenset({'Q8NGC4', 'O60262', 'OncostatinM'})"
"frozenset({'OncostatinM', 'P09651', 'Q99558'})"
"frozenset({'OncostatinM', 'O14980', 'P04626'})"
"frozenset({'Q71U36', 'OncostatinM', 'Q14004'})"
"frozenset({'OncostatinM', 'O43638', 'P67775'})"
"frozenset({'OncostatinM', 'Q13404', 'O43567'})"
"frozenset({'OncostatinM', 'P01106', 'Q9H9Y6'})"
"frozenset({'Q99496', 'P61326', 'OncostatinM'})"
"frozenset({'OncostatinM', 'P10321', 'P43627'})"
"frozenset({'O75063', 'P07585', 'OncostatinM'})"
"frozenset({'Q14999', 'OncostatinM', 'Q9UBOncostatinM7'})"
"frozenset({'P22681', 'OncostatinM', 'O00159'})"
"frozenset({'Q8N9N8', 'Q9H190', 'OncostatinM'})"
"frozenset({'Q86YV6', 'Q58FG0', 'OncostatinM'})"
"frozenset({'OncostatinM', 'O15397', 'Q8N6H7'})"
"frozenset({'P35968', 'OncostatinM', 'P16333'})"
"frozenset({'P04629', 'OncostatinM', 'O60784'})"
"frozenset({'OncostatinM', 'O96017', 'Q15365'})"
"frozenset({'OncostatinM', 'P11142', 'P05161'})"
"frozenset({'OncostatinM', 'P22607', 'Q92540'})"
"frozenset({'OncostatinM', 'Q96QH2', 'P04637'})"
"frozenset({'P53992', 'OncostatinM', 'Q15436'})"
"frozenset({'OncostatinM', 'Q9BXN2', 'Q9NZG7'})"
"frozenset({'OncostatinM', 'O95467', 'P01892'})"
"frozenset({'Q9BUN8', 'OncostatinM', 'Q13200'})"
"frozenset({'OncostatinM', 'P35240', 'Q13177'})"
"frozenset({'OncostatinM', 'P67809', 'P49257'})"
"frozenset({'OncostatinM', 'Q6ZQN5', 'Q9BQ75'})"
"frozenset({'OncostatinM', 'P25098', 'Q8NG78'})"
"frozenset({'OncostatinM', 'P61313', 'P05412'})"
"frozenset({'OncostatinM', 'Q96B02', 'Q9Y675'})"
"frozenset({'OncostatinM', 'Q9ULT0', 'Q9H444'})"
"frozenset({'OncostatinM', 'Q8N3V7', 'Q4KOncostatinMQ1'})"
"frozenset({'Q13618', 'OncostatinM', 'Q9H6S0'})"
"frozenset({'OncostatinM', 'Q9UKV0', 'Q13555'})"
"frozenset({'OncostatinM', 'Q9UH99', 'P52292'})"
"frozenset({'OncostatinM', 'P51648', 'Q96GX1'})"
"frozenset({'OncostatinM', 'O95714', 'P46019'})"
"frozenset({'OncostatinM', 'P27348', 'P09651'})"
"frozenset({'OncostatinM', 'P08670', 'P55040'})"
"frozenset({'OncostatinM', 'Q8NGV0', 'Q9P2W3'})"
"frozenset({'OncostatinM', 'Q9Y3E7', 'Q15797'})"
"frozenset({'Q13829', 'OncostatinM', 'P62140'})"
"frozenset({'Q9BYR7', 'OncostatinM', 'P27658'})"
"frozenset({'OncostatinM', 'Q9HCU9', 'Q4LE39'})"
"frozenset({'P04085', 'OncostatinM', 'P18146'})"
"frozenset({'P00533', 'Q8IZ69', 'OncostatinM'})"
"frozenset({'OncostatinM', 'O43889', 'O43561'})"
"frozenset({'Q9UDY2', 'OncostatinM', 'Q13769'})"
"frozenset({'OncostatinM', 'Q14160', 'Q7Z628'})"
"frozenset({'OncostatinM', 'P30153', 'Q86SK9'})"
"frozenset({'O75934', 'OncostatinM', 'Q99471'})"
"frozenset({'Q9HCE7', 'OncostatinM', 'P52597'})"
"frozenset({'OncostatinM', 'P51617', 'P31749'})"
"frozenset({'Q06187', 'P23396', 'OncostatinM'})"
"frozenset({'OncostatinM', 'Q9UQOncostatinM7', 'Q08289'})"
"frozenset({'OncostatinM', 'P84243', 'Q13547'})"
"frozenset({'OncostatinM', 'P32121', 'Q8NGY5'})"
"frozenset({'OncostatinM', 'P27348', 'Q9NXR1'})"
"frozenset({'OncostatinM', 'Q9Y2X3', 'O14980'})"
"frozenset({'Q15046', 'OncostatinM', 'Q9NXH9'})"
"frozenset({'OncostatinM', 'P82979', 'Q9Y5OncostatinM8'})"
"frozenset({'Q06330', 'OncostatinM', 'Q86UQ0'})"
"frozenset({'P30273', 'OncostatinM', 'P16885'})"
"frozenset({'P50454', 'OncostatinM', 'Q9BTE6'})"
"frozenset({'OncostatinM', 'P01106', 'O95835'})"
"frozenset({'OncostatinM', 'Q99879', 'Q7L0Q8'})"
"frozenset({'OncostatinM', 'Q9GZQ8', 'P06576'})"
"frozenset({'OncostatinM', 'Q15287', 'O75494'})"
"frozenset({'OncostatinM', 'P25788', 'P38936'})"
"frozenset({'OncostatinM', 'P43363', 'P43358'})"
"frozenset({'Q96EG3', 'OncostatinM', 'Q2TAL6'})"
"frozenset({'OncostatinM', 'P10809', 'P05161'})"
"frozenset({'OncostatinM', 'Q9UNN5', 'P04844'})"
"frozenset({'OncostatinM', 'Q8IXH7', 'P33993'})"
"frozenset({'P63208', 'OncostatinM', 'Q16526'})"
"frozenset({'OncostatinM', 'Q96NL6', 'O60826'})"
"frozenset({'P00558', 'Q96FW1', 'OncostatinM'})"
"frozenset({'O15455', 'OncostatinM', 'Q13114'})"
"frozenset({'OncostatinM', 'O14980', 'Q96EV2'})"
"frozenset({'OncostatinM', 'Q9BY41', 'P33778'})"
"frozenset({'OncostatinM', 'Q9BUZ4', 'Q13895'})"
"frozenset({'Q96DI7', 'OncostatinM', 'O43290'})"
"frozenset({'OncostatinM', 'Q9H0E2', 'Q3LI66'})"
"frozenset({'Q712K3', 'OncostatinM', 'O75360'})"
"frozenset({'O94868', 'OncostatinM', 'Q8IZU0'})"
"frozenset({'Q96T58', 'Q09028', 'OncostatinM'})"
"frozenset({'P35914', 'OncostatinM', 'Q05932'})"
"frozenset({'Q13002', 'OncostatinM', 'P78352'})"
"frozenset({'P68431', 'OncostatinM', 'Q15059'})"
"frozenset({'OncostatinM', 'Q92879', 'O75674'})"
"frozenset({'OncostatinM', 'O95393', 'Q13530'})"
"frozenset({'OncostatinM', 'Q13616', 'Q9H4L4'})"
"frozenset({'OncostatinM', 'Q9Y5A7', 'P42858'})"
"frozenset({'OncostatinM', 'Q04941', 'Q9UP95'})"
"frozenset({'OncostatinM', 'O14777', 'Q15025'})"
"frozenset({'OncostatinM', 'P47914', 'P62249'})"
"frozenset({'Q96P31', 'P43403', 'OncostatinM'})"
"frozenset({'P60370', 'Q14593', 'OncostatinM'})"
"frozenset({'OncostatinM', 'Q96SB4', 'Q8IWX8'})"
"frozenset({'P56524', 'OncostatinM', 'Q06413'})"
"frozenset({'OncostatinM', 'Q9UOncostatinMS4', 'Q12874'})"
"frozenset({'OncostatinM', 'P08670', 'P84022'})"
"frozenset({'P50613', 'OncostatinM', 'Q9Y5B0'})"
"frozenset({'P01137', 'Q6EOncostatinMK4', 'OncostatinM'})"
"frozenset({'OncostatinM', 'O75554', 'Q15427'})"
"frozenset({'OncostatinM', 'Q9UPZ9', 'Q96DH6'})"
"frozenset({'OncostatinM', 'Q08050', 'Q9UKN8'})"
"frozenset({'OncostatinM', 'Q9NX18', 'O75368'})"
"frozenset({'P45880', 'OncostatinM', 'Q86W42'})"
"frozenset({'OncostatinM', 'P49736', 'Q99497'})"
"frozenset({'OncostatinM', 'O43865', 'P61513'})"
"frozenset({'OncostatinM', 'O43805', 'Q08426'})"
"frozenset({'P08700', 'OncostatinM', 'Q01113'})"
"frozenset({'Q99584', 'Q00978', 'OncostatinM'})"
"frozenset({'OncostatinM', 'P56705', 'Q6P988'})"
"frozenset({'Q5T5S1', 'OncostatinM', 'Q13137'})"
"frozenset({'Q8N8X9', 'OncostatinM', 'Q92997'})"
"frozenset({'OncostatinM', 'P07947', 'O14543'})"
"frozenset({'OncostatinM', 'P49407', 'Q8NGX9'})"
"frozenset({'OncostatinM', 'O00255', 'P62807'})"
"frozenset({'Q9NRG1', 'OncostatinM', 'Q9NUH8'})"
"frozenset({'OncostatinM', 'O95721', 'Q96BD8'})"
"frozenset({'Q96P11', 'P09651', 'OncostatinM'})"
"frozenset({'OncostatinM', 'P62191', 'P05412'})"
"frozenset({'OncostatinM', 'Q92685', 'Q9NY35'})"
"frozenset({'Q92905', 'OncostatinM', 'O00764'})"
"frozenset({'OncostatinM', 'Q6L8G8', 'P27658'})"
"frozenset({'OncostatinM', 'P06454', 'O60506'})"
"frozenset({'OncostatinM', 'P61088', 'Q9UJV3'})"
"frozenset({'OncostatinM', 'Q96OncostatinM94', 'Q96GG9'})"
"frozenset({'OncostatinM', 'O95467', 'P30518'})"
"frozenset({'OncostatinM', 'P61956', 'Q9BXP5'})"
"frozenset({'OncostatinM', 'P30048', 'O14920'})"
"frozenset({'OncostatinM', 'Q9H668', 'O60502'})"
"frozenset({'OncostatinM', 'Q14527', 'Q01844'})"
"frozenset({'P60369', 'OncostatinM', 'Q9UBE8'})"
"frozenset({'OncostatinM', 'Q92597', 'P63261'})"
"frozenset({'P28482', 'OncostatinM', 'P35813'})"
"frozenset({'OncostatinM', 'Q13617', 'Q6ZOncostatinMI0'})"
"frozenset({'OncostatinM', 'Q86YD7', 'Q8N6L0'})"
"frozenset({'OncostatinM', 'P15927', 'P35251'})"
"frozenset({'O75364', 'OncostatinM', 'Q13201'})"
"frozenset({'OncostatinM', 'P49736', 'Q00839'})"
"frozenset({'P62979', 'OncostatinM', 'P08047'})"
"frozenset({'OncostatinM', 'P16520', 'P53779'})"
"frozenset({'Q6UXZ4', 'OncostatinM', 'P43146'})"
"frozenset({'OncostatinM', 'Q86UA6', 'Q3ZCQ8'})"
"frozenset({'P15923', 'OncostatinM', 'Q15208'})"
"frozenset({'P54289', 'OncostatinM', 'Q9NZN8'})"
"frozenset({'P36508', 'OncostatinM', 'Q5VWN6'})"
"frozenset({'P00533', 'OncostatinM', 'Q9UGK3'})"
"frozenset({'OncostatinM', 'P60520', 'P18124'})"
"frozenset({'OncostatinM', 'Q02809', 'Q13107'})"
"frozenset({'Q15811', 'OncostatinM', 'O15056'})"
"frozenset({'Q9P0J7', 'OncostatinM', 'O43915'})"
"frozenset({'OncostatinM', 'Q6UXL0', 'O43286'})"
"frozenset({'OncostatinM', 'Q9UBU9', 'P0DP23'})"
"frozenset({'OncostatinM', 'Q8TAF3', 'Q9NVI1'})"
"frozenset({'OncostatinM', 'P29466', 'P50453'})"
"frozenset({'OncostatinM', 'Q9NRD1', 'P05556'})"
"frozenset({'P22681', 'OncostatinM', 'Q9HBE5'})"
"frozenset({'OncostatinM', 'Q16643', 'P62070'})"
"frozenset({'P14927', 'P17252', 'OncostatinM'})"
"frozenset({'Q12959', 'OncostatinM', 'Q86W11'})"
"frozenset({'OncostatinM', 'P21246', 'Q9H8G2'})"
"frozenset({'OncostatinM', 'Q9Y3C5', 'Q8IYW5'})"
"frozenset({'OncostatinM', 'Q13501', 'Q15038'})"
"frozenset({'P49407', 'OncostatinM', 'P59768'})"
"frozenset({'OncostatinM', 'Q12888', 'Q01860'})"
"frozenset({'OncostatinM', 'Q3SYC2', 'Q15034'})"
"frozenset({'OncostatinM', 'A6NI15', 'O14645'})"
"frozenset({'P0DOncostatinML3', 'Q13651', 'OncostatinM'})"
"frozenset({'OncostatinM', 'Q15648', 'Q12772'})"
"frozenset({'P60709', 'OncostatinM', 'Q13155'})"
"frozenset({'OncostatinM', 'Q9Y620', 'Q9H8Y8'})"
"frozenset({'OncostatinM', 'Q9BQE3', 'P20020'})"
"frozenset({'OncostatinM', 'P08069', 'O15530'})"
"frozenset({'OncostatinM', 'P54253', 'Q96I25'})"
"frozenset({'Q9H944', 'OncostatinM', 'Q16769'})"
"frozenset({'OncostatinM', 'P11473', 'P60520'})"
"frozenset({'OncostatinM', 'Q06250', 'Q7Z3S9'})"
"frozenset({'OncostatinM', 'Q8IWL3', 'Q6P4Q7'})"
"frozenset({'Q15056', 'OncostatinM', 'O60739'})"
"frozenset({'OncostatinM', 'P15153', 'P52564'})"
"frozenset({'P27469', 'OncostatinM', 'P62888'})"
"frozenset({'OncostatinM', 'P12830', 'Q15643'})"
"frozenset({'P09661', 'OncostatinM', 'P28066'})"
"frozenset({'OncostatinM', 'P08397', 'Q9Y5A9'})"
"frozenset({'Q04206', 'OncostatinM', 'P51580'})"
"frozenset({'Q8TBC3', 'Q92905', 'OncostatinM'})"
"frozenset({'OncostatinM', 'P07900', 'O60502'})"
"frozenset({'Q07021', 'OncostatinM', 'Q13619'})"
"frozenset({'OncostatinM', 'P62837', 'Q9P0P0'})"
"frozenset({'P20226', 'OncostatinM', 'O00268'})"
"frozenset({'OncostatinM', 'Q15797', 'O15054'})"
"frozenset({'OncostatinM', 'Q05397', 'O43639'})"
"frozenset({'OncostatinM', 'Q8WUY8', 'P62079'})"
"frozenset({'O00585', 'OncostatinM', 'P32248'})"
"frozenset({'OncostatinM', 'P62917', 'P62249'})"
"frozenset({'OncostatinM', 'P12956', 'Q96RP7'})"
"frozenset({'OncostatinM', 'Q01955', 'Q13797'})"
"frozenset({'OncostatinM', 'Q9C099', 'P04632'})"
"frozenset({'Q14919', 'OncostatinM', 'Q99689'})"
"frozenset({'OncostatinM', 'P61964', 'Q96KQ7'})"
"frozenset({'O75364', 'OncostatinM', 'Q15233'})"
"frozenset({'OncostatinM', 'Q9NUL7', 'Q01860'})"
"frozenset({'OncostatinM', 'Q92900', 'Q9Y316'})"
"frozenset({'OncostatinM', 'P62269', 'P61513'})"
"frozenset({'OncostatinM', 'P49792', 'P31943'})"
"frozenset({'OncostatinM', 'Q9NUQ3', 'P06733'})"
"frozenset({'OncostatinM', 'Q96D59', 'Q9HD26'})"
"frozenset({'OncostatinM', 'Q14186', 'O96017'})"
"frozenset({'OncostatinM', 'P11142', 'Q9UGJ1'})"
"frozenset({'OncostatinM', 'P61964', 'Q99697'})"
"frozenset({'P56559', 'OncostatinM', 'P05067'})"
"frozenset({'Q9P2N5', 'OncostatinM', 'P05412'})"
"frozenset({'Q96OncostatinMT4', 'OncostatinM', 'O43559'})"
"frozenset({'P04629', 'OncostatinM', 'O00459'})"
"frozenset({'OncostatinM', 'Q02763', 'P14210'})"
"frozenset({'P49759', 'OncostatinM', 'Q9H5V8'})"
"frozenset({'Q9H875', 'OncostatinM', 'Q12933'})"
"frozenset({'OncostatinM', 'Q13485', 'P30968'})"
"frozenset({'OncostatinM', 'Q16880', 'Q15165'})"
"frozenset({'P07900', 'OncostatinM', 'O75469'})"
"frozenset({'O43318', 'OncostatinM', 'Q9UHD2'})"
"frozenset({'OncostatinM', 'P07355', 'Q6P1J9'})"
"frozenset({'Q9NROncostatinM2', 'OncostatinM', 'Q86Y26'})"
"frozenset({'OncostatinM', 'O75533', 'Q96I25'})"
"frozenset({'OncostatinM', 'P53803', 'Q15560'})"
"frozenset({'OncostatinM', 'P51116', 'O43639'})"
"frozenset({'P27361', 'OncostatinM', 'Q9NZ20'})"
"frozenset({'OncostatinM', 'Q15006', 'Q86X19'})"
"frozenset({'OncostatinM', 'P10244', 'P14635'})"
"frozenset({'O43609', 'Q96EG3', 'OncostatinM'})"
"frozenset({'OncostatinM', 'Q14865', 'P05161'})"
"frozenset({'OncostatinM', 'P20674', 'P42858'})"
"frozenset({'OncostatinM', 'Q9NRU3', 'P13747'})"
"frozenset({'OncostatinM', 'Q15428', 'Q9H307'})"
"frozenset({'OncostatinM', 'Q7Z7H5', 'Q9UBU9'})"
"frozenset({'OncostatinM', 'Q14164', 'Q96FA3'})"
"frozenset({'OncostatinM', 'O15085', 'Q9H2G2'})"
"frozenset({'P50914', 'OncostatinM', 'Q9H5H4'})"
"frozenset({'OncostatinM', 'P68400', 'P05198'})"
"frozenset({'OncostatinM', 'Q9BTT4', 'O60244'})"
"frozenset({'O75886', 'OncostatinM', 'Q86X19'})"
"frozenset({'OncostatinM', 'Q13164', 'O75469'})"
"frozenset({'OncostatinM', 'O14508', 'O75367'})"
"frozenset({'P17987', 'OncostatinM', 'Q13547'})"
"frozenset({'P82932', 'OncostatinM', 'P78362'})"
"frozenset({'OncostatinM', 'Q8IUR0', 'O95273'})"
"frozenset({'Q15796', 'OncostatinM', 'Q14562'})"
"frozenset({'OncostatinM', 'P63173', 'Q86XR8'})"
"frozenset({'OncostatinM', 'O60293', 'P68400'})"
"frozenset({'OncostatinM', 'Q15717', 'P10644'})"
"frozenset({'OncostatinM', 'Q9BYG5', 'Q9NPB6'})"
"frozenset({'Q96RD7', 'OncostatinM', 'P35240'})"
"frozenset({'P22694', 'OncostatinM', 'Q9Y6Q9'})"
"frozenset({'OncostatinM', 'Q9H7B4', 'Q9H3H1'})"
"frozenset({'OncostatinM', 'P05067', 'P51178'})"
"frozenset({'OncostatinM', 'Q9UQL6', 'Q93079'})"
"frozenset({'OncostatinM', 'Q12952', 'Q1KOncostatinMD3'})"
"frozenset({'Q9UBL3', 'OncostatinM', 'O15054'})"
"frozenset({'OncostatinM', 'Q9HBI0', 'P05556'})"
"frozenset({'OncostatinM', 'Q13243', 'Q15526'})"
"frozenset({'P25800', 'OncostatinM', 'Q96C24'})"
"frozenset({'OncostatinM', 'Q9GZS3', 'Q8N7H5'})"
"frozenset({'Q14103', 'OncostatinM', 'Q86WP2'})"
"frozenset({'O43776', 'OncostatinM', 'O15259'})"
"frozenset({'P60370', 'OncostatinM', 'Q5T7P3'})"
"frozenset({'OncostatinM', 'P46934', 'P21802'})"
"frozenset({'A6NHP3', 'OncostatinM', 'P24941'})"
"frozenset({'P42285', 'OncostatinM', 'P01876'})"
"frozenset({'OncostatinM', 'Q9BUV0', 'Q9HD23'})"
"frozenset({'OncostatinM', 'O76003', 'Q6NX49'})"
"frozenset({'OncostatinM', 'P05230', 'P35052'})"
"frozenset({'OncostatinM', 'Q86VP6', 'Q96GOncostatinM8'})"
"frozenset({'OncostatinM', 'Q8IYB1', 'Q9NR12'})"
"frozenset({'P23946', 'P21810', 'OncostatinM'})"
"frozenset({'OncostatinM', 'O75143', 'P58004'})"
"frozenset({'OncostatinM', 'P05067', 'P05452'})"
"frozenset({'OncostatinM', 'Q15323', 'Q6P087'})"
"frozenset({'Q14289', 'P22681', 'OncostatinM'})"
"frozenset({'OncostatinM', 'Q15369', 'Q8NG57'})"
"frozenset({'Q15637', 'OncostatinM', 'P52294'})"
"frozenset({'OncostatinM', 'P42081', 'P19838'})"
"frozenset({'OncostatinM', 'Q9BWG6', 'Q96KN7'})"
"frozenset({'OncostatinM', 'P46527', 'Q9HC52'})"
"frozenset({'P04629', 'OncostatinM', 'Q969Z0'})"
"frozenset({'OncostatinM', 'Q96ES7', 'A1L190'})"
"frozenset({'Q96S59', 'OncostatinM', 'P49961'})"
"frozenset({'OncostatinM', 'P02751', 'Q9H0A0'})"
"frozenset({'Q99496', 'OncostatinM', 'Q9NQ31'})"
"frozenset({'P41238', 'OncostatinM', 'P52597'})"
"frozenset({'Q13492', 'Q9H4A3', 'OncostatinM'})"
"frozenset({'Q9C0B0', 'OncostatinM', 'Q96ST3'})"
"frozenset({'P34059', 'OncostatinM', 'Q8WWOncostatinM7'})"
"frozenset({'OncostatinM', 'Q13243', 'P18583'})"
"frozenset({'OncostatinM', 'Q02221', 'P20674'})"
"frozenset({'OncostatinM', 'Q9Y5K6', 'P50570'})"
"frozenset({'P08648', 'OncostatinM', 'P55268'})"
"frozenset({'OncostatinM', 'O14862', 'P05412'})"
"frozenset({'OncostatinM', 'P62899', 'P18124'})"
"frozenset({'OncostatinM', 'P07355', 'P05412'})"
"frozenset({'Q9UHF4', 'P52333', 'OncostatinM'})"
"frozenset({'OncostatinM', 'Q8WUW1', 'O14917'})"
"frozenset({'O94973', 'OncostatinM', 'Q9Y6I3'})"
"frozenset({'Q9BQ89', 'O60573', 'OncostatinM'})"
"frozenset({'Q3KQV9', 'OncostatinM', 'Q63HOncostatinM1'})"
"frozenset({'OncostatinM', 'Q15628', 'O95999'})"
"frozenset({'Q9NQC7', 'OncostatinM', 'O95786'})"
"frozenset({'OncostatinM', 'O60765', 'Q13263'})"
"frozenset({'OncostatinM', 'Q15042', 'Q66K64'})"
"frozenset({'OncostatinM', 'Q08379', 'P24941'})"
"frozenset({'OncostatinM', 'Q8IWL3', 'O14929'})"
"frozenset({'OncostatinM', 'P01241', 'P47756'})"
"frozenset({'Q8N5S1', 'OncostatinM', 'Q6P6B1'})"
"frozenset({'OncostatinM', 'O75533', 'Q9UQL6'})"
"frozenset({'P19875', 'OncostatinM', 'P51677'})"
"frozenset({'OncostatinM', 'P05067', 'Q969K3'})"
"frozenset({'OncostatinM', 'P17181', 'P26441'})"
"frozenset({'P50990', 'P57078', 'OncostatinM'})"
"frozenset({'OncostatinM', 'P49790', 'O75147'})"
"frozenset({'OncostatinM', 'Q9Y2R0', 'Q8N490'})"
"frozenset({'P63244', 'OncostatinM', 'Q71UOncostatinM5'})"
"frozenset({'O94817', 'P60228', 'OncostatinM'})"
"frozenset({'OncostatinM', 'Q9NTX9', 'Q16828'})"
"frozenset({'P07900', 'OncostatinM', 'P27482'})"
"frozenset({'P04264', 'OncostatinM', 'Q01094'})"
"frozenset({'O15078', 'O60308', 'OncostatinM'})"
"frozenset({'Q68CZ6', 'OncostatinM', 'Q7Z7A1'})"
"frozenset({'O43318', 'OncostatinM', 'Q13114'})"
"frozenset({'Q96ED9', 'OncostatinM', 'O95990'})"
"frozenset({'OncostatinM', 'Q15853', 'P61073'})"
"frozenset({'OncostatinM', 'P26640', 'P50991'})"
"frozenset({'P49407', 'OncostatinM', 'Q9NPE3'})"
"frozenset({'P17844', 'OncostatinM', 'P50750'})"
"frozenset({'P40692', 'OncostatinM', 'Q9Y253'})"
"frozenset({'P01889', 'Q9Y617', 'OncostatinM'})"
"frozenset({'OncostatinM', 'Q9NRC8', 'P32969'})"
"frozenset({'OncostatinM', 'Q8NCN4', 'O94906'})"
"frozenset({'Q9ULZ3', 'OncostatinM', 'Q16666'})"
"frozenset({'Q9UJV9', 'OncostatinM', 'Q9ULR0'})"
"frozenset({'OncostatinM', 'O14981', 'O95274'})"
"frozenset({'OncostatinM', 'Q9H334', 'P49959'})"
"frozenset({'O43918', 'OncostatinM', 'P19174'})"
"frozenset({'P45983', 'P48023', 'OncostatinM'})"
"frozenset({'OncostatinM', 'Q9Y2Y0', 'Q9UBU9'})"
"frozenset({'Q13077', 'Q07011', 'OncostatinM'})"
"frozenset({'OncostatinM', 'Q6P3S6', 'Q15843'})"
"frozenset({'OncostatinM', 'P05067', 'P63172'})"
"frozenset({'P23229', 'P16144', 'OncostatinM'})"
"frozenset({'OncostatinM', 'Q8NCN5', 'Q9H9S0'})"
"frozenset({'P40145', 'OncostatinM', 'P63218'})"
"frozenset({'Q52LG2', 'OncostatinM', 'Q96PN8'})"
"frozenset({'OncostatinM', 'P04637', 'Q8N0Z3'})"
"frozenset({'P22732', 'OncostatinM', 'Q04206'})"
"frozenset({'OncostatinM', 'P08238', 'O75161'})"
"frozenset({'OncostatinM', 'Q9Y3S2', 'Q2I0OncostatinM5'})"
"frozenset({'Q9UBB9', 'OncostatinM', 'Q53TS8'})"
"frozenset({'OncostatinM', 'Q15363', 'Q13347'})"
"frozenset({'Q04206', 'P51965', 'OncostatinM'})"
"frozenset({'Q9NS37', 'OncostatinM', 'Q14494'})"
"frozenset({'P09619', 'P01133', 'OncostatinM'})"
"frozenset({'Q8IWV7', 'OncostatinM', 'Q9BX70'})"
"frozenset({'Q07021', 'OncostatinM', 'Q6NUS6'})"
"frozenset({'OncostatinM', 'P13533', 'Q3B7T1'})"
"frozenset({'Q8TBE0', 'OncostatinM', 'P10644'})"
"frozenset({'P52739', 'OncostatinM', 'Q96K62'})"
"frozenset({'OncostatinM', 'O00626', 'P27487'})"
"frozenset({'OncostatinM', 'Q15717', 'P31943'})"
"frozenset({'Q9NVS2', 'OncostatinM', 'Q9BPW8'})"
"frozenset({'OncostatinM', 'Q16543', 'P01023'})"
"frozenset({'OncostatinM', 'Q8IWL3', 'P30085'})"
"frozenset({'OncostatinM', 'Q9NRF9', 'P13010'})"
"frozenset({'O15355', 'OncostatinM', 'Q8N5OncostatinM4'})"
"frozenset({'Q8N895', 'OncostatinM', 'Q9ULX6'})"
"frozenset({'OncostatinM', 'Q86YN6', 'O75925'})"
"frozenset({'OncostatinM', 'P31942', 'Q8IV08'})"
"frozenset({'Q4KWH8', 'OncostatinM', 'Q9NRD5'})"
"frozenset({'Q9H8W4', 'P31947', 'OncostatinM'})"
"frozenset({'OncostatinM', 'Q5BJF6', 'Q15025'})"
"frozenset({'OncostatinM', 'P45973', 'Q9H2P0'})"
"frozenset({'P23497', 'OncostatinM', 'Q9H2X6'})"
"frozenset({'OncostatinM', 'P26367', 'Q12931'})"
"frozenset({'OncostatinM', 'P05067', 'Q13435'})"
"frozenset({'OncostatinM', 'P08047', 'P38646'})"
"frozenset({'P23560', 'OncostatinM', 'Q16620'})"
"frozenset({'OncostatinM', 'P05113', 'P42702'})"
"frozenset({'O60262', 'OncostatinM', 'P58180'})"
"frozenset({'OncostatinM', 'Q9Y2F5', 'Q9HC52'})"
"frozenset({'Q9Y371', 'Q969Q0', 'OncostatinM'})"
"frozenset({'OncostatinM', 'Q5U5Q3', 'Q00341'})"
"frozenset({'OncostatinM', 'O15534', 'Q15274'})"
"frozenset({'OncostatinM', 'Q9BVA1', 'P55072'})"
"frozenset({'P17844', 'OncostatinM', 'Q15428'})"
"frozenset({'OncostatinM', 'P51808', 'P63172'})"
"frozenset({'P00533', 'OncostatinM', 'Q5T9A4'})"
"frozenset({'P62424', 'OncostatinM', 'P62851'})"
"frozenset({'O60404', 'P22694', 'OncostatinM'})"
"frozenset({'OncostatinM', 'Q92616', 'Q9Y4P8'})"
"frozenset({'OncostatinM', 'P55317', 'Q15717'})"
"frozenset({'Q6ZW49', 'Q9BV38', 'OncostatinM'})"
"frozenset({'OncostatinM', 'Q9BYG3', 'Q9NS56'})"
"frozenset({'OncostatinM', 'O95777', 'P62910'})"
"frozenset({'OncostatinM', 'Q13363', 'Q9ULK4'})"
"frozenset({'OncostatinM', 'Q15836', 'Q7Z6Z7'})"
"frozenset({'Q06124', 'OncostatinM', 'P08069'})"
"frozenset({'OncostatinM', 'P24928', 'Q9H0W5'})"
"frozenset({'Q49A88', 'Q9NRR5', 'OncostatinM'})"
"frozenset({'Q9BT22', 'OncostatinM', 'Q9UBU9'})"
"frozenset({'OncostatinM', 'Q12906', 'P19338'})"
"frozenset({'OncostatinM', 'P38398', 'P54132'})"
"frozenset({'OncostatinM', 'Q92624', 'P09228'})"
"frozenset({'P20396', 'OncostatinM', 'P12980'})"
"frozenset({'O14558', 'OncostatinM', 'P46821'})"
"frozenset({'OncostatinM', 'O00182', 'P14923'})"
"frozenset({'Q6ZNB6', 'Q12906', 'OncostatinM'})"
"frozenset({'OncostatinM', 'Q15428', 'Q01081'})"
"frozenset({'OncostatinM', 'Q15022', 'Q13595'})"
"frozenset({'OncostatinM', 'Q9Y5E9', 'P84103'})"
"frozenset({'P06899', 'OncostatinM', 'P0C0S5'})"
"frozenset({'Q13148', 'OncostatinM', 'Q12926'})"
"frozenset({'Q8NEC5', 'OncostatinM', 'P60014'})"
