negatives
"frozenset({'P50222', 'Q12805', 'TWEAK'})"
"frozenset({'P27694', 'TWEAK', 'P51148'})"
"frozenset({'Q92616', 'P14866', 'TWEAK'})"
"frozenset({'P68431', 'TWEAK', 'Q8IX12'})"
"frozenset({'Q04941', 'TWEAK', 'Q8TCJ2'})"
"frozenset({'TWEAK', 'Q9BSE2', 'Q14254'})"
"frozenset({'P11487', 'P08138', 'TWEAK'})"
"frozenset({'P13805', 'Q9UGU5', 'TWEAK'})"
"frozenset({'TWEAK', 'Q96G74', 'P04637'})"
"frozenset({'Q9NWT6', 'Q8N163', 'TWEAK'})"
"frozenset({'P35398', 'Q9Y265', 'TWEAK'})"
"frozenset({'P62873', 'Q8NH74', 'TWEAK'})"
"frozenset({'P17066', 'Q8WW22', 'TWEAK'})"
"frozenset({'A6NEM1', 'Q9P2J8', 'TWEAK'})"
"frozenset({'P25705', 'TWEAK', 'Q9UQL6'})"
"frozenset({'Q9C0B0', 'TWEAK', 'P24752'})"
"frozenset({'P50150', 'TWEAK', 'P49286'})"
"frozenset({'Q96BA8', 'Q9UBY5', 'TWEAK'})"
"frozenset({'P09651', 'P84103', 'TWEAK'})"
"frozenset({'P61204', 'TWEAK', 'Q15717'})"
"frozenset({'TWEAK', 'Q07812', 'Q02750'})"
"frozenset({'O43639', 'P60763', 'TWEAK'})"
"frozenset({'P62857', 'Q96EL3', 'TWEAK'})"
"frozenset({'Q8WXA8', 'Q96CP6', 'TWEAK'})"
"frozenset({'P53779', 'TWEAK', 'P01106'})"
"frozenset({'P17014', 'TWEAK', 'Q99750'})"
"frozenset({'Q96B67', 'TWEAK', 'Q96CV9'})"
"frozenset({'P84103', 'TWEAK', 'Q05519'})"
"frozenset({'Q8TAM2', 'P35609', 'TWEAK'})"
"frozenset({'Q96L21', 'TWEAK', 'P30050'})"
"frozenset({'Q15459', 'TWEAK', 'Q96PK6'})"
"frozenset({'TWEAK', 'P05014', 'Q14627'})"
"frozenset({'Q05086', 'TWEAK', 'P33993'})"
"frozenset({'TWEAK', 'Q9P0N5', 'Q96S66'})"
"frozenset({'P63244', 'P03372', 'TWEAK'})"
"frozenset({'Q8TDN6', 'Q99523', 'TWEAK'})"
"frozenset({'Q5JQF8', 'TWEAK', 'Q58A45'})"
"frozenset({'P98175', 'TWEAK', 'Q8IX12'})"
"frozenset({'P22455', 'O15123', 'TWEAK'})"
"frozenset({'Q9NS23', 'O14807', 'TWEAK'})"
"frozenset({'P62266', 'P46778', 'TWEAK'})"
"frozenset({'P13727', 'TWEAK', 'Q8TEL6'})"
"frozenset({'Q15672', 'O14920', 'TWEAK'})"
"frozenset({'Q71U36', 'Q92834', 'TWEAK'})"
"frozenset({'P34059', 'TWEAK', 'Q16635'})"
"frozenset({'Q5SRE5', 'Q8IY92', 'TWEAK'})"
"frozenset({'P61586', 'Q92499', 'TWEAK'})"
"frozenset({'P0DP24', 'Q9BYF1', 'TWEAK'})"
"frozenset({'O43504', 'Q9Y5K8', 'TWEAK'})"
"frozenset({'Q14584', 'Q16543', 'TWEAK'})"
"frozenset({'TWEAK', 'O60262', 'P48549'})"
"frozenset({'Q5BKU9', 'TWEAK', 'Q9HA77'})"
"frozenset({'Q13526', 'TWEAK', 'Q15648'})"
"frozenset({'P55851', 'P20930', 'TWEAK'})"
"frozenset({'P55209', 'TWEAK', 'Q14164'})"
"frozenset({'P36542', 'P00533', 'TWEAK'})"
"frozenset({'P01185', 'Q9UBY5', 'TWEAK'})"
"frozenset({'Q86T03', 'Q66K14', 'TWEAK'})"
"frozenset({'Q86Y91', 'P68431', 'TWEAK'})"
"frozenset({'Q5FBB7', 'Q9NRR4', 'TWEAK'})"
"frozenset({'Q8IYT8', 'TWEAK', 'P54105'})"
"frozenset({'P33316', 'O14732', 'TWEAK'})"
"frozenset({'P49321', 'P62487', 'TWEAK'})"
"frozenset({'P12931', 'TWEAK', 'Q9NWQ8'})"
"frozenset({'Q14999', 'TWEAK', 'O75369'})"
"frozenset({'Q13464', 'TWEAK', 'P36873'})"
"frozenset({'Q13315', 'Q9UNF1', 'TWEAK'})"
"frozenset({'O43379', 'TWEAK', 'Q9BVG8'})"
"frozenset({'O43143', 'Q86VP6', 'TWEAK'})"
"frozenset({'Q9C0B0', 'TWEAK', 'P50991'})"
"frozenset({'Q9NRD5', 'Q96MU7', 'TWEAK'})"
"frozenset({'P61006', 'TWEAK', 'P16410'})"
"frozenset({'P27635', 'TWEAK', 'Q7Z478'})"
"frozenset({'TWEAK', 'P31151', 'Q01469'})"
"frozenset({'Q13177', 'Q9BX66', 'TWEAK'})"
"frozenset({'P19838', 'TWEAK', 'Q96IJ6'})"
"frozenset({'Q9Y5N6', 'TWEAK', 'P33992'})"
"frozenset({'Q9UKL3', 'Q14207', 'TWEAK'})"
"frozenset({'P17931', 'Q9P2B2', 'TWEAK'})"
"frozenset({'P18206', 'P09012', 'TWEAK'})"
"frozenset({'Q96C74', 'O75969', 'TWEAK'})"
"frozenset({'P62314', 'Q6P2Q9', 'TWEAK'})"
