negatives
"frozenset({'O75051', 'TWEAK', 'Q15262'})"
"frozenset({'O95232', 'Q9NQ29', 'TWEAK'})"
"frozenset({'P08908', 'P62873', 'TWEAK'})"
"frozenset({'P22748', 'P02730', 'TWEAK'})"
"frozenset({'Q8N0Y2', 'P57086', 'TWEAK'})"
"frozenset({'Q8N8J7', 'P61165', 'TWEAK'})"
"frozenset({'Q8N1N4', 'Q15323', 'TWEAK'})"
"frozenset({'Q7KYR7', 'TWEAK', 'Q9NZ56'})"
"frozenset({'Q15628', 'Q14974', 'TWEAK'})"
"frozenset({'P09651', 'P04792', 'TWEAK'})"
"frozenset({'Q9UBT7', 'Q6ZU80', 'TWEAK'})"
"frozenset({'Q92765', 'Q93098', 'TWEAK'})"
"frozenset({'Q99880', 'P16104', 'TWEAK'})"
"frozenset({'Q14134', 'TWEAK', 'Q96L08'})"
"frozenset({'O96028', 'Q9P219', 'TWEAK'})"
"frozenset({'Q99798', 'TWEAK', 'P04179'})"
"frozenset({'Q6AZY7', 'Q9P0U3', 'TWEAK'})"
"frozenset({'Q14999', 'P39023', 'TWEAK'})"
"frozenset({'Q8NHQ9', 'TWEAK', 'Q9NVD3'})"
"frozenset({'Q9Y3M2', 'TWEAK', 'Q9BQK8'})"
"frozenset({'P41220', 'Q8TB24', 'TWEAK'})"
"frozenset({'O96019', 'Q15637', 'TWEAK'})"
"frozenset({'P52798', 'Q15375', 'TWEAK'})"
"frozenset({'Q96CN9', 'Q86WC6', 'TWEAK'})"
"frozenset({'P23458', 'TWEAK', 'O14744'})"
"frozenset({'Q2YD98', 'TWEAK', 'O60506'})"
"frozenset({'Q8IWB7', 'TWEAK', 'P10606'})"
"frozenset({'Q9H334', 'TWEAK', 'Q15717'})"
"frozenset({'Q99801', 'TWEAK', 'P04150'})"
"frozenset({'Q9Y4E8', 'P11274', 'TWEAK'})"
"frozenset({'Q9Y371', 'Q8NI36', 'TWEAK'})"
"frozenset({'P60410', 'TWEAK', 'P60328'})"
"frozenset({'P56747', 'P56856', 'TWEAK'})"
"frozenset({'Q15120', 'P10515', 'TWEAK'})"
"frozenset({'Q9UBK8', 'TWEAK', 'O00139'})"
"frozenset({'P12830', 'TWEAK', 'Q15836'})"
"frozenset({'P48163', 'TWEAK', 'Q9Y2Q3'})"
"frozenset({'P17612', 'Q8NH93', 'TWEAK'})"
"frozenset({'P20701', 'TWEAK', 'P05362'})"
"frozenset({'P38919', 'P49327', 'TWEAK'})"
"frozenset({'P60709', 'Q9Y5K3', 'TWEAK'})"
"frozenset({'Q9Y478', 'P55786', 'TWEAK'})"
"frozenset({'P69891', 'TWEAK', 'Q8IUH5'})"
"frozenset({'Q96EY1', 'P08621', 'TWEAK'})"
"frozenset({'Q15154', 'Q9P209', 'TWEAK'})"
"frozenset({'P82921', 'TWEAK', 'Q9H0E7'})"
"frozenset({'O14967', 'TWEAK', 'P62820'})"
"frozenset({'O43143', 'Q12962', 'TWEAK'})"
"frozenset({'Q6ZMG9', 'Q92633', 'TWEAK'})"
"frozenset({'Q96IY1', 'TWEAK', 'Q8NG31'})"
"frozenset({'P55795', 'TWEAK', 'Q8IX12'})"
"frozenset({'Q9Y6N9', 'Q9H251', 'TWEAK'})"
"frozenset({'P37088', 'TWEAK', 'P10275'})"
"frozenset({'P62633', 'TWEAK', 'P42766'})"
"frozenset({'Q9UK45', 'O95777', 'TWEAK'})"
"frozenset({'TWEAK', 'Q9NRJ3', 'P51684'})"
"frozenset({'Q9Y337', 'Q96RG2', 'TWEAK'})"
"frozenset({'Q9UJX2', 'Q9BUH8', 'TWEAK'})"
"frozenset({'Q16659', 'Q02978', 'TWEAK'})"
"frozenset({'P82933', 'TWEAK', 'Q9Y676'})"
"frozenset({'TWEAK', 'P07900', 'O14617'})"
"frozenset({'B5ME19', 'Q9UBQ5', 'TWEAK'})"
"frozenset({'TWEAK', 'P10415', 'P04637'})"
"frozenset({'Q7L576', 'P50221', 'TWEAK'})"
"frozenset({'Q6P5Z2', 'Q9UBN7', 'TWEAK'})"
"frozenset({'Q9UQ35', 'Q14566', 'TWEAK'})"
"frozenset({'O43463', 'Q6TGC4', 'TWEAK'})"
"frozenset({'P52735', 'P54725', 'TWEAK'})"
"frozenset({'Q9ULV0', 'P35579', 'TWEAK'})"
"frozenset({'P13674', 'TWEAK', 'P58012'})"
"frozenset({'TWEAK', 'Q9Y2B5', 'Q9H7C9'})"
"frozenset({'P13073', 'Q8N4V1', 'TWEAK'})"
"frozenset({'Q504Q3', 'P23246', 'TWEAK'})"
"frozenset({'TWEAK', 'Q92610', 'O95983'})"
"frozenset({'P10114', 'TWEAK', 'P68104'})"
"frozenset({'Q9Y3A5', 'P11908', 'TWEAK'})"
"frozenset({'Q9NVI1', 'TWEAK', 'O14925'})"
"frozenset({'Q8IX01', 'P0C7T5', 'TWEAK'})"
"frozenset({'O94986', 'Q9UPR3', 'TWEAK'})"
"frozenset({'P15172', 'P15884', 'TWEAK'})"
"frozenset({'Q8NEC5', 'Q9P0X4', 'TWEAK'})"
"frozenset({'Q9BWF3', 'Q8N3F8', 'TWEAK'})"
"frozenset({'Q86U06', 'TWEAK', 'Q8IWX8'})"
"frozenset({'Q86UV6', 'Q99816', 'TWEAK'})"
"frozenset({'Q5T4F7', 'O00144', 'TWEAK'})"
"frozenset({'Q8TEW0', 'TWEAK', 'P15153'})"
"frozenset({'Q9Y4G8', 'P46937', 'TWEAK'})"
"frozenset({'TWEAK', 'O00141', 'Q969L2'})"
"frozenset({'Q99650', 'Q9GZX6', 'TWEAK'})"
"frozenset({'O60493', 'TWEAK', 'P55072'})"
"frozenset({'O95274', 'Q6PJG6', 'TWEAK'})"
"frozenset({'P33316', 'Q9UFG5', 'TWEAK'})"
"frozenset({'Q92925', 'TWEAK', 'Q92785'})"
"frozenset({'P42345', 'TWEAK', 'Q9UBU9'})"
"frozenset({'P51784', 'Q49AN0', 'TWEAK'})"
"frozenset({'P61086', 'TWEAK', 'Q9UKV5'})"
"frozenset({'TWEAK', 'Q6L8Q7', 'P11441'})"
"frozenset({'Q9H0R8', 'TWEAK', 'Q9UBU9'})"
"frozenset({'P55036', 'Q9NRD1', 'TWEAK'})"
"frozenset({'P04792', 'P60900', 'TWEAK'})"
"frozenset({'Q02446', 'TWEAK', 'O43186'})"
"frozenset({'Q7L4I2', 'Q9NRR5', 'TWEAK'})"
"frozenset({'Q9NVD7', 'TWEAK', 'Q15717'})"
"frozenset({'Q06787', 'TWEAK', 'Q9UHK0'})"
"frozenset({'Q8WV24', 'Q13310', 'TWEAK'})"
"frozenset({'Q9Y5L0', 'TWEAK', 'O15144'})"
"frozenset({'Q8NEC5', 'Q9NRY6', 'TWEAK'})"
"frozenset({'TWEAK', 'Q99959', 'P25054'})"
"frozenset({'O75665', 'TWEAK', 'O60308'})"
"frozenset({'Q9HC77', 'Q71U36', 'TWEAK'})"
"frozenset({'P40763', 'TWEAK', 'Q9H9S0'})"
"frozenset({'Q6NXE6', 'Q66PJ3', 'TWEAK'})"
"frozenset({'Q13948', 'P62633', 'TWEAK'})"
"frozenset({'Q9HCM4', 'O95229', 'TWEAK'})"
"frozenset({'P14384', 'P35579', 'TWEAK'})"
"frozenset({'P18850', 'P17861', 'TWEAK'})"
"frozenset({'O00459', 'Q13618', 'TWEAK'})"
"frozenset({'O14788', 'O95865', 'TWEAK'})"
"frozenset({'Q96FV9', 'TWEAK', 'Q13435'})"
"frozenset({'P12830', 'TWEAK', 'Q00587'})"
"frozenset({'Q96HS1', 'O60260', 'TWEAK'})"
"frozenset({'TWEAK', 'Q96ME7', 'Q63ZY3'})"
"frozenset({'P00441', 'TWEAK', 'P17174'})"
"frozenset({'TWEAK', 'O14979', 'P26368'})"
"frozenset({'Q08211', 'Q9BYV6', 'TWEAK'})"
"frozenset({'P49736', 'P36551', 'TWEAK'})"
"frozenset({'P41182', 'TWEAK', 'Q86XK2'})"
"frozenset({'P55265', 'TWEAK', 'Q9NPD3'})"
"frozenset({'P11802', 'TWEAK', 'P23508'})"
"frozenset({'P12830', 'TWEAK', 'O76041'})"
"frozenset({'O14980', 'Q14134', 'TWEAK'})"
"frozenset({'P34931', 'TWEAK', 'Q8TF42'})"
"frozenset({'Q96KN2', 'A5A3E0', 'TWEAK'})"
"frozenset({'Q9P0K1', 'Q9NYB9', 'TWEAK'})"
"frozenset({'O95271', 'TWEAK', 'Q9NRI5'})"
"frozenset({'P02751', 'P18754', 'TWEAK'})"
"frozenset({'Q15022', 'Q12972', 'TWEAK'})"
"frozenset({'P55055', 'P49327', 'TWEAK'})"
"frozenset({'P20339', 'Q96T51', 'TWEAK'})"
"frozenset({'TWEAK', 'Q9Y5K5', 'P28070'})"
"frozenset({'Q12933', 'TWEAK', 'Q6SZW1'})"
"frozenset({'P17612', 'Q8NGF1', 'TWEAK'})"
"frozenset({'P03905', 'Q9NX14', 'TWEAK'})"
"frozenset({'P23458', 'P01567', 'TWEAK'})"
"frozenset({'Q8TEP8', 'TWEAK', 'Q05D60'})"
"frozenset({'TWEAK', 'B2RUY7', 'Q13643'})"
"frozenset({'Q8IUW3', 'Q9H0F6', 'TWEAK'})"
"frozenset({'P15408', 'TWEAK', 'Q8NFP9'})"
"frozenset({'O00743', 'TWEAK', 'P10398'})"
"frozenset({'Q7Z434', 'O14818', 'TWEAK'})"
"frozenset({'Q9NPI1', 'Q96KK5', 'TWEAK'})"
"frozenset({'Q5S007', 'TWEAK', 'P61160'})"
"frozenset({'P27824', 'TWEAK', 'O15438'})"
"frozenset({'Q92905', 'Q9NZI8', 'TWEAK'})"
"frozenset({'P16949', 'Q9HAV7', 'TWEAK'})"
"frozenset({'P49918', 'P24385', 'TWEAK'})"
"frozenset({'P13727', 'TWEAK', 'O95450'})"
"frozenset({'P28838', 'TWEAK', 'P14174'})"
"frozenset({'Q9Y2T2', 'Q96LK0', 'TWEAK'})"
"frozenset({'Q9NYL9', 'O14788', 'TWEAK'})"
"frozenset({'P28482', 'TWEAK', 'O60262'})"
"frozenset({'Q96IX9', 'TWEAK', 'P54257'})"
"frozenset({'P58317', 'TWEAK', 'P01106'})"
"frozenset({'P07766', 'P43405', 'TWEAK'})"
"frozenset({'Q92636', 'P17987', 'TWEAK'})"
"frozenset({'O15417', 'TWEAK', 'P48431'})"
"frozenset({'P54259', 'TWEAK', 'Q09013'})"
"frozenset({'TWEAK', 'Q96Q40', 'Q96PK6'})"
"frozenset({'Q8IVD9', 'TWEAK', 'O60502'})"
"frozenset({'Q9NQS7', 'TWEAK', 'P06493'})"
"frozenset({'P43405', 'TWEAK', 'P0DP23'})"
"frozenset({'TWEAK', 'Q9BXU3', 'Q9BXI6'})"
"frozenset({'P09651', 'P35228', 'TWEAK'})"
"frozenset({'P62829', 'TWEAK', 'Q02878'})"
"frozenset({'P07550', 'P31943', 'TWEAK'})"
"frozenset({'P63092', 'Q14416', 'TWEAK'})"
"frozenset({'P0C0S8', 'P55209', 'TWEAK'})"
"frozenset({'P49770', 'P00533', 'TWEAK'})"
"frozenset({'P15924', 'P54819', 'TWEAK'})"
"frozenset({'P22612', 'Q01668', 'TWEAK'})"
"frozenset({'P40337', 'TWEAK', 'Q16878'})"
"frozenset({'O00487', 'O00233', 'TWEAK'})"
"frozenset({'Q5JRA6', 'TWEAK', 'Q02388'})"
"frozenset({'TWEAK', 'P09529', 'P10600'})"
"frozenset({'Q96QT6', 'TWEAK', 'Q9UNQ0'})"
"frozenset({'P37198', 'P35222', 'TWEAK'})"
"frozenset({'P11245', 'TWEAK', 'P42773'})"
"frozenset({'Q08AM6', 'P62873', 'TWEAK'})"
"frozenset({'TWEAK', 'Q6ZW49', 'Q15796'})"
"frozenset({'Q9UBX2', 'TWEAK', 'Q15717'})"
"frozenset({'O00422', 'O43290', 'TWEAK'})"
"frozenset({'P12931', 'TWEAK', 'P35326'})"
"frozenset({'P38919', 'TWEAK', 'P37108'})"
"frozenset({'P80370', 'TWEAK', 'Q969V3'})"
"frozenset({'Q09028', 'TWEAK', 'P58546'})"
"frozenset({'Q96E29', 'P08247', 'TWEAK'})"
"frozenset({'Q9UHI6', 'TWEAK', 'Q9UGN5'})"
"frozenset({'Q9BUZ4', 'O43353', 'TWEAK'})"
"frozenset({'Q9BYG3', 'Q9NVP1', 'TWEAK'})"
"frozenset({'Q8NET5', 'P43405', 'TWEAK'})"
"frozenset({'Q14201', 'Q5JQF8', 'TWEAK'})"
"frozenset({'P43146', 'P62847', 'TWEAK'})"
"frozenset({'Q07869', 'TWEAK', 'P07148'})"
"frozenset({'Q9NRV9', 'TWEAK', 'Q9H2U1'})"
"frozenset({'P61020', 'Q9HCE1', 'TWEAK'})"
"frozenset({'P08238', 'O75147', 'TWEAK'})"
"frozenset({'P83731', 'TWEAK', 'P05362'})"
"frozenset({'P29317', 'TWEAK', 'O95782'})"
"frozenset({'P49757', 'Q13387', 'TWEAK'})"
"frozenset({'P06396', 'O43734', 'TWEAK'})"
"frozenset({'P17568', 'O43674', 'TWEAK'})"
"frozenset({'Q99814', 'Q16520', 'TWEAK'})"
"frozenset({'Q96BK5', 'Q99417', 'TWEAK'})"
"frozenset({'P48643', 'Q13547', 'TWEAK'})"
"frozenset({'P98164', 'TWEAK', 'P57105'})"
"frozenset({'P49761', 'TWEAK', 'Q15554'})"
"frozenset({'O75127', 'Q9NYK5', 'TWEAK'})"
"frozenset({'TWEAK', 'P17812', 'Q93034'})"
"frozenset({'P61106', 'TWEAK', 'Q6WKZ4'})"
"frozenset({'Q8NC44', 'Q9GZQ8', 'TWEAK'})"
"frozenset({'P13612', 'Q9BSD7', 'TWEAK'})"
"frozenset({'O43491', 'TWEAK', 'P04150'})"
"frozenset({'Q99698', 'TWEAK', 'O14964'})"
"frozenset({'Q8N205', 'TWEAK', 'O43760'})"
"frozenset({'Q15007', 'TWEAK', 'Q96T76'})"
"frozenset({'P78406', 'P09417', 'TWEAK'})"
"frozenset({'Q8N1N4', 'Q13618', 'TWEAK'})"
"frozenset({'P27482', 'Q6ZSY5', 'TWEAK'})"
"frozenset({'Q9Y297', 'Q13627', 'TWEAK'})"
"frozenset({'Q969S3', 'Q9NWT6', 'TWEAK'})"
"frozenset({'P60981', 'P05556', 'TWEAK'})"
"frozenset({'Q99741', 'P37173', 'TWEAK'})"
"frozenset({'Q9NZV5', 'Q9H2A9', 'TWEAK'})"
"frozenset({'Q8WYR1', 'TWEAK', 'P08172'})"
"frozenset({'Q92905', 'O15085', 'TWEAK'})"
"frozenset({'P49790', 'P84022', 'TWEAK'})"
"frozenset({'P06576', 'TWEAK', 'Q8WXH4'})"
"frozenset({'P40763', 'TWEAK', 'Q9Y5Q3'})"
"frozenset({'Q99459', 'TWEAK', 'P53621'})"
"frozenset({'Q9NXU5', 'A0PK00', 'TWEAK'})"
"frozenset({'P32121', 'P41227', 'TWEAK'})"
"frozenset({'Q08379', 'Q96SD1', 'TWEAK'})"
"frozenset({'Q9UPQ0', 'TWEAK', 'Q92614'})"
"frozenset({'Q8NFP7', 'TWEAK', 'Q9NR12'})"
"frozenset({'Q96C24', 'P51159', 'TWEAK'})"
"frozenset({'O43318', 'Q9NWZ3', 'TWEAK'})"
"frozenset({'Q14999', 'TWEAK', 'P62318'})"
"frozenset({'Q9UMN6', 'P61964', 'TWEAK'})"
"frozenset({'TWEAK', 'Q00325', 'Q15257'})"
"frozenset({'TWEAK', 'P31751', 'Q86X19'})"
"frozenset({'P05141', 'Q13616', 'TWEAK'})"
"frozenset({'Q13617', 'Q8NHY2', 'TWEAK'})"
"frozenset({'Q99547', 'TWEAK', 'O60293'})"
"frozenset({'Q8WVE6', 'Q6ZWJ1', 'TWEAK'})"
"frozenset({'Q9H0R8', 'Q86V97', 'TWEAK'})"
"frozenset({'P78386', 'TWEAK', 'P40818'})"
"frozenset({'Q13177', 'TWEAK', 'Q9H0C8'})"
"frozenset({'P05067', 'Q9NUI1', 'TWEAK'})"
"frozenset({'Q76N32', 'Q9UKB1', 'TWEAK'})"
"frozenset({'Q13077', 'Q96KQ4', 'TWEAK'})"
"frozenset({'Q9Y2X0', 'TWEAK', 'P04629'})"
"frozenset({'P21283', 'Q9NZ45', 'TWEAK'})"
"frozenset({'O60229', 'TWEAK', 'P48023'})"
"frozenset({'O75352', 'P61247', 'TWEAK'})"
"frozenset({'Q00839', 'Q86V81', 'TWEAK'})"
"frozenset({'Q8WVK7', 'Q9H410', 'TWEAK'})"
"frozenset({'Q96MY7', 'Q9NSC5', 'TWEAK'})"
"frozenset({'TWEAK', 'Q9H0S4', 'Q9UL18'})"
"frozenset({'Q96CW1', 'O14980', 'TWEAK'})"
"frozenset({'TWEAK', 'P07942', 'P30101'})"
"frozenset({'P0DP25', 'Q9Y4K3', 'TWEAK'})"
"frozenset({'TWEAK', 'O14556', 'Q15654'})"
"frozenset({'O43639', 'TWEAK', 'Q70E73'})"
"frozenset({'P11021', 'P37198', 'TWEAK'})"
"frozenset({'Q8TF50', 'TWEAK', 'Q9H9D4'})"
"frozenset({'TWEAK', 'Q6WBX8', 'Q13535'})"
"frozenset({'TWEAK', 'Q96N38', 'Q8N653'})"
"frozenset({'Q9BYC9', 'Q13625', 'TWEAK'})"
"frozenset({'P26358', 'Q01201', 'TWEAK'})"
"frozenset({'TWEAK', 'Q15059', 'P10451'})"
"frozenset({'O75477', 'TWEAK', 'Q8WU17'})"
"frozenset({'P24941', 'Q9Y6N7', 'TWEAK'})"
"frozenset({'TWEAK', 'Q9UNA4', 'P04637'})"
"frozenset({'P43629', 'P13747', 'TWEAK'})"
"frozenset({'Q13144', 'P16150', 'TWEAK'})"
"frozenset({'P04843', 'P14618', 'TWEAK'})"
"frozenset({'P08603', 'P02768', 'TWEAK'})"
"frozenset({'Q9NX58', 'Q14676', 'TWEAK'})"
"frozenset({'Q8TF64', 'P06733', 'TWEAK'})"
"frozenset({'P60709', 'P05386', 'TWEAK'})"
"frozenset({'P36402', 'P46937', 'TWEAK'})"
"frozenset({'P26371', 'TWEAK', 'Q15077'})"
"frozenset({'P11362', 'P20783', 'TWEAK'})"
"frozenset({'O75400', 'Q9UI08', 'TWEAK'})"
"frozenset({'TWEAK', 'Q01201', 'P06493'})"
"frozenset({'Q9P286', 'TWEAK', 'P50402'})"
"frozenset({'O95751', 'Q99728', 'TWEAK'})"
"frozenset({'P04629', 'Q6UXN9', 'TWEAK'})"
"frozenset({'Q06187', 'TWEAK', 'Q9Y6K9'})"
"frozenset({'Q9ULX3', 'P49674', 'TWEAK'})"
