negatives
"frozenset({'P24468', 'Q13573', 'TNFalpha'})"
"frozenset({'Q96TC7', 'TNFalpha', 'Q15717'})"
"frozenset({'Q16537', 'Q7Z3S7', 'TNFalpha'})"
"frozenset({'P48436', 'Q8TEY5', 'TNFalpha'})"
"frozenset({'TNFalpha', 'P24941', 'P78396'})"
"frozenset({'Q9UKA4', 'TNFalpha', 'P62140'})"
"frozenset({'Q96S52', 'TNFalpha', 'Q6A162'})"
"frozenset({'Q9NP98', 'TNFalpha', 'Q9BRK4'})"
"frozenset({'P63098', 'Q8NHZ8', 'TNFalpha'})"
"frozenset({'P42771', 'TNFalpha', 'P30480'})"
"frozenset({'Q08379', 'TNFalpha', 'Q9BW66'})"
"frozenset({'Q8IUF1', 'TNFalpha', 'Q9GZT9'})"
"frozenset({'Q6RI45', 'P54274', 'TNFalpha'})"
"frozenset({'P29590', 'Q9UKL3', 'TNFalpha'})"
"frozenset({'TNFalpha', 'O95863', 'P09016'})"
"frozenset({'TNFalpha', 'Q9BSQ5', 'O14713'})"
"frozenset({'Q15198', 'O60911', 'TNFalpha'})"
"frozenset({'Q06265', 'Q13901', 'TNFalpha'})"
"frozenset({'Q9Y4K3', 'TNFalpha', 'P62491'})"
"frozenset({'P01106', 'P04035', 'TNFalpha'})"
"frozenset({'Q9UIF9', 'Q9UPN9', 'TNFalpha'})"
"frozenset({'Q9BZE0', 'Q10570', 'TNFalpha'})"
"frozenset({'P60228', 'TNFalpha', 'P62266'})"
"frozenset({'O43390', 'Q9Y5K6', 'TNFalpha'})"
"frozenset({'Q9HCE1', 'TNFalpha', 'Q8N5U6'})"
"frozenset({'P51991', 'TNFalpha', 'Q9UHX1'})"
"frozenset({'O95967', 'TNFalpha', 'Q5T7P2'})"
"frozenset({'Q9BVG8', 'TNFalpha', 'Q8IXK0'})"
"frozenset({'Q9BYU1', 'Q8IYI6', 'TNFalpha'})"
"frozenset({'Q9Y248', 'P33993', 'TNFalpha'})"
"frozenset({'O14980', 'TNFalpha', 'Q5JTD0'})"
"frozenset({'P62314', 'P54105', 'TNFalpha'})"
"frozenset({'P14649', 'TNFalpha', 'Q96H55'})"
"frozenset({'Q3MIX3', 'Q07021', 'TNFalpha'})"
"frozenset({'Q14289', 'Q9HCN6', 'TNFalpha'})"
"frozenset({'P62166', 'Q7Z698', 'TNFalpha'})"
"frozenset({'TNFalpha', 'Q86VP6', 'P00338'})"
"frozenset({'P00156', 'TNFalpha', 'P14927'})"
"frozenset({'Q14457', 'Q8NEB9', 'TNFalpha'})"
"frozenset({'Q15042', 'Q8NI08', 'TNFalpha'})"
"frozenset({'Q13188', 'Q5S007', 'TNFalpha'})"
"frozenset({'P19320', 'TNFalpha', 'Q96AE4'})"
"frozenset({'P09493', 'P17535', 'TNFalpha'})"
"frozenset({'O75909', 'TNFalpha', 'Q92997'})"
"frozenset({'Q9H7E9', 'TNFalpha', 'Q6UXH1'})"
"frozenset({'Q96EY8', 'TNFalpha', 'Q14999'})"
"frozenset({'Q9P0K7', 'Q8TCJ0', 'TNFalpha'})"
"frozenset({'Q13557', 'TNFalpha', 'P40145'})"
"frozenset({'Q6PI77', 'TNFalpha', 'Q9UJX2'})"
"frozenset({'Q96F86', 'Q6IQ23', 'TNFalpha'})"
"frozenset({'Q92890', 'Q9UJX6', 'TNFalpha'})"
"frozenset({'Q9Y287', 'P30450', 'TNFalpha'})"
"frozenset({'Q02878', 'O60885', 'TNFalpha'})"
"frozenset({'Q8NCU1', 'TNFalpha', 'O95447'})"
"frozenset({'P01116', 'TNFalpha', 'Q15717'})"
"frozenset({'P02771', 'TNFalpha', 'P98170'})"
"frozenset({'Q16799', 'TNFalpha', 'Q07817'})"
"frozenset({'Q8IWW6', 'TNFalpha', 'P52198'})"
"frozenset({'Q96ET8', 'P62079', 'TNFalpha'})"
"frozenset({'Q969T4', 'Q9UJV3', 'TNFalpha'})"
"frozenset({'Q9UQM7', 'Q02641', 'TNFalpha'})"
"frozenset({'O14980', 'P30305', 'TNFalpha'})"
"frozenset({'Q9H2G2', 'TNFalpha', 'Q9P1A6'})"
"frozenset({'O75147', 'Q2TAY7', 'TNFalpha'})"
"frozenset({'O60716', 'P00519', 'TNFalpha'})"
"frozenset({'Q92564', 'TNFalpha', 'Q9UBF6'})"
"frozenset({'Q9Y2Q3', 'P19320', 'TNFalpha'})"
"frozenset({'Q99714', 'TNFalpha', 'Q8WZA2'})"
"frozenset({'Q9H992', 'TNFalpha', 'Q5H9I0'})"
"frozenset({'P35222', 'P26038', 'TNFalpha'})"
"frozenset({'P15121', 'TNFalpha', 'P30480'})"
"frozenset({'Q9H2X6', 'O15297', 'TNFalpha'})"
"frozenset({'P63146', 'TNFalpha', 'Q9UBT2'})"
"frozenset({'Q70EK8', 'P46108', 'TNFalpha'})"
"frozenset({'P02462', 'Q07092', 'TNFalpha'})"
"frozenset({'TNFalpha', 'O95684', 'P61019'})"
"frozenset({'P54725', 'P23381', 'TNFalpha'})"
"frozenset({'TNFalpha', 'O75688', 'P30793'})"
"frozenset({'P13639', 'TNFalpha', 'P51659'})"
"frozenset({'TNFalpha', 'Q14498', 'Q8WYA6'})"
"frozenset({'P20718', 'P42574', 'TNFalpha'})"
"frozenset({'O14639', 'TNFalpha', 'Q04917'})"
"frozenset({'Q09472', 'Q13547', 'TNFalpha'})"
"frozenset({'O14910', 'Q5T2T1', 'TNFalpha'})"
"frozenset({'Q9UIM3', 'O94966', 'TNFalpha'})"
"frozenset({'P40763', 'TNFalpha', 'P10415'})"
"frozenset({'Q9C0C4', 'TNFalpha', 'Q86X19'})"
"frozenset({'Q6EMK4', 'TNFalpha', 'P49901'})"
"frozenset({'Q15648', 'Q12756', 'TNFalpha'})"
"frozenset({'Q9BYX4', 'TNFalpha', 'O94817'})"
"frozenset({'Q9Y5Q8', 'TNFalpha', 'Q6A162'})"
"frozenset({'Q8N0Z3', 'Q9HAU0', 'TNFalpha'})"
"frozenset({'Q13535', 'O60568', 'TNFalpha'})"
"frozenset({'P00533', 'P42684', 'TNFalpha'})"
"frozenset({'P11142', 'Q9UPP5', 'TNFalpha'})"
"frozenset({'Q15269', 'P22087', 'TNFalpha'})"
"frozenset({'TNFalpha', 'P45984', 'O43379'})"
"frozenset({'Q00978', 'Q8IVW6', 'TNFalpha'})"
"frozenset({'P38398', 'Q09472', 'TNFalpha'})"
"frozenset({'P29597', 'P17844', 'TNFalpha'})"
"frozenset({'Q15370', 'P62875', 'TNFalpha'})"
"frozenset({'O00159', 'Q9NRC8', 'TNFalpha'})"
"frozenset({'P47902', 'Q9UJU2', 'TNFalpha'})"
"frozenset({'P32121', 'Q8N162', 'TNFalpha'})"
"frozenset({'O60814', 'TNFalpha', 'Q9BY41'})"
