negatives
"frozenset({'P14866', 'TNFalpha', 'Q5VWX1'})"
"frozenset({'Q02880', 'TNFalpha', 'O75643'})"
"frozenset({'P10632', 'P19793', 'TNFalpha'})"
"frozenset({'P06454', 'TNFalpha', 'P12004'})"
"frozenset({'O00506', 'TNFalpha', 'O43815'})"
"frozenset({'Q96BR9', 'Q9HAQ2', 'TNFalpha'})"
"frozenset({'P0C1Z6', 'Q8TBA6', 'TNFalpha'})"
"frozenset({'P54886', 'TNFalpha', 'Q15233'})"
"frozenset({'Q05513', 'TNFalpha', 'O43175'})"
"frozenset({'O14939', 'TNFalpha', 'P04406'})"
"frozenset({'TNFalpha', 'P05783', 'Q9Y6K9'})"
"frozenset({'Q13535', 'TNFalpha', 'Q96AE4'})"
"frozenset({'Q04864', 'Q9BYQ2', 'TNFalpha'})"
"frozenset({'Q32P51', 'P31943', 'TNFalpha'})"
"frozenset({'P49792', 'Q9UHV7', 'TNFalpha'})"
"frozenset({'TNFalpha', 'Q9BTW9', 'Q9BRG1'})"
"frozenset({'O43318', 'TNFalpha', 'P19438'})"
"frozenset({'Q9P127', 'P0DP23', 'TNFalpha'})"
"frozenset({'Q01664', 'Q13363', 'TNFalpha'})"
"frozenset({'P50995', 'TNFalpha', 'P05141'})"
"frozenset({'TNFalpha', 'P01241', 'P41091'})"
"frozenset({'Q9Y4H2', 'TNFalpha', 'Q92569'})"
"frozenset({'P50991', 'TNFalpha', 'Q99759'})"
"frozenset({'Q01959', 'TNFalpha', 'Q9H4B7'})"
"frozenset({'Q02833', 'Q9NRD5', 'TNFalpha'})"
"frozenset({'Q9UIW2', 'P15153', 'TNFalpha'})"
"frozenset({'Q96HA1', 'Q8TEM1', 'TNFalpha'})"
"frozenset({'Q2KHM9', 'Q5SW79', 'TNFalpha'})"
"frozenset({'P15260', 'Q9NPF7', 'TNFalpha'})"
"frozenset({'P60006', 'Q9H1A4', 'TNFalpha'})"
"frozenset({'Q9BYQ3', 'P59990', 'TNFalpha'})"
"frozenset({'O43251', 'TNFalpha', 'P09234'})"
"frozenset({'Q13480', 'TNFalpha', 'A7KAX9'})"
"frozenset({'Q01094', 'P11362', 'TNFalpha'})"
"frozenset({'Q86VR2', 'Q08722', 'TNFalpha'})"
"frozenset({'Q9H0E2', 'O75674', 'TNFalpha'})"
"frozenset({'TNFalpha', 'P28066', 'O14818'})"
"frozenset({'P38398', 'TNFalpha', 'P36873'})"
"frozenset({'P35637', 'TNFalpha', 'Q8N1W1'})"
"frozenset({'O60763', 'Q9BS26', 'TNFalpha'})"
"frozenset({'Q8IWL3', 'Q13084', 'TNFalpha'})"
"frozenset({'P02751', 'P32969', 'TNFalpha'})"
"frozenset({'O95500', 'Q8N7P3', 'TNFalpha'})"
"frozenset({'Q7Z2K6', 'TNFalpha', 'Q9UN42'})"
"frozenset({'Q5UIP0', 'P61604', 'TNFalpha'})"
"frozenset({'Q92560', 'TNFalpha', 'P61956'})"
"frozenset({'Q9UHB6', 'TNFalpha', 'Q7L576'})"
"frozenset({'Q15006', 'TNFalpha', 'Q9Y4P3'})"
"frozenset({'P08571', 'Q9H6U6', 'TNFalpha'})"
"frozenset({'Q9NW08', 'P61218', 'TNFalpha'})"
"frozenset({'O75348', 'P15313', 'TNFalpha'})"
"frozenset({'Q9NRI5', 'Q99996', 'TNFalpha'})"
"frozenset({'O75348', 'Q8IVT5', 'TNFalpha'})"
"frozenset({'P51965', 'Q5JTY5', 'TNFalpha'})"
"frozenset({'P04629', 'TNFalpha', 'Q01968'})"
"frozenset({'B0FP48', 'TNFalpha', 'P58658'})"
"frozenset({'Q9Y4K3', 'Q68J44', 'TNFalpha'})"
"frozenset({'O60739', 'P39023', 'TNFalpha'})"
"frozenset({'P07910', 'TNFalpha', 'O00560'})"
"frozenset({'Q8NFZ0', 'TNFalpha', 'P12004'})"
"frozenset({'Q14524', 'TNFalpha', 'P0DP25'})"
"frozenset({'Q6IMI6', 'O00204', 'TNFalpha'})"
"frozenset({'P51114', 'Q5T6F2', 'TNFalpha'})"
"frozenset({'Q16795', 'P35610', 'TNFalpha'})"
"frozenset({'P33992', 'TNFalpha', 'P23246'})"
"frozenset({'Q9NRC8', 'Q8IWX8', 'TNFalpha'})"
"frozenset({'P35637', 'TNFalpha', 'Q8WWM7'})"
"frozenset({'P24752', 'TNFalpha', 'Q92616'})"
"frozenset({'O94905', 'P34932', 'TNFalpha'})"
"frozenset({'P12931', 'TNFalpha', 'P63244'})"
"frozenset({'Q9C026', 'TNFalpha', 'Q9NZD8'})"
"frozenset({'P54259', 'TNFalpha', 'Q15554'})"
"frozenset({'Q9BYN0', 'P28066', 'TNFalpha'})"
"frozenset({'P51116', 'TNFalpha', 'Q9NQC3'})"
"frozenset({'P61204', 'P09651', 'TNFalpha'})"
"frozenset({'P30419', 'Q96LK0', 'TNFalpha'})"
"frozenset({'Q9NY59', 'TNFalpha', 'Q7L5N1'})"
"frozenset({'P52803', 'TNFalpha', 'P10721'})"
"frozenset({'P61962', 'Q96QF0', 'TNFalpha'})"
"frozenset({'P63165', 'Q9HCK8', 'TNFalpha'})"
"frozenset({'Q7Z6G3', 'TNFalpha', 'Q8N5R6'})"
"frozenset({'P35998', 'Q9UJV3', 'TNFalpha'})"
"frozenset({'Q13526', 'P49639', 'TNFalpha'})"
"frozenset({'P50222', 'TNFalpha', 'Q05516'})"
"frozenset({'TNFalpha', 'Q16512', 'P30307'})"
"frozenset({'P12814', 'TNFalpha', 'Q13233'})"
"frozenset({'O94885', 'TNFalpha', 'Q9H204'})"
"frozenset({'P20701', 'TNFalpha', 'Q9Y490'})"
"frozenset({'P55196', 'Q9NRM7', 'TNFalpha'})"
"frozenset({'P04626', 'O94812', 'TNFalpha'})"
"frozenset({'Q96CW1', 'TNFalpha', 'P12236'})"
"frozenset({'Q9BRR9', 'P84095', 'TNFalpha'})"
"frozenset({'Q8IZD9', 'P00519', 'TNFalpha'})"
"frozenset({'Q15562', 'Q92826', 'TNFalpha'})"
"frozenset({'P09067', 'A6NEM1', 'TNFalpha'})"
"frozenset({'P49915', 'TNFalpha', 'P01889'})"
"frozenset({'O95817', 'TNFalpha', 'P43353'})"
"frozenset({'P62906', 'TNFalpha', 'Q9BV73'})"
"frozenset({'P50750', 'Q6PGQ7', 'TNFalpha'})"
"frozenset({'Q96KK5', 'P49736', 'TNFalpha'})"
"frozenset({'O75449', 'Q9UDT6', 'TNFalpha'})"
"frozenset({'TNFalpha', 'Q9UBI6', 'P98174'})"
"frozenset({'Q14315', 'TNFalpha', 'Q14919'})"
"frozenset({'Q00839', 'TNFalpha', 'P17480'})"
"frozenset({'P47897', 'Q6IQ23', 'TNFalpha'})"
"frozenset({'Q9UL18', 'TNFalpha', 'P27635'})"
"frozenset({'P51114', 'Q07002', 'TNFalpha'})"
"frozenset({'O60831', 'Q8IWL3', 'TNFalpha'})"
"frozenset({'Q8WWC4', 'Q9C002', 'TNFalpha'})"
"frozenset({'P02649', 'TNFalpha', 'P29474'})"
"frozenset({'Q16537', 'TNFalpha', 'Q92974'})"
"frozenset({'Q8TAF3', 'O14795', 'TNFalpha'})"
"frozenset({'P61956', 'TNFalpha', 'P36578'})"
"frozenset({'P46940', 'P19320', 'TNFalpha'})"
"frozenset({'Q9H0R8', 'P84098', 'TNFalpha'})"
"frozenset({'Q00653', 'Q08380', 'TNFalpha'})"
"frozenset({'P62873', 'P08151', 'TNFalpha'})"
"frozenset({'TNFalpha', 'O00154', 'P02511'})"
"frozenset({'O95817', 'TNFalpha', 'Q9BQI0'})"
"frozenset({'Q9NZH6', 'TNFalpha', 'P84022'})"
"frozenset({'Q9UIG0', 'TNFalpha', 'P43354'})"
"frozenset({'TNFalpha', 'Q96GX9', 'Q8TBC4'})"
"frozenset({'Q86Z20', 'Q96H86', 'TNFalpha'})"
"frozenset({'P08069', 'Q92914', 'TNFalpha'})"
"frozenset({'Q9UMX3', 'Q07820', 'TNFalpha'})"
"frozenset({'Q6ZRV2', 'Q8N137', 'TNFalpha'})"
"frozenset({'P55268', 'TNFalpha', 'P26012'})"
"frozenset({'TNFalpha', 'P68400', 'Q9UJY5'})"
"frozenset({'P56693', 'TNFalpha', 'P20265'})"
"frozenset({'Q15323', 'Q5T7P3', 'TNFalpha'})"
"frozenset({'TNFalpha', 'P46781', 'P61254'})"
"frozenset({'Q02535', 'P49639', 'TNFalpha'})"
"frozenset({'TNFalpha', 'Q8N6Y0', 'O76015'})"
"frozenset({'Q15717', 'TNFalpha', 'O94910'})"
"frozenset({'Q13200', 'TNFalpha', 'P30480'})"
"frozenset({'Q92616', 'O00264', 'TNFalpha'})"
"frozenset({'O60307', 'TNFalpha', 'Q15678'})"
"frozenset({'Q3SY56', 'TNFalpha', 'Q86VX9'})"
"frozenset({'Q99880', 'TNFalpha', 'Q92769'})"
"frozenset({'P00966', 'TNFalpha', 'P17858'})"
"frozenset({'Q0VGL1', 'P42345', 'TNFalpha'})"
"frozenset({'P48736', 'TNFalpha', 'P16144'})"
"frozenset({'TNFalpha', 'Q01668', 'Q08209'})"
"frozenset({'Q16620', 'P05230', 'TNFalpha'})"
"frozenset({'Q12840', 'P06213', 'TNFalpha'})"
"frozenset({'Q01664', 'Q12857', 'TNFalpha'})"
"frozenset({'Q14684', 'O00541', 'TNFalpha'})"
"frozenset({'Q9C0B0', 'O14980', 'TNFalpha'})"
"frozenset({'O75360', 'Q6PJ21', 'TNFalpha'})"
"frozenset({'Q92615', 'P04629', 'TNFalpha'})"
"frozenset({'P46777', 'TNFalpha', 'P61254'})"
"frozenset({'O95758', 'O15169', 'TNFalpha'})"
"frozenset({'P30533', 'Q8IWL3', 'TNFalpha'})"
"frozenset({'Q9UMZ2', 'TNFalpha', 'Q9UJY5'})"
"frozenset({'P54756', 'P00519', 'TNFalpha'})"
"frozenset({'TNFalpha', 'P56537', 'P36578'})"
"frozenset({'Q8IWL3', 'Q9BS26', 'TNFalpha'})"
"frozenset({'P49715', 'TNFalpha', 'P10275'})"
"frozenset({'P61247', 'P32969', 'TNFalpha'})"
"frozenset({'O00165', 'Q13554', 'TNFalpha'})"
"frozenset({'O95785', 'Q6VAB6', 'TNFalpha'})"
"frozenset({'P05771', 'TNFalpha', 'P19634'})"
"frozenset({'P04637', 'P01135', 'TNFalpha'})"
"frozenset({'Q01094', 'P23396', 'TNFalpha'})"
"frozenset({'P56279', 'Q09472', 'TNFalpha'})"
"frozenset({'P08238', 'TNFalpha', 'Q9BYZ6'})"
"frozenset({'Q9BYD1', 'TNFalpha', 'P62241'})"
"frozenset({'P34931', 'TNFalpha', 'P43353'})"
"frozenset({'P13995', 'TNFalpha', 'Q15717'})"
"frozenset({'Q9Y2J4', 'TNFalpha', 'Q9UIA0'})"
"frozenset({'P42226', 'P61586', 'TNFalpha'})"
"frozenset({'Q8NFH5', 'O75147', 'TNFalpha'})"
"frozenset({'P30837', 'TNFalpha', 'Q6DD88'})"
"frozenset({'P54725', 'P49720', 'TNFalpha'})"
"frozenset({'O00212', 'O43295', 'TNFalpha'})"
"frozenset({'Q9H2E6', 'TNFalpha', 'P63279'})"
"frozenset({'P52630', 'TNFalpha', 'P09913'})"
"frozenset({'P15927', 'Q5TB80', 'TNFalpha'})"
"frozenset({'TNFalpha', 'P62258', 'O15397'})"
"frozenset({'P62753', 'P62081', 'TNFalpha'})"
"frozenset({'P19086', 'P47736', 'TNFalpha'})"
"frozenset({'P08473', 'TNFalpha', 'Q9BY41'})"
"frozenset({'Q13616', 'Q16769', 'TNFalpha'})"
"frozenset({'Q96SB3', 'P47755', 'TNFalpha'})"
"frozenset({'P60412', 'Q5T753', 'TNFalpha'})"
"frozenset({'Q96BK5', 'P99999', 'TNFalpha'})"
"frozenset({'P49711', 'TNFalpha', 'Q00341'})"
"frozenset({'Q9NRR3', 'TNFalpha', 'Q15717'})"
"frozenset({'P38484', 'P01567', 'TNFalpha'})"
"frozenset({'P24278', 'Q96PV4', 'TNFalpha'})"
"frozenset({'Q9UDV6', 'Q93096', 'TNFalpha'})"
"frozenset({'Q5SW79', 'Q3KQU3', 'TNFalpha'})"
"frozenset({'Q16181', 'TNFalpha', 'Q9Y295'})"
"frozenset({'TNFalpha', 'P62879', 'Q9NQ66'})"
"frozenset({'Q13200', 'Q14164', 'TNFalpha'})"
"frozenset({'Q9H2G4', 'O14936', 'TNFalpha'})"
"frozenset({'P12830', 'TNFalpha', 'Q08345'})"
"frozenset({'O75955', 'Q14197', 'TNFalpha'})"
"frozenset({'P10451', 'P23229', 'TNFalpha'})"
"frozenset({'P26599', 'P04629', 'TNFalpha'})"
"frozenset({'Q9UJU6', 'Q9H788', 'TNFalpha'})"
"frozenset({'O75695', 'TNFalpha', 'Q5VYK3'})"
"frozenset({'P10827', 'Q15493', 'TNFalpha'})"
"frozenset({'P08138', 'TNFalpha', 'O15520'})"
"frozenset({'P51668', 'Q99942', 'TNFalpha'})"
"frozenset({'TNFalpha', 'P42765', 'P63027'})"
"frozenset({'Q86T24', 'TNFalpha', 'Q92993'})"
"frozenset({'P26583', 'TNFalpha', 'P10275'})"
"frozenset({'Q6AHZ1', 'TNFalpha', 'O14950'})"
"frozenset({'P68431', 'TNFalpha', 'Q7KZ85'})"
"frozenset({'P04637', 'TNFalpha', 'Q9H0A0'})"
"frozenset({'TNFalpha', 'Q05516', 'Q9Y2V7'})"
"frozenset({'P21266', 'TNFalpha', 'P04222'})"
"frozenset({'Q16594', 'P78545', 'TNFalpha'})"
"frozenset({'P27361', 'Q9ULV5', 'TNFalpha'})"
"frozenset({'Q96B67', 'TNFalpha', 'P13945'})"
"frozenset({'Q00610', 'Q09472', 'TNFalpha'})"
"frozenset({'Q9H0M0', 'P11686', 'TNFalpha'})"
"frozenset({'Q9Y6B2', 'TNFalpha', 'Q01813'})"
"frozenset({'P54274', 'Q03154', 'TNFalpha'})"
"frozenset({'Q9UJV3', 'P17028', 'TNFalpha'})"
"frozenset({'P46734', 'O15105', 'TNFalpha'})"
"frozenset({'P50591', 'P21580', 'TNFalpha'})"
"frozenset({'P27105', 'TNFalpha', 'Q9H583'})"
"frozenset({'P05155', 'TNFalpha', 'P78362'})"
"frozenset({'A0PK00', 'TNFalpha', 'Q6P5W5'})"
"frozenset({'P42574', 'TNFalpha', 'Q9UKV3'})"
"frozenset({'Q7Z3V4', 'TNFalpha', 'P0DP25'})"
"frozenset({'P19320', 'TNFalpha', 'P62241'})"
"frozenset({'P29375', 'TNFalpha', 'Q92769'})"
"frozenset({'O43463', 'TNFalpha', 'Q96EZ8'})"
"frozenset({'P43243', 'TNFalpha', 'Q13315'})"
"frozenset({'Q06432', 'P67775', 'TNFalpha'})"
"frozenset({'P51148', 'P04843', 'TNFalpha'})"
"frozenset({'TNFalpha', 'Q5SW24', 'Q7L0Q8'})"
"frozenset({'TNFalpha', 'Q0JRZ9', 'Q16643'})"
"frozenset({'P40227', 'TNFalpha', 'P68363'})"
"frozenset({'O75822', 'Q9Y5V3', 'TNFalpha'})"
"frozenset({'P26196', 'Q9BUT9', 'TNFalpha'})"
"frozenset({'Q99615', 'TNFalpha', 'P10275'})"
"frozenset({'P63218', 'TNFalpha', 'P48544'})"
"frozenset({'Q12789', 'P09661', 'TNFalpha'})"
"frozenset({'Q86SE9', 'TNFalpha', 'Q99661'})"
"frozenset({'Q96CS2', 'O75558', 'TNFalpha'})"
"frozenset({'P01106', 'TNFalpha', 'P78346'})"
"frozenset({'Q96SI9', 'TNFalpha', 'P60520'})"
"frozenset({'P55884', 'TNFalpha', 'P05198'})"
"frozenset({'Q1A5X7', 'TNFalpha', 'O14964'})"
"frozenset({'Q9Y4K3', 'Q9NRX4', 'TNFalpha'})"
"frozenset({'O00534', 'TNFalpha', 'P50222'})"
"frozenset({'P09630', 'TNFalpha', 'O96017'})"
"frozenset({'TNFalpha', 'Q9H492', 'Q9Y4B6'})"
"frozenset({'Q9HCE1', 'Q9NR31', 'TNFalpha'})"
"frozenset({'P98182', 'Q86YN6', 'TNFalpha'})"
"frozenset({'Q9UBK9', 'TNFalpha', 'P36873'})"
"frozenset({'Q92805', 'P18848', 'TNFalpha'})"
"frozenset({'P41250', 'TNFalpha', 'P49589'})"
"frozenset({'Q9UQ26', 'TNFalpha', 'Q8WZA2'})"
"frozenset({'Q96LW7', 'TNFalpha', 'O95999'})"
"frozenset({'Q9BSF4', 'P56377', 'TNFalpha'})"
"frozenset({'P25787', 'TNFalpha', 'Q9P2G9'})"
"frozenset({'P49407', 'TNFalpha', 'Q8NCT1'})"
"frozenset({'Q53H54', 'TNFalpha', 'Q8TBB1'})"
"frozenset({'P51965', 'P06899', 'TNFalpha'})"
"frozenset({'Q9H078', 'O14980', 'TNFalpha'})"
"frozenset({'P46778', 'Q92901', 'TNFalpha'})"
"frozenset({'Q92934', 'P31321', 'TNFalpha'})"
"frozenset({'Q9UIM3', 'O43242', 'TNFalpha'})"
"frozenset({'P49736', 'TNFalpha', 'Q03001'})"
"frozenset({'Q9H0R8', 'P31943', 'TNFalpha'})"
"frozenset({'Q96BY7', 'TNFalpha', 'P33991'})"
"frozenset({'O60506', 'TNFalpha', 'P27695'})"
"frozenset({'O60684', 'Q9Y5V3', 'TNFalpha'})"
"frozenset({'Q9NRR5', 'P30048', 'TNFalpha'})"
"frozenset({'Q9Y570', 'TNFalpha', 'Q14012'})"
"frozenset({'Q9NVC6', 'TNFalpha', 'P51532'})"
"frozenset({'O95071', 'TNFalpha', 'Q9NWS0'})"
"frozenset({'Q14683', 'TNFalpha', 'P78406'})"
"frozenset({'P55265', 'TNFalpha', 'Q15717'})"
"frozenset({'P04049', 'Q96S59', 'TNFalpha'})"
"frozenset({'Q9UKE5', 'O43236', 'TNFalpha'})"
"frozenset({'Q9Y6G9', 'TNFalpha', 'P63172'})"
"frozenset({'TNFalpha', 'P17301', 'P02452'})"
"frozenset({'Q15942', 'Q15293', 'TNFalpha'})"
"frozenset({'TNFalpha', 'P53999', 'Q8TDI0'})"
"frozenset({'Q99684', 'TNFalpha', 'Q13111'})"
"frozenset({'O14579', 'Q9H8V3', 'TNFalpha'})"
"frozenset({'P40429', 'P39019', 'TNFalpha'})"
"frozenset({'O60508', 'P22626', 'TNFalpha'})"
"frozenset({'TNFalpha', 'Q9Y277', 'O15400'})"
"frozenset({'Q9UMX0', 'Q9H9B4', 'TNFalpha'})"
"frozenset({'P04350', 'Q14155', 'TNFalpha'})"
"frozenset({'TNFalpha', 'P43246', 'Q9NZJ0'})"
"frozenset({'P62280', 'TNFalpha', 'P36873'})"
"frozenset({'P31947', 'Q9UDY2', 'TNFalpha'})"
"frozenset({'Q15906', 'O75031', 'TNFalpha'})"
"frozenset({'P08473', 'TNFalpha', 'P12004'})"
"frozenset({'P09001', 'Q9HD33', 'TNFalpha'})"
"frozenset({'P04628', 'TNFalpha', 'Q9UEF7'})"
"frozenset({'TNFalpha', 'O60641', 'P12980'})"
"frozenset({'Q9Y5J5', 'Q9UBF2', 'TNFalpha'})"
"frozenset({'Q9C002', 'Q96BW9', 'TNFalpha'})"
"frozenset({'Q6PIF2', 'Q9BXU0', 'TNFalpha'})"
"frozenset({'Q0VD86', 'TNFalpha', 'Q9Y6H1'})"
"frozenset({'Q8IUH5', 'TNFalpha', 'Q13113'})"
"frozenset({'Q92583', 'P61073', 'TNFalpha'})"
"frozenset({'P55769', 'TNFalpha', 'Q14181'})"
"frozenset({'Q13315', 'TNFalpha', 'Q9H0H0'})"
"frozenset({'P35249', 'Q13045', 'TNFalpha'})"
"frozenset({'P11387', 'TNFalpha', 'Q9NRC8'})"
"frozenset({'O95477', 'Q06278', 'TNFalpha'})"
"frozenset({'P10827', 'TNFalpha', 'P61201'})"
"frozenset({'P61006', 'TNFalpha', 'Q9NZN3'})"
"frozenset({'Q96PV4', 'TNFalpha', 'A1L4K1'})"
"frozenset({'Q15334', 'TNFalpha', 'Q15717'})"
"frozenset({'P35558', 'TNFalpha', 'P10321'})"
"frozenset({'Q9BRS2', 'TNFalpha', 'Q9HCE7'})"
"frozenset({'Q96RE7', 'TNFalpha', 'Q9Y261'})"
"frozenset({'P11277', 'Q9Y4Y9', 'TNFalpha'})"
"frozenset({'P62917', 'TNFalpha', 'P62841'})"
"frozenset({'O75031', 'P41159', 'TNFalpha'})"
"frozenset({'P22612', 'TNFalpha', 'O75143'})"
"frozenset({'Q13114', 'P54803', 'TNFalpha'})"
"frozenset({'O75161', 'P04049', 'TNFalpha'})"
"frozenset({'P55081', 'Q8IYX8', 'TNFalpha'})"
"frozenset({'Q8IX12', 'TNFalpha', 'Q9NPJ6'})"
"frozenset({'Q15654', 'O95817', 'TNFalpha'})"
"frozenset({'Q9UJU6', 'TNFalpha', 'P13716'})"
"frozenset({'Q15746', 'TNFalpha', 'P22612'})"
"frozenset({'Q9BSM1', 'P68431', 'TNFalpha'})"
"frozenset({'Q9H761', 'TNFalpha', 'Q13501'})"
"frozenset({'TNFalpha', 'P52701', 'P21281'})"
"frozenset({'P01106', 'Q99684', 'TNFalpha'})"
"frozenset({'Q9BZL1', 'P55081', 'TNFalpha'})"
"frozenset({'P60412', 'Q9BYR5', 'TNFalpha'})"
"frozenset({'Q9NZV7', 'O15160', 'TNFalpha'})"
"frozenset({'P27797', 'P35241', 'TNFalpha'})"
"frozenset({'Q04864', 'P47224', 'TNFalpha'})"
"frozenset({'Q96KQ7', 'Q13535', 'TNFalpha'})"
"frozenset({'O43447', 'Q9Y4Z0', 'TNFalpha'})"
"frozenset({'O14654', 'Q9H4B6', 'TNFalpha'})"
"frozenset({'Q9BYE7', 'Q5JTW2', 'TNFalpha'})"
"frozenset({'Q9H078', 'Q70CQ3', 'TNFalpha'})"
"frozenset({'Q9UHD2', 'Q92985', 'TNFalpha'})"
"frozenset({'Q7RTS7', 'TNFalpha', 'O76011'})"
"frozenset({'P05060', 'TNFalpha', 'P12236'})"
"frozenset({'P35228', 'TNFalpha', 'Q16186'})"
"frozenset({'A4D1S5', 'P47224', 'TNFalpha'})"
"frozenset({'P34932', 'TNFalpha', 'P57078'})"
"frozenset({'Q8N653', 'Q8WXK4', 'TNFalpha'})"
"frozenset({'P06703', 'P26447', 'TNFalpha'})"
"frozenset({'TNFalpha', 'O95985', 'P14678'})"
"frozenset({'Q9H0L4', 'P27361', 'TNFalpha'})"
"frozenset({'P38435', 'TNFalpha', 'Q96IP4'})"
"frozenset({'P06733', 'Q5VZF2', 'TNFalpha'})"
"frozenset({'P52888', 'TNFalpha', 'P62158'})"
"frozenset({'Q9GZP4', 'TNFalpha', 'P31946'})"
"frozenset({'Q9BYV6', 'O15151', 'TNFalpha'})"
"frozenset({'A6NKD9', 'Q16821', 'TNFalpha'})"
"frozenset({'O75832', 'TNFalpha', 'O60256'})"
"frozenset({'Q15185', 'TNFalpha', 'O94763'})"
"frozenset({'Q96DA0', 'Q96Q45', 'TNFalpha'})"
"frozenset({'Q14974', 'O15355', 'TNFalpha'})"
"frozenset({'Q9UNQ2', 'TNFalpha', 'P01106'})"
"frozenset({'O95900', 'Q9UKU7', 'TNFalpha'})"
"frozenset({'Q14525', 'TNFalpha', 'P12035'})"
"frozenset({'P63104', 'TNFalpha', 'P62834'})"
"frozenset({'P04637', 'TNFalpha', 'O60481'})"
"frozenset({'O14639', 'O14936', 'TNFalpha'})"
"frozenset({'Q5DJT8', 'TNFalpha', 'Q8N4V1'})"
"frozenset({'TNFalpha', 'O60934', 'Q00987'})"
"frozenset({'P62873', 'TNFalpha', 'P40145'})"
"frozenset({'P51965', 'P38398', 'TNFalpha'})"
"frozenset({'P13500', 'P51671', 'TNFalpha'})"
"frozenset({'Q99941', 'Q8IU85', 'TNFalpha'})"
"frozenset({'Q9H204', 'TNFalpha', 'Q15717'})"
"frozenset({'Q08117', 'Q12933', 'TNFalpha'})"
"frozenset({'Q9H2K8', 'TNFalpha', 'Q9HCE7'})"
"frozenset({'P47712', 'P16220', 'TNFalpha'})"
"frozenset({'P04626', 'TNFalpha', 'O00750'})"
"frozenset({'Q93052', 'Q8TAT6', 'TNFalpha'})"
"frozenset({'P02778', 'TNFalpha', 'P51677'})"
"frozenset({'Q9NZB2', 'P34947', 'TNFalpha'})"
"frozenset({'Q13323', 'P62987', 'TNFalpha'})"
"frozenset({'Q9H6Z4', 'Q92598', 'TNFalpha'})"
"frozenset({'O43513', 'TNFalpha', 'Q9H0N5'})"
"frozenset({'Q8WYA6', 'TNFalpha', 'Q9NPJ6'})"
"frozenset({'P04629', 'A5YKK6', 'TNFalpha'})"
"frozenset({'Q8IVT5', 'Q8WVX9', 'TNFalpha'})"
"frozenset({'Q13418', 'Q8IXI2', 'TNFalpha'})"
"frozenset({'P32121', 'O60500', 'TNFalpha'})"
"frozenset({'P51003', 'TNFalpha', 'Q9UHX1'})"
"frozenset({'P15927', 'Q08211', 'TNFalpha'})"
"frozenset({'P47897', 'TNFalpha', 'A6NLX3'})"
"frozenset({'Q92878', 'TNFalpha', 'O96017'})"
"frozenset({'P52630', 'Q8N2W9', 'TNFalpha'})"
"frozenset({'TNFalpha', 'Q2TAL8', 'P50221'})"
"frozenset({'P68431', 'TNFalpha', 'O95983'})"
"frozenset({'O43847', 'TNFalpha', 'Q9BZF9'})"
"frozenset({'Q504Q3', 'P46779', 'TNFalpha'})"
"frozenset({'O14980', 'TNFalpha', 'Q8NHV4'})"
"frozenset({'O95817', 'O00232', 'TNFalpha'})"
"frozenset({'Q8TEU7', 'P0DPB3', 'TNFalpha'})"
"frozenset({'Q15427', 'TNFalpha', 'O95155'})"
"frozenset({'P42694', 'TNFalpha', 'Q9Y2I1'})"
"frozenset({'P17980', 'P25789', 'TNFalpha'})"
"frozenset({'Q00653', 'Q8N163', 'TNFalpha'})"
"frozenset({'Q13285', 'P30968', 'TNFalpha'})"
"frozenset({'P84022', 'TNFalpha', 'P02452'})"
"frozenset({'P12270', 'TNFalpha', 'O95931'})"
"frozenset({'Q92905', 'TNFalpha', 'O75882'})"
"frozenset({'P31323', 'Q99996', 'TNFalpha'})"
"frozenset({'P19013', 'Q7Z3Y8', 'TNFalpha'})"
"frozenset({'Q8NFM4', 'Q9BV19', 'TNFalpha'})"
"frozenset({'Q9BZL6', 'Q9Y3R0', 'TNFalpha'})"
"frozenset({'Q9UI08', 'Q00978', 'TNFalpha'})"
"frozenset({'Q9BQ89', 'TNFalpha', 'O95751'})"
"frozenset({'P12956', 'TNFalpha', 'P46783'})"
"frozenset({'TNFalpha', 'Q9Y5P1', 'P22612'})"
"frozenset({'Q5TB80', 'O95613', 'TNFalpha'})"
"frozenset({'P35626', 'TNFalpha', 'Q8NGJ4'})"
"frozenset({'O60318', 'P02545', 'TNFalpha'})"
"frozenset({'TNFalpha', 'Q13470', 'P31946'})"
"frozenset({'Q14192', 'O94993', 'TNFalpha'})"
"frozenset({'Q92835', 'TNFalpha', 'P52333'})"
"frozenset({'Q9NZT1', 'TNFalpha', 'Q9BSU1'})"
"frozenset({'Q15020', 'TNFalpha', 'O15013'})"
"frozenset({'TNFalpha', 'P63000', 'Q6DT37'})"
"frozenset({'P04637', 'P17028', 'TNFalpha'})"
"frozenset({'P02751', 'TNFalpha', 'O95813'})"
"frozenset({'P62736', 'TNFalpha', 'P00403'})"
"frozenset({'P55196', 'P04629', 'TNFalpha'})"
"frozenset({'Q9NYV4', 'P78386', 'TNFalpha'})"
"frozenset({'Q9H2P0', 'TNFalpha', 'Q13469'})"
"frozenset({'Q52LW3', 'P12830', 'TNFalpha'})"
"frozenset({'TNFalpha', 'P07437', 'P16871'})"
"frozenset({'Q15717', 'TNFalpha', 'Q9Y3B3'})"
"frozenset({'P11387', 'P12956', 'TNFalpha'})"
"frozenset({'Q96PU5', 'TNFalpha', 'Q8N4Q0'})"
"frozenset({'TNFalpha', 'P50402', 'Q5S007'})"
