negatives
"frozenset({'Q9NS28', 'KitReceptor', 'P04899'})"
"frozenset({'P34995', 'P51692', 'KitReceptor'})"
"frozenset({'Q9UKV8', 'KitReceptor', 'P46776'})"
"frozenset({'Q01974', 'P78337', 'KitReceptor'})"
"frozenset({'Q9H583', 'KitReceptor', 'Q12951'})"
"frozenset({'KitReceptor', 'Q9H2C8', 'O60262'})"
"frozenset({'Q14119', 'Q6PD62', 'KitReceptor'})"
"frozenset({'KitReceptor', 'P01009', 'P34741'})"
"frozenset({'Q12906', 'KitReceptor', 'Q99459'})"
"frozenset({'P36873', 'KitReceptor', 'O75807'})"
"frozenset({'Q96S15', 'KitReceptor', 'O76074'})"
"frozenset({'Q8WW24', 'Q9H0C1', 'KitReceptor'})"
"frozenset({'KitReceptor', 'P63000', 'O43182'})"
"frozenset({'KitReceptor', 'Q0VDD7', 'Q13227'})"
"frozenset({'Q9Y2T4', 'KitReceptor', 'Q08289'})"
"frozenset({'KitReceptor', 'A8MT69', 'Q99801'})"
"frozenset({'Q8N163', 'KitReceptor', 'P02751'})"
"frozenset({'Q99575', 'Q9UPY3', 'KitReceptor'})"
"frozenset({'Q86VP6', 'KitReceptor', 'P48634'})"
"frozenset({'KitReceptor', 'P61289', 'Q96FW1'})"
"frozenset({'KitReceptor', 'Q9Y6H1', 'Q8NI60'})"
"frozenset({'KitReceptor', 'P49821', 'O43390'})"
"frozenset({'KitReceptor', 'Q9HCK0', 'Q15916'})"
"frozenset({'Q9ULJ8', 'KitReceptor', 'P60006'})"
"frozenset({'KitReceptor', 'P80188', 'Q9H1P6'})"
"frozenset({'Q96L21', 'P61313', 'KitReceptor'})"
"frozenset({'Q9H853', 'KitReceptor', 'P07437'})"
"frozenset({'P22061', 'KitReceptor', 'P30480'})"
"frozenset({'KitReceptor', 'P30466', 'Q9H583'})"
"frozenset({'KitReceptor', 'P26373', 'P63173'})"
"frozenset({'KitReceptor', 'Q99638', 'O96017'})"
"frozenset({'Q9UBF6', 'Q8WXK4', 'KitReceptor'})"
"frozenset({'Q3ZCM7', 'Q9NY65', 'KitReceptor'})"
"frozenset({'KitReceptor', 'P49916', 'P10827'})"
"frozenset({'KitReceptor', 'O95398', 'Q08828'})"
"frozenset({'Q15283', 'Q07890', 'KitReceptor'})"
"frozenset({'P68400', 'Q63ZY3', 'KitReceptor'})"
"frozenset({'P16298', 'KitReceptor', 'Q8IV04'})"
"frozenset({'Q9P0N5', 'KitReceptor', 'Q92504'})"
"frozenset({'KitReceptor', 'P04141', 'Q14103'})"
"frozenset({'KitReceptor', 'Q9Y4Z0', 'O75182'})"
"frozenset({'P51688', 'KitReceptor', 'Q96FQ6'})"
"frozenset({'Q9BX66', 'KitReceptor', 'P42858'})"
"frozenset({'P10588', 'KitReceptor', 'P10828'})"
"frozenset({'KitReceptor', 'P01112', 'Q9Y4G8'})"
"frozenset({'O60216', 'KitReceptor', 'P27708'})"
"frozenset({'Q9UBU9', 'KitReceptor', 'Q12986'})"
"frozenset({'Q9Y4E8', 'KitReceptor', 'O60271'})"
"frozenset({'KitReceptor', 'Q15555', 'Q96D03'})"
"frozenset({'P14770', 'P07359', 'KitReceptor'})"
"frozenset({'Q13111', 'KitReceptor', 'O75360'})"
"frozenset({'KitReceptor', 'O43164', 'Q96CW1'})"
"frozenset({'Q9NX58', 'KitReceptor', 'Q2NL82'})"
"frozenset({'O14576', 'KitReceptor', 'P07437'})"
"frozenset({'P25705', 'P07237', 'KitReceptor'})"
"frozenset({'Q13618', 'Q92785', 'KitReceptor'})"
"frozenset({'KitReceptor', 'Q92567', 'Q6P1W5'})"
"frozenset({'KitReceptor', 'Q9BXA6', 'P78371'})"
"frozenset({'O00401', 'P00738', 'KitReceptor'})"
"frozenset({'O95433', 'KitReceptor', 'P61604'})"
"frozenset({'KitReceptor', 'Q9HCJ0', 'Q9UIV1'})"
"frozenset({'Q9Y2I6', 'KitReceptor', 'P13994'})"
"frozenset({'Q14031', 'KitReceptor', 'P08514'})"
"frozenset({'Q9UBW8', 'P38936', 'KitReceptor'})"
"frozenset({'O43252', 'Q13432', 'KitReceptor'})"
"frozenset({'O75376', 'KitReceptor', 'Q86Y13'})"
"frozenset({'O00303', 'P68104', 'KitReceptor'})"
"frozenset({'KitReceptor', 'Q9GZZ1', 'P04798'})"
"frozenset({'Q7L523', 'KitReceptor', 'Q8TB45'})"
"frozenset({'Q5T1R4', 'KitReceptor', 'Q12933'})"
"frozenset({'Q16531', 'Q86VP6', 'KitReceptor'})"
"frozenset({'KitReceptor', 'Q9BYE7', 'O00213'})"
"frozenset({'KitReceptor', 'P47985', 'Q2NL82'})"
"frozenset({'O95166', 'KitReceptor', 'P31040'})"
"frozenset({'O60437', 'Q96SY0', 'KitReceptor'})"
"frozenset({'KitReceptor', 'P01570', 'Q99665'})"
"frozenset({'P39900', 'P05067', 'KitReceptor'})"
"frozenset({'P60900', 'KitReceptor', 'P11802'})"
"frozenset({'Q9Y2D8', 'KitReceptor', 'P04637'})"
"frozenset({'O94915', 'KitReceptor', 'Q96T76'})"
"frozenset({'KitReceptor', 'O95918', 'P35626'})"
"frozenset({'KitReceptor', 'Q9UNL4', 'Q9GZT9'})"
"frozenset({'Q9NRA1', 'KitReceptor', 'P35968'})"
"frozenset({'Q8N122', 'KitReceptor', 'P46940'})"
"frozenset({'KitReceptor', 'Q13432', 'P01909'})"
"frozenset({'Q9NPD8', 'P38398', 'KitReceptor'})"
"frozenset({'P05386', 'P18621', 'KitReceptor'})"
"frozenset({'Q01082', 'P09493', 'KitReceptor'})"
"frozenset({'KitReceptor', 'Q96PU8', 'Q9NX70'})"
"frozenset({'KitReceptor', 'Q16543', 'Q99759'})"
"frozenset({'P62995', 'KitReceptor', 'Q9UBU9'})"
"frozenset({'KitReceptor', 'O75530', 'Q14103'})"
"frozenset({'P11474', 'KitReceptor', 'P48552'})"
"frozenset({'KitReceptor', 'P20929', 'Q96CV9'})"
"frozenset({'P07741', 'KitReceptor', 'P00492'})"
"frozenset({'O95163', 'KitReceptor', 'Q13085'})"
"frozenset({'Q6IBW4', 'KitReceptor', 'O95347'})"
"frozenset({'O00267', 'P67870', 'KitReceptor'})"
"frozenset({'Q08J23', 'Q9Y6V7', 'KitReceptor'})"
"frozenset({'KitReceptor', 'Q9C002', 'P36542'})"
"frozenset({'Q9HA47', 'KitReceptor', 'Q9Y5Y2'})"
"frozenset({'KitReceptor', 'Q13610', 'Q8IY81'})"
"frozenset({'KitReceptor', 'P31943', 'Q9NR56'})"
"frozenset({'KitReceptor', 'Q9BUQ8', 'Q86UZ6'})"
"frozenset({'P55318', 'KitReceptor', 'Q04726'})"
"frozenset({'P22003', 'Q13873', 'KitReceptor'})"
"frozenset({'KitReceptor', 'Q14954', 'P01889'})"
"frozenset({'P05141', 'P62701', 'KitReceptor'})"
"frozenset({'P49639', 'KitReceptor', 'Q7Z3S9'})"
"frozenset({'Q8TD08', 'P12004', 'KitReceptor'})"
"frozenset({'KitReceptor', 'P49736', 'P62979'})"
"frozenset({'Q13309', 'KitReceptor', 'O60674'})"
"frozenset({'KitReceptor', 'Q92973', 'Q9UNH7'})"
"frozenset({'O15304', 'KitReceptor', 'O43318'})"
"frozenset({'Q9NQR1', 'KitReceptor', 'Q09028'})"
"frozenset({'KitReceptor', 'P49736', 'Q9BYQ3'})"
"frozenset({'P16278', 'KitReceptor', 'Q9P0L0'})"
"frozenset({'P56747', 'KitReceptor', 'O95500'})"
"frozenset({'P30508', 'Q92844', 'KitReceptor'})"
"frozenset({'Q99714', 'KitReceptor', 'Q14197'})"
"frozenset({'P27701', 'KitReceptor', 'P19440'})"
"frozenset({'O00635', 'KitReceptor', 'P61077'})"
"frozenset({'P61952', 'KitReceptor', 'P35498'})"
"frozenset({'KitReceptor', 'Q9BXP2', 'Q9HBU9'})"
"frozenset({'O95793', 'KitReceptor', 'Q9Y383'})"
"frozenset({'KitReceptor', 'O75420', 'Q86SQ0'})"
"frozenset({'Q9UHP3', 'P12273', 'KitReceptor'})"
"frozenset({'KitReceptor', 'Q96N67', 'P60763'})"
"frozenset({'Q5U5Q3', 'KitReceptor', 'Q6Y7W6'})"
"frozenset({'P49407', 'Q8NH67', 'KitReceptor'})"
"frozenset({'KitReceptor', 'Q9NP97', 'P43356'})"
"frozenset({'Q69YU3', 'KitReceptor', 'Q9ULR3'})"
"frozenset({'P63218', 'P01116', 'KitReceptor'})"
"frozenset({'Q86VP6', 'KitReceptor', 'Q8TBZ0'})"
"frozenset({'KitReceptor', 'O94916', 'P15121'})"
"frozenset({'Q9Y6K9', 'Q92844', 'KitReceptor'})"
"frozenset({'KitReceptor', 'Q9NY59', 'Q9Y4G2'})"
"frozenset({'Q08881', 'KitReceptor', 'P27986'})"
"frozenset({'Q8TAP4', 'KitReceptor', 'Q8HWS3'})"
"frozenset({'Q15075', 'KitReceptor', 'O95405'})"
"frozenset({'P04629', 'KitReceptor', 'P49588'})"
"frozenset({'O00233', 'KitReceptor', 'Q9NZQ3'})"
"frozenset({'P13928', 'Q96NR8', 'KitReceptor'})"
"frozenset({'Q6PIJ6', 'Q16543', 'KitReceptor'})"
"frozenset({'Q13596', 'Q9UHF0', 'KitReceptor'})"
"frozenset({'KitReceptor', 'P07900', 'Q8NBE8'})"
"frozenset({'KitReceptor', 'Q68J44', 'O75150'})"
"frozenset({'O75364', 'KitReceptor', 'P02679'})"
"frozenset({'Q13127', 'KitReceptor', 'Q15554'})"
"frozenset({'P50148', 'KitReceptor', 'P49841'})"
"frozenset({'Q96S65', 'Q96SQ5', 'KitReceptor'})"
"frozenset({'KitReceptor', 'O60739', 'P43487'})"
"frozenset({'KitReceptor', 'Q3KQV3', 'P23508'})"
"frozenset({'KitReceptor', 'F7VJQ1', 'P46379'})"
"frozenset({'KitReceptor', 'O75530', 'Q92841'})"
"frozenset({'Q92560', 'KitReceptor', 'Q9ULG1'})"
"frozenset({'Q13618', 'Q8N4N3', 'KitReceptor'})"
"frozenset({'KitReceptor', 'Q12800', 'O60333'})"
"frozenset({'P43405', 'P20273', 'KitReceptor'})"
"frozenset({'Q92185', 'KitReceptor', 'Q96D46'})"
"frozenset({'Q13616', 'KitReceptor', 'Q8TB52'})"
"frozenset({'P82930', 'Q86VP6', 'KitReceptor'})"
"frozenset({'KitReceptor', 'O95678', 'O76015'})"
"frozenset({'P27797', 'KitReceptor', 'P00451'})"
"frozenset({'KitReceptor', 'Q4VCS5', 'Q15286'})"
"frozenset({'P62873', 'Q5JQS5', 'KitReceptor'})"
"frozenset({'Q15056', 'KitReceptor', 'O15067'})"
"frozenset({'KitReceptor', 'Q99832', 'P06733'})"
"frozenset({'KitReceptor', 'P19387', 'O15318'})"
"frozenset({'KitReceptor', 'P50222', 'O43189'})"
"frozenset({'Q96JM2', 'KitReceptor', 'Q13263'})"
"frozenset({'KitReceptor', 'Q9BRX9', 'O43559'})"
"frozenset({'Q13200', 'KitReceptor', 'P18146'})"
"frozenset({'Q4ZIN3', 'KitReceptor', 'Q6P047'})"
"frozenset({'KitReceptor', 'Q9NPF7', 'P40855'})"
"frozenset({'P31689', 'KitReceptor', 'Q92905'})"
"frozenset({'Q13011', 'KitReceptor', 'Q9UBS4'})"
"frozenset({'O00299', 'KitReceptor', 'Q99972'})"
"frozenset({'P40763', 'KitReceptor', 'Q7L591'})"
"frozenset({'KitReceptor', 'Q96DB2', 'Q9NTJ3'})"
"frozenset({'Q92887', 'KitReceptor', 'P10276'})"
"frozenset({'Q9H7N4', 'KitReceptor', 'Q9BYG3'})"
"frozenset({'Q06787', 'KitReceptor', 'P23443'})"
"frozenset({'Q9P258', 'KitReceptor', 'Q9Y4K3'})"
"frozenset({'Q9Y261', 'KitReceptor', 'Q96RE7'})"
"frozenset({'Q15759', 'KitReceptor', 'P19419'})"
"frozenset({'P05067', 'KitReceptor', 'Q9NNZ3'})"
"frozenset({'P11021', 'P06748', 'KitReceptor'})"
"frozenset({'O14933', 'KitReceptor', 'Q9ULK6'})"
"frozenset({'P05161', 'KitReceptor', 'Q969X6'})"
"frozenset({'Q29983', 'KitReceptor', 'Q9NUX5'})"
"frozenset({'KitReceptor', 'Q9NQ94', 'P59022'})"
"frozenset({'Q9UHI6', 'KitReceptor', 'O95149'})"
"frozenset({'P55036', 'Q13315', 'KitReceptor'})"
"frozenset({'P48039', 'KitReceptor', 'Q96NT1'})"
"frozenset({'Q13418', 'P25705', 'KitReceptor'})"
"frozenset({'KitReceptor', 'Q99986', 'P48431'})"
"frozenset({'O43242', 'KitReceptor', 'Q9UL46'})"
"frozenset({'KitReceptor', 'P17600', 'Q8WYN0'})"
"frozenset({'Q8NBW4', 'KitReceptor', 'Q6NUS6'})"
"frozenset({'Q9Y5P1', 'KitReceptor', 'P32121'})"
"frozenset({'Q08211', 'Q5T7N2', 'KitReceptor'})"
"frozenset({'KitReceptor', 'Q9Y265', 'P51531'})"
"frozenset({'P38398', 'KitReceptor', 'P02452'})"
"frozenset({'P23246', 'O75489', 'KitReceptor'})"
"frozenset({'P04626', 'P27701', 'KitReceptor'})"
"frozenset({'Q9UHI6', 'P62308', 'KitReceptor'})"
"frozenset({'Q9P013', 'KitReceptor', 'P35232'})"
"frozenset({'Q05193', 'KitReceptor', 'Q14847'})"
"frozenset({'KitReceptor', 'P49368', 'Q9H2C0'})"
"frozenset({'P43686', 'KitReceptor', 'Q16659'})"
"frozenset({'KitReceptor', 'O00268', 'P42858'})"
"frozenset({'Q93063', 'KitReceptor', 'P20073'})"
"frozenset({'KitReceptor', 'P58876', 'Q6FI13'})"
"frozenset({'P00519', 'KitReceptor', 'Q9H2X6'})"
"frozenset({'Q03431', 'P0DP25', 'KitReceptor'})"
"frozenset({'KitReceptor', 'Q15257', 'P78371'})"
"frozenset({'O14737', 'KitReceptor', 'P02751'})"
"frozenset({'Q14511', 'KitReceptor', 'Q9UM11'})"
"frozenset({'Q9NR61', 'KitReceptor', 'Q9UM47'})"
"frozenset({'Q13164', 'KitReceptor', 'Q06413'})"
"frozenset({'Q93074', 'A0JLT2', 'KitReceptor'})"
"frozenset({'KitReceptor', 'Q9HCE1', 'Q5TGZ0'})"
"frozenset({'P43234', 'Q07817', 'KitReceptor'})"
"frozenset({'Q7L523', 'Q8N8N0', 'KitReceptor'})"
"frozenset({'Q07960', 'Q9Y230', 'KitReceptor'})"
"frozenset({'Q8N5R6', 'KitReceptor', 'Q9NNX1'})"
"frozenset({'Q99961', 'KitReceptor', 'Q05397'})"
"frozenset({'KitReceptor', 'Q9Y3Q8', 'P13674'})"
"frozenset({'P15056', 'KitReceptor', 'O14807'})"
"frozenset({'Q9BXB1', 'KitReceptor', 'P02538'})"
"frozenset({'Q9ULC4', 'Q9BSL1', 'KitReceptor'})"
"frozenset({'P26367', 'KitReceptor', 'Q2TAL8'})"
"frozenset({'KitReceptor', 'P61077', 'Q9C035'})"
"frozenset({'Q13535', 'KitReceptor', 'P06493'})"
"frozenset({'P62888', 'Q92905', 'KitReceptor'})"
"frozenset({'Q9Y2F5', 'KitReceptor', 'P38432'})"
"frozenset({'Q96HD1', 'KitReceptor', 'P26842'})"
"frozenset({'KitReceptor', 'P98198', 'O43291'})"
"frozenset({'Q15797', 'KitReceptor', 'Q9BRH9'})"
"frozenset({'KitReceptor', 'Q02878', 'Q9BQ48'})"
"frozenset({'KitReceptor', 'P07948', 'Q01344'})"
"frozenset({'Q86YZ3', 'KitReceptor', 'Q86XR8'})"
"frozenset({'KitReceptor', 'Q13535', 'Q01860'})"
"frozenset({'P41240', 'KitReceptor', 'P62993'})"
"frozenset({'Q8N122', 'Q13164', 'KitReceptor'})"
"frozenset({'Q8NC96', 'KitReceptor', 'Q96CW1'})"
"frozenset({'P11245', 'KitReceptor', 'Q9UM11'})"
"frozenset({'KitReceptor', 'Q12800', 'Q16401'})"
"frozenset({'Q9UQ16', 'KitReceptor', 'Q15751'})"
"frozenset({'P68400', 'O14965', 'KitReceptor'})"
"frozenset({'O60826', 'Q9Y297', 'KitReceptor'})"
"frozenset({'KitReceptor', 'P14384', 'Q16643'})"
"frozenset({'Q14147', 'KitReceptor', 'Q9UK32'})"
"frozenset({'KitReceptor', 'Q9BTC8', 'P16220'})"
"frozenset({'P12956', 'KitReceptor', 'Q93034'})"
"frozenset({'P07910', 'KitReceptor', 'Q9BQG0'})"
"frozenset({'P15884', 'KitReceptor', 'Q9H5Z6'})"
"frozenset({'KitReceptor', 'Q3SYA9', 'O75031'})"
"frozenset({'P31749', 'Q8TEY5', 'KitReceptor'})"
"frozenset({'Q13573', 'Q9Y3B4', 'KitReceptor'})"
"frozenset({'Q5VIR6', 'Q15276', 'KitReceptor'})"
"frozenset({'P08238', 'Q7Z7L1', 'KitReceptor'})"
"frozenset({'KitReceptor', 'P15391', 'P29350'})"
"frozenset({'Q6PKG0', 'KitReceptor', 'Q96HE9'})"
"frozenset({'P27816', 'KitReceptor', 'P05198'})"
"frozenset({'P06731', 'KitReceptor', 'Q01844'})"
"frozenset({'P84022', 'KitReceptor', 'P56524'})"
"frozenset({'KitReceptor', 'Q9UNN5', 'P24386'})"
"frozenset({'KitReceptor', 'Q92879', 'P11802'})"
"frozenset({'P31323', 'KitReceptor', 'Q96C28'})"
"frozenset({'P51946', 'P38398', 'KitReceptor'})"
"frozenset({'Q96GM5', 'KitReceptor', 'P68431'})"
"frozenset({'KitReceptor', 'Q96DI7', 'O60907'})"
"frozenset({'Q9UBS5', 'KitReceptor', 'P59768'})"
"frozenset({'P41594', 'KitReceptor', 'Q05513'})"
"frozenset({'P49917', 'Q8N6M9', 'KitReceptor'})"
"frozenset({'Q7Z4N8', 'KitReceptor', 'A5D8V6'})"
"frozenset({'KitReceptor', 'Q9UHV9', 'O95602'})"
"frozenset({'Q9BSJ6', 'KitReceptor', 'Q8N1B4'})"
"frozenset({'Q8NBI3', 'O95631', 'KitReceptor'})"
"frozenset({'P01106', 'KitReceptor', 'Q15388'})"
"frozenset({'O60307', 'KitReceptor', 'Q13263'})"
"frozenset({'P62158', 'KitReceptor', 'O43353'})"
"frozenset({'KitReceptor', 'Q05397', 'P06239'})"
"frozenset({'P34925', 'KitReceptor', 'Q8IZP0'})"
"frozenset({'Q15287', 'KitReceptor', 'O14980'})"
"frozenset({'Q16540', 'KitReceptor', 'Q7Z7H8'})"
"frozenset({'Q9P0V3', 'KitReceptor', 'Q9NQT8'})"
"frozenset({'P01106', 'KitReceptor', 'P24752'})"
"frozenset({'P0DMV8', 'KitReceptor', 'P21757'})"
"frozenset({'KitReceptor', 'Q6P1J9', 'P0C0E4'})"
"frozenset({'KitReceptor', 'Q9UEY8', 'P04798'})"
"frozenset({'Q8NBB4', 'KitReceptor', 'Q00534'})"
"frozenset({'P63208', 'Q15717', 'KitReceptor'})"
"frozenset({'KitReceptor', 'Q9UNM6', 'Q9NRL3'})"
"frozenset({'Q9Y5X3', 'KitReceptor', 'P12830'})"
"frozenset({'KitReceptor', 'P52756', 'Q9Y2W2'})"
"frozenset({'P12956', 'KitReceptor', 'P49916'})"
"frozenset({'Q93062', 'KitReceptor', 'Q9BQY4'})"
"frozenset({'KitReceptor', 'P22681', 'Q9NR46'})"
"frozenset({'Q13569', 'KitReceptor', 'Q9NZJ0'})"
"frozenset({'Q9Y2D8', 'Q86V48', 'KitReceptor'})"
"frozenset({'Q9ULF5', 'Q15717', 'KitReceptor'})"
"frozenset({'KitReceptor', 'Q9Y4Z0', 'Q2TAY7'})"
"frozenset({'Q9UNE7', 'KitReceptor', 'P08238'})"
"frozenset({'P38919', 'KitReceptor', 'P84103'})"
"frozenset({'KitReceptor', 'Q07955', 'Q9UQ35'})"
"frozenset({'P36507', 'KitReceptor', 'P22694'})"
"frozenset({'Q9UBB5', 'Q9BQA1', 'KitReceptor'})"
"frozenset({'P32927', 'Q9GZX6', 'KitReceptor'})"
"frozenset({'P08243', 'KitReceptor', 'P29083'})"
"frozenset({'Q96QG7', 'KitReceptor', 'Q8TBB1'})"
"frozenset({'Q9BXB1', 'KitReceptor', 'P04264'})"
"frozenset({'O00182', 'KitReceptor', 'Q14624'})"
"frozenset({'Q6VVB1', 'KitReceptor', 'O14641'})"
"frozenset({'P20340', 'KitReceptor', 'Q9Y5M8'})"
"frozenset({'Q8TC07', 'KitReceptor', 'P51648'})"
"frozenset({'Q8NHP8', 'KitReceptor', 'Q9UHD1'})"
"frozenset({'A6NMZ7', 'KitReceptor', 'P26010'})"
"frozenset({'Q15691', 'KitReceptor', 'Q99426'})"
"frozenset({'P82979', 'KitReceptor', 'Q9Y371'})"
"frozenset({'Q96J02', 'Q14511', 'KitReceptor'})"
"frozenset({'KitReceptor', 'Q9H706', 'P16220'})"
"frozenset({'Q86WJ1', 'KitReceptor', 'Q8IW19'})"
"frozenset({'P31749', 'P36952', 'KitReceptor'})"
"frozenset({'P55851', 'KitReceptor', 'P42357'})"
"frozenset({'Q9UBS5', 'Q9UBU3', 'KitReceptor'})"
"frozenset({'KitReceptor', 'P20226', 'Q9BUI4'})"
"frozenset({'Q9UKB1', 'KitReceptor', 'O43521'})"
"frozenset({'P18077', 'KitReceptor', 'P49207'})"
"frozenset({'Q9HAJ7', 'KitReceptor', 'Q13547'})"
"frozenset({'KitReceptor', 'Q7Z6Z7', 'Q99459'})"
"frozenset({'KitReceptor', 'Q99707', 'Q9NWX6'})"
"frozenset({'Q8NH40', 'KitReceptor', 'O60262'})"
"frozenset({'Q5VYK3', 'KitReceptor', 'Q16659'})"
"frozenset({'P17405', 'KitReceptor', 'P20073'})"
"frozenset({'Q9HCG8', 'KitReceptor', 'Q96B26'})"
"frozenset({'Q9UNE7', 'KitReceptor', 'Q9Y5Y2'})"
"frozenset({'KitReceptor', 'P60709', 'P55212'})"
"frozenset({'P52565', 'KitReceptor', 'O14732'})"
"frozenset({'KitReceptor', 'P02751', 'P51991'})"
"frozenset({'KitReceptor', 'Q9NQL9', 'Q8TF42'})"
"frozenset({'KitReceptor', 'P47755', 'Q9C0C2'})"
"frozenset({'KitReceptor', 'Q8IVT2', 'Q14192'})"
"frozenset({'KitReceptor', 'P78559', 'P78352'})"
"frozenset({'Q16543', 'KitReceptor', 'Q38SD2'})"
"frozenset({'KitReceptor', 'Q13424', 'P78508'})"
"frozenset({'P78346', 'Q969H6', 'KitReceptor'})"
"frozenset({'KitReceptor', 'Q8WXJ9', 'Q99623'})"
"frozenset({'P07306', 'P05067', 'KitReceptor'})"
"frozenset({'KitReceptor', 'Q01860', 'O60841'})"
"frozenset({'P0DMV8', 'KitReceptor', 'Q9UQ35'})"
"frozenset({'KitReceptor', 'Q99665', 'P29459'})"
"frozenset({'P22061', 'KitReceptor', 'Q7Z6Z7'})"
"frozenset({'O43504', 'P21281', 'KitReceptor'})"
"frozenset({'KitReceptor', 'P62277', 'P27635'})"
"frozenset({'KitReceptor', 'Q9Y399', 'Q6PF06'})"
"frozenset({'Q10570', 'KitReceptor', 'Q9UKF6'})"
"frozenset({'O95644', 'Q9UQE7', 'KitReceptor'})"
"frozenset({'P49790', 'KitReceptor', 'O95714'})"
"frozenset({'Q16543', 'KitReceptor', 'Q9Y2J4'})"
"frozenset({'KitReceptor', 'Q14764', 'Q9UMR2'})"
"frozenset({'Q12906', 'Q14498', 'KitReceptor'})"
"frozenset({'Q68CJ9', 'KitReceptor', 'Q5J8X5'})"
"frozenset({'P30050', 'KitReceptor', 'P05412'})"
"frozenset({'Q9BWF3', 'KitReceptor', 'P78396'})"
"frozenset({'Q6ZNA4', 'KitReceptor', 'P51668'})"
"frozenset({'P50222', 'KitReceptor', 'Q14119'})"
"frozenset({'O60260', 'KitReceptor', 'P51991'})"
"frozenset({'P30153', 'KitReceptor', 'Q8WXS5'})"
"frozenset({'KitReceptor', 'Q14258', 'O95786'})"
"frozenset({'Q6EEV4', 'KitReceptor', 'Q13574'})"
"frozenset({'Q8IYX3', 'KitReceptor', 'Q9UBB9'})"
"frozenset({'Q9UNN4', 'Q04743', 'KitReceptor'})"
"frozenset({'P04629', 'KitReceptor', 'Q9UHX1'})"
"frozenset({'KitReceptor', 'Q9GZV4', 'Q9UKA9'})"
"frozenset({'P49407', 'Q9Y585', 'KitReceptor'})"
"frozenset({'P34947', 'P37840', 'KitReceptor'})"
"frozenset({'KitReceptor', 'Q92793', 'Q9Y5Q3'})"
"frozenset({'KitReceptor', 'Q9UBS4', 'Q13438'})"
"frozenset({'Q13451', 'KitReceptor', 'P78527'})"
"frozenset({'KitReceptor', 'Q9UBS4', 'Q9UQL6'})"
"frozenset({'Q6P4R8', 'Q16543', 'KitReceptor'})"
"frozenset({'KitReceptor', 'P49711', 'Q16666'})"
"frozenset({'KitReceptor', 'Q8IWV8', 'Q96RF0'})"
"frozenset({'O43638', 'KitReceptor', 'P17482'})"
"frozenset({'Q15181', 'P31948', 'KitReceptor'})"
"frozenset({'P01116', 'KitReceptor', 'Q8N8N7'})"
"frozenset({'Q5VZM2', 'Q9Y2Q5', 'KitReceptor'})"
"frozenset({'KitReceptor', 'Q9UGL1', 'Q99626'})"
"frozenset({'KitReceptor', 'Q9NPH0', 'Q9UJZ1'})"
"frozenset({'KitReceptor', 'O00463', 'P63165'})"
"frozenset({'O75400', 'KitReceptor', 'P78371'})"
"frozenset({'KitReceptor', 'O95817', 'Q9NTK5'})"
"frozenset({'KitReceptor', 'Q8N162', 'O60262'})"
"frozenset({'O75528', 'O75529', 'KitReceptor'})"
"frozenset({'KitReceptor', 'P46821', 'Q9H0Y0'})"
"frozenset({'Q92997', 'KitReceptor', 'Q7Z6Z7'})"
"frozenset({'Q9NYV4', 'Q15717', 'KitReceptor'})"
"frozenset({'KitReceptor', 'P15509', 'P13232'})"
"frozenset({'KitReceptor', 'Q96RG2', 'P22087'})"
"frozenset({'O75864', 'KitReceptor', 'Q9NPI6'})"
"frozenset({'KitReceptor', 'P60709', 'P26038'})"
"frozenset({'KitReceptor', 'Q92542', 'P46531'})"
"frozenset({'KitReceptor', 'Q8IYX8', 'P37198'})"
"frozenset({'P49286', 'KitReceptor', 'P12081'})"
"frozenset({'P06576', 'Q969M3', 'KitReceptor'})"
"frozenset({'O43609', 'KitReceptor', 'Q5TCM9'})"
"frozenset({'Q13683', 'KitReceptor', 'Q05397'})"
"frozenset({'Q05086', 'Q9UM19', 'KitReceptor'})"
"frozenset({'P20248', 'KitReceptor', 'P05455'})"
"frozenset({'Q9HBW0', 'KitReceptor', 'O60262'})"
"frozenset({'P06127', 'KitReceptor', 'P22681'})"
"frozenset({'KitReceptor', 'Q15047', 'Q9H0E2'})"
"frozenset({'Q16531', 'KitReceptor', 'Q8NFH3'})"
"frozenset({'KitReceptor', 'Q14653', 'P40855'})"
"frozenset({'O95336', 'KitReceptor', 'Q01844'})"
"frozenset({'KitReceptor', 'O43896', 'O95544'})"
"frozenset({'Q9BXS5', 'KitReceptor', 'Q96C86'})"
"frozenset({'Q96PV7', 'Q9NXV2', 'KitReceptor'})"
"frozenset({'P51610', 'Q5JU00', 'KitReceptor'})"
"frozenset({'Q96S44', 'KitReceptor', 'Q86TI2'})"
"frozenset({'KitReceptor', 'Q93045', 'Q96AW1'})"
"frozenset({'KitReceptor', 'O00555', 'Q92804'})"
"frozenset({'P78362', 'KitReceptor', 'P86480'})"
"frozenset({'Q8IU54', 'Q01113', 'KitReceptor'})"
"frozenset({'Q9H6Z9', 'KitReceptor', 'Q9NYB9'})"
"frozenset({'P61326', 'O60306', 'KitReceptor'})"
"frozenset({'Q96GM5', 'KitReceptor', 'P15976'})"
"frozenset({'Q6S5L8', 'KitReceptor', 'P43403'})"
"frozenset({'Q96SB4', 'Q9Y6K9', 'KitReceptor'})"
"frozenset({'Q9NVW2', 'KitReceptor', 'Q8N1G1'})"
"frozenset({'Q9NR12', 'KitReceptor', 'Q9HCE7'})"
