negatives
"frozenset({'P22612', 'KitReceptor', 'Q8NGR4'})"
"frozenset({'Q53S33', 'KitReceptor', 'Q9NPH0'})"
"frozenset({'Q5SY16', 'P15884', 'KitReceptor'})"
"frozenset({'Q8TAP9', 'KitReceptor', 'Q9H8Y8'})"
"frozenset({'P18077', 'KitReceptor', 'P26373'})"
"frozenset({'KitReceptor', 'Q99707', 'Q9Y4Z0'})"
"frozenset({'KitReceptor', 'Q5TGZ0', 'Q9UBU9'})"
"frozenset({'Q5VYK3', 'KitReceptor', 'P09651'})"
"frozenset({'KitReceptor', 'Q14687', 'Q99459'})"
"frozenset({'KitReceptor', 'P34897', 'P62993'})"
"frozenset({'P60520', 'KitReceptor', 'Q9P2R3'})"
"frozenset({'KitReceptor', 'P48729', 'P62979'})"
"frozenset({'KitReceptor', 'P10828', 'Q71F56'})"
"frozenset({'P55774', 'Q14194', 'KitReceptor'})"
"frozenset({'P04843', 'Q92782', 'KitReceptor'})"
"frozenset({'KitReceptor', 'Q96T76', 'P10276'})"
"frozenset({'KitReceptor', 'Q9H3S7', 'Q9BSD7'})"
"frozenset({'Q13404', 'Q96A61', 'KitReceptor'})"
"frozenset({'KitReceptor', 'Q9UKX3', 'A1L170'})"
"frozenset({'P63218', 'O60840', 'KitReceptor'})"
"frozenset({'Q9HD43', 'P60410', 'KitReceptor'})"
"frozenset({'KitReceptor', 'P11142', 'O43896'})"
"frozenset({'KitReceptor', 'P14406', 'Q9C0B0'})"
"frozenset({'Q96DZ9', 'KitReceptor', 'Q8IWE2'})"
"frozenset({'Q01105', 'KitReceptor', 'P48431'})"
"frozenset({'P50991', 'Q13616', 'KitReceptor'})"
"frozenset({'P11142', 'P38398', 'KitReceptor'})"
"frozenset({'Q8WYJ6', 'KitReceptor', 'O00560'})"
"frozenset({'Q9NRR6', 'KitReceptor', 'Q9P244'})"
"frozenset({'KitReceptor', 'P28482', 'P30480'})"
"frozenset({'KitReceptor', 'Q15022', 'Q9UGL1'})"
"frozenset({'O15467', 'O00574', 'KitReceptor'})"
"frozenset({'Q6L8Q7', 'KitReceptor', 'Q8NFW5'})"
"frozenset({'Q9H936', 'KitReceptor', 'P21912'})"
"frozenset({'P07602', 'P49281', 'KitReceptor'})"
"frozenset({'Q13200', 'P25686', 'KitReceptor'})"
"frozenset({'P17096', 'P60568', 'KitReceptor'})"
"frozenset({'P63218', 'Q96PN6', 'KitReceptor'})"
"frozenset({'P62753', 'KitReceptor', 'P09651'})"
"frozenset({'Q8N806', 'KitReceptor', 'Q712K3'})"
"frozenset({'Q92731', 'P03372', 'KitReceptor'})"
"frozenset({'KitReceptor', 'Q96J01', 'P04183'})"
"frozenset({'O43524', 'KitReceptor', 'P54619'})"
"frozenset({'O75794', 'KitReceptor', 'P20042'})"
"frozenset({'Q8NGK2', 'KitReceptor', 'P17612'})"
"frozenset({'KitReceptor', 'P55196', 'Q04917'})"
"frozenset({'P60033', 'KitReceptor', 'Q93079'})"
"frozenset({'KitReceptor', 'Q9Y5K8', 'P38606'})"
"frozenset({'KitReceptor', 'Q86UD0', 'O75496'})"
"frozenset({'P06746', 'KitReceptor', 'Q99638'})"
