negatives
"('Q9NPH3', 'Q9NWZ3')"
"('O60925', 'P59666')"
"('Q96KK5', 'O60814')"
"('Q12962', 'Q96BN2')"
"('P40763', 'Q9UGJ0')"
"('P15976', 'P01033')"
"('P09038', 'P01023')"
"('P16333', 'P31995')"
"('P48729', 'P49841')"
"('Q9Y6K9', 'Q9P2J5')"
"('O00626', 'P27487')"
"('O00587', 'Q04721')"
"('Q14164', 'Q13200')"
"('P26010', 'Q08043')"
"('Q16586', 'P21810')"
"('P16581', 'P49023')"
"('Q08379', 'Q92542')"
"('Q92844', 'P08107')"
"('P36406', 'Q8TBB1')"
"('P45984', 'O14654')"
"('Q7Z4H7', 'Q68CZ6')"
"('Q9Y6U3', 'Q99759')"
"('P15924', 'P60510')"
"('O43809', 'P56182')"
"('O15198', 'Q8NAM6')"
"('Q9UD71', '5512')"
"('Q9BPZ7', 'P48551')"
"('P01106', 'Q9H583')"
"('P14678', 'Q9UKR5')"
"('P0C5Y9', 'P62875')"
"('P03372', 'Q15291')"
"('P51991', 'P67809')"
"('Q02878', 'P26373')"
"('Q86Y82', 'P46459')"
"('P61956', 'Q8N2W9')"
"('Q9NRR5', 'Q9P021')"
"('O15047', 'Q99877')"
"('P25490', 'O75530')"
"('Q15427', 'Q13573')"
"('P40939', 'O95166')"
"('P13945', 'P38405')"
"('Q6NUQ1', 'Q5VTD9')"
"('Q07020', 'P30050')"
"('Q5JR59', 'Q8N720')"
"('P16104', 'Q9BY41')"
"('Q9Y6K9', 'P12931')"
"('P15927', 'Q86WJ1')"
"('P08572', 'O75578')"
"('Q12873', 'Q9NX55')"
"('P56704', 'Q9NPG1')"
"('Q13573', 'P15170')"
"('O00401', 'Q15811')"
"('P08621', 'O75554')"
"('P09564', 'P09382')"
"('P49795', 'P04899')"
"('Q8N5C8', 'Q15759')"
"('P29992', 'Q9NZ20')"
"('P22694', 'Q7Z2W7')"
"('P56749', 'Q9NRL3')"
"('Q16543', 'Q14203')"
"('Q9H1A4', 'Q13042')"
"('P55895', 'P15918')"
"('O14798', 'Q13158')"
"('P16220', 'Q9UKF7')"
"('Q7L2J0', 'Q13263')"
"('Q14240', 'Q8TE73')"
"('P45985', 'P32121')"
"('P07359', 'P00748')"
"('Q9UKG9', 'P11021')"
"('O95859', 'Q00604')"
"('A6NKK0', 'P38405')"
"('P40189', 'P08887')"
"('P62266', 'P63220')"
"('Q15788', 'P13631')"
"('P61964', 'Q96DI7')"
"('Q96T76', 'P01106')"
"('Q92616', 'Q04206')"
"('Q13485', 'Q9H0M0')"
"('Q96KM6', 'O75794')"
"('Q13077', 'P04350')"
"('P10589', 'Q15777')"
"('Q8IZ69', 'P38936')"
"('Q13315', 'Q9HCF6')"
"('Q15287', 'P61981')"
"('P61086', 'Q96EQ8')"
"('Q9Y4K3', 'Q15365')"
"('Q6WCQ1', 'P31689')"
"('Q92793', 'P01562')"
"('Q96AG4', 'Q9UKE5')"
"('Q9H201', 'P07949')"
"('Q6UY14', 'Q8NEC5')"
"('Q7L7L0', 'Q9UKV0')"
"('Q9BTA9', 'P19012')"
"('Q9Y5J3', 'Q13571')"
"('P46779', 'P47914')"
"('Q13485', 'Q8WUD1')"
"('P19838', 'P63261')"
"('P11021', 'Q9BPU6')"
"('Q16531', 'Q5TAQ9')"
"('Q9Y3U8', 'P39023')"
"('Q5T5U3', 'P60953')"
"('Q9UNA4', 'O14641')"
"('Q9UKL2', 'P38405')"
"('Q14691', 'Q9BRX5')"
"('P62191', 'Q9UNM6')"
"('O00329', 'P55211')"
"('Q6IA17', 'A6NDB9')"
"('P04899', 'P53779')"
"('P06748', 'P01889')"
"('Q96GD0', 'Q9GZT6')"
"('P84243', 'Q15542')"
"('Q16890', 'Q96J77')"
"('P62826', 'O43592')"
"('P50151', 'O43306')"
"('Q9H0R8', 'Q9Y3P9')"
"('Q08211', 'P62993')"
"('Q16539', 'Q13541')"
"('Q96RT1', 'P41587')"
"('Q09472', 'P46527')"
"('Q9P2Y4', 'P45983')"
"('Q8TF45', 'Q13153')"
"('O60732', 'Q8N2Y8')"
"('P62136', 'Q8TEY5')"
"('Q71DI3', 'Q9HC52')"
"('O60858', 'Q01844')"
"('Q8N6C8', 'P31994')"
"('O15360', 'A8MT69')"
"('P35225', 'Q99650')"
"('P32121', 'P51684')"
"('Q9NYL2', 'O95865')"
"('Q9BW61', 'Q13620')"
"('Q15029', 'O95777')"
"('Q13485', 'Q13976')"
"('P16220', 'Q5FWF4')"
"('Q92890', 'Q9UJX6')"
"('Q9BXL7', 'P0CG48')"
"('O14544', 'P24394')"
"('P32121', 'Q8NGH7')"
"('P22415', 'P12956')"
"('Q6SZW1', 'Q86UT6')"
"('Q9Y277', 'P43360')"
"('Q9NZN5', 'P61586')"
"('Q01469', 'Q9Y478')"
"('P53350', 'Q13972')"
"('O60262', 'P42338')"
"('Q14494', 'O15525')"
"('Q9HCK5', 'P18085')"
"('Q13724', 'P01106')"
"('Q9NRJ3', 'P49238')"
"('P04183', 'Q7L5N1')"
"('P11142', 'O75528')"
"('P62993', 'Q9Y5Y3')"
"('Q9HBW0', 'P59768')"
"('P60228', 'Q13573')"
"('P51168', 'Q8N668')"
"('P62714', 'P31751')"
