negatives
"('A5PKW4', 'P23416')"
"('Q16619', 'P16871')"
"('P09871', 'P06681')"
"('P01106', 'Q13501')"
"('P63146', 'Q92985')"
"('P08107', 'P07900')"
"('P02675', 'P27797')"
"('O75800', 'Q86UW7')"
"('Q96CT7', 'P19525')"
"('P62140', 'Q08289')"
"('Q9UMX0', 'O14964')"
"('Q6AI08', 'P20333')"
"('Q14566', 'O75419')"
"('O00329', 'P63244')"
"('Q8IYS5', 'P31994')"
"('P05412', 'P60568')"
"('Q15149', 'P16144')"
"('Q16778', 'O15379')"
"('Q9Y5X2', 'P62993')"
"('P28749', 'Q16254')"
"('P51681', 'A0JLT2')"
"('Q9H5H4', 'Q9Y328')"
"('P12757', 'O75925')"
"('P50395', 'P62330')"
"('O00308', 'Q96G27')"
"('P01236', 'P42702')"
"('Q7Z460', 'Q99459')"
"('Q13418', 'Q9P031')"
"('Q07020', 'Q9UL18')"
"('P01889', 'P37108')"
"('Q8N1F7', 'P62330')"
"('Q8TEY7', 'P07550')"
"('C9JDP6', 'Q8N6F1')"
"('Q9NYY1', 'P48551')"
"('P46459', 'O00422')"
"('O15131', 'O15305')"
"('Q02413', 'Q8IV63')"
"('P63092', 'P0C869')"
"('Q9Y490', 'P84103')"
"('P40937', 'P40938')"
"('P54259', 'Q3KQU3')"
"('P48549', 'O00555')"
"('Q14789', 'Q12772')"
"('P16989', 'P49841')"
"('O60739', 'P16152')"
"('P40145', 'P17612')"
"('P45973', 'P68431')"
"('P63151', 'P31749')"
"('P01563', 'P17181')"
"('P40939', 'O75815')"
"('P01570', 'Q9HBE5')"
"('P01009', 'P17538')"
"('P17844', 'Q6WCQ1')"
"('P05023', 'P13693')"
"('Q8TAD8', 'Q99613')"
"('Q9NPG1', 'P50148')"
"('Q9UNZ2', 'P0CG48')"
"('P29466', 'P10275')"
"('Q9UNX3', 'P26373')"
"('Q14186', 'Q08999')"
"('Q14596', 'Q13501')"
"('P35626', 'Q8N148')"
"('Q5T4F7', 'O14905')"
"('Q04206', 'P06748')"
"('P08047', 'Q9UBL3')"
"('Q99627', 'Q5VTR2')"
"('Q9Y608', 'P13569')"
"('Q8TAD8', 'Q9UBW7')"
"('Q13424', 'P49683')"
"('O75970', 'O14493')"
"('Q15545', 'P21675')"
"('B1A4H9', 'Q08334')"
"('P11308', 'Q13547')"
"('O75554', 'O43670')"
"('O15524', 'O00459')"
"('O95251', 'P08670')"
"('Q13315', 'Q92804')"
"('P51668', 'O43164')"
"('P15408', 'Q10587')"
"('O00232', 'O75832')"
"('O43707', 'Q9NP98')"
"('P01127', 'P08138')"
"('P35080', 'P60709')"
"('P42685', 'P06400')"
"('P12318', 'O75019')"
"('Q01082', 'P84022')"
"('P15559', 'Q9UK53')"
"('Q08043', 'P63261')"
"('P06239', 'P67870')"
"('P53680', 'Q9P286')"
"('P26441', 'P60228')"
"('Q9UGI9', 'O60825')"
"('P28340', 'Q9Y2Q3')"
"('Q9Y5K6', 'P00519')"
"('Q8NE01', 'Q9BQ66')"
"('Q07817', 'Q07812')"
"('P35749', 'Q9UER7')"
"('P12883', 'Q14896')"
"('P37198', 'Q9BVL2')"
"('P49642', 'P25788')"
"('P35914', 'P31689')"
"('Q06124', 'P15498')"
"('P24522', 'Q04724')"
"('P63151', 'P04049')"
"('Q01813', 'P23508')"
"('O15360', 'Q8NB91')"
"('Q9Y4K3', 'P53985')"
"('P12644', 'Q8TEU8')"
"('P16284', 'O75400')"
"('P15336', 'P49715')"
"('P55795', 'P67809')"
"('Q99459', 'P62318')"
"('Q9BY76', 'O15511')"
"('O15111', 'O15360')"
"('Q15365', 'Q15366')"
"('P53355', 'Q9Y2M5')"
"('Q9BQD3', 'Q14533')"
"('Q96HD1', 'P56134')"
"('Q70EK8', 'Q12933')"
"('P01258', 'P30988')"
"('Q96DE5', 'O60566')"
"('Q9Y230', 'Q9BVM2')"
"('P06213', 'P22681')"
"('Q9HAU4', 'Q8WZ42')"
"('P06400', 'Q14186')"
"('P16520', 'Q00722')"
"('P27986', 'P05023')"
"('Q13574', 'Q16659')"
"('Q01780', 'Q15024')"
"('O75365', 'Q9C0B7')"
"('P18887', 'Q9UNA4')"
"('Q9NPB6', 'Q9Y2Z0')"
"('Q9NYY1', 'Q969J5')"
"('Q6ZSG1', 'P61088')"
"('P61289', 'O00233')"
"('Q16539', 'P17275')"
"('Q96Q83', 'P04637')"
"('Q00653', 'P35579')"
"('P61218', 'Q8WVC0')"
"('O15335', 'Q9UKX5')"
"('P62140', 'Q15717')"
"('P42677', 'Q9H6R7')"
"('Q04917', 'Q9NPB6')"
"('Q01973', 'P01138')"
"('P51451', 'P40259')"
"('Q13247', 'O75937')"
"('Q9Y3C7', 'Q9BTY7')"
"('Q9H173', 'Q9HAU5')"
"('Q9UBS5', 'P08754')"
"('P08514', 'O75369')"
"('P23508', 'Q15691')"
"('O43432', 'Q14240')"
"('Q86Y97', 'P62805')"
"('Q15366', 'Q08211')"
"('P04899', 'Q9UP65')"
"('P21675', 'Q9BQI7')"
"('Q8IVT5', 'P36507')"
"('Q15843', 'P0CG48')"
"('Q06124', 'P42336')"
"('O95466', 'O60861')"
"('P06702', 'Q9Y575')"
"('O14964', 'Q9UJY4')"
"('Q14164', 'Q9BV86')"
"('Q8IUG5', 'P46108')"
"('P54198', 'P20248')"
"('Q99816', 'Q9UKU7')"
"('P04637', 'O15111')"
"('P28908', 'Q12933')"
"('P62847', 'P08708')"
"('P47898', 'P59768')"
"('O76027', 'Q9NRX3')"
"('O75365', 'P54709')"
"('P50151', 'P08172')"
"('P62826', 'P07196')"
"('P04156', 'Q9NX24')"
"('P40337', 'P20674')"
"('P78545', 'Q16658')"
"('O75190', 'P05787')"
"('P28838', 'Q9UL33')"
"('P00403', 'P36542')"
"('P62906', 'P83731')"
"('P48634', 'P09651')"
"('P60709', 'Q16637')"
"('Q9GZQ8', 'Q16513')"
"('Q93062', 'Q14687')"
"('Q14161', 'Q9NR80')"
"('Q9UQK1', 'P62158')"
"('P18583', 'P06241')"
"('Q92599', 'Q8NEY8')"
"('P35637', 'P17947')"
"('P28482', 'Q13642')"
"('Q9H2X6', 'P04637')"
"('P02649', 'P00738')"
"('406891', 'P01112')"
"('P29459', 'Q5VWK5')"
"('Q9P2Y5', 'P10415')"
"('Q14833', 'P50150')"
"('Q07889', 'P11234')"
"('O75528', 'O75486')"
"('O43915', 'P08138')"
"('P62837', 'Q15843')"
"('P30480', 'P00491')"
"('P61026', 'P61966')"
"('Q13573', 'Q9NXV6')"
"('P38398', 'P56545')"
"('Q16539', 'Q92994')"
"('P07942', 'P23229')"
"('P59998', 'Q14247')"
"('P30153', 'P84022')"
"('Q96NX5', 'P32121')"
"('O00214', 'P02647')"
"('P41235', 'Q07869')"
"('Q9Y305', 'Q9Y6X6')"
"('P62829', 'P30050')"
"('Q99728', 'Q92993')"
"('Q13263', 'Q9P2S5')"
"('P51114', 'Q9P2H0')"
"('O00237', 'P61088')"
"('Q8IZI9', 'Q14627')"
"('P05386', 'P62888')"
"('O95319', 'Q9NQ94')"
"('P68133', 'P05976')"
"('P01106', 'Q9NZL3')"
"('P31946', 'Q7L7X3')"
"('Q8TBE0', 'Q99750')"
"('Q13362', 'P10415')"
"('Q14197', 'O75439')"
"('Q9H672', 'Q03164')"
"('P51451', 'P00519')"
"('P20073', 'O60551')"
"('Q13315', 'Q9UPZ3')"
"('Q15047', 'P11308')"
"('P15170', 'P23508')"
"('P51116', 'P02794')"
"('Q15375', 'P00519')"
"('Q9UNH7', 'Q9NRI5')"
"('Q92956', 'Q12933')"
"('P18846', 'Q6UUV9')"
"('Q96GD4', 'Q99661')"
"('Q92793', 'P49675')"
"('O94921', 'P62258')"
"('P04222', 'P61289')"
"('Q9BUR4', 'Q99973')"
"('O43301', 'Q96KG7')"
"('Q8NEV4', 'P0CAP2')"
"('Q15366', 'P55795')"
"('Q15047', 'Q9NY59')"
"('Q13573', 'O14965')"
"('P05187', 'P21281')"
"('O15444', 'P32248')"
"('O14512', 'P40763')"
"('Q13387', 'Q13625')"
"('P01876', 'Q9UJW9')"
"('P00533', 'Q92569')"
"('Q9Y5I7', 'O95484')"
"('Q92558', 'P00519')"
"('Q9UIA9', 'P01106')"
"('Q04864', 'P25963')"
"('Q96BK5', 'P60660')"
"('P14923', 'P01243')"
"('Q10570', 'P51003')"
"('Q9BZ29', 'Q07889')"
"('Q9UHX1', 'P35225')"
"('P35626', 'Q8NGR9')"
"('O14508', 'P78552')"
"('P13569', 'Q02817')"
"('P51965', 'Q05086')"
"('Q9H4P4', 'P08581')"
"('P55196', 'P60709')"
"('Q07889', 'Q562R1')"
"('Q9UJ41', 'Q9Y3C5')"
"('O95989', 'Q14802')"
"('P54219', 'P18146')"
"('P18146', 'P43026')"
"('Q96EB6', 'O43524')"
"('Q8NHZ8', 'P30260')"
"('P31943', 'Q92597')"
"('Q14774', 'Q8N806')"
"('Q9HAW0', 'P08195')"
"('P01111', 'Q92565')"
"('P67809', 'P52272')"
"('O15297', 'Q13535')"
"('574411', 'P08183')"
"('P35626', 'P51684')"
"('P43146', 'Q8IUQ4')"
"('Q92993', 'P04406')"
"('Q01469', 'P11171')"
"('Q9UHD0', 'Q13651')"
"('Q14324', 'P62993')"
"('P48556', 'P62333')"
"('P62888', 'P46776')"
"('Q16619', 'P40238')"
"('Q9P1Z2', 'P19012')"
"('P08107', 'Q13077')"
"('P61158', 'Q14247')"
"('Q13064', 'Q15819')"
"('P63215', 'O00555')"
"('P51532', 'P38936')"
"('Q15788', 'Q09472')"
"('Q15843', 'P23396')"
"('Q9UIV8', 'P08311')"
"('P46736', 'P51587')"
"('P25963', 'Q09472')"
"('O75643', 'P49662')"
"('P01215', 'P23945')"
"('P63010', 'P09497')"
"('Q9Y2D8', 'Q99909')"
"('P61586', 'P35580')"
"('O43463', 'Q92769')"
"('P42695', 'Q6IBW4')"
"('P49366', 'O60684')"
"('P25208', 'O60902')"
"('Q96RN5', 'Q9BWU1')"
"('P12931', 'Q92569')"
"('P51965', 'Q8TDB6')"
"('P01106', 'Q9BZQ8')"
"('Q16665', 'O00327')"
"('P51587', 'Q15008')"
"('P41594', 'O60391')"
"('P08069', 'P18031')"
"('P62995', 'O75494')"
"('Q9NRL3', 'Q9BQ95')"
"('P01570', 'P10912')"
"('Q96AY3', 'P16104')"
"('P11047', 'O95295')"
"('P15622', 'Q15834')"
"('P42771', 'Q00987')"
"('Q13526', 'Q06265')"
"('Q03113', 'P16473')"
"('Q07021', 'Q5RKV6')"
"('Q13077', 'Q15233')"
"('O95696', 'P55201')"
"('P40424', 'P00749')"
"('P00533', 'Q9NR46')"
"('Q9UI95', 'O43684')"
"('Q05513', 'P46527')"
"('P15502', 'P98095')"
"('P52732', 'Q13573')"
"('P18054', 'P15144')"
"('P01106', 'Q9Y4W2')"
"('O75150', 'P06899')"
"('P15391', 'P62993')"
"('P27348', 'P98177')"
"('Q8N2Z9', 'Q9BXW9')"
"('P61224', 'P61586')"
"('Q96PY6', 'Q9GZX5')"
"('P06493', 'Q9UM11')"
"('P31947', 'P40818')"
"('P35408', 'O95467')"
"('Q08174', 'P02768')"
"('Q12962', 'Q9BRQ0')"
"('Q96EE3', 'Q8N1F7')"
"('P61981', 'Q9UMS6')"
"('Q9BUZ4', 'P52732')"
"('Q9Y3C7', 'O00305')"
"('P51817', 'Q15361')"
"('Q5VWQ8', 'P19438')"
"('Q14832', 'P63096')"
"('P60953', 'Q9Y6W5')"
"('P02768', 'Q9Y6Q9')"
"('P27986', 'P40763')"
"('P18031', 'O60674')"
"('P09651', 'P61978')"
"('Q03135', 'P18031')"
"('O94776', 'Q09028')"
"('Q13526', 'O15350')"
"('Q2NKX8', 'Q9H9A7')"
"('P50914', 'Q13233')"
"('Q13905', 'Q14511')"
"('Q8N668', 'Q04206')"
"('P40337', 'P48047')"
"('Q9H773', 'P30480')"
"('P50570', 'Q13573')"
"('P01889', 'P83731')"
"('P07199', 'P24522')"
"('P51817', 'P45984')"
"('Q96L92', 'P23508')"
"('P03372', 'P11166')"
"('Q8N1N5', 'Q13153')"
"('Q92543', 'Q08999')"
"('Q5JVS0', 'P63173')"
"('Q01201', 'P20749')"
"('Q96GE4', 'Q9BRT9')"
"('O14543', 'Q9UBF6')"
"('P11171', 'P58546')"
"('O15131', 'Q13573')"
"('Q02224', 'Q96BD8')"
"('P54725', 'Q9NRR5')"
"('Q15428', 'O43719')"
"('Q96B02', 'Q6ZNA4')"
"('P47914', 'P05388')"
"('O15551', 'O95500')"
"('O60500', 'Q9NP85')"
"('Q5TD97', 'P16220')"
"('Q9UJX5', 'Q9UJX3')"
"('Q01814', 'Q15599')"
"('Q15788', 'P28065')"
"('P04271', 'Q00987')"
"('Q12913', 'Q9UM73')"
"('P32121', 'Q8NGD1')"
"('Q07817', 'P02511')"
"('Q96N67', 'Q07817')"
"('O95996', 'O43586')"
"('P39019', 'P22090')"
"('P47928', 'P19174')"
"('P27540', 'Q16665')"
"('P61513', 'P50914')"
"('P03372', 'Q4ZG55')"
"('Q15459', 'Q9BXW4')"
"('Q969T4', 'Q96EP1')"
"('P07900', 'O14920')"
"('Q13315', 'A6H8Y1')"
"('Q96PU4', 'P61077')"
"('O95816', 'Q99759')"
"('Q9UKR5', 'Q92734')"
"('P24863', 'Q9UHV7')"
"('P23396', 'P62701')"
"('Q9P0J0', 'O95167')"
"('P35568', 'P62993')"
"('Q15078', 'Q9H2G2')"
"('Q10586', 'Q12857')"
"('Q5UIP0', 'P19387')"
"('Q9H1J7', 'Q9ULV1')"
"('P31749', 'Q96S44')"
"('P25942', 'P27797')"
"('P21964', 'Q9H0D6')"
"('P41159', 'P20138')"
"('P62424', 'P05387')"
"('Q9BXA5', 'P04899')"
"('P06241', 'P20749')"
"('Q16537', 'Q9BXT2')"
"('Q99873', 'Q96PU8')"
"('P24928', 'P62875')"
"('P05112', 'Q13261')"
"('Q96CN9', 'O60684')"
"('Q07890', 'P17081')"
"('P12931', 'O15455')"
"('O95865', 'P11802')"
"('P67870', 'Q6UVY6')"
"('P12318', 'Q8N149')"
"('P19793', 'O75528')"
"('Q9NR31', 'Q14164')"
"('P04278', 'O75955')"
"('P51460', 'Q9UM73')"
"('Q15714', 'P53985')"
"('P11137', 'P06241')"
"('Q92876', 'Q9HBG4')"
"('O95619', 'P25440')"
"('P12814', 'P56199')"
"('Q04771', 'P20337')"
"('P08311', 'P01011')"
"('P41743', 'Q8TAA9')"
"('P01106', 'Q96AE7')"
"('Q99708', 'Q13363')"
"('P56545', 'Q9Y5P3')"
"('P84095', 'Q9P286')"
"('Q9NX02', 'Q9Y6K9')"
"('Q00005', 'Q9NY47')"
"('P10415', 'P55957')"
"('Q7Z569', 'P05162')"
"('O95865', 'P05026')"
"('Q9Y5W5', 'O96014')"
"('Q93062', 'Q3YEC7')"
"('Q9NS69', 'P18146')"
"('P35626', 'Q8NGC4')"
"('P01116', 'O00329')"
"('Q13976', 'P20020')"
"('O43586', 'Q05209')"
"('Q9HCK5', 'Q7RTX8')"
"('Q9BX63', 'P16220')"
"('P01568', 'Q6UXL0')"
"('Q15796', 'O95071')"
"('Q66LE6', 'Q13936')"
"('P62306', 'Q9Y5J5')"
"('Q8IUQ4', 'Q13748')"
"('Q13438', 'Q9GZT9')"
"('Q99570', 'O14530')"
"('Q05513', 'P62993')"
"('P21860', 'O95208')"
"('P05386', 'P21246')"
"('O15520', 'P16234')"
"('P51668', 'Q06587')"
"('P38398', 'Q16594')"
"('O95096', 'P78426')"
"('P41279', 'Q00610')"
"('Q13077', 'Q9Y6K9')"
"('O15211', 'Q14194')"
"('Q7KZI7', 'Q7L7X3')"
"('P31995', 'P05771')"
"('Q7L5N1', 'Q99624')"
"('P01100', 'P20823')"
"('O95819', 'Q96JQ0')"
"('Q04864', 'O00221')"
"('O00463', 'Q9NYJ8')"
"('P49711', 'O60216')"
"('Q5T0N5', 'P24666')"
"('Q92574', 'Q9BPZ7')"
"('P17482', 'Q9BQ66')"
"('O14745', 'Q01970')"
"('P47871', 'Q5JWF2')"
"('Q13487', 'O75971')"
"('P49720', 'P40337')"
"('Q5SXM2', 'Q16533')"
"('P40225', 'P78552')"
"('P28562', 'P49427')"
"('Q9Y618', 'Q13573')"
"('P01106', 'Q9NQB0')"
"('P07737', 'Q04724')"
"('P49703', 'Q96A57')"
"('P04183', 'P56537')"
"('P68371', 'Q9UI14')"
"('Q13884', 'Q9Y4J8')"
"('Q14919', 'P20226')"
"('Q14790', 'P99999')"
"('Q15628', 'P34931')"
"('Q92793', 'Q68CJ9')"
"('P22612', 'Q02750')"
"('P43034', 'Q9NRI5')"
"('P54259', 'Q96J02')"
"('P00973', 'P10914')"
"('O95343', 'Q9Y2V3')"
"('P16220', 'Q6ZUT1')"
"('Q9BTT4', 'P24928')"
"('O95863', 'Q00987')"
"('P63104', 'P49720')"
"('Q15788', 'P31273')"
"('Q15008', 'Q9Y4R8')"
"('P31749', 'P18848')"
"('Q04206', 'O14654')"
"('Q8NGJ9', 'P38405')"
"('Q92993', 'P47712')"
"('Q9NPF5', 'Q96Q83')"
"('Q8IUE6', 'Q9BY41')"
"('Q9Y463', 'P46734')"
"('P32298', 'P23945')"
"('P45983', 'P61981')"
"('P14174', 'Q96BK5')"
"('Q14957', 'Q96RT1')"
"('P12004', 'P30281')"
"('P52272', 'Q15287')"
"('Q96ES6', 'Q92624')"
"('O60682', 'Q01844')"
"('Q6UWE0', 'Q9NPR9')"
"('Q8NDC0', 'O75340')"
"('Q8N6Y0', 'Q5VTD9')"
"('Q13200', 'O75832')"
"('O75582', 'Q68CJ9')"
"('P04406', 'Q8WVC0')"
"('P19438', 'Q9NVI7')"
"('Q14181', 'Q8NAV1')"
"('Q8WVM8', 'P18206')"
"('Q00653', 'P01574')"
"('Q9UQM7', 'P56524')"
"('P09529', 'P05111')"
"('Q9BUF5', 'O14576')"
"('P17252', 'P27361')"
"('P34931', 'Q04206')"
"('Q8IVT5', 'P15056')"
"('Q15637', 'P35637')"
"('Q8IZH2', 'O75886')"
"('P01574', 'P38484')"
"('Q14164', 'P61088')"
"('Q9Y605', 'Q9UBU8')"
"('Q96N67', 'P62714')"
"('Q9Y5J5', 'Q9NTJ3')"
"('Q13485', 'P13861')"
"('P00533', 'P31151')"
"('Q9H1B4', 'Q13769')"
"('P11940', 'Q9NY30')"
"('Q16401', 'Q5VTR2')"
"('O60603', 'P35247')"
"('O43809', 'Q92989')"
"('Q14181', 'Q9H1I8')"
"('Q15365', 'Q7Z434')"
"('Q9H8V3', 'P16333')"
"('Q76N89', 'Q9H469')"
"('O00206', 'P43405')"
"('P62256', 'Q8TDB6')"
"('Q13547', 'P24468')"
"('Q14209', 'Q99741')"
"('P05129', 'P40145')"
"('P62312', 'Q9Y4Z0')"
"('O75643', 'P11387')"
"('Q96JJ3', 'Q14185')"
"('Q9UBN7', 'P58876')"
"('P18077', 'P62829')"
"('Q00653', 'P05015')"
"('Q8NEZ4', '9757')"
"('P27695', 'P08107')"
"('P61962', 'Q9Y463')"
"('P01106', 'Q9UNQ2')"
"('P62158', 'Q13972')"
"('Q9Y6J8', 'P20929')"
"('P06756', 'P26012')"
"('P17612', 'Q02641')"
"('Q07890', 'P00403')"
"('O76064', 'P19793')"
"('Q13535', 'O75367')"
"('P45973', 'Q9Y6K1')"
"('P62736', 'P23528')"
"('P23229', 'P18564')"
"('P02679', 'P04004')"
"('O43707', 'Q04206')"
"('O15335', 'P26006')"
"('Q6ZNA4', 'P61077')"
"('O94992', 'Q4G0J3')"
"('Q9UET6', 'P30084')"
"('Q13797', 'Q9Y490')"
"('P78362', 'P31946')"
"('P40337', 'Q8N6L1')"
"('P50990', 'Q9Y2T4')"
"('O14775', 'P42338')"
"('Q9BX67', 'O75970')"
"('Q9UQC2', 'P31947')"
"('P30480', 'O60493')"
"('P18084', 'P46108')"
"('P42858', 'P61086')"
"('P46060', 'Q7Z3J3')"
"('P42345', 'Q9NQX3')"
"('P37275', 'Q15796')"
"('P16885', 'Q9UP65')"
"('P01375', 'Q9UHD2')"
"('Q9BPW8', 'Q9GZQ8')"
"('Q13237', 'Q01668')"
"('Q8NHL6', 'P12318')"
"('P55081', 'Q2TAY7')"
"('P06239', 'Q05397')"
"('Q6IEV9', 'P38405')"
"('O75828', 'Q15286')"
"('P68032', 'Q9UI47')"
"('Q16513', 'Q9UQL6')"
"('P27540', 'Q16790')"
"('Q92922', 'P40337')"
"('Q92888', 'Q99459')"
"('O75971', 'O94818')"
"('P63096', 'Q13936')"
"('P04899', 'P10145')"
"('P42575', 'Q9NR28')"
"('P56693', 'P23760')"
"('P78396', 'Q96AG4')"
"('P05109', 'Q99759')"
"('P47992', 'P25024')"
"('P14618', 'Q9NQT4')"
"('P25787', 'P28062')"
"('Q6UY14', 'O76003')"
"('P08588', 'Q5TCQ9')"
"('P31273', 'Q02556')"
"('Q9Y572', 'P31948')"
"('Q9BSF8', 'P27361')"
"('Q12933', 'Q9NP84')"
"('P56915', 'Q15796')"
"('P01730', 'Q05397')"
"('Q9H832', 'O75843')"
"('P26006', 'P50552')"
"('P47898', 'P38405')"
"('Q9Y3D3', 'Q8IY92')"
"('Q9UKB1', 'Q13616')"
"('O43543', 'P43351')"
"('Q96BR9', 'O95251')"
"('Q9P2E2', 'Q5VTD9')"
"('O95067', 'Q17RY0')"
"('Q99459', 'Q9BSJ2')"
"('Q6UXX9', 'P04628')"
"('Q9BYB0', 'P16333')"
"('Q6ZSG1', 'P61077')"
"('Q86VI4', 'Q01094')"
"('P15151', 'P12830')"
"('Q99959', 'P00533')"
"('O14965', 'P68036')"
"('P01889', 'Q9UNS2')"
"('P08631', 'Q15393')"
"('Q13191', 'Q8WYR1')"
"('P30480', 'P60033')"
"('Q9H3N1', 'P16615')"
"('O94875', 'P31749')"
"('P62879', 'O14640')"
"('Q16659', 'P55290')"
"('P38398', 'P19838')"
"('Q9P2W3', 'P08754')"
"('P07942', 'O15230')"
"('O75445', 'Q9P202')"
"('P19838', 'P78556')"
"('P54727', 'Q13569')"
"('P22694', 'Q14432')"
"('P52594', 'P42566')"
"('P07437', 'P27348')"
"('P04843', 'P01106')"
"('Q5T653', 'Q9HAU4')"
"('Q9UBF2', 'P01106')"
"('Q9Y383', 'Q9BTE0')"
"('Q9Y3C5', 'P62837')"
"('O00459', 'O00329')"
"('Q13315', 'Q96M86')"
"('P62304', 'Q8TEQ6')"
"('Q9BU76', 'Q15287')"
"('Q96J02', 'P49757')"
"('P51965', 'Q9NVW2')"
"('Q13136', 'O15083')"
"('442918', 'P43351')"
"('Q12962', 'Q15543')"
"('O43660', 'Q13573')"
"('P60953', 'O15264')"
"('Q9Y243', 'P55211')"
"('P56524', 'Q7L7L0')"
"('P08670', 'Q9UI14')"
"('Q13485', 'Q96RN5')"
"('Q9NQS7', 'O14965')"
"('P05231', 'P26951')"
"('Q8N2W9', 'P40763')"
"('Q5VTR2', 'O43242')"
"('Q96LZ3', 'Q9UIK4')"
"('P08047', 'P14635')"
"('P62736', 'P35749')"
"('P29466', 'P00533')"
"('Q15102', 'Q14194')"
"('P51681', 'Q03405')"
"('P11308', 'Q15047')"
"('P32942', 'Q05516')"
"('O75800', 'Q8TEC5')"
"('P23508', 'Q14232')"
"('P62195', 'P51665')"
"('P40337', 'P16949')"
"('P49841', 'A5PL33')"
"('P04083', 'Q7L5N1')"
"('P55197', 'Q03111')"
"('Q9Y262', 'Q15796')"
"('Q9Y2Q3', 'P42704')"
"('Q04695', 'Q06124')"
"('Q02297', 'P04626')"
"('P15151', 'P04004')"
"('Q15149', 'Q15714')"
"('P80075', 'O00590')"
"('Q09472', 'Q05516')"
"('Q9UQ72', 'Q15796')"
"('P10914', 'Q13114')"
"('P52815', 'Q04206')"
"('P01889', 'Q15631')"
"('P36542', 'P30281')"
"('Q969T4', 'Q96G75')"
"('O95400', 'Q12986')"
"('P51668', 'Q9UNE7')"
"('Q96QK1', 'Q9Y4K3')"
"('Q07955', 'Q14683')"
"('P83731', 'Q9UL18')"
"('Q9Y4X3', 'P49682')"
"('Q00987', 'P21860')"
"('P04637', 'P22570')"
"('O96007', 'P32969')"
"('Q9UBC0', 'P55317')"
"('P51148', 'Q15075')"
"('P55157', 'Q14767')"
"('Q13287', 'P01106')"
"('P13598', 'P20701')"
"('Q16236', 'P16083')"
"('P17252', 'O60266')"
"('Q13242', 'Q14103')"
"('Q5PRF9', 'P27348')"
"('P06733', 'P49023')"
"('Q86YW0', 'Q15139')"
"('Q13573', 'Q99986')"
"('P16104', 'Q96BD6')"
"('407035', 'Q9NRM7')"
"('P46459', 'P08575')"
"('P0CG47', 'Q13415')"
"('P52565', 'P08134')"
"('Q9Y4R8', 'P78527')"
"('Q13315', 'P49366')"
"('Q92538', 'P61981')"
"('Q07817', 'P60709')"
"('Q9Y283', 'Q96KM6')"
"('P04004', 'P18564')"
"('P08754', 'P63215')"
"('O76062', 'P10114')"
"('Q15477', 'Q9NPD3')"
"('Q9Y4K3', 'P31689')"
"('O15394', 'P32004')"
"('Q15750', 'Q13158')"
"('P48039', 'Q9UBI6')"
"('Q9H2X3', 'P10600')"
"('Q9NY30', 'Q4VXU2')"
"('O43707', 'P26010')"
"('P24821', 'P53708')"
"('P63267', 'P04278')"
"('Q13131', 'P54619')"
"('P63279', 'Q9NSC2')"
"('P52333', 'P40763')"
"('Q13501', 'P29401')"
"('Q92828', 'P55055')"
"('P63098', 'P27482')"
"('Q13185', 'P45973')"
"('P41743', 'Q9ULK5')"
"('O43676', 'Q9Y6M9')"
"('P20333', 'Q96EY1')"
"('P05091', 'P56537')"
"('P01243', 'O43242')"
"('O43889', 'Q12982')"
"('Q9H1C4', 'O14735')"
"('P63092', 'Q16658')"
"('P07437', 'P60709')"
"('P21281', 'P60709')"
"('P04350', 'Q96AH8')"
"('Q9UJX4', 'P14635')"
"('P43490', 'P03886')"
"('Q9Y4K3', 'Q9H173')"
"('P51531', 'P38398')"
"('Q9UGL9', 'Q5T3J3')"
"('P19875', 'P51677')"
"('O15127', 'O15126')"
"('Q9Y5P8', 'P32121')"
"('O96009', 'Q13190')"
"('Q9Y2T3', 'Q13424')"
"('Q7L2H7', 'P01243')"
"('Q9Y4L1', 'P30450')"
"('Q96EY1', 'P00533')"
"('Q9Y4G2', 'Q9NY59')"
"('O75800', 'O15344')"
"('P04908', 'Q96DB2')"
"('Q13315', 'Q96Q89')"
"('P05129', 'O60266')"
"('P62330', 'O75821')"
"('Q9UM13', 'Q13042')"
"('Q07890', 'Q05209')"
"('P27986', 'Q9NZM4')"
"('Q9P0P0', 'P51668')"
"('Q00653', 'P15924')"
"('P04234', 'Q13422')"
"('P52292', 'O96017')"
"('Q96BZ8', 'Q9NPF4')"
"('P32881', 'P26951')"
"('P49642', 'P38646')"
"('P31749', 'P31947')"
"('Q16539', 'Q92574')"
"('P62258', 'P36578')"
"('Q13315', 'Q9Y4K3')"
"('Q13535', 'P46013')"
"('P46527', 'P31946')"
"('Q9Y2I6', 'O95251')"
"('P09455', 'Q9HCU9')"
"('P63104', 'Q9H0B6')"
"('Q15788', 'P37231')"
"('Q5TAT6', 'P98160')"
"('O75674', 'Q9UK61')"
"('P62380', 'P56556')"
"('P20333', 'P56945')"
"('P62807', 'P01241')"
"('Q9Y5W3', 'P18146')"
"('P27708', 'O43617')"
"('P35626', 'P58170')"
"('P62857', 'P62241')"
"('Q13155', 'Q9Y383')"
"('P01566', 'Q14626')"
"('Q8TAD8', 'Q9UNN5')"
"('O75956', 'Q9ULV5')"
"('P04183', 'Q9BV38')"
"('Q9Y5X1', 'P49910')"
"('P18621', 'P46777')"
"('Q13315', 'Q6AI39')"
"('P17252', 'O94806')"
"('P01111', 'Q15311')"
"('O75478', 'Q9NRF9')"
