negatives
"('Q4G0J3', 'P50750')"
"('A1A4S6', 'Q7L0Q8')"
"('Q15797', 'Q9NYG2')"
"('Q16204', 'P01116')"
"('Q9P2M7', 'Q01449')"
"('Q969G3', 'Q8TAQ2')"
"('P01889', 'P43631')"
"('P25789', 'P62979')"
"('Q9Y6K9', 'P46783')"
"('P46527', 'O00141')"
"('Q9NRR5', 'O43294')"
"('P30504', 'Q14697')"
"('Q9NZL6', 'P11233')"
"('A0JLT2', 'Q9NPJ6')"
"('P49674', 'P12830')"
"('Q04323', 'Q15797')"
"('Q96RT1', 'P07942')"
"('O60333', 'Q9Y3M8')"
"('P08754', 'P28482')"
"('Q14562', 'Q9Y388')"
"('P55075', 'P11362')"
"('Q16777', 'Q99880')"
"('P25789', 'P0CG47')"
"('P05113', 'P16471')"
"('Q04771', 'P37023')"
"('P22670', 'Q14938')"
"('Q04771', 'P36896')"
"('P61289', 'O75689')"
"('P35244', 'Q9NS91')"
"('Q13976', 'Q86W47')"
"('O00339', 'P53420')"
"('P14866', 'Q15366')"
"('P54132', 'Q06609')"
"('P46379', 'Q15047')"
"('P17028', 'Q15047')"
"('P15336', 'Q9UDV6')"
"('P47914', 'P30050')"
"('P18146', 'Q9NS69')"
"('O75074', 'Q9UJY5')"
"('Q9NX70', 'P62314')"
"('P08238', 'Q9Y572')"
"('Q9Y2Q3', 'Q01813')"
"('Q7Z7F7', 'Q14197')"
"('P22234', 'Q8TBB1')"
"('Q4G148', 'O43353')"
"('P49841', 'Q9Y4X0')"
"('P23219', 'O95622')"
"('P06401', 'Q8WYK2')"
"('P16220', 'Q9H0H0')"
"('Q70Z53', 'P62263')"
"('Q13191', 'Q13905')"
"('Q86W26', 'P29466')"
"('P25942', 'Q8NEW0')"
"('Q96P31', 'P43403')"
"('Q9UNX3', 'P18077')"
"('Q9NVC6', 'P41235')"
"('O15551', 'Q9Y5I7')"
"('P23246', 'Q13077')"
"('P06756', 'Q00722')"
"('P32121', 'Q9GZK3')"
"('P10912', 'Q15262')"
"('Q5VSY0', 'Q9NRR5')"
"('P00441', 'P43004')"
"('P28482', 'O15496')"
"('P35813', 'Q9H6Z4')"
"('O15524', 'P38484')"
"('O15265', 'P54725')"
"('Q969G5', 'Q03135')"
"('Q96G30', 'Q8TCY5')"
"('P32780', 'P51948')"
"('P05129', 'Q68CJ9')"
"('Q9NQ32', 'Q01844')"
"('P62987', 'P27635')"
"('P35237', 'P12980')"
"('P46459', 'P42262')"
"('P48552', 'Q92753')"
"('Q9BRR9', 'Q16539')"
"('P11171', 'P99999')"
"('P16333', 'O15117')"
"('O60331', 'P06396')"
"('Q9Y478', 'Q8N122')"
"('O60477', 'O14920')"
"('Q68CZ6', 'Q9H6D7')"
"('O00463', 'O95551')"
"('P42858', 'P62993')"
"('P0CAP1', 'P05090')"
"('P78536', 'Q99075')"
"('Q99614', 'P63092')"
"('P13667', 'P01889')"
"('P19838', 'P19105')"
"('Q9P0W0', 'Q13261')"
"('Q9Y5Z7', 'Q9UKI9')"
"('P81605', 'O95990')"
"('Q9Y6I7', 'P49841')"
"('Q14209', 'O15392')"
"('P42681', 'P15498')"
"('P00519', 'Q07889')"
"('O43432', 'P52735')"
"('P61254', 'P36578')"
"('Q9UDY2', 'P63261')"
"('O95865', 'Q15714')"
"('P10600', 'P37023')"
"('P06400', 'Q01892')"
"('Q9HBY0', 'P19878')"
"('Q15005', 'Q9NY93')"
"('P10600', 'P36896')"
"('P27695', 'P26583')"
"('Q9NRR5', 'P04181')"
"('P80075', 'P49238')"
"('P41220', 'Q9BPW8')"
"('Q9NRI5', 'Q13813')"
"('Q92901', 'P62888')"
"('P25774', 'P01034')"
"('P02795', 'Q8TE69')"
"('Q8IXI1', 'Q13177')"
"('Q8N122', 'Q8TB45')"
"('P35222', 'Q08211')"
"('P30480', 'Q9NSE4')"
"('P04406', 'P54253')"
"('Q05513', 'P49757')"
"('Q00653', 'P57678')"
"('P49901', 'O15162')"
"('P51116', 'Q96F07')"
"('Q2TAZ0', 'Q14683')"
"('P02545', 'P20700')"
"('Q9UMS4', 'P98175')"
"('Q5T2W1', 'P50542')"
"('P52735', 'P04626')"
"('Q4VXU2', 'Q14201')"
"('P46783', 'P46781')"
"('Q13315', 'O14974')"
"('P61244', 'Q92905')"
"('O00329', 'P00533')"
"('P23142', 'Q13361')"
"('Q96HA1', 'P41227')"
"('P04406', 'O00141')"
"('P10415', 'Q07817')"
"('Q09013', 'Q16637')"
"('P21796', 'P19367')"
"('P18124', 'P39023')"
"('P62701', 'P62273')"
"('P80162', 'P25025')"
"('P51948', 'P19447')"
"('O15534', 'Q99743')"
"('Q86U42', 'Q13573')"
"('Q969G9', 'P35222')"
"('Q9NRD5', 'Q9NRR5')"
"('P49715', 'Q14934')"
"('P04183', 'Q75N90')"
"('P22681', 'P27986')"
"('O60264', 'Q9NRL2')"
"('Q32MK0', 'P19105')"
"('P02768', 'P55001')"
"('P35637', 'Q9Y490')"
"('O14508', 'Q5VWK5')"
"('Q16401', 'O00231')"
"('P28482', 'Q02156')"
"('Q14232', 'P81605')"
"('P04637', 'O95376')"
"('P49407', 'P43250')"
"('O75886', 'Q12965')"
"('P08670', 'P07196')"
"('Q969Q1', 'Q9NP98')"
"('P68104', 'P18206')"
"('P19525', 'Q16236')"
"('P04350', 'Q15628')"
"('P24071', 'Q8IYS5')"
"('Q9UHA4', 'Q5VZM2')"
"('Q9BWH2', 'Q8IXM3')"
"('Q8WU17', 'P62256')"
"('O94885', 'P12757')"
"('P16220', 'Q08426')"
"('Q8N140', 'P26641')"
"('P14616', 'O00329')"
"('Q9BQ83', 'Q96AY3')"
"('P27986', 'P54709')"
"('P63165', 'P17676')"
"('Q9Y2Q3', 'Q9Y6M1')"
"('Q9H8S9', 'Q15834')"
"('P0C0S5', 'Q15906')"
"('O95835', 'O60285')"
"('P04350', 'Q15750')"
"('Q9UL46', 'P61289')"
"('P18124', 'Q04206')"
"('Q14498', 'P78362')"
"('P0C1H6', 'P0C5Z0')"
"('Q13315', 'O94880')"
"('Q13547', 'O75381')"
"('Q63ZY3', 'Q15788')"
"('Q9UBY5', 'P63092')"
"('P62256', 'Q8WU17')"
"('Q07065', 'Q9H1I8')"
"('P11142', 'P46527')"
"('P48556', 'P62330')"
"('P30291', 'Q58FF8')"
"('Q6VMQ6', 'Q9NPJ6')"
"('P63096', 'P49802')"
"('Q9H7D7', 'Q9BQ67')"
"('P62910', 'P62899')"
"('Q9HAV0', 'Q13698')"
"('P62136', 'Q13554')"
"('Q93009', 'P20226')"
"('P60604', 'Q8IYW5')"
"('Q8IZL8', 'Q9H4L4')"
"('P30273', 'O00329')"
"('Q9Y664', 'Q9Y241')"
"('P35241', 'P05107')"
"('P51813', 'P42229')"
"('Q9UNM6', 'Q16401')"
"('Q9NX14', 'O95298')"
"('P35499', 'Q13424')"
"('Q7KZF4', 'P30480')"
"('P11940', 'O95819')"
"('Q9H422', 'P53671')"
"('Q9BZ29', 'P52198')"
"('Q9UET6', 'O00232')"
"('Q96DZ1', 'P19438')"
"('P62750', 'P23508')"
"('A6ZKI3', 'O60381')"
"('Q13952', 'P84022')"
"('Q13394', 'Q13461')"
"('Q9NRV9', 'O95630')"
"('Q12968', 'Q02078')"
"('P49286', 'P59768')"
"('P0CG47', 'P04637')"
"('P16104', 'P62987')"
"('Q02241', 'Q9H0H5')"
"('Q92786', 'P01579')"
"('P48551', 'P17181')"
"('P17844', 'Q01844')"
"('P62993', 'Q14203')"
"('P31946', 'O14920')"
"('P51610', 'O15047')"
"('P35249', 'P35250')"
"('Q9NR30', 'Q96EL2')"
"('P22695', 'P31930')"
"('P62241', 'P62258')"
"('Q8TB22', 'Q8IZH2')"
"('O00141', 'Q13435')"
"('P39023', 'P61927')"
"('Q9NQR1', 'P12004')"
"('P12004', 'P45983')"
"('Q7Z7J5', 'Q7L590')"
"('O75438', 'O95167')"
"('Q16659', 'O75475')"
"('P01127', 'P16234')"
"('P05129', 'O14807')"
"('Q96BR9', 'Q8WV44')"
"('O43918', 'P06241')"
"('P30260', 'Q9H2G2')"
"('P60709', 'Q9H981')"
"('Q15291', 'O15550')"
"('P61077', 'Q99942')"
"('P12532', 'P30480')"
"('P39019', 'P22090')"
"('O15198', 'Q9UJ70')"
"('Q96ED9', 'Q9H4K1')"
"('Q8WZA9', 'P49716')"
"('Q99623', 'Q9Y4E8')"
"('P11912', 'P01871')"
"('Q6PCD5', 'P15927')"
"('O43567', 'P61088')"
"('P29460', 'Q99062')"
"('P40337', 'P00492')"
"('P05388', 'Q8N9T8')"
"('Q6UWE0', 'Q9NPR9')"
"('O94817', 'Q03252')"
"('P02751', 'P35555')"
"('O75478', 'Q92831')"
"('Q9Y478', 'Q9HC36')"
"('Q99418', 'Q9Y487')"
"('P36896', 'P62942')"
"('O43264', 'Q15714')"
"('Q96I15', 'Q14152')"
"('P05556', 'P07948')"
"('Q15047', 'P78417')"
"('P35626', 'Q8NGE3')"
"('Q93077', 'Q93079')"
"('P55209', 'Q9BTV5')"
"('P27986', 'Q9Y2H0')"
"('P15056', 'Q07889')"
"('Q32MK0', 'P27986')"
"('P04156', 'P51693')"
"('P19525', 'O14733')"
"('O15131', 'Q9GZT8')"
"('Q9Y2A0', 'P21673')"
"('Q96PU5', 'Q15796')"
"('Q92561', 'Q96AD5')"
"('Q8N5S9', 'O43741')"
"('Q99547', 'P04637')"
"('P08173', 'P59768')"
"('P01106', 'O95373')"
"('P19838', 'P01584')"
"('O00238', 'Q9NYN1')"
"('Q14232', 'Q13144')"
"('Q16637', 'P04217')"
"('Q8N1I0', 'O00212')"
"('Q8TEQ6', 'P62304')"
"('P26368', 'Q96LR2')"
"('P15622', 'O95751')"
"('P06400', 'Q08050')"
"('P43694', 'Q92833')"
"('P13725', 'Q14626')"
"('Q7L590', 'O43298')"
"('P41235', 'P37059')"
"('Q99717', 'Q13485')"
"('Q02156', 'Q07812')"
"('P08727', 'Q8IYI6')"
"('P63220', 'P62244')"
"('O95178', 'O95299')"
"('Q16186', 'O60220')"
"('P04183', 'Q5UIP0')"
"('P25942', 'Q9NYJ8')"
"('Q9P209', 'Q7L590')"
"('B1A4H9', 'P10912')"
"('Q9Y4K3', 'Q9Y678')"
"('P62263', 'Q01201')"
"('O75365', 'Q92616')"
"('Q15759', 'P05412')"
"('P46109', 'P17081')"
"('P48454', 'Q9UJX6')"
"('Q6ISU1', 'O94966')"
"('P55072', 'Q14194')"
"('P35244', 'Q13472')"
"('Q9UBN6', 'P26640')"
"('P27348', 'Q92934')"
"('P02747', 'P00736')"
"('Q15287', 'Q93009')"
"('Q6STE5', 'Q68CP9')"
"('Q9UKV8', 'P61513')"
"('O60566', 'Q8NHZ8')"
"('Q9ULV8', 'P14784')"
"('O15335', 'Q05397')"
"('P05090', 'Q9Y6E0')"
"('P62312', 'Q96EZ8')"
"('Q9H583', 'O75365')"
"('P61964', 'Q6DRA6')"
"('Q9Y4K3', 'P07900')"
"('Q71U36', 'P61077')"
"('O75030', 'P19484')"
"('P31930', 'Q9Y230')"
"('Q9NZQ3', 'P06241')"
"('Q14498', 'O43395')"
"('Q14683', 'P26599')"
"('P15924', 'P01243')"
"('Q01130', 'O95400')"
"('P49841', 'Q9Y383')"
"('Q5T3J3', 'Q9Y675')"
"('Q9UJX2', 'O60921')"
"('P61981', 'Q9UQB8')"
"('P49736', 'O95251')"
"('P01106', 'Q7L2E3')"
"('Q8WUJ3', 'O75051')"
"('Q16539', 'P35354')"
"('494336', 'Q6DJT9')"
"('Q00839', 'Q05519')"
"('Q9NXU5', 'P21246')"
"('O00303', 'Q14164')"
"('Q99814', 'Q9NWT6')"
"('Q53H96', 'O75909')"
"('P19838', 'P35354')"
"('P18146', 'O95477')"
"('P25054', 'Q9H9E3')"
"('P06899', 'Q9UPS6')"
"('Q9NZQ3', 'P51668')"
"('Q9UKX5', 'Q9Y490')"
"('O95084', 'Q6KC79')"
"('P55084', 'P04183')"
"('Q15365', 'O75815')"
"('Q06141', 'P05451')"
"('Q9BY12', 'Q9NYQ7')"
"('P62857', 'P63220')"
"('P61981', 'Q9HCI7')"
"('P40616', 'P61421')"
"('P01106', 'O60832')"
"('P68400', 'P04637')"
"('P01566', 'Q8IU57')"
"('P84098', 'P62888')"
"('P06239', 'P20749')"
"('Q08211', 'Q12986')"
"('Q8WV28', 'P19174')"
"('P27540', 'P61073')"
"('Q13177', 'Q32MK0')"
"('P60660', 'P35749')"
"('Q9Y2H0', 'Q9UD71')"
"('Q13158', 'Q9H1Y0')"
"('P08047', 'P48960')"
"('P16520', 'P45984')"
"('P06756', 'P21333')"
"('P61313', 'P62987')"
"('Q9UDY2', 'P63104')"
"('P10599', 'Q96BK5')"
"('Q99836', 'P78371')"
"('Q92616', 'P63104')"
"('P01106', 'Q9UI26')"
"('P62979', 'P33993')"
"('P10809', 'Q9UM73')"
"('Q9HBE4', 'Q14626')"
"('P18084', 'P56539')"
"('P53350', 'Q9BZF3')"
"('Q9H422', 'Q15942')"
"('P36897', 'P62987')"
"('O75533', 'P11387')"
"('Q93062', 'Q5T5S1')"
"('O60739', 'P30084')"
"('Q13535', 'P42695')"
"('P06239', 'Q9UQQ2')"
"('Q9Y572', 'Q8NB16')"
"('P51692', 'Q9UL17')"
"('P62877', 'P01106')"
"('Q8WXE1', 'P38398')"
"('P60602', 'Q15628')"
"('P0C0S5', 'Q9NPF5')"
"('Q13137', 'O95201')"
"('406883', 'P01112')"
"('Q13426', 'P12814')"
"('Q96KP6', 'Q04206')"
"('P56945', 'P68366')"
"('Q6P2C8', 'P48443')"
"('Q9Y478', 'P84090')"
"('P54829', 'P28482')"
"('P08134', 'Q13177')"
"('Q9UKT8', 'Q9NP62')"
"('P01100', 'Q15654')"
"('Q00577', 'P19525')"
"('P35442', 'P26010')"
"('Q9C0B0', 'P54253')"
"('P25963', 'P62987')"
"('P29353', 'P14784')"
"('O15127', 'O95376')"
"('P01116', 'P00540')"
"('P01133', 'P35968')"
"('Q96BK5', 'P23526')"
"('Q969H6', 'O95819')"
"('O43186', 'P54845')"
"('O95347', 'Q15003')"
"('Q6ZVK8', 'P61457')"
"('O43752', 'O14662')"
"('P41212', 'Q8WUI4')"
"('Q9Y3F4', 'Q15796')"
"('O95777', 'Q16342')"
"('Q0VAM2', 'P01111')"
"('P07741', 'P01241')"
"('P25116', 'P61952')"
"('P16871', 'Q9UJU6')"
"('Q96RI1', 'P03372')"
"('P31994', 'P02743')"
"('Q9Y239', 'Q494V2')"
"('P63279', 'P22314')"
"('Q9BY41', 'P06400')"
"('Q15459', 'Q14164')"
"('P67870', 'Q15648')"
"('O75808', 'Q96PM5')"
"('P67809', 'Q15287')"
"('Q9BUV8', 'P28288')"
"('P01106', 'Q99741')"
"('Q9UJX2', 'P35251')"
"('P25963', 'Q16695')"
"('Q13573', 'Q9UBG7')"
"('Q9NZV5', 'P06241')"
"('Q99547', 'P42285')"
"('Q92831', 'Q9Y605')"
"('Q15797', 'Q13501')"
"('P17544', 'P25490')"
"('Q96BK5', 'Q6ZRQ5')"
"('Q07890', 'P01100')"
"('Q9UKL0', 'Q96BD5')"
"('P05546', 'P01857')"
"('P78527', 'Q14566')"
"('P98095', 'Q05084')"
"('Q9Y478', 'Q9P258')"
"('O60262', 'P27361')"
"('P14316', 'P02778')"
"('Q93079', 'Q9P0M6')"
"('P42229', 'P10242')"
"('P34947', 'P51686')"
"('Q9NQX3', 'O00591')"
"('Q9NVP2', 'P21675')"
"('Q9NZM3', 'Q07889')"
"('Q99469', 'P62258')"
"('P35221', 'P33151')"
"('Q16630', 'O94913')"
"('P05771', 'P28907')"
"('Q9HB71', 'Q8IUQ4')"
"('Q9UMN6', 'Q15714')"
"('Q6VMQ6', 'Q13219')"
"('406905', 'Q9UL51')"
"('P01127', 'P98160')"
"('P30443', 'Q07444')"
"('Q8NFZ0', 'P62877')"
"('O43679', 'Q13363')"
"('O15335', 'P18564')"
"('P01563', 'P48357')"
"('Q03135', 'O75955')"
"('Q00005', 'Q06830')"
"('P52272', 'Q01844')"
"('P17612', 'P54710')"
"('P35408', 'Q5JWF2')"
"('P51149', 'Q13409')"
"('P01106', 'Q96AE7')"
"('Q9NX55', 'O60739')"
"('Q99459', 'Q14677')"
"('P27487', 'P13501')"
"('Q9UQK1', 'Q93100')"
"('O43929', 'P49736')"
"('Q9UBC3', 'Q15910')"
"('P10275', 'P34932')"
"('Q16665', 'P04075')"
"('Q96AP7', 'P56747')"
"('Q8IYS5', 'P12314')"
"('O15145', 'O15143')"
"('P60842', 'O43432')"
"('O00206', 'P14625')"
"('Q9NXR8', 'P04637')"
"('Q8IWZ8', 'P35637')"
"('Q15910', 'Q15834')"
"('P23526', 'Q96BK5')"
"('Q9UNA1', 'P15153')"
"('P10589', 'P41235')"
"('Q15365', 'Q96PU8')"
"('P06213', 'Q12913')"
"('P09471', 'P0C869')"
"('P17301', 'P56945')"
"('P23759', 'P12931')"
"('Q8NGD1', 'P38405')"
"('Q9GZU2', 'O43255')"
"('P14678', 'O95400')"
"('Q00978', 'Q9Y6K5')"
"('O94776', 'O60341')"
"('Q05397', 'P48736')"
"('P42768', 'P09769')"
"('P62993', 'Q9ULI4')"
"('Q13555', 'P16220')"
"('P63096', 'P28482')"
"('P51817', 'P62158')"
"('P35442', 'Q9UKX5')"
"('P62987', 'P62888')"
"('P00739', 'P69905')"
"('Q96T60', 'Q13426')"
"('Q96S82', 'P54725')"
"('Q08379', 'O00506')"
"('406950', 'P35226')"
"('Q13285', 'O60869')"
"('Q9HCK5', 'P05141')"
"('P62158', 'P34998')"
"('P06241', 'O43493')"
"('Q9H0E2', 'Q13490')"
"('P58753', 'Q9NWF9')"
"('O43586', 'P42766')"
"('O75094', 'P07384')"
"('P08311', 'P01011')"
"('O15553', 'Q9NX02')"
"('P25940', 'P18564')"
"('P38646', 'Q13233')"
"('Q9BQE3', 'Q96NA2')"
"('442890', 'P11831')"
"('O14974', 'Q9Y572')"
"('O00257', 'P29590')"
"('Q99873', 'P61978')"
"('Q15654', 'Q9HBW0')"
"('Q15139', 'Q8TAA9')"
"('Q07955', 'Q8IWZ8')"
"('P0CG48', 'Q9NVI1')"
"('P33552', 'P14635')"
"('O43313', 'Q13535')"
"('Q07021', 'Q9Y261')"
"('Q8IWV8', 'P58753')"
"('O60508', 'Q01081')"
"('Q15819', 'O60739')"
"('P61978', 'Q8IWZ8')"
"('O94955', 'O60664')"
"('Q8NG75', 'P38405')"
"('P12830', 'P19388')"
"('O95376', 'P48664')"
"('Q86W92', 'Q13136')"
"('P60709', 'P63244')"
"('P24522', 'Q13561')"
"('O00487', 'Q96CS7')"
"('O96000', 'O75438')"
"('Q14831', 'P62879')"
"('Q7Z460', 'Q96R06')"
"('P35241', 'P63261')"
"('Q14164', 'Q9HBG4')"
"('P25391', 'Q05397')"
"('P41212', 'Q9HCE7')"
"('O00590', 'P10147')"
"('P23229', 'Q16787')"
"('Q13190', 'Q5UIP0')"
"('Q12933', 'Q16526')"
"('P62263', 'Q15843')"
"('P17947', 'Q15306')"
"('Q14152', 'Q14240')"
"('Q00653', 'P17066')"
"('O00501', 'P56750')"
"('P62945', 'P18077')"
"('O14965', 'O75410')"
"('O60262', 'P48549')"
"('P0CG48', 'Q01201')"
"('P17066', 'O43353')"
"('P42772', 'Q9GZT6')"
"('P01106', 'Q13887')"
"('Q16637', 'Q9NX74')"
"('Q9BVJ6', 'Q9GZM7')"
"('P61254', 'P61313')"
"('P05106', 'P26006')"
"('P41182', 'Q96QZ0')"
"('P49841', 'Q9H095')"
"('Q93074', 'P10828')"
"('P51817', 'P54709')"
"('P06748', 'Q04206')"
"('P62070', 'Q9Y6X8')"
"('Q01844', 'P01019')"
"('P01889', 'Q9HAV7')"
"('P06213', 'P98077')"
"('P46527', 'Q08050')"
"('Q14654', 'Q01668')"
"('P29992', 'Q9NZ20')"
"('Q9Y2I7', 'Q9Y6U3')"
"('P54762', 'P20936')"
"('Q09472', 'P19793')"
"('Q08043', 'Q9UKX5')"
"('P43307', 'P48723')"
"('P00505', 'O60739')"
"('Q9H2A7', 'O00574')"
"('Q13352', 'P35609')"
"('Q9UKE5', 'P57721')"
"('Q14994', 'Q3L8U1')"
"('Q13472', 'P53350')"
"('P21333', 'P10275')"
"('Q13243', 'P35637')"
"('Q16659', 'Q6ZNG1')"
"('Q05193', 'Q9Y237')"
"('Q14194', 'P20042')"
"('Q04771', 'Q13501')"
"('Q15750', 'Q15326')"
"('P62195', 'O60506')"
"('P62993', 'Q9ULV8')"
"('P62140', 'Q9BQI3')"
"('O43913', 'Q9UBD5')"
"('P63173', 'Q9Y4K3')"
"('O76070', 'P63167')"
"('P12956', 'P04053')"
"('P38398', 'P35251')"
"('Q09472', 'Q8N9B5')"
"('O75365', 'Q86Y56')"
"('Q16378', 'Q8TAX7')"
"('A6NC98', 'Q9HAU0')"
"('O15533', 'P30450')"
"('Q86UX6', 'P62993')"
"('Q9HAU5', 'Q9BZI7')"
"('P35626', 'Q8NGY1')"
"('Q92769', 'P06400')"
"('P01111', 'Q99759')"
"('P62913', 'P84098')"
"('Q13315', 'O15371')"
"('Q5D1E8', 'O43187')"
"('Q92765', 'Q8TAM1')"
"('Q9Y572', 'Q9GZS3')"
"('P40763', 'P17275')"
"('O00339', 'P35556')"
"('Q14831', 'P62873')"
"('Q07955', 'Q13573')"
"('O15551', 'O95500')"
"('Q14315', 'Q92629')"
"('Q96CW5', 'Q08AG7')"
"('Q9Y4C0', 'Q8N0W4')"
"('Q5VTR2', 'Q16401')"
"('P51532', 'Q9P2D1')"
"('Q9Y5J5', 'O15160')"
"('P23443', 'Q9BY77')"
"('Q9NZL4', 'Q92956')"
"('Q9UJU2', 'P63165')"
"('P00505', 'Q9H6R6')"
"('P48546', 'P84996')"
"('Q9NYH9', 'Q15834')"
"('Q01130', 'Q9UBN7')"
"('P21695', 'P21246')"
"('P02462', 'P26012')"
"('P30480', 'P39023')"
"('P63104', 'Q13501')"
"('P02768', 'Q01432')"
"('Q8WWF5', 'P62837')"
"('O75448', 'Q9BTT4')"
"('Q16625', 'O95471')"
"('Q13509', 'O43237')"
"('Q14596', 'P49840')"
"('Q9UP95', 'Q6VMQ6')"
"('P43034', 'Q9GZM8')"
"('Q15477', 'P01106')"
"('Q86TI0', 'P61026')"
"('Q8TBE7', 'Q96P50')"
"('P35626', 'Q8NH70')"
"('Q04724', 'P15927')"
"('Q9UBS5', 'O14610')"
"('P07199', 'Q13526')"
"('O95157', 'Q15750')"
"('P62333', 'O75832')"
"('P62807', 'O75367')"
"('Q99623', 'P30153')"
"('P02686', 'O15264')"
"('P47914', 'P62917')"
"('O60663', 'O00505')"
"('Q16515', 'Q9NRD5')"
"('P19838', 'P01569')"
"('P41597', 'P32121')"
"('Q8IVT5', 'Q9NNX6')"
"('P22681', 'P0CG47')"
"('P62873', 'P63092')"
"('O15379', 'Q96QV6')"
"('Q07021', 'Q96EB6')"
"('P62158', 'Q92731')"
"('P40763', 'P42224')"
"('Q13625', 'P46937')"
"('P78396', 'O00716')"
"('P84103', 'Q13243')"
"('P01106', 'O00154')"
"('Q5T4F4', 'Q14318')"
"('P36542', 'P63104')"
"('Q9Y5N6', 'P33993')"
"('P50991', 'Q15418')"
"('P08107', 'Q16659')"
"('Q05209', 'P01243')"
"('Q08380', 'Q04206')"
"('Q15274', 'Q9UMX1')"
"('P11473', 'Q00403')"
"('Q99459', 'Q86WJ1')"
"('P02462', 'O00339')"
"('Q92915', 'P17948')"
"('P55268', 'P26006')"
"('O15117', 'Q13094')"
"('P62807', 'P0C5Y9')"
"('O00401', 'P60953')"
"('P58753', 'Q9Y4K3')"
"('O75533', 'O43809')"
"('P63279', 'P42771')"
"('P17096', 'P04141')"
"('P50395', 'Q969Q5')"
"('P00519', 'Q13177')"
"('Q9HCU5', 'Q15797')"
"('P04637', 'Q9NYY3')"
"('Q96EK5', 'P47804')"
"('Q9GZV5', 'P31946')"
"('Q92925', 'O15360')"
"('P27986', 'P14415')"
"('Q8IYF3', 'Q96HA1')"
"('P56537', 'Q92665')"
"('O43257', 'Q16539')"
"('Q00005', 'O15294')"
"('P38405', 'P51828')"
"('P23229', 'P13612')"
"('O95433', 'Q9NPY3')"
"('Q16659', 'Q9H1R3')"
"('Q01449', 'P35580')"
"('O95257', 'Q9P2H0')"
"('P06858', 'P29074')"
"('P25963', 'Q96EY1')"
"('P24941', 'P84022')"
"('P43364', 'Q9UNH6')"
"('P16403', 'O15264')"
"('P38936', 'Q93063')"
"('O60262', 'Q15147')"
"('P08962', 'P12931')"
"('Q15349', 'P18848')"
"('O60235', 'P26927')"
"('P52948', 'Q9H8S9')"
"('Q96BA8', 'Q92793')"
"('O00442', 'Q9HC36')"
"('Q9H0K1', 'P63151')"
"('P46779', 'P62750')"
"('Q8NDV7', 'P11940')"
"('Q5HYK7', 'P60953')"
"('Q92769', 'P48382')"
"('Q9UBL3', 'O14686')"
"('P29474', 'Q9NZT1')"
"('P78352', 'Q9UP38')"
"('Q13573', 'P31689')"
"('O75962', 'Q9NV70')"
"('Q9H0H5', 'P23258')"
"('Q9Y2W2', 'Q15642')"
"('Q9NRR5', 'P16949')"
"('Q9UDY2', 'P35221')"
"('P05067', 'Q99683')"
"('Q9BQY4', 'Q9BRK4')"
"('Q9H7U1', 'Q15560')"
"('Q13976', 'P50552')"
"('P54253', 'P48634')"
"('O94953', 'Q9BTT4')"
"('P35222', 'P48729')"
"('Q8NEB9', 'Q6ZNE5')"
"('Q9H0R8', 'P18507')"
"('O43353', 'P51991')"
"('P28749', 'O75884')"
"('P78423', 'P51685')"
"('Q13315', 'O95218')"
"('Q9UKV0', 'Q93077')"
"('O43463', 'Q92769')"
"('P11171', 'Q07157')"
"('Q00653', 'P15924')"
"('P56693', 'Q13287')"
"('Q16659', 'P60842')"
"('Q9H237', 'P09544')"
"('Q8TBC4', 'Q86XK2')"
"('Q5TA89', 'P56645')"
"('P41134', 'P15173')"
"('O43414', 'P04156')"
"('P19784', 'P25963')"
"('P28074', 'Q9UET6')"
"('Q13315', 'Q15648')"
"('Q8IYF3', 'P09327')"
"('Q4LDE5', 'Q6VMQ6')"
"('Q01970', 'P17252')"
"('O14920', 'P27448')"
"('P29466', 'P10144')"
"('P16104', 'Q08380')"
"('P26641', 'Q96KR7')"
"('Q9UKG9', 'P07900')"
"('P10276', 'P09067')"
"('Q12800', 'Q99496')"
"('Q01344', 'P23458')"
"('O60271', 'Q99759')"
"('Q9Y2P4', 'P08670')"
"('Q9Y2I6', 'O15015')"
"('Q9NYN1', 'Q04771')"
"('P22061', 'P02647')"
"('Q14781', 'P51784')"
"('O14757', 'Q8IY92')"
"('P18084', 'P56199')"
"('P02768', 'Q96HM7')"
"('Q16526', 'P49674')"
"('Q8NI27', 'Q13573')"
"('P33316', 'P11474')"
"('Q9Y3M8', 'P61587')"
"('P49321', 'O00141')"
"('Q92636', 'P63244')"
"('Q15008', 'Q9Y4K3')"
"('Q8TEW0', 'P62993')"
"('P05113', 'Q6UXL0')"
"('P23443', 'Q05513')"
"('O15151', 'P48729')"
"('P49763', 'P08138')"
"('Q96BH1', 'Q04206')"
"('Q08209', 'Q9NYG5')"
"('P25787', 'P28074')"
"('Q6ICG6', 'P31946')"
"('P68400', 'Q9Y5B9')"
"('O00626', 'P19838')"
"('Q93079', 'Q9P0U4')"
"('P62993', 'P36578')"
"('P35367', 'P29992')"
"('P46108', 'Q07889')"
"('P16333', 'O00401')"
"('P49023', 'P23229')"
"('O43921', 'P20936')"
"('P51587', 'P04637')"
"('Q68CQ4', 'P43364')"
"('O43639', 'Q13418')"
"('P78395', 'Q969M7')"
"('P36578', 'P84022')"
"('Q00987', 'P23297')"
"('Q9BTT4', 'P41235')"
