negatives
"('P62873', 'P27986')"
"('Q99576', 'P04049')"
"('P01031', 'P21730')"
"('P61586', 'Q96FW1')"
"('Q9UL46', 'O00487')"
"('Q92832', 'O60841')"
"('P08865', 'P62241')"
"('O75385', 'Q01094')"
"('O95398', 'P45983')"
"('P08107', 'Q01201')"
"('P12830', 'Q16384')"
"('Q9Y4K3', 'P21802')"
"('Q14005', 'O60237')"
"('Q15118', 'P08559')"
"('Q5JSL3', 'P08134')"
"('P31749', 'P41279')"
"('Q9UNA1', 'Q96L33')"
"('Q04724', 'P62328')"
"('Q9H3D4', 'Q99729')"
"('P68366', 'Q13885')"
"('Q9BQY4', 'Q9Y2Y4')"
"('P35247', 'Q9Y6Y9')"
"('P62195', 'O75832')"
"('P35626', 'P47890')"
"('P32121', 'Q8N628')"
"('Q9UPN9', 'Q8IY57')"
"('P12931', 'P10301')"
"('O14579', 'P84077')"
"('Q16584', 'P52564')"
"('Q9HAU4', 'Q8IX12')"
"('P19525', 'P08047')"
"('P43694', 'P11831')"
"('Q9Y3U8', 'O60739')"
"('Q8IW50', 'O43924')"
"('P08047', 'Q9UL17')"
"('Q03111', 'Q9UHB7')"
"('Q8IYF3', 'Q9UNH6')"
"('P31995', 'A6NI73')"
"('Q9H9B4', 'P30480')"
"('P61218', 'Q9GZS3')"
"('Q9UGJ0', 'Q8N122')"
"('Q9UQM7', 'Q96PM5')"
"('O14965', 'Q9NWT8')"
"('Q15046', 'P04406')"
"('P10147', 'P51684')"
"('Q6UVK1', 'Q9H832')"
"('Q5SRE5', 'Q8NFH3')"
"('Q92561', 'Q92597')"
"('Q8TDR0', 'P35579')"
"('P18847', 'P05412')"
"('P22694', 'P49768')"
"('P21673', 'Q7L5N1')"
"('P26006', 'Q13683')"
"('P57739', 'O95049')"
"('P62899', 'P62888')"
"('P17302', 'P68366')"
"('P02511', 'Q9UJY1')"
"('Q9Y675', 'Q9Y2X8')"
"('Q15020', 'P10275')"
"('P31947', 'O94885')"
"('Q03519', 'P10914')"
"('P61026', 'O14965')"
"('Q9Y572', 'P08238')"
"('P60568', 'P01023')"
"('P02647', 'Q68CZ2')"
"('Q92731', 'Q9H944')"
"('P28331', 'O43181')"
"('P03372', 'Q9NPJ4')"
"('P17612', 'Q92736')"
"('P55072', 'Q8NHG7')"
"('Q12988', 'Q9NRN5')"
"('Q8NBK3', 'P11279')"
"('P51813', 'P12931')"
"('P42574', 'Q13188')"
"('P23396', 'P62241')"
"('Q9HCE7', 'P21802')"
"('P21333', 'Q12933')"
"('Q5TCQ9', 'P01135')"
"('P62330', 'P26639')"
"('Q9GZM7', 'P07384')"
"('Q9BPU6', 'P11021')"
"('Q96PU8', 'Q9NW38')"
"('P54762', 'P00519')"
"('Q14192', 'Q9NQX6')"
"('Q14643', 'Q9NSC5')"
"('P55010', 'P47813')"
"('P18583', 'Q15654')"
"('Q13191', 'Q8WYR1')"
"('O75955', 'O94875')"
"('Q9Y3A3', 'P62714')"
"('Q9BXP5', 'P08670')"
"('P10321', 'Q14952')"
"('P02458', 'O00220')"
"('P61981', 'Q9H0H5')"
"('P46109', 'P42229')"
"('Q96J02', 'O15519')"
"('P62979', 'Q99759')"
"('Q9Y230', 'P15923')"
"('Q99459', 'P52907')"
