negatives
"('Q9Y6K9', 'O00221')"
"('P26368', 'Q92620')"
"('P62826', 'Q15797')"
"('Q92765', 'Q14332')"
"('P35227', 'P35226')"
"('P22301', 'P42701')"
"('Q15831', 'Q9UGI9')"
"('Q92995', 'Q9BWH2')"
"('Q9H0E2', 'Q6ZVM7')"
"('Q02962', 'Q99502')"
"('P55854', 'P49792')"
"('P62241', 'Q15843')"
"('Q9NXR8', 'Q9UBU8')"
"('P36542', 'Q14181')"
"('P41182', 'Q9NYH9')"
"('Q99759', 'Q96EY1')"
"('P11488', 'P16499')"
"('O75914', 'Q15746')"
"('P62913', 'P42766')"
"('O14709', 'Q13263')"
"('P55795', 'Q15366')"
"('Q07020', 'P83881')"
"('P08670', 'P40763')"
"('Q9UI95', 'Q13042')"
"('Q99836', 'P51617')"
"('Q9Y243', 'P22736')"
"('P01024', 'P11215')"
"('P49207', 'P56537')"
"('P43405', 'Q8N149')"
"('P51817', 'P51828')"
"('406881', 'P52926')"
"('Q9P0V3', 'O14556')"
"('O95696', 'P33991')"
"('P29350', 'O60716')"
"('Q14746', 'Q9H9E3')"
"('Q9Y230', 'Q93009')"
"('Q96IX5', 'Q9NRR5')"
"('Q5UIP0', 'O95251')"
"('P16870', 'P01275')"
"('Q99459', 'Q15003')"
"('P04406', 'P48637')"
"('Q15428', 'P08579')"
"('Q6QNY1', 'Q9Y3D7')"
"('P58012', 'P18847')"
"('Q14164', 'P31153')"
"('P09661', 'Q9BWJ5')"
"('P35626', 'Q8NGR6')"
"('Q9UM54', 'P12830')"
"('P07996', 'P17301')"
"('P23193', 'Q6P1J9')"
"('P13497', 'P35348')"
"('Q99717', 'Q05209')"
"('Q96Q15', 'Q14738')"
"('Q96SZ6', 'Q9NQT4')"
"('Q13761', 'Q99623')"
"('Q13151', 'P31942')"
"('Q03701', 'P02741')"
"('Q13557', 'P62158')"
"('P49841', 'P27816')"
"('Q96EK5', 'Q8TAP6')"
"('Q8N3R9', 'Q8NI35')"
"('Q8TEY7', 'P40337')"
"('O75593', 'Q14919')"
"('P01570', 'P52333')"
