recall,precision
0.4647887323943662,0.36666666666666664
0.4788732394366197,0.3695652173913043
0.43661971830985913,0.37349397590361444
0.4507042253521127,0.3764705882352941
0.4225352112676056,0.39473684210526316
0.4084507042253521,0.4027777777777778
0.39436619718309857,0.4307692307692308
0.352112676056338,0.5
0.36619718309859156,0.5098039215686274
0.38028169014084506,0.5192307692307693
0.3380281690140845,0.5333333333333333
0.323943661971831,0.6571428571428571
0.30985915492957744,0.6875
0.15492957746478872,0.7857142857142857
0.16901408450704225,0.8
0.18309859154929578,0.8125
0.19718309859154928,0.8235294117647058
0.28169014084507044,0.8333333333333334
0.29577464788732394,0.84
0.22535211267605634,0.8421052631578947
0.23943661971830985,0.85
0.2535211267605634,0.8571428571428571
0.2676056338028169,0.8636363636363636
0.1267605633802817,0.9
0.14084507042253522,0.9090909090909091
0.014084507042253521,1.0
0.028169014084507043,1.0
0.04225352112676056,1.0
0.056338028169014086,1.0
0.07042253521126761,1.0
0.08450704225352113,1.0
0.11267605633802817,1.0
0.0,1.0
