#tail	head	num_paths
P04234	Q13087	1
Q13087	P00519	1
P04234	P27824	1
P27824	P15336	1
P04234	P04150	12
P04150	P17676	2
P04150	P16220	2
P04150	Q92793	2
P04234	P62987	2
P62987	P35222	1
P04150	Q09472	2
Q09472	Q86Y01	2
P04150	P31749	4
P31749	P18146	2
P04150	P0DMV9	2
P0DMV9	P01100	2
P04150	P0DMV8	3
P0DMV8	O14920	2
P04150	P05412	2
P04234	P06241	1
P06241	Q07666	2
P04234	Q13422	2
Q13422	O95644	1
Q13422	Q13469	1
P62987	P25963	1
P04150	Q04206	2
P04234	P20963	1
P20963	Q9H6Q3	2
P04150	O75928	2
O75928	Q14765	2
P04150	P42229	2
P04150	P51692	2
P07766	P06239	3
P06239	P00519	2
P07766	P41240	5
P41240	P31749	2
P31749	P15336	3
P07766	Q9BRN9	4
Q9BRN9	P01375	4
P01375	P17676	1
P31749	P16220	2
P01375	Q92793	1
P06239	P35222	2
P41240	P62993	1
P62993	Q86Y01	3
P07766	P29353	1
P29353	P18146	1
P07766	P19338	2
P19338	P01100	1
P01375	O14920	1
P41240	P05412	1
P41240	Q07666	1
P07766	P52333	4
P52333	O95644	1
P01375	Q13469	1
P06239	P25963	3
P19338	Q04206	1
P07766	P43403	1
P43403	Q9H6Q3	2
P52333	Q14765	1
P52333	P42229	1
P52333	P51692	1
P09693	P06241	3
P06241	P00519	1
P09693	P04150	16
P06241	P35222	1
P04150	Q96S59	1
Q96S59	O95644	1
P0DMV8	Q13469	1
P31749	P25963	1
P09693	P20963	1
Q96P31	Q06124	17
Q06124	Q15303	1
Q15303	P00519	1
Q06124	P04083	2
P04083	P15336	1
Q06124	Q16539	5
Q16539	P17676	1
Q16539	P16220	1
Q06124	Q99683	1
Q99683	Q92793	1
Q06124	P35222	1
Q06124	P62993	1
Q96P31	P29350	2
P29350	P18146	1
Q16539	P01100	1
Q16539	O14920	1
Q06124	P15498	1
P15498	P05412	1
P29350	Q07666	1
Q16539	O95644	1
Q06124	P42229	2
P42229	Q13469	1
P04083	P25963	1
Q06124	O15524	2
O15524	Q04206	1
Q96P31	P43403	1
O15524	Q14765	1
Q06124	P51692	1
Q9HD43	P06239	5
Q9HD43	P40692	1
P40692	P15336	1
Q9HD43	Q9H0C8	10
Q9H0C8	P28482	5
P28482	P17676	1
P28482	P16220	1
P28482	Q92793	1
P06239	Q13283	1
Q13283	Q86Y01	2
P28482	P18146	1
P28482	P01100	1
Q9H0C8	P05412	2
P05412	O14920	1
P06239	Q07666	1
Q9HD43	P49916	2
P49916	O95644	1
P49916	Q13469	1
Q9H0C8	P42229	3
P42229	Q04206	1
Q9HD43	P60410	1
P60410	P09603	1
P09603	Q9H6Q3	1
P42229	Q14765	1
Q9HD43	P10912	1
P10912	P51692	1
Q12913	P20936	2
P20936	P00519	1
Q12913	P06753	1
P06753	P15336	1
Q12913	P27361	3
P27361	P17676	1
P27361	P16220	1
Q12913	P19022	1
P19022	Q92793	1
Q12913	P49023	1
P49023	P35222	1
Q12913	P62993	1
Q12913	Q02750	1
Q02750	P18146	1
Q12913	P12830	1
P12830	P01100	1
Q12913	Q13501	2
Q13501	O14920	1
Q12913	Q92688	1
Q92688	P05412	1
P20936	Q07666	1
P27361	O95644	1
Q12913	Q96LZ3	1
Q96LZ3	Q13469	1
Q12913	P06239	1
Q12913	P04629	2
P04629	Q04206	1
Q12913	P08581	1
P08581	Q9H6Q3	1
Q12913	O60674	1
O60674	Q14765	1
Q13501	P42229	1
P04629	P51692	1
P04435	P49407	20
P49407	Q99933	1
Q99933	P00519	1
P49407	P31749	5
P49407	P61978	1
P61978	P17676	1
P31749	Q92793	1
P31749	P35222	1
P49407	Q13283	1
P49407	P18146	1
P49407	P46821	1
P46821	P01100	1
P49407	O14920	1
P49407	P05412	1
P49407	P09651	3
P09651	Q07666	1
P09651	O95644	1
P09651	Q13469	1
P49407	P25963	1
P31749	Q04206	1
P49407	P00533	1
P00533	Q9H6Q3	1
P49407	P23458	3
P23458	Q14765	1
P23458	P42229	1
P23458	P51692	1
