negatives
"('Q9NPF5', 'P25440')"
"('P31948', 'P53041')"
"('Q96MT8', 'P08621')"
"('P29353', 'O75791')"
"('Q9HC98', 'Q9HC35')"
"('O94762', 'P24928')"
"('Q96BH1', 'P51668')"
"('P48736', 'Q06124')"
"('Q15119', 'O00330')"
"('O95997', 'P16220')"
"('Q04759', 'P27448')"
"('Q9Y2I6', 'Q9UJ04')"
"('O75052', 'Q9Y272')"
"('Q13137', 'O95990')"
"('P78396', 'Q05397')"
"('P63208', 'P62136')"
"('Q9UHD2', 'P19438')"
"('P03372', 'P98177')"
"('Q8N0Y5', 'P38405')"
"('P53621', 'Q9UKV8')"
"('P00533', 'P49023')"
"('Q9UM11', 'Q9UM13')"
"('P05387', 'P40429')"
"('P59046', 'P11142')"
"('P62993', 'O94929')"
"('P84243', 'Q96KQ7')"
"('P46108', 'Q13191')"
"('P27986', 'Q15366')"
"('P49321', 'Q9Y4K3')"
"('O43390', 'Q07955')"
"('P31995', 'P19174')"
"('Q03135', 'Q14254')"
"('P51668', 'P78545')"
"('Q14197', 'Q96EL2')"
"('P51693', 'Q9UGL9')"
"('P04839', 'Q02556')"
"('P06239', 'Q9Y3P8')"
"('Q96CS2', 'Q99871')"
"('P16220', 'Q86V59')"
"('P00966', 'O60684')"
"('O95834', 'P01889')"
"('O14595', 'P10275')"
"('Q9BYM8', 'Q16763')"
"('P05388', 'P26373')"
"('P01562', 'Q99665')"
"('P40937', 'P35250')"
"('P34969', 'P16520')"
"('P51116', 'Q9Y4E5')"
"('P08134', 'P52565')"
"('P20333', 'Q16531')"
"('Q9UI09', 'P03905')"
"('O60884', 'P62805')"
"('Q92956', 'Q9Y230')"
"('P30793', 'P30047')"
"('P52597', 'Q15427')"
"('P12034', 'P11362')"
"('Q5T4F7', 'P56704')"
"('Q9UBL3', 'O15198')"
"('P56645', 'P05412')"
"('Q8TAM1', 'P49674')"
"('Q9HCE7', 'P61952')"
"('P08107', 'Q99683')"
"('Q92922', 'Q68CP9')"
"('O15287', 'Q00597')"
"('Q8N5U6', 'Q8WVN8')"
"('P10276', 'Q15910')"
"('P29460', 'P16871')"
"('P62979', 'O60603')"
"('P13569', 'O76024')"
"('Q9UBC1', 'P82650')"
"('P04141', 'Q8IU57')"
"('P67870', 'Q9BSB4')"
"('Q14653', 'Q8N2W9')"
"('O15320', 'Q9Y4K3')"
"('P21675', 'Q9BQI7')"
"('P51532', 'P16104')"
"('P11234', 'P62158')"
"('P52803', 'P29320')"
"('Q9UGJ0', 'Q13131')"
"('Q9H1J5', 'Q9ULW2')"
"('P43403', 'P19174')"
"('Q8TB72', 'Q8WY41')"
"('O75928', 'Q13426')"
"('Q92997', 'O15169')"
"('P55854', 'Q7L2E3')"
"('P28566', 'O60262')"
"('O94782', 'Q8TAF3')"
"('Q01094', 'Q86VI4')"
"('Q8TB96', 'Q92956')"
"('P07949', 'Q9NR46')"
"('P03956', 'P01100')"
"('P26583', 'P48729')"
"('Q15796', 'Q9HAU4')"
"('P11586', 'P23508')"
"('Q5IJ48', 'P82279')"
"('O75534', 'P30480')"
"('P20226', 'P21675')"
"('Q13137', 'Q8TCX5')"
"('P07948', 'Q7Z7K6')"
"('P21741', 'P23471')"
"('P18206', 'Q9GZM8')"
"('P46094', 'P04899')"
"('Q9H1Y0', 'P39023')"
"('P04439', 'P10966')"
"('O60674', 'Q99570')"
"('O00716', 'O95067')"
"('Q9BYG5', 'Q96CN9')"
"('P01116', 'O00329')"
"('Q6P2C8', 'P28702')"
"('O95785', 'P46783')"
"('P10144', 'O00273')"
"('P32121', 'Q9UGF6')"
"('Q8N7W2', 'Q9GZT8')"
"('Q13432', 'P84090')"
"('Q09472', 'P68104')"
"('Q9UQL6', 'Q9NYJ8')"
"('P01889', 'Q13200')"
"('O95298', 'O95168')"
"('Q99459', 'Q9UBF2')"
"('O60885', 'O95832')"
"('Q96EP5', 'Q4VXU2')"
"('P14780', 'P08246')"
"('P04792', 'P16871')"
"('O95251', 'P33993')"
"('Q9UBL3', 'Q9UPS6')"
"('Q13705', 'P36896')"
"('P10070', 'P08151')"
"('P35222', 'Q13363')"
"('Q13315', 'Q92922')"
"('Q13007', 'P26951')"
"('P18754', 'Q9H6Z4')"
"('Q9H492', 'Q86YR5')"
"('Q9BPX7', 'Q9NS23')"
"('Q9NR28', 'Q96CA5')"
"('P25705', 'P30049')"
"('P61353', 'P62829')"
"('P04181', 'Q9Y478')"
"('Q02556', 'P21359')"
"('Q15008', 'O95816')"
"('Q9H1A4', 'Q9NZH5')"
"('P63261', 'P26006')"
"('O94885', 'Q9H204')"
"('P00519', 'Q14315')"
"('P54253', 'Q9P2G9')"
"('P16070', 'P10124')"
"('Q14106', 'Q9H361')"
"('Q8NGQ4', 'P38405')"
"('P26010', 'Q9UKX5')"
"('Q12996', 'Q99459')"
"('P42772', 'P24385')"
"('Q9C035', 'O75800')"
"('P02545', 'P42166')"
"('P52735', 'Q96JH7')"
