negatives
"('Q9HAV0', 'O43306')"
"('Q09470', 'P78352')"
"('O43592', 'P00533')"
"('P39023', 'Q15853')"
"('P19838', 'P31689')"
"('P52564', 'P53779')"
"('P42766', 'P62899')"
"('P45983', 'P31751')"
"('Q13177', 'Q03001')"
"('P43146', 'P62847')"
"('P01889', 'Q9HAV7')"
"('P08922', 'P29350')"
"('P45983', 'P15408')"
"('Q99547', 'Q5RL73')"
"('P03971', 'Q13873')"
"('Q13573', 'P60228')"
"('Q8IWX8', 'Q01081')"
"('Q86YV0', 'P62258')"
"('P01106', 'O94906')"
"('Q86VP6', 'Q13618')"
"('Q9NR96', 'P09429')"
"('Q9Y616', 'Q9Y4K3')"
"('P01106', 'Q9NPH2')"
"('P15927', 'O60921')"
"('Q9UQE7', 'Q14457')"
"('P14866', 'Q08211')"
"('P01889', 'Q9UKK9')"
"('O95182', 'O75438')"
"('P61106', 'Q8TBB1')"
"('A8K6C2', 'P16871')"
"('P27986', 'O15056')"
"('Q15172', 'Q9UPR3')"
"('Q02535', 'Q14469')"
"('Q99750', 'O60269')"
"('Q96KK5', 'P62807')"
"('Q13237', 'Q10588')"
"('Q15797', 'O75533')"
"('Q9BWF2', 'P06241')"
"('Q13315', 'O75417')"
"('P62993', 'Q9P0K7')"
"('Q9NZN5', 'Q6AI08')"
"('Q96HP0', 'P61587')"
"('O15360', 'Q8IYD8')"
"('P63261', 'Q14247')"
"('P25101', 'P08754')"
"('P07948', 'P11912')"
"('P19525', 'O14733')"
"('Q13547', 'Q16890')"
"('P84243', 'P51532')"
"('Q9NRI5', 'P35609')"
"('Q9P0M6', 'Q96A08')"
"('Q16539', 'Q13469')"
"('407051', 'P55316')"
"('Q13145', 'O94993')"
"('Q9BQY4', 'Q96JH8')"
"('P01243', 'Q02413')"
"('P61981', 'O60333')"
"('Q15714', 'Q9GZT6')"
"('Q6P4I2', 'P38936')"
"('Q9BX46', 'Q96PU8')"
"('P51991', 'P26368')"
"('P26038', 'P60709')"
"('Q05086', 'P07602')"
"('O43353', 'O60641')"
"('P01106', 'Q9BSJ2')"
"('Q12778', 'Q9Y5W3')"
"('Q07912', 'P51690')"
"('Q96A23', 'Q6W2J9')"
"('P02751', 'P11912')"
"('O15350', 'P46934')"
"('P08253', 'P08572')"
"('Q9UP83', 'P83436')"
"('Q9NVJ2', 'P21281')"
"('P07910', 'Q13435')"
"('P04183', 'O60383')"
"('P62753', 'Q99558')"
"('Q4VCS5', 'P46937')"
"('P01857', 'P08779')"
"('O95433', 'Q9BXM0')"
"('Q13485', 'P42772')"
"('Q04771', 'P28482')"
"('P08047', 'P41221')"
"('Q15759', 'P12036')"
"('Q02543', 'P67870')"
"('Q96B02', 'Q9Y675')"
"('O43809', 'P60660')"
"('P06241', 'Q13111')"
"('Q9Y478', 'O43709')"
"('O43187', 'Q9Y616')"
"('P49768', 'Q8WW43')"
"('P28698', 'P08571')"
"('P23508', 'P10768')"
"('O95400', 'Q9UHX1')"
"('O15534', 'Q16665')"
"('P09651', 'P31943')"
"('P63104', 'Q16613')"
"('Q9UNH7', 'Q13596')"
"('Q9HCE7', 'O43187')"
"('P61077', 'Q86Y13')"
"('P63167', 'Q9HC98')"
"('O15372', 'P30480')"
"('P55157', 'Q9UJT2')"
"('O75475', 'P30041')"
"('O60496', 'O15519')"
"('Q9Y3B4', 'P40337')"
"('Q8TDR0', 'P78559')"
"('Q68CZ6', 'Q9NVX0')"
"('Q8IZI9', 'Q14627')"
"('Q13489', 'Q13077')"
"('Q9UHV7', 'P49336')"
"('P37288', 'O95837')"
"('P12314', 'P53778')"
"('Q99750', 'Q9P0T4')"
"('Q9H211', 'P24941')"
"('Q13315', 'P47710')"
"('Q8WUW1', 'O15145')"
"('Q16385', 'Q96QF0')"
"('Q13422', 'P10144')"
"('O15551', 'P56880')"
"('Q9ULK6', 'O14933')"
"('Q9UKK9', 'P01243')"
"('P51636', 'P26012')"
"('Q00610', 'Q9NZ52')"
"('Q9P298', 'P0CAP1')"
"('O43570', 'Q16659')"
"('Q8IYM9', 'Q96RK0')"
"('Q9H1Y0', 'Q15631')"
"('P06756', 'P46109')"
"('Q99471', 'P62714')"
"('Q00978', 'P04637')"
"('Q9NTJ3', 'Q6IBW4')"
"('Q9NY61', 'Q15038')"
"('Q9UBK5', 'P16885')"
"('Q00653', 'P05014')"
"('O00214', 'P56199')"
"('Q92585', 'Q06330')"
"('P56524', 'O60566')"
"('Q9UGI8', 'P50552')"
"('P28482', 'P30556')"
"('Q6P4R8', 'P25490')"
"('Q8N6F1', 'O14493')"
"('Q99626', 'O14627')"
"('Q9UNK0', 'P46459')"
"('P31269', 'P40426')"
"('P18564', 'Q9NVD7')"
"('P12956', 'P09874')"
"('P42680', 'O60674')"
"('Q96LD8', 'P62913')"
"('Q9BRX9', 'Q15427')"
"('P36873', 'Q7Z3S7')"
"('Q9H981', 'Q9Y265')"
"('Q07021', 'P12830')"
"('P40763', 'P06454')"
"('P62330', 'P28340')"
"('P78527', 'O95714')"
"('Q9HD26', 'Q8N2Q7')"
"('O60500', 'P02768')"
"('P01106', 'O14543')"
"('P11474', 'Q92786')"
"('P62837', 'Q9BZY9')"
"('Q9UQ80', 'P05388')"
"('O15131', 'Q9HCU9')"
"('O15399', 'O95433')"
"('Q16539', 'Q03188')"
"('P49841', 'Q71U36')"
"('P52756', 'Q12906')"
"('P83731', 'P62891')"
"('O94985', 'P04156')"
"('Q8IYS5', 'P08637')"
"('O95400', 'Q7Z591')"
"('P10275', 'Q96PM5')"
"('Q9NVC6', 'Q15648')"
"('Q15796', 'Q07666')"
"('P63104', 'P30304')"
"('P56747', 'Q9UDY2')"
"('P81605', 'P02768')"
"('P20290', 'P62330')"
"('Q99623', 'Q8N1F7')"
"('Q13905', 'P06241')"
"('O95747', 'P55011')"
"('P51114', 'P35228')"
"('Q8IU60', 'Q9UJ70')"
"('Q92765', 'P56703')"
"('Q08043', 'P68032')"
"('Q14190', 'Q9HBZ2')"
"('Q9UBU3', 'P25101')"
"('Q92844', 'P04264')"
"('O15151', 'P06400')"
"('Q99460', 'P48556')"
"('Q9Y624', 'P57087')"
"('P12830', 'P35222')"
"('O14640', 'Q9Y6M4')"
"('Q9H7E9', 'Q6UXH1')"
"('Q6P4R8', 'P0C1Z6')"
"('P62330', 'Q04637')"
"('Q9Y5U2', 'Q13813')"
"('O75530', 'P19438')"
"('O60551', 'P04183')"
"('P21333', 'P19174')"
"('P08195', 'Q99623')"
"('Q12933', 'Q9UHB7')"
"('Q04941', 'Q14164')"
"('O15105', 'Q9NR48')"
"('Q99469', 'Q9UGN5')"
"('O96006', 'P0DI81')"
"('Q15370', 'Q9P2G9')"
"('Q13546', 'P11021')"
"('P34932', 'Q04864')"
"('Q8N5Z5', 'Q8N456')"
"('O95467', 'Q9Y265')"
"('Q9BXW4', 'O95166')"
"('Q99700', 'Q5VTD9')"
"('Q53T94', 'Q15572')"
"('P49368', 'Q00653')"
"('Q07666', 'Q68CZ2')"
"('Q9H0L4', 'Q9NRR5')"
"('P63104', 'P19338')"
"('P01591', 'P01871')"
"('P51531', 'P04637')"
"('Q04917', 'Q9BYG5')"
"('Q8WUM4', 'Q96CF2')"
"('O60563', 'Q03111')"
"('Q13480', 'P07949')"
"('Q9UIS9', 'O15198')"
"('Q16821', 'P36873')"
"('O00238', 'Q9H5K3')"
"('P0C1Z6', 'Q9C086')"
"('P09874', 'Q02539')"
"('Q13153', 'Q15052')"
"('P48145', 'P18146')"
"('O14745', 'P23508')"
"('Q15797', 'Q9H160')"
"('O00291', 'P42858')"
"('Q13315', 'Q15398')"
"('P01889', 'O43242')"
"('P13984', 'P19387')"
"('O00182', 'P02751')"
"('P30968', 'Q5JWF2')"
"('P41236', 'Q9UD71')"
"('P30281', 'O95967')"
"('Q15796', 'O43524')"
"('P18146', 'P10145')"
"('O95819', 'Q01780')"
"('P35900', 'P51116')"
"('Q16539', 'Q96DM3')"
"('O15294', 'O95644')"
"('O60287', 'P16333')"
"('O75145', 'Q13136')"
"('Q9Y5P4', 'O95197')"
"('P18146', 'Q96LC9')"
"('P53680', 'P58107')"
"('P38936', 'Q9Y3C7')"
"('P55327', 'P63104')"
"('O94885', 'P12757')"
"('O00459', 'Q9UM73')"
"('Q96JK9', 'Q9UM47')"
"('Q9UHL4', 'Q8IZH2')"
"('Q08209', 'Q8TD86')"
"('Q8TAI7', 'Q13485')"
"('Q9NS56', 'P04637')"
"('Q14767', 'Q9H2G2')"
"('P04637', 'Q9NVC6')"
"('Q8WXG1', 'Q05516')"
"('Q92858', 'Q13309')"
"('Q15831', 'Q9Y376')"
"('Q16548', 'Q96PG8')"
"('P54727', 'Q92466')"
"('406906', 'Q9BYV9')"
"('P01106', 'Q9UI08')"
"('P08648', 'P53708')"
"('P06703', 'P50995')"
"('O76071', 'Q9UHI6')"
"('O60508', 'Q15365')"
"('O95166', 'Q8N1C3')"
"('Q96L91', 'Q9NPF5')"
"('P08069', 'Q15147')"
"('P01308', 'O00459')"
"('P30154', 'Q16537')"
"('Q8NDZ2', 'P53350')"
"('Q05516', 'P30556')"
"('P63146', 'Q92541')"
"('P15498', 'Q13094')"
"('P55036', 'O43242')"
"('Q06124', 'O00459')"
"('P46109', 'O00329')"
"('Q16630', 'P01889')"
"('P0CG48', 'Q9UHC7')"
"('Q8IZD9', 'P06241')"
"('Q8N257', 'Q71UI9')"
"('P78344', 'P43360')"
"('P01106', 'Q9Y6X0')"
"('Q5JQF8', 'Q96EP5')"
"('P12931', 'P56945')"
"('Q07092', 'P18146')"
"('Q15084', 'Q9Y4K3')"
"('Q9UPX8', 'Q86YM7')"
"('P50148', 'O60733')"
"('P41594', 'Q5JWF2')"
"('P45984', 'Q9UIA9')"
"('Q9UKY1', 'O00231')"
"('Q9H0R8', 'O43379')"
"('P62269', 'P15880')"
"('P02746', 'P06681')"
"('P11171', 'P61923')"
"('O15530', 'Q9H814')"
"('O75586', 'Q9ULK4')"
"('Q9NV56', 'Q92993')"
"('O15379', 'Q99879')"
"('P25963', 'P11142')"
"('P78396', 'P53396')"
"('P36897', 'Q9NVJ2')"
"('Q96DG6', 'Q9UHX1')"
"('406890', 'Q9H9Z2')"
"('Q01484', 'Q14571')"
"('P67809', 'Q15428')"
"('Q93009', 'Q15287')"
"('Q9H0B6', 'P31947')"
"('P63104', 'P78527')"
"('P05014', 'P10912')"
"('Q93074', 'Q9ULK4')"
"('P83916', 'Q9UER7')"
"('P30457', 'Q93084')"
"('P15056', 'O43482')"
"('O75694', 'P49792')"
"('Q9BX70', 'Q9C035')"
"('Q9HC24', 'Q9UH99')"
"('P38398', 'Q68CP9')"
"('P18146', 'O75947')"
"('Q92915', 'P00533')"
"('P25208', 'P14635')"
"('P10747', 'P42338')"
"('O00463', 'Q99558')"
"('Q15024', 'Q13615')"
"('Q05086', 'P10276')"
"('P38646', 'Q99759')"
"('P80075', 'P13611')"
"('Q9NPB0', 'Q8IWF7')"
"('P53778', 'Q12968')"
"('Q96BR9', 'Q8TBB1')"
"('Q16513', 'O75821')"
"('Q99459', 'Q6P2E9')"
"('Q03164', 'Q15291')"
"('Q9UKA9', 'P07910')"
"('P23508', 'O75347')"
"('Q13485', 'P10275')"
"('O00429', 'Q9NQG6')"
"('P08476', 'P09529')"
"('Q9NQZ2', 'Q9UKY1')"
"('P00533', 'P16144')"
"('Q06187', 'Q14699')"
"('Q16548', 'Q13323')"
"('P00519', 'P55211')"
"('O43395', 'Q15428')"
"('O00182', 'Q15758')"
"('Q9Y265', 'Q9H9F9')"
"('P40763', 'P00533')"
"('Q8TAP4', 'P52272')"
"('Q8TEQ6', 'P62318')"
"('P01100', 'Q13469')"
"('Q9NRX3', 'P22459')"
"('O60869', 'P37231')"
"('P27361', 'Q9UK32')"
"('Q99697', 'P62993')"
"('Q9P258', 'P40337')"
"('Q9UKV8', 'P43243')"
"('Q99880', 'Q6FI13')"
"('Q07960', 'Q96L33')"
"('P24522', 'P32456')"
"('P02452', 'P51888')"
"('Q9Y608', 'P62993')"
"('P11912', 'P29353')"
"('P07437', 'O15111')"
"('Q13748', 'Q86UA6')"
"('O60437', 'P08670')"
"('Q16778', 'Q96KK5')"
"('Q9Y6K9', 'Q969H6')"
"('Q9NRR5', 'Q14512')"
"('Q6UWE0', 'O14798')"
"('Q15797', 'Q15361')"
"('P43360', 'Q14203')"
"('Q13315', 'Q9Y6D5')"
"('P16619', 'P25024')"
"('Q9Y2T4', 'Q9Y243')"
"('P20226', 'P49736')"
"('P42772', 'O14519')"
"('O00750', 'P27986')"
"('P11940', 'Q9BPZ3')"
"('P28749', 'P51610')"
"('Q01196', 'P08246')"
"('P14866', 'P51991')"
"('P56537', 'P60228')"
"('Q9BWU1', 'Q9BUE0')"
"('Q99759', 'O60925')"
"('Q86SG6', 'P60520')"
"('P56199', 'Q9Y4G6')"
"('P01106', 'P49757')"
"('Q99459', 'P23919')"
"('Q16342', 'O60260')"
"('P49715', 'P23511')"
"('Q9P2Y5', 'O00161')"
"('P38919', 'P06493')"
"('P01242', 'P08887')"
"('P19438', 'Q9NZ08')"
"('Q13485', 'P28749')"
"('Q8NGG3', 'P38405')"
"('O75448', 'Q96HR3')"
"('Q9UNH7', 'P05023')"
"('P68402', 'Q9BZL4')"
"('P45973', 'Q7Z3K3')"
"('P38936', 'P33993')"
"('P32121', 'Q8NGG3')"
"('O96000', 'O43678')"
"('Q7Z2G1', 'Q16777')"
"('O43374', 'Q9HDC9')"
"('P63010', 'Q15287')"
"('P24864', 'P46527')"
"('O00571', 'P18206')"
"('P0C5Z0', 'Q5QNW6')"
"('Q9H1Y0', 'Q96CV9')"
"('Q9BZL1', 'Q9BRX9')"
"('P25098', 'P46094')"
"('P31749', 'P41279')"
"('Q13813', 'Q01082')"
"('P19438', 'P54136')"
"('Q13114', 'Q9Y4K3')"
"('Q92889', 'Q01831')"
"('Q96H20', 'P55199')"
"('Q13129', 'P30793')"
"('Q92731', 'P48552')"
"('O14610', 'P48544')"
"('Q8IVT5', 'P27361')"
"('O14733', 'Q9P2G9')"
"('Q92616', 'P43360')"
"('Q9UKV8', 'P46776')"
"('P29597', 'P42336')"
"('O43318', 'P53779')"
"('Q8WUM0', 'P57740')"
"('O14576', 'P20073')"
"('O95619', 'Q9NXR8')"
"('P61927', 'P62891')"
"('Q99879', 'Q08945')"
"('P62993', 'Q15262')"
"('P10275', 'P17844')"
"('Q9BZM5', 'P49716')"
"('P35680', 'Q4U2R8')"
"('P62424', 'O95793')"
"('P08754', 'P53779')"
"('P07550', 'P38405')"
"('Q9BRK4', 'Q5VTD9')"
"('Q05519', 'Q08170')"
"('P62269', 'P62266')"
"('Q92769', 'Q86X95')"
"('Q02156', 'Q96HC4')"
"('P60900', 'Q00653')"
"('P01871', 'P15309')"
"('P01579', 'P16220')"
"('Q11206', 'P52565')"
"('Q96EB6', 'Q15573')"
"('Q04206', 'Q9Y5S8')"
"('P01042', 'P00748')"
"('P01112', 'Q96RT1')"
"('P01106', 'Q96EY1')"
"('P06241', 'Q8WYR1')"
"('Q13200', 'Q00653')"
"('P30154', 'Q8IZS8')"
"('P35222', 'P42336')"
"('Q8NH05', 'P38405')"
"('Q15149', 'P08729')"
"('P0CG48', 'P55036')"
"('P52565', 'Q99828')"
"('P62873', 'Q92633')"
"('Q9Y5V3', 'O43521')"
"('P08670', 'P17600')"
"('Q9HB21', 'O75970')"
"('P51812', 'P67870')"
"('P35626', 'Q8NH04')"
"('P13637', 'Q6P1N9')"
"('P17612', 'Q04206')"
"('Q9UHB9', 'Q13573')"
"('Q99459', 'Q07666')"
"('Q9Y692', 'P63279')"
"('P62993', 'Q8TEW0')"
"('P51686', 'O60674')"
"('Q15652', 'P04183')"
"('P20333', 'O95831')"
"('P01871', 'P04183')"
"('P38936', 'Q00534')"
"('Q96L14', 'Q96HB5')"
"('P54646', 'P46527')"
"('Q15796', 'Q9H0M0')"
"('P67809', 'P61978')"
"('P17612', 'Q08499')"
"('P01375', 'Q9UKB1')"
"('Q9Y4R7', 'Q86XS8')"
"('P63173', 'P05387')"
"('P60484', 'Q01094')"
"('Q14103', 'Q15366')"
"('Q2MKA7', 'O75581')"
"('Q9HAZ2', 'P12755')"
"('P56537', 'Q92665')"
"('P62857', 'P62244')"
"('Q8TF46', 'Q06265')"
"('Q14449', 'P06213')"
"('P68104', 'O00231')"
"('P62807', 'Q9C005')"
"('P10275', 'Q9HBE1')"
"('P02766', 'P08670')"
"('Q9H9Q2', 'Q9BT78')"
"('O43633', 'O75351')"
"('P61247', 'Q9H8Y8')"
"('CDKR1', 'Q16620')"
"('Q13315', 'Q9NYF8')"
"('Q16787', 'Q13797')"
"('P63096', 'P08253')"
"('O43318', 'Q7L7X3')"
"('Q9NRI5', 'P63104')"
"('P28065', 'Q08380')"
"('P16333', 'Q9NZV5')"
"('P62945', 'P35268')"
"('P31946', 'Q7L8J4')"
"('Q08462', 'P17612')"
"('O94806', 'P04049')"
"('Q00403', 'Q09472')"
"('P13236', 'P32302')"
"('Q00005', 'P62826')"
"('Q15102', 'Q5UIP0')"
"('P49327', 'Q00653')"
"('P49910', 'Q01844')"
"('P67775', 'P51617')"
"('Q13239', 'P49841')"
"('P46940', 'P52735')"
"('P06213', 'Q9BX66')"
"('P05388', 'P46779')"
"('Q86UA6', 'Q3ZCQ8')"
"('P23508', 'Q9Y3B4')"
"('O00254', 'P16333')"
"('O95810', 'Q9Y240')"
"('P07942', 'P25391')"
"('O14610', 'Q13936')"
"('P15121', 'Q9Y4K3')"
"('Q01105', 'P20226')"
"('Q6PD62', 'Q8N7H5')"
"('Q86YV0', 'Q07890')"
"('Q07955', 'O60508')"
"('Q92793', 'P01562')"
"('P32121', 'A6NDL8')"
"('Q9NY65', 'Q9Y6K9')"
"('P52565', 'Q16611')"
"('O43561', 'P02768')"
"('P01024', 'P05107')"
"('Q8TE49', 'P40337')"
"('P01138', 'P08581')"
"('Q15172', 'O00305')"
"('Q9UJU6', 'Q8TDY2')"
"('P58546', 'P16871')"
"('Q14839', 'P17542')"
"('P35244', 'Q9NS91')"
"('Q9Y4K3', 'Q9Y6Q6')"
"('P62805', 'P21675')"
"('Q9UH03', 'P56537')"
"('O75354', 'P54253')"
"('Q9NV96', 'P16220')"
"('Q71F56', 'P10827')"
"('Q12873', 'Q9Y2P4')"
"('P21554', 'P04899')"
"('P49720', 'P53350')"
"('P06703', 'P63104')"
"('P16144', 'P05129')"
"('P20248', 'P54198')"
"('P42226', 'Q9BZP6')"
"('O94972', 'Q96EZ8')"
"('Q93079', 'Q9UBN7')"
"('O94985', 'Q15047')"
"('O00716', 'P40692')"
"('P05106', 'P01111')"
"('P17931', 'Q01196')"
"('Q8WWW0', 'P11215')"
"('P49798', 'P53618')"
"('Q5JTH9', 'Q9NR30')"
"('Q8TAT6', 'Q92890')"
"('Q8NGK6', 'P38405')"
"('O00499', 'P39880')"
"('Q9Y2X8', 'Q9UBS8')"
"('P00533', 'P62158')"
"('P43403', 'Q92529')"
"('P24941', 'Q9UJX6')"
"('P47712', 'P04150')"
"('P30153', 'Q06432')"
"('P41235', 'Q13503')"
"('Q9Y6C5', 'Q14623')"
"('Q9NRI5', 'Q9Y2D1')"
"('O00141', 'P16220')"
"('P0CG48', 'O75604')"
"('Q15047', 'P30519')"
"('P35269', 'P27540')"
"('O95786', 'P10914')"
"('Q13554', 'Q02641')"
"('P62140', 'Q12879')"
"('P16104', 'Q9Y5B9')"
"('Q92934', 'P61956')"
"('O95400', 'Q2TAY7')"
"('Q9UKE5', 'P99999')"
"('O60269', 'Q9Y3M8')"
"('P48739', 'P40337')"
"('P01023', 'Q07954')"
"('P08754', 'P62879')"
"('P04275', 'P06756')"
"('Q9UQL6', 'O75367')"
"('P17480', 'Q9GZS1')"
"('Q07817', 'P21796')"
"('Q07021', 'Q04864')"
"('Q8NGC1', 'P38405')"
"('P11171', 'O15067')"
"('Q13107', 'P20073')"
"('P04637', 'P84022')"
"('Q96BK5', 'P06748')"
"('Q8IUD2', 'Q6IBS0')"
"('P18146', 'Q14774')"
"('Q13402', 'Q8WXG9')"
"('Q96KM6', 'Q9Y2K7')"
"('Q06190', 'Q99741')"
"('O60684', 'P61604')"
"('Q14653', 'P29590')"
"('P15248', 'P42229')"
"('Q09472', 'P16949')"
"('Q8TCY5', 'Q96G30')"
"('P99999', 'P55211')"
"('Q9Y5I7', 'P56880')"
"('Q9HAU0', 'Q9Y496')"
"('O00487', 'P62195')"
"('P58340', 'P43364')"
"('Q13976', 'Q10588')"
"('Q9UBU3', 'P11229')"
"('Q9Y5K5', 'Q16186')"
"('P61956', 'Q9UKL0')"
"('Q96A32', 'P63261')"
"('P06241', 'Q9BXM0')"
"('O95782', 'P05783')"
"('Q15019', 'Q92599')"
"('P62424', 'Q92901')"
"('P01579', 'Q99650')"
"('Q5UIP0', 'Q13200')"
"('Q86XK2', 'P61604')"
"('P17676', 'O43734')"
"('P41182', 'O14763')"
"('Q13077', 'P01857')"
"('P19387', 'P53803')"
"('O60907', 'O75376')"
"('Q15008', 'P48556')"
"('Q12888', 'P15927')"
"('Q9Y4K3', 'P29692')"
"('O00716', 'P41182')"
"('P62280', 'P62277')"
"('Q59H18', 'P68133')"
"('P61952', 'P08754')"
"('P20936', 'P01112')"
"('Q99623', 'P14923')"
"('P78527', 'P15924')"
"('O60674', 'Q8WYR1')"
"('Q15029', 'Q15637')"
"('P31749', 'Q92934')"
"('P01106', 'Q86UD0')"
"('O43525', 'O43526')"
"('P16871', 'P00441')"
"('Q14011', 'Q9BS40')"
"('Q9NPJ1', 'Q15583')"
"('P38398', 'P10275')"
"('P62258', 'Q9NQ92')"
"('P12004', 'P11171')"
"('Q13418', 'Q5JVF3')"
"('Q96MN2', 'Q9NPP4')"
"('P28702', 'Q03181')"
"('Q99816', 'Q7Z4K8')"
"('Q13489', 'O15379')"
"('Q03001', 'P14316')"
"('P25398', 'P46783')"
"('P56856', 'O15551')"
"('P40123', 'Q01518')"
"('Q9UKS7', 'Q13422')"
"('Q13748', 'O43318')"
"('Q14457', 'Q6ZNE5')"
"('Q14690', 'P05109')"
"('P01133', 'P63104')"
"('Q8NGY3', 'P38405')"
"('P50749', 'P01112')"
"('Q02548', 'P11912')"
"('P61981', 'O96013')"
"('Q14790', 'P99999')"
"('Q13424', 'P41595')"
"('Q6EEV6', 'O14715')"
"('Q13573', 'O76094')"
"('Q9Y4K3', 'Q14558')"
"('Q9Y6D9', 'Q9Y2I6')"
"('P12757', 'Q96RL1')"
"('O14727', 'P98170')"
"('Q9BPY3', 'Q9P2H0')"
"('P20333', 'Q7Z3U7')"
"('Q7Z434', 'Q96C10')"
"('P51148', 'Q6XUX3')"
"('Q08AG7', 'Q96CW5')"
"('Q9UKW4', 'Q07889')"
"('P55212', 'Q07817')"
"('P68363', 'P16871')"
"('Q8WZA2', 'P61224')"
"('Q16659', 'Q5VX71')"
"('P38398', 'P78396')"
"('P14598', 'Q96RG2')"
"('Q92985', 'P19838')"
"('P18848', 'P19387')"
"('P52798', 'P29320')"
"('P58012', 'P18847')"
"('P98164', 'P09455')"
"('Q5VZ03', 'Q13045')"
"('P10275', 'P30281')"
"('Q14192', 'Q9Y6Q6')"
"('P08047', 'Q8WWI5')"
"('P61981', 'P38919')"
"('Q6RW13', 'Q5JY77')"
"('P40933', 'Q9HC73')"
"('Q13177', 'P62750')"
"('406957', 'P35625')"
"('Q00987', 'P11309')"
"('Q9H4L5', 'P31947')"
"('P10301', 'Q92569')"
"('406933', 'Q92560')"
"('P34925', 'Q9H461')"
"('P25490', 'Q9Y230')"
"('O43281', 'O75865')"
"('Q17RW2', 'Q13797')"
"('Q07666', 'Q13509')"
"('Q13509', 'P26641')"
"('P62851', 'P63220')"
"('P41091', 'Q13347')"
"('O60506', 'O75569')"
"('P62258', 'P04637')"
"('Q99466', 'Q9UBG7')"
"('Q14164', 'P52888')"
"('P00519', 'O00401')"
"('Q9UBI6', 'O00459')"
"('P28482', 'P84022')"
"('Q08379', 'O00506')"
"('Q9C0H9', 'P12931')"
"('Q9Y3Q8', 'Q9NZJ4')"
"('P05019', 'Q15349')"
"('P49768', 'P27635')"
"('P18848', 'Q13227')"
"('P62987', 'P62993')"
"('O75197', 'P19022')"
"('Q92905', 'Q99759')"
"('Q8NB91', 'Q9BXW9')"
"('Q9HCE7', 'Q9H0M0')"
"('P51677', 'P63096')"
"('Q5T5S1', 'Q13137')"
"('Q7Z7K6', 'P12931')"
"('P03905', 'Q9NX14')"
"('Q9H469', 'Q9P2P5')"
"('P61964', 'Q96DI7')"
"('Q9GZV5', 'Q9H204')"
"('P09874', 'Q9P2D1')"
"('P29350', 'P19438')"
"('P08572', 'P53708')"
"('Q92889', 'P43246')"
"('Q969E8', 'P62854')"
"('Q9ULL4', 'Q86UL8')"
"('P52824', 'Q99798')"
"('P63279', 'Q06265')"
"('P31785', 'P29353')"
"('O00231', 'Q15796')"
"('O15514', 'Q9NX70')"
"('P60568', 'P01100')"
"('Q9Y4L1', 'Q93063')"
"('Q9NR46', 'P00558')"
"('Q9Y4K3', 'O43809')"
"('Q9H173', 'O43353')"
"('O15371', 'P41567')"
"('Q5JY77', 'P20366')"
"('Q03518', 'Q86V81')"
"('Q92945', 'P60520')"
"('Q92905', 'Q13098')"
"('Q99500', 'Q03113')"
"('Q9P0P0', 'P51965')"
"('Q96QG7', 'Q01844')"
"('Q495M9', 'Q13402')"
"('P51116', 'P61371')"
"('P28472', 'P63244')"
"('O43252', 'Q96I34')"
"('Q9H361', 'Q96DH6')"
"('P18077', 'P29372')"
"('O15525', 'P26367')"
"('P05129', 'P14598')"
"('O15117', 'Q9H2G2')"
"('P30511', 'Q14952')"
"('P13569', 'P25685')"
"('Q9C0E4', 'P49683')"
"('O95602', 'Q9GZS1')"
"('P61328', 'P16234')"
"('Q14194', 'O60318')"
"('Q16539', 'P26651')"
"('O75369', 'P06756')"
"('Q5MNZ9', 'Q2TAZ0')"
"('Q9UJW3', 'P20671')"
"('P57727', 'P19793')"
"('P31994', 'P29353')"
"('Q9H204', 'P06241')"
"('Q9Y4K3', 'Q15365')"
"('P03928', 'O75947')"
"('Q9H1Y0', 'P56134')"
"('Q14164', 'Q9BV86')"
"('P57678', 'Q9Y675')"
"('Q03014', 'Q14973')"
"('P32121', 'Q6IF99')"
"('P16410', 'P29350')"
"('O95096', 'P78426')"
"('Q13573', 'P20042')"
"('Q9UL18', 'Q7L2E3')"
"('Q8TAI7', 'Q12933')"
"('Q8N878', 'Q8IX03')"
"('Q9HBH9', 'Q16539')"
"('Q15788', 'O43909')"
"('Q01201', 'Q9UER7')"
"('Q05397', 'P26641')"
"('P62330', 'P49366')"
"('Q08828', 'P51817')"
"('Q9P0U4', 'Q99879')"
"('B5ME19', 'P41567')"
"('P05129', 'P61586')"
"('P12109', 'P17301')"
"('Q01130', 'Q08170')"
"('P0CG48', 'A5PKW4')"
"('P62280', 'Q15843')"
"('P56880', 'O75508')"
"('Q8WWC4', 'Q92956')"
"('Q86V81', 'P61978')"
"('P55157', 'Q99259')"
"('O60508', 'Q8IX12')"
"('Q13485', 'Q9H4E5')"
"('Q6P3W7', 'O14640')"
"('P22392', 'Q9Y2L1')"
"('P49841', 'P04198')"
"('Q5TAQ9', 'O14980')"
"('P61968', 'Q13363')"
"('P29350', 'P43405')"
"('P27348', 'P23945')"
"('Q9UGJ0', 'P13639')"
"('P05106', 'O43707')"
"('Q9NWZ3', 'P62380')"
"('P46108', 'P42566')"
"('Q13489', 'P42574')"
"('P23396', 'Q96HC4')"
"('P49593', 'Q13153')"
"('P19883', 'Q9H7E9')"
"('Q9Y600', 'P20073')"
"('P42127', 'Q01726')"
"('P10809', 'Q00005')"
"('P46092', 'Q9NRJ3')"
