#tail	head	num_paths
Q9Y6Q6	Q13489	2
Q13489	P20749	1
Q9Y6Q6	Q9UBU9	9
Q9UBU9	Q92905	1
Q9Y6Q6	P08047	9
P08047	Q92793	1
Q9Y6Q6	Q14192	1
Q14192	Q92785	1
Q9UBU9	O75530	1
P08047	Q09472	1
Q9Y6Q6	Q9Y4K3	2
Q9Y4K3	P78347	2
P08047	Q13547	1
Q9UBU9	Q92769	1
Q9Y6Q6	O14920	1
Q9Y6Q6	Q9Y6K9	3
Q9Y6Q6	Q9BYM8	9
Q9BYM8	P07900	1
P07900	P33992	1
Q9UBU9	P33993	1
P08047	P19838	1
Q9Y6Q6	Q13114	1
Q13114	Q00653	2
Q9Y6Q6	Q13546	1
Q13546	P25963	1
Q9Y6K9	Q15653	1
Q9Y6K9	Q9BYH8	1
Q9BYM8	P49116	1
Q9UBU9	P02545	1
P02545	P51003	1
Q9Y6Q6	Q12933	1
Q12933	Q9GZU2	4
Q9Y6Q6	Q9NYJ8	1
Q9NYJ8	Q9Y6X2	1
Q9BYM8	P29590	1
Q9UBU9	O95602	1
Q9Y6Q6	P27986	1
P27986	Q9H9Y6	2
Q9BYM8	Q9GZS1	3
Q9GZS1	O15160	1
Q9GZS1	Q9Y2S0	1
Q9Y4K3	P52434	3
Q9Y6Q6	P12931	1
P12931	P62875	1
P08047	P06400	1
P08047	Q04864	1
P08047	Q04206	1
Q9Y6Q6	O15111	1
O15111	Q01201	1
P08047	P19793	1
P08047	P51532	1
Q9BYM8	P05067	1
P05067	Q12824	1
Q9UBU9	Q92922	1
Q9UBU9	Q8TAQ2	1
Q9UBU9	Q969G3	1
Q9Y6Q6	Q15628	1
Q15628	P42224	1
Q9BYM8	P21580	1
Q9BYM8	Q63ZY3	1
Q63ZY3	Q96RU7	1
Q13489	Q13049	1
P20333	P42224	3
P42224	P20749	1
P20333	P78527	5
P78527	Q92905	1
P20333	Q99683	3
Q99683	Q92793	1
P20333	Q13114	4
Q13114	Q8TBB1	1
Q8TBB1	Q92785	2
P78527	O75530	1
P78527	Q09472	1
P20333	Q9Y4K3	6
Q9Y4K3	Q13547	1
P20333	P43405	1
P43405	Q92769	1
Q9Y4K3	O14920	1
Q13114	Q9Y6K9	2
P20333	Q13200	1
Q13200	P33992	2
Q9Y4K3	P33993	1
P20333	Q9BYX7	1
Q9BYX7	P19838	1
P20333	O60641	2
O60641	P25963	1
O60641	Q15653	1
P20333	O15111	1
O15111	Q9BYH8	2
Q9Y4K3	P49116	1
P20333	Q14974	1
Q14974	P51003	1
P20333	Q12933	2
P20333	Q9HAU4	1
Q9HAU4	Q9Y6X2	2
P42224	P29590	1
P20333	Q05639	1
Q05639	O95602	2
P20333	P60709	1
P60709	Q9H9Y6	2
P20333	P08670	1
P08670	O15160	1
P20333	P62263	1
P62263	Q9Y2S0	2
Q9Y6K9	Q9GZS1	3
P20333	Q15645	1
Q15645	P62875	1
Q99683	P06400	1
P20333	P38646	1
P38646	Q04864	1
P78527	Q04206	1
P78527	Q01201	1
Q12933	P19793	2
P20333	P27708	2
P27708	P51532	1
P20333	O43521	1
O43521	Q12824	1
P20333	P07910	1
P07910	Q92922	1
P27708	Q8TAQ2	1
P20333	O14980	1
O14980	Q969G3	1
Q99683	P21580	1
P20333	P41182	1
P41182	Q96RU7	2
P20333	Q13490	1
Q13490	Q13049	1
P28908	Q12933	36
Q12933	P20618	1
P20618	P20749	1
P28908	O95551	1
O95551	Q92905	1
P28908	P41182	7
P41182	Q92793	1
Q12933	Q8TBB1	1
Q12933	Q93009	4
Q93009	O75530	1
Q12933	Q09472	1
Q93009	P78347	1
P41182	Q13547	1
P41182	Q92769	1
Q12933	O14920	1
Q12933	Q9Y6K9	2
Q12933	Q13200	2
Q13200	P33993	1
Q12933	P19838	1
Q12933	Q00653	1
Q12933	P25963	1
Q12933	P52272	1
P52272	Q15653	1
Q12933	O15111	1
Q12933	Q15750	1
Q15750	P49116	1
Q12933	Q07955	1
Q07955	P51003	1
Q12933	Q9HAU4	1
P41182	P29590	1
Q12933	Q05639	1
Q12933	P27986	1
Q12933	Q14142	1
Q14142	O15160	1
Q12933	Q96JC9	1
Q96JC9	Q15572	1
Q15572	Q9Y2S0	1
Q12933	Q9Y4K3	1
Q12933	O75367	1
O75367	P62875	2
Q12933	Q14790	1
Q14790	P06400	1
Q12933	Q8IV13	1
Q8IV13	Q04864	1
Q93009	Q04206	1
Q93009	Q01201	1
P41182	P51532	1
Q12933	P0DP24	1
P0DP24	Q12824	1
Q12933	Q01844	2
Q01844	Q92922	1
Q01844	Q8TAQ2	1
Q12933	P08779	1
P08779	Q969G3	1
P41182	P42224	1
Q12933	P21580	1
Q12933	Q8TEL6	1
Q8TEL6	Q13049	1
Q8IV45	P19838	19
P19838	P20749	1
P19838	Q92905	1
Q8IV45	Q04206	4
Q04206	Q92793	1
P19838	Q92785	1
Q8IV45	A8MQ03	12
A8MQ03	O76062	1
O76062	O75530	1
P19838	Q09472	1
P19838	P24928	1
P24928	P78347	1
P19838	Q13547	1
P19838	Q92769	1
P19838	O14920	1
Q8IV45	P51617	6
P51617	Q9Y6K9	2
Q8IV45	O95817	3
O95817	P33992	1
P19838	P33993	1
P19838	Q00653	1
P51617	P25963	1
O95817	Q15653	1
P19838	Q9BYH8	1
A8MQ03	Q13330	1
Q13330	P49116	1
A8MQ03	P62140	3
