negatives
"('Q07890', 'P52198')"
"('P26927', 'Q8WWW0')"
"('O00488', 'P25788')"
"('Q8IU60', 'Q9UJ70')"
"('O43257', 'Q16539')"
"('O95831', 'Q99759')"
"('Q9Y2T4', 'P62955')"
"('Q9H8Y8', 'Q01085')"
"('P05019', 'P09619')"
"('O95166', 'Q9UN88')"
"('P30408', 'P11142')"
"('P19793', 'P11473')"
"('Q9NZC3', 'O15297')"
"('Q8N6K7', 'O15287')"
"('Q9Y371', 'Q13444')"
"('Q8IVF5', 'P15153')"
"('P48556', 'P62333')"
"('Q92731', 'Q9BT22')"
"('O60381', 'A6ZKI3')"
"('P35226', 'Q8N488')"
"('P01579', 'Q5VWK5')"
"('O75438', 'O43677')"
"('P01242', 'Q8IU57')"
"('Q9NRH3', 'Q9NY65')"
"('Q9UQ80', 'P01889')"
"('P55316', 'Q12778')"
"('O14544', 'Q13261')"
"('Q99259', 'P55157')"
"('Q5SRE5', 'P01106')"
"('Q9NVV9', 'P26368')"
"('P12980', 'P30281')"
"('P10914', 'P19320')"
"('Q02556', 'O14896')"
"('Q96ED9', 'Q9BVJ6')"
"('Q9BVJ6', 'P60484')"
"('O95299', 'O96000')"
"('P49591', 'P01243')"
"('O75365', 'P50539')"
"('P06756', 'Q13683')"
"('Q10570', 'Q05048')"
"('P36402', 'Q15561')"
"('P43405', 'P27986')"
"('P26006', 'P49023')"
"('P63104', 'P26599')"
"('P51692', 'P10914')"
"('P31689', 'P62258')"
"('P63151', 'P42224')"
"('Q96H20', 'Q96FZ7')"
"('Q7Z6B0', 'Q96BS2')"
"('Q14155', 'Q13509')"
"('Q96F44', 'Q96RN5')"
"('P63104', 'Q99683')"
"('Q9ULK4', 'Q15648')"
"('P18146', 'P32456')"
"('Q9BX70', 'O60383')"
"('P23945', 'P63092')"
"('Q9BUF5', 'Q13409')"
"('Q9BZE3', 'O43513')"
"('P42338', 'P31751')"
"('Q8NFT6', 'Q9BQ66')"
"('P23511', 'P49715')"
"('P34982', 'P38405')"
"('Q01453', 'P25189')"
"('P56182', 'O95989')"
"('Q9Y6W8', 'P29965')"
"('Q9Y3I1', 'P63208')"
"('P02776', 'P49238')"
"('P62841', 'P15880')"
"('Q8TES7', 'Q9NWT6')"
"('P63000', 'Q16539')"
"('Q96FV9', 'Q6I9Y2')"
"('Q08945', 'Q99877')"
"('P56537', 'O95433')"
"('P56545', 'P43155')"
"('Q9HCK5', 'P36542')"
"('Q92621', 'Q8NFH5')"
"('Q13509', 'O95793')"
"('O14576', 'P68363')"
"('P63244', 'P05107')"
"('O15085', 'P17081')"
"('P10451', 'Q9NR12')"
"('Q7L5N1', 'Q13190')"
"('Q13485', 'Q9H0M0')"
"('Q9ULU4', 'P41182')"
"('P31994', 'Q92835')"
"('P11021', 'P60484')"
"('P63104', 'P68431')"
"('P62495', 'Q9BZI7')"
"('P12268', 'P01889')"
