recall,precision
0.46153846153846156,0.34782608695652173
0.4230769230769231,0.3793103448275862
0.4423076923076923,0.3898305084745763
0.38461538461538464,0.4
0.40384615384615385,0.4117647058823529
0.34615384615384615,0.5454545454545454
0.36538461538461536,0.5588235294117647
0.28846153846153844,0.5769230769230769
0.3076923076923077,0.5925925925925926
0.3269230769230769,0.6071428571428571
0.2692307692307692,0.7
0.25,0.7222222222222222
0.23076923076923078,0.75
0.17307692307692307,0.9
0.19230769230769232,0.9090909090909091
0.21153846153846154,0.9166666666666666
0.019230769230769232,1.0
0.038461538461538464,1.0
0.057692307692307696,1.0
0.07692307692307693,1.0
0.09615384615384616,1.0
0.11538461538461539,1.0
0.1346153846153846,1.0
0.15384615384615385,1.0
0.0,1.0
