negatives
"('Q9NZB2', 'O15027')"
"('Q9UG22', 'Q8NHV1')"
"('P19878', 'P30041')"
"('Q9UBF9', 'Q9BYV6')"
"('O75928', 'O95273')"
"('Q9NX58', 'O76013')"
"('P25786', 'Q9NYA3')"
"('Q9Y4K3', 'O15111')"
"('P78527', 'P19438')"
"('P02647', 'O00214')"
"('Q9BQ95', 'P03905')"
"('Q14416', 'O14610')"
"('Q9Y5V3', 'P04792')"
"('O75478', 'Q13547')"
"('Q13418', 'Q9BWH6')"
"('Q13627', 'Q8WWY8')"
"('Q8N1G4', 'P49368')"
"('P18615', 'P25786')"
"('Q99933', 'P19838')"
"('P43246', 'Q6FI81')"
"('Q13247', 'Q504Q3')"
"('Q9NQ48', 'Q9BV73')"
"('Q71U36', 'P40227')"
"('Q92913', 'P17948')"
"('Q9BRH9', 'Q6ZW49')"
"('P62979', 'Q13351')"
"('Q96G46', 'P49591')"
"('O75390', 'Q14999')"
"('P60709', 'Q7Z406')"
"('Q12772', 'P04637')"
"('P16234', 'P37173')"
"('Q14558', 'Q9Y6W3')"
"('P02751', 'P36578')"
"('P50222', 'Q9NZ94')"
"('Q96LZ3', 'Q9UM13')"
"('Q92556', 'O95817')"
"('Q8WXH5', 'Q01113')"
"('P54725', 'Q16186')"
"('P59998', 'P49736')"
"('Q9Y6D9', 'Q9UGJ1')"
"('O00257', 'P28288')"
"('Q8N103', 'O75031')"
"('O00635', 'P0DMV8')"
"('Q8WXA8', 'Q8IWB1')"
"('Q9H4P4', 'Q92604')"
"('Q68DC2', 'P61962')"
"('Q9Y6Q9', 'P02549')"
"('Q14934', 'O75469')"
"('O00762', 'O95817')"
"('Q9NZJ7', 'P21796')"
"('Q96A35', 'P18621')"
"('Q6ZU80', 'Q8N4C6')"
"('Q9Y383', 'Q86VM9')"
"('Q5VIR6', 'Q96KP1')"
"('P38159', 'P68104')"
"('Q9H2A2', 'P05067')"
"('P10071', 'Q05516')"
"('O95793', 'O75116')"
"('Q86T82', 'Q8NHZ8')"
"('Q96FC7', 'Q9H6K4')"
"('Q96T88', 'Q13547')"
"('P12429', 'P15336')"
"('P22681', 'P24394')"
"('P36776', 'Q99759')"
"('P78527', 'O96017')"
"('O95433', 'Q9Y5I1')"
"('Q9Y287', 'P30443')"
"('P35228', 'Q99615')"
"('Q92901', 'P60866')"
"('O43181', 'P07919')"
"('Q96M83', 'Q9UBU7')"
"('Q9Y6D9', 'Q02224')"
"('Q15910', 'Q9BTV7')"
"('Q9Y296', 'O43617')"
"('Q15691', 'O94875')"
"('P20248', 'Q9UJX5')"
"('O15260', 'Q16181')"
"('Q15717', 'P45877')"
"('O60885', 'O76061')"
"('Q92685', 'Q8IWL3')"
"('Q96BA8', 'O95159')"
"('Q96M32', 'Q9Y5L0')"
"('Q8WWY6', 'Q2M1K9')"
"('P06865', 'Q14103')"
"('P62906', 'P61313')"
"('P61218', 'Q13077')"
"('O14949', 'Q9BWM7')"
"('O75530', 'Q14974')"
"('P30153', 'Q9NSA3')"
"('Q9BQE3', 'P62993')"
"('Q8WTT0', 'P51955')"
"('P41182', 'Q12933')"
"('P78527', 'P14635')"
"('O43639', 'Q9P206')"
"('P56537', 'Q00610')"
"('Q9UKI9', 'Q9Y5Z7')"
"('O76041', 'Q969Q1')"
"('Q8N6Y0', 'Q969F0')"
"('O75157', 'P17301')"
"('Q02750', 'Q15831')"
"('P36896', 'P19793')"
"('Q63ZY3', 'Q9NTM9')"
"('Q9NR45', 'P04629')"
"('P17812', 'P01889')"
"('Q12888', 'P52294')"
"('Q70EK8', 'Q02413')"
"('Q13049', 'Q969T4')"
"('Q9UHD9', 'P05121')"
"('P29466', 'P00533')"
"('O95425', 'O75330')"
"('P40429', 'Q504Q3')"
"('P05113', 'P48357')"
"('Q8TEJ3', 'Q6Y7W6')"
"('Q00526', 'P18846')"
"('Q6VAB6', 'O95399')"
"('Q9Y6K9', 'P62263')"
"('Q9HD90', 'O75325')"
"('Q93062', 'P59991')"
"('P61978', 'P55072')"
"('P01023', 'P55001')"
"('Q15717', 'Q9UM82')"
"('P04114', 'P01130')"
"('Q6PK18', 'Q96S06')"
"('Q9H6T3', 'Q16543')"
"('P51116', 'Q5T5P2')"
"('Q53EZ4', 'O75665')"
"('Q13950', 'P29590')"
"('P30153', 'Q9Y2M0')"
"('Q9P0N5', 'Q8NBN3')"
"('P49356', 'Q86VS8')"
"('O75386', 'O14730')"
"('P30153', 'P04626')"
"('Q92833', 'Q92800')"
"('Q9UBY8', 'Q9P0L0')"
"('Q8NI60', 'Q9C002')"
"('O75771', 'P19012')"
"('O96008', 'Q9Y6C9')"
"('Q9Y3T9', 'O95478')"
"('O14910', 'Q9H2X0')"
"('P19320', 'O00626')"
"('P08195', 'Q8WXH4')"
"('O75665', 'Q9Y5B8')"
"('Q16625', 'Q02447')"
"('P01241', 'Q01113')"
"('Q01831', 'Q15797')"
"('Q9Y664', 'Q9Y241')"
"('P59998', 'P13612')"
"('Q92621', 'O75530')"
"('Q6PKC3', 'P19012')"
"('Q96PV4', 'Q9H8Y8')"
"('P00533', 'Q9UHI6')"
"('Q8NEM0', 'Q15021')"
"('Q9Y2R0', 'Q9NPL8')"
"('Q14676', 'Q92925')"
"('Q15717', 'P11279')"
"('Q8NCW5', 'P10619')"
"('Q9H4P4', 'P48039')"
"('P18031', 'Q10471')"
"('P46783', 'Q9Y297')"
"('P20138', 'Q13191')"
"('Q99496', 'P28340')"
"('P14923', 'Q12906')"
"('Q96I25', 'Q08379')"
"('Q03933', 'Q8NEX9')"
"('Q00987', 'P38936')"
"('P57740', 'Q9BR76')"
"('P60709', 'Q14CZ7')"
"('Q93009', 'Q16777')"
"('Q08379', 'P49638')"
"('P11021', 'Q96C86')"
"('Q9BUJ2', 'O75400')"
"('Q96HA8', 'P20807')"
"('Q99750', 'Q9HCB6')"
"('Q99496', 'Q9NXS2')"
"('Q9BSI4', 'P46734')"
"('P48643', 'Q9BPW8')"
"('P04406', 'O14556')"
"('Q9C002', 'P00387')"
"('P48059', 'Q9Y3P9')"
"('Q12933', 'Q9NVF7')"
"('Q6WKZ4', 'Q9NTX9')"
"('Q8NHY2', 'Q9UBW8')"
"('Q8IVT5', 'Q9UBU9')"
"('O95835', 'P00966')"
"('Q9Y297', 'P25963')"
"('Q9UHP6', 'Q96CW1')"
"('P60709', 'Q16186')"
"('Q96E35', 'Q8WZ19')"
"('Q8WUM0', 'Q16666')"
"('Q13573', 'P68104')"
"('P17301', 'P26012')"
"('O15265', 'Q9Y4A5')"
"('Q13114', 'Q9C0C9')"
"('Q9Y3F4', 'O14893')"
"('P28749', 'P63167')"
"('P01034', 'P0C0L4')"
"('P61978', 'P52272')"
"('O95467', 'Q9UBI6')"
"('Q1KMD3', 'Q9C009')"
"('P29144', 'Q9H6A0')"
"('Q16623', 'P61764')"
"('O75044', 'Q8WXF0')"
"('P27361', 'Q8N9N5')"
"('Q9NQ11', 'P61962')"
"('Q96D09', 'Q9BQ70')"
"('P35579', 'O43707')"
"('Q99615', 'Q15750')"
"('P57053', 'P49736')"
"('Q9Y6X2', 'P52952')"
"('Q8WWX0', 'P06576')"
"('Q9UKB1', 'P08865')"
"('P12236', 'Q9UQL6')"
"('Q5T3J3', 'P38936')"
"('Q9P2E3', 'P83111')"
"('Q9P2A4', 'Q6ZU52')"
"('P07437', 'P51149')"
"('Q9Y314', 'Q9BQT8')"
"('P61160', 'Q13618')"
"('A1L4K1', 'Q96NC0')"
"('P27540', 'P05305')"
"('Q13043', 'P36578')"
"('O95274', 'Q2PZI1')"
"('P36873', 'P06400')"
"('P01106', 'Q7Z4Q2')"
"('Q01105', 'O00560')"
"('Q9H0U4', 'O75530')"
"('Q00536', 'Q9BPZ7')"
"('Q96L14', 'Q86SE5')"
"('Q86T24', 'P02545')"
"('Q96M91', 'Q8IYF3')"
"('Q9H492', 'Q07955')"
"('P50749', 'P27482')"
"('Q9H6K1', 'Q13404')"
"('P60709', 'P54577')"
"('Q6IS14', 'Q01844')"
"('Q15717', 'Q86V81')"
"('Q9Y383', 'P54257')"
"('O15027', 'O95835')"
"('Q8NFW5', 'Q14956')"
"('Q8IX03', 'Q05513')"
"('Q8N9N5', 'P62875')"
"('Q7Z3S9', 'Q06250')"
"('P24941', 'P05455')"
"('P04264', 'P31947')"
"('P47756', 'P62140')"
"('O43660', 'Q13310')"
"('Q16659', 'Q9HBH9')"
"('Q92985', 'P05161')"
"('P09651', 'P55072')"
"('P02679', 'Q6PD62')"
"('Q13546', 'Q14257')"
"('P04275', 'P63000')"
"('Q9H2C0', 'Q96P66')"
"('Q9Y222', 'Q9HD15')"
"('O75531', 'P42167')"
"('P09211', 'P30041')"
"('Q9NY12', 'Q9NVP1')"
"('Q96P70', 'Q15714')"
"('Q13424', 'P33993')"
"('Q15654', 'Q96HA1')"
"('P61247', 'Q9NVP2')"
"('Q9UHB6', 'Q27J81')"
"('P10912', 'Q9Y2R2')"
"('P22612', 'Q15622')"
"('Q5T653', 'Q96A35')"
"('Q14202', 'Q92633')"
"('Q03933', 'O95817')"
"('Q9NYL2', 'Q13432')"
"('Q96L21', 'P62750')"
"('P02647', 'P10909')"
"('Q9P0L0', 'O75380')"
"('Q8NEY1', 'P21359')"
"('Q8N2Z9', 'Q14469')"
"('P11586', 'Q8NCN4')"
"('Q9UI08', 'Q9NUX5')"
"('P0DPB3', 'Q5T200')"
"('O43353', 'P62158')"
"('Q9Y483', 'Q92833')"
"('P12931', 'P50570')"
"('P67775', 'P54278')"
"('P31689', 'O43318')"
"('Q9Y446', 'Q00610')"
"('Q16665', 'Q7Z713')"
"('P60842', 'Q9NRC8')"
"('O95425', 'P10275')"
"('Q99496', 'P55884')"
"('P49759', 'P05161')"
"('P51587', 'Q9Y5V3')"
"('Q13616', 'P12004')"
"('O96001', 'P67775')"
"('Q8IWF6', 'Q9HBV2')"
"('Q8NI35', 'Q9NRM7')"
"('O43318', 'P14868')"
"('Q15796', 'P30533')"
"('Q9HAU0', 'Q7L8J4')"
"('P01889', 'P01298')"
"('P23560', 'Q16288')"
"('P03372', 'Q16698')"
"('Q04206', 'O43318')"
"('Q99942', 'Q9Y5Y4')"
"('P20036', 'Q9NQ11')"
"('P61764', 'Q9NVT9')"
"('Q6PJQ5', 'O60361')"
"('O95967', 'Q7Z417')"
"('O60814', 'P60033')"
"('O95619', 'Q14980')"
"('Q96J92', 'P27348')"
"('Q5S007', 'Q13555')"
"('Q9Y4K3', 'P41250')"
"('Q13315', 'Q8TF40')"
"('Q4G0N8', 'Q96R06')"
"('P02792', 'P10114')"
"('Q8N8U2', 'Q9BQA5')"
"('Q9BYM8', 'O43353')"
"('Q13547', 'P78347')"
"('P24588', 'P22694')"
"('P24752', 'Q96FW1')"
"('Q96BP2', 'Q8N3J5')"
"('Q9Y2I6', 'Q8TDM6')"
"('Q9ULM6', 'A5YKK6')"
"('Q71U36', 'O75056')"
"('P17612', 'Q8NH76')"
"('O95274', 'O95429')"
"('Q13268', 'Q00987')"
"('Q9C0C4', 'P01375')"
"('Q9UJ71', 'Q96IW7')"
"('Q6P1W5', 'Q8IWX8')"
"('Q5VWG9', 'Q15543')"
"('Q9UGI0', 'Q96PC2')"
"('P57740', 'Q12952')"
"('O00165', 'P08238')"
"('P07900', 'P46777')"
"('Q969V3', 'Q2MV58')"
"('Q15717', 'Q6NZ36')"
"('P17661', 'O15061')"
"('Q8TBB1', 'Q86YD7')"
"('Q9BQQ3', 'P42574')"
"('Q6PUV4', 'P14921')"
"('Q96KM6', 'Q06481')"
"('P14635', 'Q00526')"
"('P02768', 'O60260')"
"('Q9NVU7', 'Q9UKD2')"
"('Q14697', 'P19532')"
"('P31040', 'Q13616')"
"('P10253', 'P15822')"
"('Q9Y6C2', 'Q86VP1')"
"('Q5TA77', 'Q5T753')"
"('O75208', 'O75439')"
"('Q86WV6', 'Q9Y2K6')"
"('P52272', 'P63220')"
"('Q7Z6Z7', 'Q96RQ3')"
"('Q9UBB9', 'Q8N490')"
"('Q49A88', 'O95229')"
"('Q9NQS3', 'Q99470')"
"('Q9HCE1', 'O14862')"
"('Q96BD5', 'O00327')"
"('P41236', 'Q6I9Y2')"
"('Q9BQI3', 'P28340')"
"('O60603', 'P51617')"
"('Q9Y4Z0', 'O60506')"
"('P07910', 'Q9H492')"
"('P07550', 'P0DP25')"
"('O75400', 'P38919')"
"('Q9Y3M2', 'Q9NRR6')"
"('O75147', 'P52948')"
"('Q92905', 'O95678')"
"('Q13595', 'Q9Y2W1')"
"('P50914', 'P62910')"
"('P22392', 'P09104')"
"('P08621', 'A7MD48')"
"('O14978', 'Q8WV44')"
"('Q13009', 'Q9UKB1')"
"('P48729', 'P42892')"
"('P62304', 'Q15428')"
"('P21860', 'P58557')"
"('P17844', 'P04629')"
"('Q8IYE1', 'Q96SN8')"
"('P31946', 'Q9H267')"
"('Q9NVE4', 'P14373')"
"('Q15025', 'Q06418')"
"('P30405', 'Q96E11')"
"('Q9BWX1', 'Q9UBS8')"
"('O14863', 'O75400')"
"('Q9Y230', 'P36873')"
"('Q9BQ75', 'P46976')"
"('Q86SJ2', 'O00555')"
"('Q08AM6', 'P78362')"
"('Q8N131', 'P43364')"
"('P30450', 'Q9Y385')"
"('P35326', 'Q99496')"
"('Q9NS91', 'P43358')"
"('P23396', 'P31947')"
"('Q13409', 'Q8NE71')"
"('Q99459', 'O60749')"
"('O15498', 'P30086')"
"('P25098', 'P58181')"
"('Q5SW79', 'Q68CZ1')"
"('Q9UKV0', 'Q9H9E1')"
"('Q15843', 'Q14568')"
"('P04629', 'Q9BZH6')"
"('Q15154', 'Q02224')"
"('P01112', 'O43924')"
"('P48729', 'Q13469')"
"('O60506', 'P51665')"
"('Q9Y316', 'O15209')"
"('P01242', 'P01589')"
"('P19525', 'P40763')"
"('P33992', 'Q13415')"
"('Q9BW61', 'Q8TEL6')"
"('Q8N6Y0', 'Q2WGJ6')"
"('Q13237', 'P04626')"
"('P07339', 'P10415')"
"('Q02363', 'O95273')"
"('Q9P2F6', 'P62993')"
"('O14980', 'O43164')"
"('Q92783', 'O14810')"
"('Q96GS6', 'Q8ND90')"
"('Q9BYG4', 'P41743')"
"('Q5BJF6', 'Q8IWC1')"
"('P35221', 'Q16790')"
"('Q13242', 'P09651')"
"('Q9H8T0', 'P41227')"
"('Q92841', 'Q14999')"
"('Q86WB0', 'O14788')"
"('Q66K74', 'Q13043')"
"('P57678', 'P16860')"
"('Q9P2H0', 'O95376')"
"('Q8WXW3', 'Q8NA72')"
"('Q15032', 'Q01844')"
"('Q9ULV8', 'Q01113')"
"('P62993', 'P15586')"
"('Q92905', 'P26196')"
"('Q5VX71', 'Q96F46')"
"('P30050', 'P62701')"
"('Q01844', 'P00558')"
"('P62987', 'Q9NRQ2')"
"('Q8IVF5', 'P84095')"
"('Q86WV1', 'P0DPB6')"
"('P41218', 'Q49A26')"
"('Q05513', 'O43175')"
"('Q9Y2T4', 'Q13033')"
"('P10321', 'Q8WZA1')"
"('P23921', 'P49821')"
"('Q9BVA1', 'Q9NY65')"
"('Q9NQ29', 'Q70EL3')"
"('Q99627', 'Q13098')"
"('P42695', 'P20042')"
"('Q96HR3', 'Q9BTT4')"
"('P04629', 'O43303')"
"('Q13895', 'P23396')"
"('P42285', 'Q9UPP5')"
"('Q5RKV6', 'Q8TF46')"
"('Q99807', 'O43847')"
"('Q6IBS0', 'Q9NUX5')"
"('Q16659', 'Q8WUK0')"
"('Q9H2C0', 'Q9NXV2')"
"('Q9NUL7', 'P67809')"
"('Q9Y6E7', 'P07203')"
"('Q12996', 'Q9UKF6')"
"('Q8TAP6', 'Q9UMS4')"
"('P40425', 'O14770')"
"('Q9NPJ3', 'P55769')"
"('P62244', 'P46778')"
"('Q8WYQ5', 'Q9H211')"
"('Q9Y5M8', 'Q13618')"
"('P22105', 'P16144')"
"('P52294', 'Q02548')"
"('Q02833', 'P07339')"
"('P04439', 'Q9Y5E8')"
"('O15198', 'Q9GZM7')"
"('O15085', 'P49841')"
"('Q9BV73', 'P16403')"
"('O15496', 'P32242')"
"('P14618', 'Q9UBE8')"
"('O00255', 'P08670')"
"('Q86SG2', 'Q86TC9')"
"('Q8IVT5', 'Q96DV4')"
"('O95166', 'Q15181')"
"('Q9BQE3', 'Q13049')"
"('Q7L4P6', 'Q96HA8')"
"('P60520', 'Q8WXU2')"
"('O75665', 'Q8NA72')"
"('O43765', 'P03973')"
"('Q13158', 'O43422')"
"('O14862', 'P42167')"
"('O75122', 'Q8N2R8')"
"('Q9BQ89', 'Q9BYV2')"
"('P78362', 'Q96MN5')"
"('O60216', 'P62701')"
"('P02795', 'Q96PU5')"
"('P28482', 'P49815')"
"('P18124', 'P08865')"
"('P21673', 'Q9Y383')"
"('Q9Y3N9', 'P62873')"
"('Q96NL6', 'Q9HB21')"
"('Q8TD86', 'Q14028')"
"('P34897', 'O15067')"
"('Q92793', 'P19022')"
"('P51668', 'Q9UNE7')"
"('O95758', 'Q9UHD8')"
"('P41235', 'Q93063')"
"('P55735', 'Q9NYJ8')"
"('P04899', 'Q01970')"
"('P12814', 'Q9BQ95')"
"('Q93009', 'P67775')"
"('P10114', 'P26885')"
"('Q8N9N8', 'Q9UBU9')"
"('P60891', 'Q969P6')"
"('Q9P2W3', 'A8MQ03')"
"('O94966', 'Q9Y5M8')"
"('O15160', 'Q99436')"
"('Q9BZV1', 'P49257')"
"('Q9UNE7', 'O60260')"
"('Q8WYA0', 'P78395')"
"('Q15287', 'O95232')"
"('Q9Y2W1', 'Q13435')"
"('Q9P2E3', 'Q86W34')"
"('P03372', 'Q9NV06')"
"('P25208', 'P13667')"
"('Q8NEM0', 'Q01094')"
"('P27482', 'P56539')"
"('P42224', 'P34896')"
"('Q9Y5K6', 'Q9NPJ6')"
"('Q8NBZ0', 'Q8TBB1')"
"('Q9HAZ1', 'Q6NYC1')"
"('P49407', 'Q6IF99')"
"('Q12905', 'P27635')"
"('P53621', 'P15927')"
"('Q92688', 'P05412')"
"('Q9H2U1', 'P06703')"
"('P04637', 'Q9NPP4')"
"('P28482', 'P32004')"
"('O95983', 'P13056')"
"('P11142', 'Q9H6A0')"
"('Q9UKV8', 'Q9NZN8')"
"('Q00839', 'P29590')"
"('Q05397', 'Q8TAM1')"
"('O75323', 'Q86XI6')"
"('Q9NRF8', 'Q92858')"
"('Q8IUQ4', 'Q9NWT6')"
"('Q13144', 'Q92837')"
"('Q06830', 'P15927')"
"('Q05193', 'Q99963')"
"('P25788', 'Q14697')"
"('O43491', 'Q9H0W5')"
"('Q92734', 'Q4VC12')"
"('Q92734', 'P86480')"
"('Q13227', 'P04637')"
"('O14593', 'P52272')"
"('P04629', 'Q9NQT8')"
"('P58557', 'P63092')"
"('P07306', 'Q92611')"
"('Q03164', 'Q6PD62')"
"('Q6PIY7', 'Q9P287')"
"('Q8NI27', 'O00148')"
"('O15047', 'O60814')"
"('Q9P244', 'Q9UHB6')"
"('Q14192', 'Q13873')"
"('Q5TAQ9', 'Q9UBW8')"
"('P60370', 'Q96C28')"
"('Q8NI77', 'P62807')"
"('Q13416', 'Q13573')"
"('Q16719', 'Q9Y316')"
"('Q96QR8', 'Q13618')"
"('P54274', 'O14654')"
"('P10145', 'O00222')"
"('P63104', 'Q8WUI4')"
"('P09917', 'Q04864')"
"('P18074', 'O76071')"
"('P21912', 'O00217')"
"('P84101', 'P60369')"
"('Q9UEU0', 'O43567')"
"('Q06187', 'P48426')"
"('Q86WV1', 'O15117')"
"('Q8IWV7', 'P02794')"
"('Q92736', 'Q00987')"
"('O14976', 'Q53GL7')"
"('Q8N4V2', 'Q9H0Q3')"
"('Q13464', 'Q96Q40')"
"('Q9ULZ3', 'Q14790')"
"('Q9P0K8', 'O96008')"
"('P61326', 'Q9H307')"
"('Q15916', 'Q6VMQ6')"
"('Q8N831', 'Q8IUC2')"
"('P17661', 'Q496Y0')"
"('Q09472', 'Q9UBG7')"
"('P0C862', 'O75973')"
"('Q9HBV2', 'Q01814')"
"('Q13363', 'O94818')"
"('P05014', 'P00533')"
"('P27635', 'P35250')"
"('Q9HCE7', 'Q9NZ63')"
"('P42658', 'Q9NVR5')"
"('Q9Y237', 'O60216')"
"('P62993', 'Q9HBG7')"
"('P36871', 'Q9BSI4')"
"('P30466', 'P10321')"
"('O95402', 'P19387')"
"('Q99853', 'Q9UFC0')"
"('Q8IVS2', 'P55854')"
"('P50750', 'P17066')"
"('P27105', 'Q9Y282')"
"('Q96GM1', 'Q6P4I2')"
"('Q13614', 'Q13424')"
"('Q8NHY2', 'P14921')"
"('P11274', 'P48736')"
"('Q8N5F7', 'Q01081')"
"('P30050', 'Q9UI26')"
"('P11021', 'Q9P0V3')"
"('P01106', 'O00746')"
"('P46934', 'Q99759')"
"('Q9BRV8', 'O00506')"
"('Q9P0N5', 'Q8TBA6')"
"('Q99459', 'P30153')"
"('P17813', 'P12643')"
"('P40222', 'Q9NX55')"
"('P49792', 'Q9HAC8')"
"('Q13285', 'P60709')"
"('P63279', 'Q9Y618')"
"('P40763', 'O75695')"
"('P30086', 'Q9UBU9')"
"('Q7Z6B7', 'P61586')"
"('Q8ND90', 'Q96AD5')"
"('Q16637', 'Q9H840')"
"('P17987', 'P06748')"
"('P38398', 'Q06609')"
"('Q14151', 'O00159')"
"('Q5UIP0', 'P55769')"
"('Q709F0', 'P01213')"
"('Q9NX40', 'Q8WWC4')"
"('P13569', 'Q15075')"
"('Q15717', 'Q8WTR2')"
"('P18545', 'Q13956')"
"('P61247', 'P62841')"
"('P25205', 'Q9H0R8')"
"('Q12834', 'Q13309')"
"('Q9UGI0', 'Q96BZ8')"
"('Q8TES7', 'Q86VP6')"
"('P30038', 'P00338')"
"('P49840', 'O60296')"
"('P52630', 'P08238')"
"('Q68E01', 'P30154')"
"('Q13188', 'P61604')"
"('P08069', 'P46109')"
"('P05455', 'P98170')"
"('Q9H6L5', 'Q9H492')"
"('Q9P0N9', 'O95429')"
"('P35222', 'Q12923')"
"('P13073', 'P22695')"
"('Q13422', 'Q6UB99')"
"('Q96RU2', 'Q96LD8')"
"('Q8NA54', 'P60369')"
"('Q16254', 'Q96KB5')"
"('Q8N4F4', 'Q01844')"
"('P49458', 'Q9UHB9')"
"('P05067', 'Q13362')"
"('Q12888', 'P39880')"
"('Q86YM7', 'Q1MSJ5')"
"('Q9UHD2', 'Q15025')"
"('P19793', 'P08684')"
"('P60709', 'Q08211')"
"('O95931', 'Q86SE9')"
"('Q9NY27', 'Q8N1G4')"
"('O14763', 'P41182')"
"('Q9NUQ8', 'Q9UBU9')"
"('P06400', 'O75629')"
"('P09651', 'P62937')"
"('Q9BYR9', 'Q5T752')"
"('P08574', 'P05023')"
"('P27986', 'Q9NQ76')"
"('Q9NR46', 'Q9NWX6')"
"('Q53ET0', 'O75420')"
"('P27635', 'Q00325')"
"('Q9H0U3', 'P23284')"
"('Q8TD86', 'Q13972')"
"('O43639', 'A6NGB9')"
"('Q9NVR2', 'P30876')"
"('P01857', 'P28039')"
"('P09651', 'Q14683')"
"('Q9NX04', 'P01189')"
"('Q04727', 'O75688')"
"('P20749', 'Q9Y265')"
"('O95388', 'P22309')"
"('Q9BX46', 'Q96PU8')"
"('Q8NHQ8', 'Q0VG06')"
