negatives
"('P07195', 'Q15418')"
"('Q9H993', 'P62330')"
"('O14777', 'Q02224')"
"('Q8TBE0', 'Q12933')"
"('A2VDJ0', 'Q8TDD5')"
"('P21918', 'P50148')"
"('Q14671', 'Q9UKB1')"
"('Q96II8', 'Q9Y2L9')"
"('P0DMU9', 'Q92997')"
"('Q9NPJ8', 'P78362')"
"('P51116', 'Q9NVV9')"
"('Q96KR7', 'P12980')"
"('Q92734', 'Q9Y2P8')"
"('P05114', 'P16402')"
"('Q92905', 'Q9UJP4')"
"('Q68DV7', 'P61088')"
"('Q8WUU5', 'P34897')"
"('O75817', 'P50552')"
"('P25800', 'Q96RT1')"
"('O14965', 'O00757')"
"('P06733', 'Q16537')"
"('P15927', 'P27816')"
"('P62888', 'O14965')"
"('Q8N184', 'Q9NYL2')"
"('O43482', 'Q6ZMS7')"
"('Q00610', 'P47897')"
"('O60610', 'Q9UQB8')"
"('O95900', 'O43847')"
"('Q9BUE0', 'O95402')"
"('Q96JC9', 'Q86T90')"
"('Q13349', 'Q05397')"
"('Q9HCE1', 'P67809')"
"('P35251', 'Q9BV38')"
"('Q6NYC8', 'P47755')"
"('Q8IZU0', 'Q0VDD7')"
"('Q9P086', 'Q9BTT4')"
"('Q9NRD1', 'Q9HCN8')"
"('Q15418', 'Q92934')"
"('Q86YR5', 'P36406')"
"('O75530', 'Q96PK6')"
"('P35520', 'O75925')"
"('P78362', 'Q86UU0')"
"('Q14152', 'P26368')"
"('O43896', 'Q6Y7W6')"
"('Q01664', 'Q12857')"
"('Q9H213', 'Q8WV44')"
"('P36897', 'Q09472')"
"('Q9UI14', 'Q9NPQ8')"
"('P18146', 'P22304')"
"('Q13362', 'Q92736')"
"('O43741', 'Q8N122')"
"('Q9BZL6', 'Q9BQQ3')"
"('Q96I99', 'P31040')"
"('P14314', 'P16104')"
"('Q9H3K2', 'Q96MG2')"
"('Q96M63', 'Q96CS2')"
"('Q8NHW3', 'P52945')"
"('P42224', 'P41182')"
"('Q9H4D5', 'Q9H1J1')"
"('Q8TD86', 'P48539')"
"('P56545', 'Q9NZR4')"
"('Q96DU9', 'O43347')"
"('Q2KHR3', 'Q9H334')"
"('P18621', 'P49736')"
"('P41235', 'A8MYZ6')"
"('P49069', 'Q96AQ6')"
"('P62277', 'P43146')"
"('Q15386', 'P04629')"
"('P51149', 'P07437')"
"('O15379', 'Q01664')"
"('Q5T440', 'P05412')"
"('P49407', 'P10071')"
"('Q8NFQ8', 'Q9BT78')"
"('Q8ND90', 'P33993')"
"('Q09472', 'Q08379')"
"('Q9GZM8', 'Q96GS4')"
"('Q8IZD2', 'P18146')"
"('O75367', 'O60814')"
"('Q9UL18', 'Q96EB6')"
"('Q13263', 'P05412')"
"('P43115', 'Q13144')"
"('P05388', 'Q15067')"
"('P52597', 'P49736')"
"('Q01082', 'P61764')"
"('Q6ICB0', 'Q15038')"
"('Q6PGQ7', 'P63208')"
