#tail	head	num_paths
P08138	P05067	3
P05067	P16220	2
P05067	P78362	2
P78362	Q6UUV9	2
P05067	P35222	1
P08138	Q9Y4K3	1
Q9Y4K3	P67809	1
P04629	P62805	1
P62805	P16220	1
P04629	Q9NQT8	1
Q9NQT8	Q6UUV9	1
P04629	P35222	1
P04629	P67809	2
Q16288	P05067	2
Q16288	P35222	1
Q16288	P04629	1
P10586	P28482	1
P28482	P16220	1
P10586	O14654	1
O14654	Q04917	1
Q04917	Q6UUV9	1
P10586	P35222	1
P10586	O75400	1
O75400	P67809	1
Q99523	P78368	1
P78368	P16220	1
Q99523	Q14653	1
Q14653	Q92793	1
Q92793	Q6UUV9	1
Q99523	Q8TDN6	1
Q8TDN6	P35222	1
Q99523	P67809	1
