negatives
"('Q5T3J3', 'Q8IX03')"
"('Q13885', 'P27540')"
"('P06401', 'P28370')"
"('Q969M3', 'P25705')"
"('O94973', 'Q6IQ23')"
"('Q9BZ76', 'P13747')"
"('Q92522', 'O00567')"
"('Q96SY0', 'Q659A1')"
"('O75147', 'O75152')"
"('Q96PK6', 'Q9NUX5')"
"('O95817', 'Q9UKB1')"
"('P29972', 'Q9UKT9')"
"('Q7L8L6', 'Q92542')"
"('Q96FW1', 'Q9Y478')"
"('Q96JQ5', 'Q9UBY5')"
"('P07437', 'O14787')"
"('P14868', 'P21281')"
"('Q01094', 'P62917')"
"('P05549', 'P19838')"
"('Q96ME1', 'Q13137')"
"('Q9NZJ0', 'P43246')"
"('Q6R327', 'Q99496')"
"('Q9P2R7', 'Q96FQ6')"
"('P09497', 'Q9UGU0')"
"('O75293', 'Q9Y6R4')"
"('Q9UHG0', 'Q969H6')"
"('O15198', 'Q13219')"
"('P12004', 'Q12834')"
"('Q8N6Y0', 'Q9BT78')"
"('O00422', 'Q15287')"
"('P07948', 'P42680')"
"('Q86Y13', 'Q9H0E2')"
"('O95630', 'P62987')"
"('Q96BQ1', 'Q13563')"
"('Q6ZNG9', 'Q96SW2')"
"('Q12905', 'Q9UKM9')"
"('P35269', 'P32780')"
"('P15735', 'Q9Y5Q8')"
"('P15735', 'Q8N806')"
"('Q05513', 'P40337')"
"('O15379', 'Q14457')"
"('Q9BPY8', 'Q92769')"
"('Q13838', 'Q9Y5S9')"
"('Q6FHJ7', 'P42336')"
"('Q08380', 'Q8TF42')"
"('Q5T754', 'Q9UKJ5')"
"('Q08554', 'Q13835')"
"('Q9Y597', 'Q9BQ89')"
"('P26373', 'P62081')"
"('Q99459', 'P14635')"
"('Q01844', 'Q16527')"
"('Q5T9A4', 'Q9H9G7')"
"('P50552', 'P02549')"
"('O43865', 'Q0D2H9')"
"('P04637', 'Q9BZE4')"
"('O75449', 'O76071')"
"('O43143', 'Q9NYL9')"
"('Q9H9Y6', 'Q12788')"
"('O14905', 'O75084')"
"('Q9HCS7', 'O15514')"
"('P23258', 'P34932')"
"('O60832', 'Q9Y230')"
"('P14625', 'Q15125')"
"('Q12962', 'Q13813')"
"('Q7Z3Y8', 'Q96BR6')"
"('P15884', 'Q9BQ13')"
"('P62195', 'Q9NSC5')"
"('O60506', 'P33992')"
"('O14654', 'Q8NHV4')"
"('Q13616', 'O43918')"
"('Q13617', 'Q92499')"
"('Q99728', 'Q9NQ29')"
"('Q16777', 'P62068')"
"('P05556', 'P60981')"
"('Q96RR4', 'Q02978')"
"('P17661', 'Q15560')"
"('O75083', 'Q9H4Y5')"
"('O95995', 'Q96CN4')"
"('Q5SQN1', 'Q6P597')"
"('Q9NZB2', 'O95793')"
"('Q13620', 'P17844')"
"('O15379', 'P43405')"
"('O95816', 'Q99759')"
"('A8MQ03', 'Q96HD9')"
"('Q96T76', 'Q9Y2X9')"
"('O75843', 'Q8N205')"
"('Q14653', 'Q9Y3B3')"
"('Q99626', 'P11940')"
"('Q9P0T7', 'Q9P0N5')"
"('Q9NPE6', 'Q14990')"
"('P62314', 'Q93009')"
"('Q92530', 'P56545')"
"('Q12834', 'P62829')"
"('Q08648', 'Q96SB4')"
"('P08754', 'Q13509')"
"('P49841', 'Q9Y383')"
"('Q86U70', 'P15923')"
"('P35228', 'Q92598')"
"('O60245', 'Q9BQ75')"
"('Q8IU54', 'P32927')"
"('P22087', 'Q49A26')"
"('Q8IZT6', 'P01106')"
"('O60260', 'Q9H4P4')"
"('Q5S007', 'P04350')"
"('Q9UBU9', 'Q16719')"
"('Q05D60', 'Q9Y448')"
"('Q9NP55', 'Q9NXW9')"
"('P22694', 'Q14432')"
"('P45378', 'O95149')"
"('Q49AN0', 'P50990')"
"('O95793', 'Q15717')"
"('Q8NFH3', 'Q13561')"
"('A2RU14', 'Q6ZS10')"
"('P10275', 'Q04917')"
"('O94817', 'Q9UH99')"
"('P55060', 'P13639')"
"('Q8IXL7', 'P15884')"
"('Q9NRA8', 'O75665')"
"('Q5T7P2', 'Q5T753')"
"('Q8NI37', 'O00159')"
"('P68431', 'P61353')"
"('P42224', 'Q13596')"
"('O60237', 'Q01449')"
"('Q96T76', 'P61204')"
"('Q9H1M0', 'P05067')"
"('Q7Z7H3', 'P60411')"
"('P30519', 'Q9H553')"
"('O43709', 'P00973')"
"('Q8WUK0', 'Q92905')"
"('Q9BZM1', 'P06400')"
"('O14633', 'Q5TA78')"
"('P18859', 'Q13042')"
"('Q02878', 'Q92901')"
"('Q00839', 'P62841')"
"('Q5TA77', 'P60371')"
"('P20700', 'P56537')"
"('P20849', 'P17301')"
"('Q504Q3', 'Q9BRK4')"
"('Q13435', 'P09493')"
"('P42226', 'P22102')"
"('Q5T5C0', 'P32856')"
"('P23526', 'Q9BWD1')"
"('P55157', 'Q9H0X9')"
"('P05556', 'O00459')"
"('Q5H9R7', 'Q9UPN7')"
"('Q96Q77', 'Q16206')"
"('Q9NQR1', 'Q09028')"
"('Q86V81', 'Q8IX12')"
"('O00567', 'Q9UL18')"
"('Q96GD4', 'Q14980')"
"('P35222', 'P78317')"
"('Q5VWX1', 'P09651')"
"('O95630', 'Q7LBR1')"
"('O75865', 'P48553')"
"('O43809', 'Q08379')"
"('P50222', 'P60410')"
"('Q13177', 'P08631')"
"('Q86YR5', 'Q15311')"
"('Q86VP6', 'P30050')"
"('P20810', 'P06241')"
"('O75354', 'Q15165')"
"('Q9Y678', 'Q9P0N5')"
"('P23526', 'O43865')"
"('Q8IZT6', 'Q96D09')"
"('P00519', 'Q8WXE9')"
"('P49368', 'P13612')"
"('P14061', 'P09917')"
"('P03372', 'Q8WXU2')"
"('P49756', 'P43246')"
"('Q99666', 'Q9Y5K5')"
"('P05106', 'Q9UKX5')"
"('Q5VTR2', 'Q9Y6A5')"
"('Q9Y2F9', 'Q9H8Y8')"
"('Q92956', 'P05455')"
"('P56199', 'Q9HBI1')"
"('Q96DV4', 'Q9P015')"
"('P19086', 'P0C869')"
"('P22694', 'Q8NGL2')"
"('P01889', 'P26640')"
"('Q04206', 'P42768')"
"('P04818', 'Q12906')"
"('P05019', 'P08138')"
"('Q9UHB6', 'P27348')"
"('P09884', 'P27694')"
"('Q2TAY7', 'Q07889')"
"('Q9BYD2', 'Q14197')"
"('P25205', 'O76071')"
"('O15519', 'Q00G26')"
"('Q14204', 'P49736')"
"('Q9UGN5', 'Q99853')"
"('P63146', 'P22314')"
"('Q9H4A9', 'Q495W5')"
"('Q15843', 'Q9UKB1')"
"('P35626', 'Q8NGE8')"
"('Q9BQE3', 'Q07157')"
"('P09651', 'O95758')"
"('P35610', 'P61019')"
"('P35579', 'Q9Y608')"
"('P17024', 'Q6A162')"
"('P25705', 'P06576')"
"('P61764', 'P49821')"
"('Q15040', 'Q7Z3S9')"
"('P40429', 'P22087')"
"('P13612', 'P05198')"
"('Q9Y2U9', 'Q93034')"
"('P52732', 'Q9UQ16')"
"('Q8TAD8', 'Q99613')"
"('Q96B33', 'P78369')"
"('Q96JM2', 'P45973')"
"('P49286', 'Q99437')"
"('Q8ND83', 'Q71U36')"
"('Q9Y5K6', 'Q9H5N1')"
"('Q9UER7', 'Q99497')"
"('P50570', 'Q99961')"
"('P13612', 'Q99879')"
"('O00562', 'P19784')"
"('A5A3E0', 'Q9Y5K5')"
"('Q6UWR7', 'Q9NX62')"
"('Q8N3E9', 'O14958')"
"('P50897', 'Q9NQR4')"
"('P25685', 'P05161')"
"('Q8TCT1', 'P43487')"
"('Q13114', 'Q86WV6')"
"('Q9UPX8', 'O95886')"
"('O14770', 'P05067')"
"('O43304', 'P62333')"
"('P17948', 'P27986')"
"('P09874', 'P24941')"
"('Q99496', 'Q9NP50')"
"('P35222', 'Q8TDY2')"
"('P62841', 'P06748')"
"('P0DMV8', 'O95813')"
"('P61513', 'Q9Y2X3')"
"('Q6PIV2', 'O96019')"
"('Q14692', 'P34897')"
"('O95259', 'O00560')"
"('Q12888', 'Q96T60')"
"('Q14525', 'P48668')"
"('Q9H040', 'P05023')"
"('Q9P0P8', 'Q5T653')"
"('O94992', 'Q14181')"
"('Q01826', 'Q8N2W9')"
"('Q6NUN9', 'Q96RQ3')"
"('P03923', 'O95178')"
"('Q14974', 'Q12962')"
"('Q9BZC1', 'P05067')"
"('Q9Y4K0', 'Q03405')"
"('O75937', 'Q9ULW0')"
"('P67809', 'P31943')"
"('A8MQ03', 'Q16610')"
"('Q92616', 'P01106')"
"('P49715', 'Q9Y2D1')"
"('P54727', 'Q9UNE7')"
"('P52888', 'O75874')"
"('P05067', 'P52594')"
"('O75376', 'P25963')"
"('Q14680', 'Q969S3')"
"('P37108', 'Q96HC4')"
"('P63172', 'Q99873')"
"('O00567', 'Q2NL82')"
"('O14980', 'Q9UHD8')"
"('P32121', 'O43390')"
"('Q92905', 'P10599')"
"('Q9H2G2', 'P31995')"
"('P62873', 'Q8WYR1')"
"('P02686', 'P0DP24')"
"('P45983', 'Q13547')"
"('Q9H2C0', 'P13639')"
"('Q96DE0', 'P05412')"
"('Q9Y6C2', 'Q5JTB6')"
"('Q9Y4R7', 'Q8IXH7')"
"('Q9HD43', 'P60369')"
"('Q96BI3', 'Q99466')"
"('Q92628', 'Q8N9F0')"
"('Q9Y3D0', 'Q8TAP6')"
"('O14964', 'P07550')"
"('Q15365', 'P30480')"
"('Q14164', 'P31943')"
"('Q9Y297', 'P62269')"
"('Q5JTV8', 'Q9P0N5')"
"('Q9Y5R8', 'Q9UL33')"
"('P10909', 'Q9H492')"
"('O95758', 'P17812')"
"('Q13422', 'Q07820')"
"('Q15691', 'P56282')"
"('O15119', 'Q9NVH1')"
"('Q92841', 'Q16543')"
"('Q9Y2L1', 'P53041')"
"('Q6UW63', 'Q9Y2A9')"
"('Q9Y3D9', 'Q9Y6E7')"
"('P81133', 'P27540')"
"('Q9H4A3', 'Q15942')"
"('P43405', 'Q14289')"
"('Q15185', 'Q9H009')"
"('O00425', 'Q00688')"
"('Q08379', 'P25786')"
"('P26599', 'Q9BTT4')"
"('P60329', 'Q5TCM9')"
"('Q9BVX2', 'P21145')"
"('Q99750', 'Q9NR21')"
"('P02751', 'Q9Y371')"
"('P05388', 'P61353')"
"('O95166', 'O76021')"
"('Q13049', 'P80188')"
"('Q2TBE0', 'Q8IZU0')"
"('P42167', 'Q9BXS6')"
"('Q9BYS1', 'P48645')"
"('O00206', 'Q8IWL1')"
"('P54619', 'P60369')"
"('Q9BVJ6', 'P21673')"
"('Q0D2I5', 'Q53SF7')"
"('Q9UJX4', 'Q9UPN9')"
"('Q96L21', 'Q86VP6')"
"('O75360', 'P63165')"
"('Q86X59', 'Q9NZD8')"
"('P12277', 'Q9P2G9')"
"('P21291', 'Q99496')"
"('O94875', 'A5D8V6')"
"('Q9UKD2', 'Q9NY93')"
"('P62263', 'P23258')"
"('O43822', 'Q96IK5')"
"('P49841', 'Q9UKA4')"
"('O15360', 'Q8NFD5')"
"('P23258', 'Q9NTK5')"
"('Q969Q1', 'Q5VVQ6')"
"('Q92900', 'O75164')"
"('Q8IWZ5', 'P08151')"
