negatives
"('Q5T3J3', 'Q8IX03')"
"('P57078', 'Q9NVI7')"
"('Q92997', 'Q5T619')"
"('P49736', 'Q9H0D6')"
"('P01892', 'P13727')"
"('Q8WWX9', 'A8MQ03')"
"('Q99961', 'P27797')"
"('O43390', 'Q9NQ29')"
"('P00519', 'Q9HCQ7')"
"('P35579', 'P50542')"
"('Q96T60', 'P23508')"
"('Q13838', 'P22695')"
"('P35548', 'O75593')"
"('P48039', 'Q9Y320')"
"('Q13492', 'P36543')"
"('P05062', 'P36543')"
"('Q9BYD2', 'Q9NRX2')"
"('Q96NT1', 'P48039')"
"('P62854', 'P68431')"
"('P02652', 'P02647')"
"('O00204', 'O43900')"
"('Q3SYG4', 'Q8IWZ6')"
"('Q8NFX7', 'P60880')"
"('P50613', 'Q92769')"
"('Q13315', 'O43504')"
"('P01037', 'Q9UHD9')"
"('P20671', 'P62277')"
"('P18084', 'Q6L8G8')"
"('Q9HCU9', 'O00422')"
"('P61077', 'Q9UKV5')"
"('Q3ZCM7', 'Q9BVA1')"
"('Q14C86', 'P85037')"
"('Q9ULX7', 'Q12769')"
"('P48039', 'Q14999')"
"('Q8WXF0', 'Q00536')"
"('O60238', 'Q12982')"
"('Q8IVD9', 'Q92621')"
"('Q9NZN4', 'Q9H1K0')"
"('O95714', 'Q14165')"
"('Q9NRC8', 'O95453')"
"('P13010', 'P52701')"
"('Q8WWB5', 'Q8IVW4')"
"('Q6UXN9', 'Q99832')"
"('O60739', 'P19105')"
"('Q9Y6I3', 'P08069')"
"('P27694', 'P46781')"
"('P49736', 'Q02978')"
"('P46934', 'Q8IWU6')"
"('Q13137', 'P62979')"
"('Q9NVR5', 'O00429')"
"('Q9C0C7', 'Q13509')"
"('P22670', 'Q9H1B5')"
"('P26842', 'Q02383')"
"('A1A4Y4', 'Q6ZNE5')"
"('Q71F23', 'Q13352')"
"('P08754', 'Q3V6T2')"
"('P35244', 'Q96DH6')"
"('Q96ED9', 'O43463')"
"('O43639', 'Q5SYE7')"
"('P62258', 'Q684P5')"
"('P27694', 'P51991')"
"('Q96AY3', 'Q15435')"
"('A0AVF1', 'Q9P2H3')"
"('Q03135', 'Q9P0N5')"
"('P10809', 'P57078')"
"('Q96RR1', 'P04637')"
"('P17612', 'P47881')"
"('Q9UH99', 'Q8WXH0')"
"('P63279', 'Q14789')"
"('Q96KQ4', 'O75886')"
"('A1L4K1', 'Q99633')"
"('Q5T7W7', 'O43683')"
"('O14579', 'P55072')"
"('Q99873', 'O95947')"
"('P14780', 'P15692')"
"('Q96BR5', 'P50749')"
"('P10412', 'O60784')"
"('P05362', 'Q00839')"
"('P46781', 'Q8TAP6')"
"('P78371', 'P53779')"
"('Q5JXC2', 'Q8N6Y0')"
"('Q6ZU80', 'P33981')"
"('Q9UKF6', 'Q969H0')"
"('P57078', 'P10809')"
"('P63151', 'Q08209')"
"('Q8N490', 'Q8WXE1')"
"('P52907', 'P38919')"
"('O75947', 'P57775')"
"('P20807', 'Q8N3K9')"
"('Q9UKE5', 'Q14558')"
"('Q9NSP4', 'Q96BT3')"
"('Q8NEX9', 'Q03933')"
"('P21580', 'P07900')"
"('O14965', 'O75170')"
"('Q9C0B0', 'Q12974')"
"('Q15435', 'Q9UQK1')"
"('P40818', 'P00533')"
"('P30480', 'P28482')"
"('Q8IUF8', 'O43396')"
"('Q99575', 'Q9P2P5')"
"('Q5VYS4', 'Q8N5M1')"
"('Q15714', 'P41743')"
"('P0C7T5', 'P48634')"
"('A6NI73', 'O75015')"
"('P06748', 'Q8WYP5')"
"('Q9BVJ7', 'Q9NP62')"
"('P05107', 'Q14289')"
"('P29692', 'P16949')"
"('Q14258', 'Q9NZ63')"
"('Q9HCE7', 'Q9UM11')"
"('O94782', 'Q9BWX1')"
"('P63261', 'Q8TAQ2')"
"('Q99759', 'Q9Y266')"
"('Q6WKZ4', 'Q9H4M9')"
"('Q92796', 'Q92764')"
"('Q9UJX2', 'O94805')"
"('P10145', 'P17676')"
"('P30450', 'Q9Y4L1')"
"('Q9UIA9', 'P62805')"
"('P31273', 'O75031')"
"('P67809', 'Q02878')"
"('P35268', 'Q14164')"
"('O95793', 'P04629')"
"('Q9NP31', 'P11277')"
"('P26358', 'P09486')"
"('P04406', 'P09086')"
"('Q13263', 'P40763')"
"('Q68D86', 'Q96A72')"
"('Q99615', 'O14775')"
"('Q9BRA0', 'P86478')"
"('Q15717', 'Q05D32')"
"('Q13443', 'O43915')"
"('O95931', 'P78364')"
"('Q01968', 'Q9HC52')"
"('P41279', 'P53350')"
"('Q17RB8', 'Q9C026')"
"('P0DMS8', 'Q66K14')"
"('Q8IUQ4', 'P29972')"
"('Q13094', 'P05067')"
"('P10412', 'Q504Q3')"
"('P08637', 'P24278')"
"('P62805', 'P55210')"
"('Q13586', 'Q9P0N5')"
"('Q13287', 'O60341')"
"('Q9H2U1', 'Q86VP6')"
"('Q9BXL7', 'P27487')"
"('Q9Y6C9', 'P21796')"
"('P38432', 'Q6BCY4')"
"('P04424', 'P47897')"
"('Q9UPS6', 'O60814')"
"('O00716', 'P28749')"
"('P51665', 'O60826')"
"('P50395', 'P16949')"
"('P00533', 'P06753')"
"('Q6P1X5', 'Q9UGL1')"
"('Q6PIV2', 'Q7L190')"
"('Q14206', 'P04745')"
"('P31350', 'Q96NL6')"
"('O95196', 'P80370')"
"('Q07011', 'Q96L50')"
"('P15289', 'Q8NBK3')"
"('Q9NVX0', 'Q49A88')"
"('Q9Y6X2', 'P40763')"
"('Q9BYQ4', 'Q3SY46')"
"('Q9UNL4', 'Q9BRZ2')"
"('Q13586', 'Q9NVA2')"
"('Q9Y478', 'P33992')"
"('P57775', 'P33991')"
"('Q15323', 'Q15040')"
"('Q99750', 'Q99895')"
"('P55036', 'Q99436')"
"('P49418', 'Q9BQI5')"
"('P35638', 'P17275')"
"('Q86W92', 'Q8N490')"
"('P61601', 'Q8N1Y9')"
"('O75478', 'Q9NVC6')"
"('Q9Y4K3', 'A2RTX5')"
"('Q9NR55', 'P53567')"
"('Q09470', 'O43765')"
"('P02792', 'Q04637')"
"('Q9Y2D8', 'Q9BSJ6')"
"('Q14657', 'Q9ULX6')"
"('P83731', 'P05388')"
"('Q99961', 'P16234')"
"('Q86VP6', 'Q8NFD5')"
"('P11166', 'P27797')"
"('P17028', 'Q8NBB4')"
"('Q9UDY8', 'Q96LA8')"
"('Q9NNW5', 'Q13418')"
"('Q9UHB6', 'P52907')"
"('O14530', 'Q99933')"
"('Q9P2P5', 'Q53EZ4')"
"('Q07812', 'P46937')"
"('Q13740', 'P17931')"
"('Q9NQ29', 'Q9C0C9')"
"('P08172', 'Q01105')"
"('Q9UJQ4', 'Q01860')"
"('Q14140', 'Q15717')"
"('Q7Z4H7', 'Q2KHM9')"
"('P09382', 'P00441')"
"('Q92905', 'P37231')"
"('Q9UMS0', 'Q13137')"
"('P54105', 'P62306')"
"('P48740', 'Q16659')"
"('Q9UNF1', 'Q14657')"
"('Q16674', 'P02751')"
"('O15160', 'Q15572')"
"('P98175', 'P38919')"
"('O75530', 'P15924')"
"('Q9HAW4', 'Q99638')"
"('Q9UBY5', 'Q92838')"
"('P51965', 'Q9P0P0')"
"('Q969P0', 'P11055')"
"('O15144', 'Q08J23')"
"('P62847', 'P62273')"
"('Q8TBB1', 'Q9H0M0')"
"('P06400', 'P38936')"
"('P35609', 'O75396')"
"('Q3B7T1', 'Q9BQ15')"
"('P11021', 'Q86TM6')"
"('Q96QF0', 'P48553')"
"('Q15435', 'O95685')"
"('P21796', 'P99999')"
"('Q9NYZ3', 'P23258')"
"('O60573', 'Q9Y3M8')"
"('P83731', 'O95777')"
"('P02792', 'O94842')"
"('P31153', 'Q9GZN1')"
"('Q9BRI3', 'O14569')"
"('P51784', 'Q14674')"
"('P63165', 'Q9Y618')"
"('O15111', 'Q13077')"
"('O00303', 'P61221')"
"('Q9NVU7', 'Q15633')"
"('Q15365', 'Q14498')"
"('P04637', 'Q9HCE7')"
"('Q92997', 'Q9UPV0')"
"('P17987', 'Q9H5I1')"
"('P55040', 'Q14108')"
"('O15212', 'Q6VAB6')"
"('Q8TBB1', 'Q969R2')"
"('P56537', 'O75390')"
"('Q8NHV4', 'Q8IZQ1')"
"('Q92993', 'O43829')"
"('Q9NUY8', 'O76003')"
"('Q09013', 'P54253')"
"('Q9UN42', 'O60291')"
"('Q9H5Z1', 'Q9BRX9')"
"('Q71UI9', 'Q9Y5Y2')"
"('Q01804', 'O94817')"
"('Q99496', 'Q96PM5')"
"('O95602', 'Q9P206')"
"('Q9Y3C0', 'Q96NL6')"
"('Q14831', 'Q9P2W3')"
"('P20226', 'P62258')"
"('O95450', 'Q5VX71')"
"('O14920', 'Q96PU5')"
"('Q6ZU52', 'P43364')"
"('P62701', 'Q9NRD1')"
"('Q8N5L8', 'Q9P2D0')"
"('Q3V5L5', 'Q9BVV2')"
"('Q9UJX5', 'Q9BS18')"
"('Q99683', 'P19438')"
"('Q13190', 'O95183')"
"('P32121', 'P35268')"
"('Q9P217', 'P60953')"
"('Q99439', 'O95260')"
"('P04150', 'Q5JU00')"
"('Q96CV9', 'Q9Y3C5')"
"('Q9BVA0', 'Q13885')"
"('P47755', 'P62136')"
"('P42229', 'Q07817')"
"('Q969U6', 'Q99750')"
"('P30153', 'Q9P2Y4')"
"('P09914', 'P60228')"
"('Q6NZY4', 'P57052')"
"('O15389', 'O60880')"
"('Q5T0T0', 'O00220')"
"('P63092', 'P49286')"
"('Q8N3V7', 'P29692')"
"('Q9Y3Z3', 'Q8TCJ0')"
"('P18124', 'P27348')"
"('P55211', 'Q9UKK3')"
"('O75604', 'Q9NY47')"
"('P49746', 'Q9UQ16')"
"('O43290', 'O75031')"
"('Q01094', 'P25205')"
"('O43711', 'P61421')"
"('P55209', 'P54274')"
"('P27694', 'P63010')"
"('P84103', 'Q15022')"
"('Q86YD7', 'Q6P1L6')"
"('Q9HC36', 'Q12849')"
"('Q5UIP0', 'P27694')"
"('P47992', 'O00574')"
"('P10515', 'P34931')"
"('Q96KA5', 'Q9NXR1')"
"('Q99714', 'P35241')"
"('P04629', 'O75822')"
"('Q9BW62', 'Q9BVA0')"
"('Q8IWL3', 'Q99873')"
"('Q9P032', 'Q9H7D7')"
"('Q6P2Q9', 'P03372')"
"('P53990', 'Q96K17')"
"('Q13247', 'Q01844')"
"('P62258', 'Q8TDD1')"
"('P37840', 'O43236')"
"('P54274', 'P63208')"
"('Q15717', 'Q8WUM9')"
"('Q9Y4C2', 'P17028')"
"('P04150', 'Q92793')"
"('P50148', 'P61221')"
"('Q9H773', 'P01889')"
"('Q04917', 'O60333')"
"('P04629', 'Q9BWF3')"
"('P16220', 'Q9Y6F9')"
"('Q9H2G9', 'Q14192')"
"('Q99814', 'Q9C005')"
"('P20648', 'P50148')"
"('Q13619', 'P11142')"
"('Q96BD8', 'Q8N0S2')"
"('P62753', 'P04637')"
"('Q9H9F9', 'Q9Y265')"
"('P12004', 'Q96PU4')"
"('O43464', 'O75489')"
"('P55072', 'Q9Y263')"
"('Q96AT9', 'P30520')"
"('P04629', 'Q5JTH9')"
"('Q96HR8', 'Q92567')"
"('P04279', 'Q86YW0')"
"('P43246', 'Q6NUN9')"
"('Q7Z3S9', 'Q7L2K0')"
"('Q9HCN4', 'P50991')"
"('Q99490', 'P35240')"
"('P40692', 'Q9H0J9')"
"('P61952', 'Q8NFM4')"
"('O94842', 'Q01780')"
"('Q07955', 'O75478')"
"('P10586', 'Q13630')"
"('P00558', 'P49450')"
"('Q9UQR1', 'Q9BVI4')"
"('P15923', 'P27824')"
"('A6NER0', 'P62258')"
"('Q9NRD1', 'P49915')"
"('Q99466', 'Q13485')"
"('Q9BY32', 'P16473')"
"('Q6NUS6', 'P52429')"
"('P62993', 'Q8WW59')"
"('P05549', 'Q99853')"
"('Q9Y3C5', 'Q96J02')"
"('Q9NR97', 'Q99836')"
"('P47897', 'P48634')"
"('P17174', 'Q6UXN9')"
"('Q5TA31', 'Q9UBU9')"
"('A8MVW5', 'Q9BV94')"
"('Q9BS26', 'P01106')"
"('P05771', 'P19419')"
"('Q96MT8', 'Q15058')"
"('Q9H8V3', 'Q8TEW0')"
"('Q05516', 'Q9P209')"
"('P49407', 'Q8NGN6')"
"('P01562', 'P48357')"
"('P16615', 'Q9BV68')"
"('P11021', 'Q9Y5N5')"
"('Q5VT06', 'Q9Y2D8')"
"('Q70EL2', 'O00442')"
"('Q9H7B4', 'P25208')"
"('Q14676', 'P16615')"
"('P32249', 'Q86WK6')"
"('Q16620', 'O14492')"
"('Q16543', 'P55884')"
"('Q9NZM1', 'Q9Y3E0')"
"('Q92674', 'P49450')"
"('Q02878', 'O00425')"
