negatives
"('P07333', 'O15524')"
"('Q9H9A7', 'Q8IYD8')"
"('P61254', 'P47914')"
"('Q9UPT5', 'Q6PJT7')"
"('Q9UGI9', 'Q16875')"
"('O15264', 'P05387')"
"('P21912', 'O43597')"
"('P06756', 'P08648')"
"('Q92793', 'P24385')"
"('Q13574', 'O95267')"
"('P25205', 'P78527')"
"('Q9H6Y7', 'P61081')"
"('Q15653', 'P18124')"
"('Q9Y5J5', 'P62306')"
"('Q9Y478', 'Q9UHV9')"
"('O75365', 'Q9UBS4')"
"('P60983', 'Q16539')"
"('Q9BS26', 'P49257')"
"('P00519', 'P31946')"
"('P35626', 'Q8NGF3')"
"('Q13127', 'Q9UKL0')"
"('P0CJ77', 'P25090')"
"('Q5PRF9', 'P61981')"
"('Q7Z6K1', 'P12757')"
"('P54257', 'Q99928')"
"('O75438', 'P03905')"
"('P61981', 'Q9UQC2')"
"('P27361', 'P27708')"
"('P22626', 'P98179')"
"('Q02241', 'P63104')"
"('Q8WWQ0', 'Q13509')"
"('P12956', 'Q00613')"
"('Q9NZT1', 'Q96NX5')"
"('O14602', 'P60228')"
"('P28070', 'P16104')"
"('P10828', 'Q6P2C8')"
"('Q9BYM8', 'Q14653')"
"('P62987', 'P27448')"
"('Q15303', 'P42684')"
"('P35579', 'Q01449')"
"('Q9Y3U8', 'P49207')"
"('Q8N392', 'Q9NZW5')"
"('P16471', 'P63104')"
"('P16471', 'Q92793')"
"('O00238', 'P62826')"
"('P63000', 'Q9Y2A7')"
"('P20963', 'O14931')"
"('Q92922', 'Q8TAQ2')"
"('P51572', 'Q9UKE5')"
"('P50148', 'O15496')"
"('P41235', 'P02760')"
"('P01133', 'Q13191')"
"('O43678', 'Q9Y6M9')"
"('P68371', 'O43237')"
"('O95377', 'P49841')"
"('Q6UY14', 'O76003')"
"('P28328', 'Q6PD62')"
"('P51681', 'Q9NRR5')"
"('P04899', 'P81274')"
"('Q9HBG7', 'Q96CW1')"
"('P05164', 'Q12824')"
"('Q14590', 'Q16543')"
"('Q99459', 'Q9UBD5')"
"('Q9GZM6', 'P38405')"
"('P23142', 'P29372')"
"('Q15303', 'Q16611')"
"('Q13077', 'P41273')"
"('P08238', 'P49588')"
"('O94868', 'P11021')"
"('O95398', 'Q16539')"
"('Q04771', 'P36897')"
"('Q9Y5X1', 'Q99547')"
"('P60709', 'P26006')"
"('P03901', 'O95139')"
"('P02462', 'Q9HCN6')"
"('P61513', 'Q9UNX3')"
"('Q9UI26', 'Q12933')"
"('Q86VM9', 'Q15287')"
"('Q15365', 'P51513')"
"('P21246', 'Q9H8M9')"
"('Q9H2S9', 'Q13363')"
"('P10415', 'P04637')"
"('P05000', 'P42701')"
