negatives
"('Q6EMK4', 'Q92542')"
"('Q13137', 'Q9UNA4')"
"('Q4KWH8', 'P14314')"
"('Q14126', 'Q92542')"
"('O15379', 'Q86Y13')"
"('Q02363', 'Q13432')"
"('Q86XR7', 'Q99836')"
"('O43491', 'P63104')"
"('P39023', 'P62899')"
"('P46779', 'P50914')"
"('O60716', 'P12830')"
"('Q9H6D7', 'Q68CZ6')"
"('Q9UL26', 'Q8NEU8')"
"('Q96B02', 'Q9UKV5')"
"('O43663', 'P53350')"
"('P18615', 'P61981')"
"('P35368', 'Q96CW1')"
"('P62820', 'Q8N2Y8')"
"('P26010', 'P26006')"
"('406899', 'Q16827')"
"('P16104', 'O75529')"
"('P08729', 'P29353')"
"('Q9Y4K3', 'O14836')"
"('O60262', 'P45983')"
"('P99999', 'Q9BZ95')"
"('P34969', 'P84996')"
"('O75182', 'O43463')"
"('Q9P0W0', 'Q01113')"
"('P62333', 'Q99460')"
"('Q5VTD9', 'Q86UL3')"
"('P10415', 'O60551')"
"('Q9BZI7', 'P61326')"
"('Q15599', 'P46937')"
"('P19174', 'Q9GZY6')"
"('Q9UKY1', 'O75150')"
"('P31483', 'Q15717')"
"('Q6P179', 'P14316')"
"('Q68CP9', 'Q8TAQ2')"
"('Q9BQI3', 'Q15759')"
"('P0CG47', 'Q9Y572')"
"('Q9BT78', 'Q9UNS2')"
"('Q13573', 'Q6P1J9')"
"('P08912', 'P50148')"
"('Q9Y3U8', 'P47914')"
"('O76071', 'O15160')"
"('P01569', 'P15509')"
"('P35609', 'Q9Y2D8')"
"('P40225', 'P38484')"
"('P00533', 'Q05397')"
"('Q9Y243', 'Q13233')"
"('P47897', 'Q12933')"
"('Q9NVI1', 'Q9HAW0')"
"('P16220', 'Q8IZS8')"
"('P10412', 'P12544')"
"('P01106', 'P78527')"
"('P48729', 'Q9BXL7')"
"('P55795', 'P52597')"
"('Q9Y239', 'Q92905')"
"('Q86YW0', 'Q13555')"
"('P63000', 'O75914')"
"('P19174', 'Q9UKW4')"
"('Q13625', 'P10070')"
"('Q92794', 'P33992')"
"('Q9UKE5', 'P00505')"
"('P10275', 'Q16665')"
"('P07437', 'P17844')"
"('P38936', 'P30279')"
"('Q96NB3', 'Q6P2Q9')"
"('P09919', 'Q5VWK5')"
"('P49023', 'Q13882')"
"('Q9Y3B3', 'P04000')"
"('P11021', 'P00533')"
"('Q16821', 'Q9Y243')"
"('P04629', 'P01116')"
"('P08253', 'P17931')"
"('P01133', 'P29317')"
"('Q15714', 'P48444')"
"('P47712', 'P60709')"
"('P49815', 'P46527')"
"('P60953', 'Q9UKI2')"
"('Q9UJM3', 'Q9UM73')"
"('Q15427', 'Q14103')"
"('Q96MG7', 'Q8WV22')"
"('P80075', 'Q9NPB9')"
"('Q13547', 'Q96A08')"
"('P49207', 'P35268')"
"('Q9P2N6', 'P62979')"
"('Q8WTU0', 'P0CG48')"
"('P31749', 'P51617')"
"('P06702', 'P32121')"
"('Q9BZW8', 'Q14155')"
"('Q7L2E3', 'Q09028')"
"('O15371', 'P20042')"
"('Q13952', 'Q68DE3')"
"('P02452', 'P09486')"
"('O60260', 'P63000')"
"('Q9H2F5', 'P0C0S5')"
"('Q09472', 'Q01196')"
"('Q6ZU52', 'P43364')"
"('Q93098', 'O75581')"
"('Q9HC36', 'P23508')"
"('P53597', 'Q96I99')"
"('Q16864', 'Q9P2H0')"
"('Q9BRR9', 'Q9UM73')"
"('O43521', 'Q8WVM7')"
"('Q16695', 'P46940')"
"('Q8NGE7', 'P38405')"
"('P27986', 'PB_10')"
"('P22607', 'Q07889')"
"('P62330', 'P48556')"
"('Q9BQ65', 'Q13485')"
"('Q14469', 'Q02535')"
"('Q7Z412', 'P56589')"
"('Q9P0L2', 'P31947')"
"('P62333', 'Q9UET6')"
"('Q15797', 'Q13485')"
"('P03886', 'O43676')"
"('O43597', 'Q9P283')"
"('Q969S8', 'O15379')"
"('Q92530', 'Q12933')"
"('P17252', 'P40145')"
"('P23258', 'Q9BQE3')"
"('P33992', 'P33991')"
"('Q14254', 'O77932')"
"('Q8TD86', 'P48454')"
"('Q9ULV8', 'P14784')"
"('P55072', 'O00141')"
"('145781', 'Q9P298')"
"('O95167', 'O95298')"
"('P0CG48', 'A5PKW4')"
"('Q86UW9', 'P61601')"
"('P01106', 'Q9ULZ2')"
"('O75044', 'Q92730')"
"('P49321', 'Q9Y4K3')"
"('O15111', 'Q13748')"
"('O75145', 'Q13136')"
"('P01243', 'O75190')"
"('Q15696', 'Q01130')"
"('P30260', 'P16333')"
"('P63208', 'Q15796')"
"('Q9NYJ8', 'P45984')"
"('Q04323', 'Q15797')"
"('O15511', 'Q9P1U1')"
"('O75369', 'P17301')"
"('Q14683', 'O95400')"
"('Q6PKG0', 'P63104')"
"('P62330', 'Q9P258')"
"('O43921', 'P35968')"
"('Q9BSQ5', 'O00522')"
"('P35658', 'Q9UKX7')"
"('Q6PD62', 'P52435')"
"('P49674', 'Q16625')"
"('P30480', 'Q13347')"
"('Q9UQE7', 'Q9NP77')"
"('P0C0S5', 'O15379')"
"('Q9Y272', 'P17612')"
"('P16278', 'Q9NSA3')"
"('Q9BTM1', 'Q99877')"
"('Q9UHI6', 'Q8WXD5')"
"('Q08211', 'Q13243')"
"('P14866', 'P22607')"
"('P05013', 'P16871')"
"('P14416', 'Q15173')"
"('P30480', 'Q9P0L0')"
"('P41220', 'O95858')"
"('Q15223', 'Q92692')"
"('Q9C0J8', 'Q9BVJ6')"
"('P62316', 'Q06124')"
"('Q14197', 'Q6P161')"
"('O96013', 'Q99459')"
"('P04637', 'O14576')"
"('P35626', 'Q8NH16')"
"('P06748', 'P19338')"
"('Q6UWE0', 'P54253')"
"('P23508', 'P24752')"
"('P14653', 'P01236')"
"('Q96RG2', 'Q6WKZ4')"
"('P03891', 'O95167')"
"('Q6IE81', 'Q16637')"
"('O95754', 'O43157')"
"('P14316', 'P25774')"
"('Q9HCE7', 'O15105')"
"('Q06787', 'Q5JVS0')"
"('Q9UIB8', 'O14796')"
"('Q15172', 'Q9UPR3')"
"('Q12986', 'Q14103')"
"('Q9NPC6', 'Q01844')"
"('Q9UKX7', 'P49790')"
"('Q04637', 'P63104')"
"('P36896', 'Q7Z3T8')"
"('O15400', 'Q9UNK0')"
"('Q15038', 'Q96GG9')"
"('P14625', 'Q16543')"
"('Q12913', 'P48357')"
"('O94817', 'Q969H6')"
"('P10276', 'Q5UIP0')"
"('O95433', 'Q8NI27')"
"('Q00613', 'Q13547')"
"('Q92769', 'P33778')"
"('Q09028', 'Q12830')"
"('Q9UBT2', 'Q9Y4K3')"
"('Q96E14', 'Q13156')"
"('O60888', 'P40337')"
"('P62269', 'P62241')"
"('O00422', 'P61247')"
"('P31995', 'Q16539')"
"('Q07157', 'Q9BX67')"
"('Q14164', 'Q9Y265')"
"('Q13243', 'O60508')"
"('Q13557', 'Q13255')"
"('P05771', 'P61586')"
"('Q9HCN8', 'Q8IX04')"
"('O95786', 'P46734')"
"('P19387', 'Q5T3J3')"
"('P54274', 'P00519')"
"('407041', 'P01106')"
"('P07741', 'Q9Y4K3')"
"('O15264', 'Q8NER1')"
"('Q15654', 'P12931')"
"('Q96LJ7', 'O15162')"
"('P07148', 'P37231')"
"('Q13017', 'P63000')"
"('P08572', 'Q96IP4')"
"('Q9P2H0', 'Q7L5D6')"
"('P01106', 'Q92667')"
"('P68400', 'Q16665')"
"('Q14203', 'Q13409')"
"('P22362', 'P51686')"
"('Q12929', 'Q96ED9')"
"('P38398', 'Q99728')"
"('Q15078', 'P62993')"
"('P55735', 'Q8WUM0')"
"('P25786', 'Q14232')"
"('P01100', 'P29460')"
"('P21815', 'P16144')"
"('P62979', 'Q16236')"
"('Q13751', 'Q16787')"
"('Q9NRR5', 'P55198')"
"('P42166', 'O43765')"
"('P62070', 'P28482')"
"('P08581', 'Q15262')"
"('O95178', 'O95182')"
"('O00422', 'Q6NXE6')"
"('P60900', 'O60739')"
"('P35070', 'P14780')"
"('Q08188', 'O94817')"
"('Q05397', 'Q8TAM1')"
"('Q71F56', 'Q9UHV7')"
"('P10074', 'P38936')"
"('O00222', 'P63211')"
"('O95168', 'O95139')"
"('Q6FI13', 'P56524')"
"('P11142', 'P20333')"
"('Q9ULV1', 'P09471')"
"('Q13501', 'Q13554')"
"('P53778', 'P49137')"
"('P48736', 'P05026')"
"('Q9NYG5', 'O95067')"
"('Q99417', 'P40337')"
"('Q07912', 'O43426')"
"('Q92765', 'P04628')"
"('P52333', 'P42226')"
"('P15311', 'P23508')"
"('P43115', 'P30679')"
"('Q5VTD9', 'Q9NRD5')"
"('Q9UBD9', 'P38484')"
"('P63104', 'P27708')"
"('P05423', 'Q9H1D9')"
"('Q96B36', 'Q8N122')"
"('Q02878', 'P61513')"
"('P35869', 'P10275')"
"('Q96HH6', 'Q96G97')"
"('P52209', 'P62330')"
"('Q00005', 'P81605')"
"('P03372', 'P48061')"
"('Q9NX70', 'Q9H944')"
"('P56537', 'P09936')"
"('Q9Y230', 'Q12933')"
"('406906', 'P51959')"
"('Q9H0R8', 'P47869')"
"('O75925', 'P02778')"
"('Q9P0M6', 'Q8IYW5')"
"('O94856', 'P55157')"
"('Q02045', 'P63261')"
"('P31749', 'P62136')"
"('Q06124', 'Q07890')"
"('Q9GZX6', 'Q13261')"
"('P11308', 'O96014')"
"('P18621', 'P83731')"
"('P40818', 'Q9HD42')"
"('Q9UJX6', 'Q9H1A4')"
"('P17676', 'P80188')"
"('Q9NR80', 'P31749')"
"('P54646', 'Q16526')"
"('Q05516', 'Q99684')"
"('Q13263', 'P24522')"
"('P54253', 'Q13085')"
"('P62081', 'P62847')"
"('Q13315', 'P49736')"
"('O60664', 'O94955')"
"('P02545', 'P16104')"
"('P17252', 'Q12879')"
"('O95751', 'P51116')"
"('O96017', 'Q15554')"
"('P14635', 'P38398')"
"('P62140', 'Q9Y698')"
"('P08238', 'Q08752')"
"('P42771', 'P61956')"
"('Q9HB58', 'Q9NPF4')"
"('P62993', 'Q92934')"
"('Q15181', 'Q16082')"
"('O75674', 'P52735')"
"('P62258', 'Q6R327')"
"('P18146', 'Q15822')"
"('O00339', 'O95460')"
"('P04278', 'P13798')"
"('Q9UBW8', 'Q13098')"
"('Q14164', 'Q2I0M4')"
"('P08047', 'O00571')"
"('P46779', 'P39023')"
"('P55201', 'Q92794')"
"('Q9UKR5', 'Q96SN8')"
"('Q8TDG4', 'Q7Z5Q5')"
"('P08069', 'Q15147')"
"('Q13111', 'Q9UJX2')"
"('Q96B33', 'Q8NI35')"
"('P12956', 'Q12905')"
"('Q8IZP0', 'P07332')"
"('Q9UHD2', 'Q8N5C8')"
"('Q9Y4G2', 'P20042')"
"('P62310', 'Q9Y333')"
"('Q14191', 'P62380')"
"('Q53QZ3', 'Q92730')"
"('P16234', 'Q07889')"
"('P62851', 'Q9HCK5')"
"('Q9H0K1', 'P31751')"
"('P35225', 'P40238')"
"('Q8WVX9', 'Q9H7B4')"
"('Q14289', 'P46108')"
"('Q9UNS2', 'Q15843')"
"('P01106', 'Q9BWT6')"
"('Q86XL3', 'O15264')"
"('P30041', 'P10276')"
"('Q9Y490', 'Q13683')"
"('P63162', 'O75817')"
"('Q5VTR2', 'O00507')"
"('Q13232', 'Q9NRR5')"
"('406889', 'P05231')"
"('P54646', 'P49593')"
"('O43909', 'P46108')"
"('Q9Y6D9', 'Q96DF8')"
"('Q9NRR5', 'P26885')"
"('O00221', 'O95816')"
"('P46937', 'Q15562')"
"('Q9NX58', 'Q14011')"
"('Q9NZI8', 'Q9Y297')"
"('Q07021', 'Q07955')"
"('Q9UK32', 'Q9UHR5')"
"('O14561', 'O95298')"
"('Q92731', 'Q9BT22')"
"('Q7L190', 'Q99963')"
"('Q8NGP2', 'P38405')"
"('Q15311', 'P62330')"
"('O14640', 'Q96EB6')"
"('P51681', 'P42568')"
"('Q15109', 'P62993')"
"('P98175', 'P54259')"
"('P14778', 'P52564')"
"('P20963', 'Q14790')"
"('Q8WWM7', 'P19235')"
"('P29320', 'P00519')"
"('P62873', 'Q92633')"
"('O75400', 'Q9NS15')"
"('P04843', 'Q8TCJ2')"
"('P03915', 'O43676')"
"('Q8NB91', 'Q8N2Z9')"
"('Q07889', 'P31152')"
"('P57729', 'P84022')"
"('Q14451', 'Q9UMN6')"
"('P26358', 'Q9UBC3')"
"('P21583', 'P29317')"
"('Q9BXS5', 'O95751')"
"('Q9Y4A5', 'Q9H2F5')"
"('Q13418', 'Q9Y678')"
"('P36873', 'P06400')"
"('P05771', 'P10301')"
"('P30260', 'Q99459')"
"('P23508', 'Q9NR30')"
"('Q9Y6M9', 'O75438')"
"('P28472', 'P60520')"
"('P22612', 'P54840')"
"('P11171', 'Q9Y237')"
"('P01563', 'P16871')"
"('P61224', 'Q9UNN5')"
"('Q5SW24', 'O94806')"
"('Q14498', 'P55795')"
"('Q15750', 'P07437')"
"('P24863', 'Q13547')"
"('Q9H244', 'P08754')"
"('Q05193', 'P27986')"
"('P55854', 'O43290')"
"('P12931', 'P15941')"
"('Q8IYF3', 'P38936')"
"('Q8N264', 'P63000')"
"('Q13418', 'Q15404')"
"('Q96J02', 'Q96RF0')"
"('Q16665', 'P02786')"
"('P09429', 'P48729')"
"('Q05519', 'P35637')"
"('P17612', 'P23528')"
"('P51116', 'Q86SE5')"
"('Q9Y6B7', 'O43427')"
"('Q99759', 'O43592')"
"('P24385', 'Q9Y3I1')"
"('Q13485', 'Q13761')"
"('O43353', 'P98170')"
"('Q9NPF7', 'Q99650')"
"('P10114', 'O00238')"
"('P51965', 'Q68DV7')"
"('P60953', 'Q15286')"
"('Q86V81', 'Q14683')"
"('P49407', 'P04731')"
"('Q96RU3', 'Q15642')"
"('Q9Y644', 'Q9UM47')"
"('P60568', 'Q04206')"
"('P62324', 'Q4VXU2')"
"('O60383', 'P51159')"
"('P12318', 'P53778')"
"('P35609', 'P68366')"
"('P16619', 'P49682')"
"('O60711', 'P48059')"
"('Q07889', 'P53680')"
"('Q9Y277', 'P49662')"
"('Q13347', 'P01243')"
"('P49593', 'Q9UQM7')"
"('P16885', 'Q8WV28')"
"('Q9UN86', 'Q9Y6E0')"
"('Q9BTV4', 'P13569')"
"('Q96GG9', 'Q15796')"
"('P43360', 'P78347')"
"('O15360', 'Q6STE5')"
"('P48201', 'O95870')"
"('Q8NBJ4', 'Q9UFN0')"
"('O00257', 'Q71DI3')"
"('P49703', 'Q13432')"
"('P42858', 'P78352')"
"('P27361', 'P01111')"
"('P25205', 'Q8WYB5')"
"('P62258', 'P06576')"
"('O14529', 'P13569')"
"('Q9P2D1', 'P37231')"
"('Q9BY78', 'Q96B02')"
"('A1L0T0', 'P01106')"
"('Q9NPH9', 'P26992')"
"('P38936', 'P62820')"
"('Q9UQC2', 'P43403')"
"('P63165', 'Q9H2Y7')"
"('Q13509', 'Q13838')"
"('P29460', 'P17181')"
"('Q9BY11', 'Q8TF21')"
"('Q6P2I7', 'Q9Y376')"
"('Q13243', 'P67809')"
"('P49841', 'P16220')"
"('P12236', 'Q92597')"
"('P52292', 'Q9H213')"
"('Q16659', 'Q15418')"
"('O60684', 'P49366')"
"('Q15717', '406881')"
"('P25054', 'Q96HA1')"
"('Q86V97', 'O95166')"
"('Q99459', 'Q9NPF5')"
"('P0CG12', 'O75554')"
"('P55157', 'Q08209')"
"('P0CG48', 'Q15717')"
"('P04792', 'P10275')"
"('Q13547', 'P01137')"
"('P12956', 'Q9NYB0')"
"('P57086', 'Q9P0L1')"
"('Q5VVX9', 'Q9H4P4')"
"('Q03135', 'Q9H1Q7')"
"('P42229', 'P09619')"
"('P19784', 'O14641')"
"('Q9BYM8', 'Q13077')"
"('P06733', 'O43318')"
"('Q13191', 'O43639')"
"('Q05066', 'P10275')"
"('Q92769', 'Q99684')"
"('Q99459', 'P41091')"
"('P36575', 'O14733')"
"('Q96PM9', 'Q969T4')"
"('P12236', 'P19838')"
"('P62195', 'Q8TCT6')"
"('O43615', 'Q99595')"
"('Q96FW1', 'P61586')"
"('Q86XR7', 'P21145')"
"('P13725', 'P15509')"
"('P04629', 'Q12913')"
"('P35222', 'P42166')"
"('Q7Z6B7', 'P15153')"
"('P0C0L4', 'P02768')"
"('P35900', 'Q9NYB9')"
"('O43318', 'Q13748')"
"('Q14232', 'P81605')"
"('Q969F2', 'P0CG47')"
"('Q5JWF2', 'P0C869')"
"('P25786', 'P25787')"
"('Q15291', 'Q6DN03')"
"('Q01094', 'Q7L590')"
"('Q8NGS0', 'P38405')"
"('Q92831', 'Q13112')"
"('Q15019', 'Q9NVA2')"
"('P49841', 'Q96BA8')"
"('Q8WTV0', 'P55345')"
"('Q16637', 'Q14974')"
"('P57678', 'Q9HAW0')"
"('P78357', 'Q9H2G2')"
"('P37231', 'Q96EB6')"
"('P33778', 'Q86WJ1')"
"('P49207', 'P30050')"
"('O75084', 'Q9NRR5')"
"('P35240', 'Q13136')"
"('Q08050', 'Q96GD4')"
"('Q16559', 'P62993')"
"('P46531', 'Q9Y6K9')"
"('Q13155', 'P29590')"
"('Q13503', 'P52735')"
"('Q96LZ3', 'Q13255')"
"('Q16778', 'Q71UI9')"
"('Q96LZ3', 'Q9NZT1')"
"('P19793', 'Q9Y6Q9')"
"('Q07869', 'P28702')"
"('Q5VVJ2', 'P98175')"
"('P11171', 'Q99436')"
"('P19387', 'Q6P1J9')"
"('P11047', 'P07942')"
"('Q9NTK5', 'Q9NQ84')"
"('Q13885', 'P05060')"
"('P19838', 'P23246')"
"('P13725', 'Q99062')"
"('P04075', 'Q8IZH2')"
"('P10074', 'Q96L11')"
"('Q96RU7', 'P18848')"
"('P51946', 'Q00534')"
"('P63146', 'Q5VTR2')"
"('P67775', 'P23528')"
"('O00501', 'Q16625')"
"('P18031', 'P05556')"
"('P46783', 'P23396')"
"('Q15047', 'Q14181')"
"('P78527', 'Q15596')"
"('Q9H0E3', 'O75486')"
"('Q5QNW6', 'P63104')"
"('P33176', 'O75815')"
"('P40763', 'P42229')"
"('Q9Y294', 'Q16695')"
"('406892', 'P08069')"
"('Q9H422', 'P53671')"
"('Q92621', 'O75694')"
"('P17275', 'Q8WYK2')"
"('P61019', 'P30480')"
"('Q8WXI9', 'Q9UBB5')"
"('Q92624', 'Q15050')"
"('Q06330', 'Q13642')"
"('Q92831', 'Q9ULM3')"
"('P01106', 'O43586')"
"('Q5RL73', 'P42773')"
"('P17028', 'Q14194')"
"('P05412', 'P48506')"
"('Q9BWC9', 'Q9BVJ6')"
"('O95602', 'O15160')"
"('P18124', 'P62750')"
"('P18074', 'P10275')"
"('Q13573', 'Q9NQW6')"
"('P13671', 'P16333')"
"('Q16539', 'P42574')"
"('P42574', 'Q92934')"
"('P53396', 'P19532')"
"('Q6PI98', 'O96019')"
"('O95400', 'Q14240')"
"('Q96ED9', 'Q9H8T0')"
"('P46109', 'P42229')"
"('P08138', 'Q9NWZ3')"
"('Q969J5', 'P29597')"
"('P43405', 'Q8TF42')"
"('Q16576', 'Q9BQG0')"
"('Q9NYV6', 'Q9GZS1')"
"('Q5JVS0', 'Q04759')"
"('Q9UI14', 'P62820')"
"('P14921', 'P04150')"
"('P11309', 'Q00987')"
"('Q96JQ0', 'P32121')"
"('Q14644', 'Q15628')"
"('Q99750', 'Q5T5S1')"
"('O75419', 'Q15714')"
"('Q9Y6I7', 'Q9UBF6')"
"('Q9BQ66', 'Q8IYI8')"
"('P20339', 'Q8NEB9')"
"('P00519', 'P32239')"
"('Q9H2M9', 'Q9H0R8')"
"('Q86XK2', 'Q13564')"
"('Q9Y2Q3', 'O95433')"
"('P04406', 'Q13952')"
"('Q15797', 'Q13501')"
"('O15524', 'P10721')"
"('P30480', 'Q8WUM4')"
"('Q15078', 'P10636')"
"('Q9UL42', 'P16333')"
"('P62873', 'Q01970')"
"('P40938', 'O75943')"
"('Q969H8', 'P46379')"
"('P46778', 'Q9UNX3')"
"('P01243', 'Q13485')"
"('P22455', 'Q99961')"
"('P14314', 'Q14164')"
"('Q9Y4K3', 'P52907')"
"('Q93084', 'P30457')"
"('Q99880', 'O15379')"
"('Q13310', 'Q9UHX1')"
"('Q13009', 'P63000')"
"('P51817', 'Q02930')"
"('Q92905', 'O00487')"
"('P51610', 'O14686')"
"('Q6SZW1', 'P51617')"
"('O95049', 'A6NM45')"
"('P19525', 'O14733')"
"('Q8NGV5', 'P38405')"
"('P62993', 'Q8WV28')"
"('P63000', 'Q15759')"
"('P68133', 'P04637')"
"('P10828', 'A5YKK6')"
"('Q9Y4K3', 'P11717')"
"('Q96QU8', 'P49841')"
"('P62993', 'Q13322')"
"('Q99963', 'Q9UM73')"
"('O75815', 'P49321')"
"('P54819', 'P22392')"
"('P05014', 'Q13261')"
"('Q68CJ9', 'P15336')"
"('O43711', 'O43809')"
"('P24928', 'P01106')"
"('Q9HC98', 'Q9P035')"
"('Q13349', 'Q9HB31')"
"('Q9UHJ3', 'P78364')"
"('P23527', 'P0C0S5')"
"('P04637', 'O43715')"
"('O95696', 'P55201')"
"('O15524', 'O14654')"
"('Q71H61', 'P31947')"
"('P04049', 'Q15759')"
"('P25963', 'Q05513')"
"('P12931', 'Q13094')"
"('O60739', 'Q9Y5K5')"
"('P08670', 'Q96AE4')"
"('Q07889', 'Q92730')"
"('P62993', 'O43390')"
"('P68133', 'Q9Y230')"
"('Q9Y265', 'Q9H981')"
"('O00330', 'P10515')"
"('Q9Y478', 'Q96P70')"
"('O95007', 'P38405')"
"('P55211', 'O14727')"
"('Q9H814', 'Q9UNZ2')"
"('Q9P0W0', 'P19235')"
"('Q15047', 'P60174')"
"('P00533', 'Q00722')"
"('P10275', 'P11926')"
"('P98164', 'P01266')"
"('P30550', 'P50148')"
"('P17301', 'P27658')"
"('Q9Y2X8', 'Q8WWF5')"
"('Q99459', 'Q9NUU7')"
"('Q99961', 'P08069')"
"('Q9UBU3', 'P43115')"
"('P25105', 'P49407')"
"('Q13315', 'O60506')"
"('Q86Y79', 'P04156')"
"('Q03405', 'Q15527')"
"('P82933', 'Q9NZQ3')"
"('P53778', 'P27361')"
"('P49207', 'Q9HAT8')"
"('P62750', 'P62906')"
"('Q6NW29', 'Q8N5Z5')"
"('Q15102', 'Q05516')"
"('Q00005', 'P47756')"
"('P22695', 'P31930')"
"('P62979', 'Q9HCE7')"
"('P19174', 'Q9UN19')"
"('Q9BWD1', 'Q9H1Y0')"
"('P47902', 'P49715')"
"('P21781', 'P21802')"
"('P04049', 'P01106')"
"('Q16539', 'Q96F63')"
"('P36897', 'Q9UNH7')"
"('P18146', 'Q6UX53')"
"('Q15834', 'Q04695')"
"('P63165', 'P27105')"
"('Q9NWN3', 'Q13485')"
"('Q13247', 'Q05519')"
"('Q15465', 'Q13635')"
"('P12004', 'Q13547')"
"('P23471', 'P21246')"
"('P52294', 'P13010')"
"('Q9HBE4', 'P52630')"
"('O00222', 'P08754')"
"('P13727', 'P17947')"
"('P62633', 'P18146')"
"('P05387', 'P83731')"
"('P47914', 'P62987')"
"('P51668', 'O60291')"
"('P42356', 'P13805')"
"('Q13315', 'O94782')"
"('Q92793', 'P10275')"
"('Q14738', 'Q92736')"
"('P01569', 'P48551')"
"('P43364', 'Q12906')"
"('Q9ULV1', 'O14640')"
"('Q9Y4K3', 'P22888')"
"('O43556', 'Q92629')"
"('Q9HC29', 'Q04206')"
"('A0JLT2', 'P17480')"
"('P00533', 'Q07890')"
"('Q9C0C9', 'P67809')"
"('Q9UBU9', 'Q92973')"
"('Q9UHV7', 'P49336')"
"('P05062', 'Q8NFJ9')"
"('P49756', 'Q00005')"
"('P06241', 'Q14008')"
"('P62753', 'Q92597')"
"('P30050', 'P27824')"
"('O75746', 'Q9Y5J5')"
"('Q6XUX3', 'P20618')"
"('Q9P0K7', 'P31946')"
"('Q13976', 'P05023')"
"('Q14186', 'Q13547')"
"('O00257', 'P12757')"
"('P61218', 'P52434')"
"('P37802', 'P24941')"
"('P67775', 'Q16537')"
"('P49903', 'Q8N8V2')"
"('P01106', 'Q9Y2X3')"
"('P31152', 'P01229')"
"('Q9HBM6', 'Q9UMX0')"
"('P16333', 'Q14315')"
"('Q8WUA4', 'Q99459')"
"('P22612', 'Q9UBI6')"
"('Q9GZS3', 'P62487')"
"('P11171', 'P60900')"
"('Q7L266', 'Q13387')"
"('O00231', 'Q9Y4K3')"
"('Q9Y3M8', 'Q7L0Q8')"
"('Q13555', 'P01111')"
"('Q15291', 'Q99877')"
"('Q9H175', 'P55036')"
"('O95433', 'P54253')"
"('P18146', 'Q9UQN3')"
"('Q86Y56', 'Q9HC98')"
"('Q8NHM5', 'P0C0S5')"
"('Q99750', 'P19634')"
"('P50570', 'P62993')"
"('P54257', 'Q9H079')"
"('Q01201', 'Q93008')"
"('P01243', 'Q7L2H7')"
"('Q9NZW5', 'Q8N392')"
"('Q99459', 'O60443')"
"('P05386', 'P30050')"
"('Q13315', 'Q5TGY3')"
"('P46108', 'Q8NI27')"
"('Q9P0V3', 'P05549')"
"('Q99558', 'P62266')"
"('P00533', 'Q8WUM4')"
"('O75376', 'P56524')"
"('Q9UBF6', 'P51668')"
"('P18206', 'Q9Y490')"
"('P41440', 'Q02447')"
"('P0CG47', 'Q9HCE7')"
"('Q92621', 'Q9NRG9')"
"('O43298', 'Q8TBB1')"
"('P20827', 'Q9UF33')"
"('Q99836', 'Q15109')"
"('P07711', 'Q6UXH1')"
"('P30872', 'P63096')"
"('P06729', 'P06241')"
"('Q9Y6K9', 'Q13797')"
"('P14151', 'P13611')"
"('P0CAP2', 'Q9BQ04')"
"('O95711', 'Q02556')"
"('Q9Y618', 'P46531')"
"('P32121', 'Q8NGW1')"
"('Q9BQ95', 'Q9Y4K3')"
"('Q13424', 'O60242')"
"('Q9H9Q2', 'Q7L5N1')"
"('Q5VTD9', 'Q0D2I5')"
"('Q14790', 'Q99558')"
"('Q12933', 'O43353')"
"('O00422', 'Q9UKV3')"
"('P35225', 'P14784')"
"('O60341', 'Q16891')"
"('O75438', 'O43678')"
"('P31785', 'O00459')"
"('P18206', 'Q9UQ03')"
"('P49755', 'Q9NZ42')"
"('P32121', 'Q8NGN1')"
"('Q7L7X3', 'Q9H7E9')"
"('Q13555', 'P27361')"
"('P22612', 'Q92806')"
"('Q15365', 'P61978')"
"('O15116', 'Q9BU61')"
"('P02776', 'P49682')"
"('P01236', 'P42701')"
"('O95630', 'Q9NRV9')"
"('P62140', 'O95685')"
"('Q8N3L3', 'P40222')"
"('P01889', 'P52209')"
"('P51617', 'Q16539')"
"('P62829', 'Q9UNX3')"
"('P36897', 'Q8NFH4')"
"('P32121', 'Q00987')"
"('Q9BZX2', 'P06241')"
"('Q15645', 'P21964')"
"('P14625', 'O00206')"
"('Q9Y478', 'P54619')"
"('Q8WWR8', 'Q9BQY4')"
"('P58753', 'Q9NYJ8')"
"('Q04771', 'Q969T4')"
"('P38432', 'Q14978')"
"('P04049', 'P67870')"
"('Q9C0C9', 'Q8IY92')"
"('Q8TAM1', 'Q16659')"
"('O43493', 'P05556')"
"('P68363', 'P07437')"
"('Q8IX12', 'Q9BTT4')"
"('P22694', 'P15336')"
"('P51532', 'O00716')"
"('P04229', 'P01903')"
"('P38646', 'P19838')"
"('Q9NVF7', 'Q12933')"
"('P50150', 'Q9H1C0')"
"('P05386', 'P27635')"
"('Q9NSB8', 'O00329')"
"('O43684', 'O43683')"
"('O95178', 'O15239')"
"('Q8IWZ8', 'P55795')"
"('Q92922', 'Q6STE5')"
"('Q01130', 'Q8IWZ8')"
"('O95405', 'P12644')"
"('P12757', 'Q15796')"
"('P62917', 'Q99558')"
"('Q14738', 'Q9UF02')"
"('P10144', 'Q9Y5K6')"
"('P46020', 'P11217')"
"('P21796', 'P81605')"
"('Q13573', 'Q92616')"
