recall,precision
0.051587301587301584,0.52
0.01984126984126984,0.5263157894736842
0.0496031746031746,0.5319148936170213
0.02976190476190476,0.5357142857142857
0.025793650793650792,0.5416666666666666
0.04563492063492063,0.5476190476190477
0.021825396825396824,0.55
0.031746031746031744,0.5517241379310345
0.027777777777777776,0.56
0.03373015873015873,0.5666666666666667
0.023809523809523808,0.5714285714285714
0.037698412698412696,0.59375
0.041666666666666664,0.6
0.03968253968253968,0.6060606060606061
0.04365079365079365,0.6111111111111112
0.017857142857142856,0.75
0.013888888888888888,0.7777777777777778
0.015873015873015872,0.8
0.001984126984126984,1.0
0.003968253968253968,1.0
0.005952380952380952,1.0
0.007936507936507936,1.0
0.00992063492063492,1.0
